ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	458	0.33763743479169	1.59064703564822	0.0003125	0.0228514654744163	0.0200949467558613	4048	tags=38%, list=24%, signal=30%	ZFP37/ZNF285/ZNF569/ZNF454/ZNF534/ZNF879/ZIK1/ZNF354C/ITGB3/ZNF662/HLA-G/AKT3/ZNF300/ZNF100/ZNF223/ZNF334/CFP/ZNF154/BCL2/ZNF677/ZNF714/ZNF284/ZNF699/ZNF471/ZNF311/ZNF780A/ZNF177/ZNF620/ZNF233/ZNF582/ZNF155/ZNF671/ZNF676/ZNF442/ZNF549/ZNF302/ZNF705A/TLR2/ZNF225/ZNF224/ZNF763/NXF5/ZNF684/ZNF415/ZNF135/ZNF585B/ZNF540/ZNF845/ZNF841/ZNF14/IFNGR1/ZNF782/ZNF41/ZNF547/ZNF584/TNFSF14/ZSCAN32/ZNF737/ZNF275/ZNF700/ZNF354B/ZNF44/ZNF425/ZNF470/ZNF799/ZNF669/NXF3/ZNF486/ZNF560/ZNF510/ZNF611/ZNF160/ZNF557/ZNF596/ZNF34/HLA-DQA2/ZNF792/ZNF234/ZNF791/ZFP28/ZNF658/ZNF226/ZNF606/ZNF566/ZNF30/ZNF383/ZNF419/ZNF667/ZNF382/IRAK4/ZNF221/ZNF182/ZFP1/TRAF5/ZNF559/ZNF701/ZNF432/ZNF235/ZNF443/ZNF17/ZNF416/ZNF398/ZNF564/ZNF420/ZNF878/ZNF583/ZNF621/ZNF597/ZNF222/IFNAR2/ZNF10/ZNF347/ZNF181/JAK2/MAP3K7/B2M/ZNF616/ZNF709/ZNF554/ZNF555/ZNF529/ZNF417/ZNF713/ZNF43/ZNF141/STAT2/ZNF613/ZNF256/ZNF649/HLA-E/RNASEL/ZFP30/ZNF7/CHUK/C5/ZNF112/MTOR/ZNF354A/ZNF551/ZNF778/ZNF790/ZNF343/ZNF333/ZNF25/PIK3CA/ZNF26/BIRC2/ZNF426/ZNF736/ZNF331/ZNF184/ZFP69/ZNF429/ZNF253/ZNF79/ZFP14/ZNF132/ZNF619/ZNF175/JAK1/ZNF337/ZNF211/TNFRSF14/ZNF563/ZNF350/ZNF641/ZNF180/ZNF439/ZNF627/ZNF543/ZNF81/ZNF230/ZNF780B/EIF2AK3/SRPK1/RBAK
hsa05414	Dilated cardiomyopathy	90	0.554990645610575	2.14480381410345	0.000346981263011797	0.0228514654744163	0.0200949467558613	2933	tags=37%, list=18%, signal=30%	CACNG6/ACTC1/TNNI3/ADCY1/DES/LAMA1/ITGA9/MYL2/CACNA2D1/MYL3/ADCY8/ITGB3/ADCY4/MYH7/LAMA2/RYR2/SLC8A2/IGF1/SGCA/PLN/ITGA10/TTN/ATP2A1/SLC8A3/TNNC1/ADCY3/CACNA1S/MYBPC3/CACNG8/ITGA1/ADRB1/CACNA2D4/SGCD
hsa05410	Hypertrophic cardiomyopathy	86	0.524958549930412	2.01216468588407	0.000349162011173184	0.0228514654744163	0.0200949467558613	2933	tags=37%, list=18%, signal=31%	CACNG6/ACTC1/TNNI3/DES/LAMA1/ITGA9/MYL2/CACNA2D1/MYL3/ITGB3/MYH7/LAMA2/PRKAA2/RYR2/SLC8A2/IGF1/SGCA/ITGA10/TTN/ATP2A1/SLC8A3/TNNC1/PRKAB2/CACNA1S/MYBPC3/PRKAA1/CACNG8/ITGA1/PRKAG1/CACNA2D4/PRKAB1/SGCD
hsa04612	Antigen processing and presentation	67	-0.464272812757763	-1.76381393128498	0.00045662100456621	0.0228514654744163	0.0200949467558613	2822	tags=39%, list=17%, signal=32%	HLA-DQA1/KLRC4/RFXANK/HLA-DOA/HLA-A/KIR2DL3/KIR2DL1/HSPA5/HLA-DRA/HLA-C/HLA-DRB1/CD74/HSPA1A/HLA-DPB1/HLA-DMA/HSPA1B/HLA-DPA1/CIITA/CD8A/CD8B/HLA-DQB1/KIR3DL1/HLA-DRB5/IFNG/KLRC3
hsa05322	Systemic lupus erythematosus	122	-0.642086435315906	-2.70073293310122	0.000476190476190476	0.0228514654744163	0.0200949467558613	1389	tags=43%, list=8%, signal=40%	H2AFY2/HLA-DMA/H2AFX/HLA-DPA1/HIST1H2AL/HIST1H3I/HIST2H4A/C8B/HIST1H2BB/HIST1H2BI/HIST1H2AI/HIST1H3A/HIST3H2BB/HIST1H2BK/HIST2H2BE/HIST1H2BL/HIST2H3A/HIST3H2A/HIST1H3B/HIST1H2AB/HIST1H2BH/H2AFB1/HIST1H4E/HIST1H2BM/HIST2H2AB/HLA-DQB1/HIST2H2BF/IL10/HIST1H3C/HIST1H2AE/HLA-DRB5/HIST1H2AC/HIST1H2BF/HIST2H2AC/HIST1H4H/HIST1H2BE/HIST1H3G/HIST1H3H/HIST2H2AA3/HIST2H2AA4/HIST1H2BD/HIST1H2BO/HIST1H3D/IFNG/HIST1H4D/HIST1H2AG/HIST1H2BJ/HIST1H2BC/HIST1H2BG/HIST1H2AD/HIST1H2AM/HIST1H4J
hsa05203	Viral carcinogenesis	193	-0.41767667377052	-1.8728714646692	0.000492125984251968	0.0228514654744163	0.0200949467558613	2184	tags=24%, list=13%, signal=21%	TRAF2/RELA/HLA-A/CDKN1A/MAPKAPK2/HDAC10/BAD/HLA-C/HIST1H4I/HIST2H4B/CREB3L3/JUN/GTF2A1L/MAD1L1/RBL1/EGR2/HIST2H4A/EGR3/PMAIP1/IRF7/HIST1H2BB/HIST1H2BI/ATP6V0D2/HIST3H2BB/HIST1H2BK/HIST2H2BE/HIST1H2BL/HIST1H2BH/HIST1H4E/CDC20/HPN/HIST1H2BM/HIST2H2BF/CCND1/HIST1H2BF/HIST1H4H/HIST1H2BE/HIST1H2BD/HIST1H2BO/HIST1H4D/HIST1H2BJ/HIST1H2BC/HIST1H2BG/PIK3R2/HIST1H4J
hsa05034	Alcoholism	173	-0.621446834333956	-2.74478975172096	0.000496770988574267	0.0228514654744163	0.0200949467558613	2126	tags=38%, list=13%, signal=34%	GRIN1/GNGT2/H2AFJ/ADORA2A/HIST1H4I/HIST2H4B/CREB3L3/HIST2H3D/ADORA2B/H2AFY2/PKIA/GRIN2D/H2AFX/NTRK2/HIST1H2AL/GNG3/HIST1H3I/HIST2H4A/HIST1H2BB/HIST1H2BI/PPP1R1B/HIST1H2AI/HIST1H3A/HIST3H2BB/HIST1H2BK/SHC3/HIST2H2BE/HIST1H2BL/HIST2H3A/HIST3H2A/HIST1H3B/HIST1H2AB/HIST1H2BH/H2AFB1/HIST1H4E/CALML6/HIST1H2BM/HIST2H2AB/HIST2H2BF/HIST1H3C/HIST1H2AE/HIST1H2AC/HIST1H2BF/HIST2H2AC/HIST1H4H/HIST1H2BE/HIST1H3G/NPY/HIST1H3H/HIST2H2AA3/HIST2H2AA4/CALML3/HIST1H2BD/HIST1H2BO/FOSB/HIST1H3D/TH/HIST1H4D/HIST1H2AG/HIST1H2BJ/HIST1H2BC/HIST1H2BG/HIST1H2AD/HIST1H2AM/HIST1H4J
hsa04742	Taste transduction	62	0.521195856656831	1.89211127824678	0.000701508242721852	0.0282357067695545	0.0248296996437077	2087	tags=34%, list=13%, signal=30%	TAS2R19/SCNN1B/TAS2R20/PKD2L1/TAS2R14/TAS1R3/ADCY8/TAS2R31/CHRM3/GABRA5/SCN9A/P2RY1/ADCY4/PDE1A/HTR1D/KCNK5/TAS2R43/SCN3A/SCN2A/GRM4/TAS2R4
hsa04217	Necroptosis	144	-0.376104407178579	-1.62304621894704	0.000980872976949485	0.035093455397526	0.0308602141285861	2522	tags=23%, list=15%, signal=20%	TRADD/TRAF2/FADD/SLC25A4/ZBP1/SHARPIN/PLA2G4B/CHMP1A/H2AFJ/SPATA2L/RIPK3/TICAM1/H2AFY2/H2AFX/HIST1H2AL/HIST1H2AI/CAMK2B/HIST3H2A/HIST1H2AB/H2AFB1/HIST2H2AB/ALOX15/PYCARD/HIST1H2AE/HIST1H2AC/HIST2H2AC/HIST2H2AA3/HIST2H2AA4/IFNG/HIST1H2AG/HIST1H2AD/HIST1H2AM
hsa00910	Nitrogen metabolism	17	-0.690944165177269	-1.91656742279553	0.00135256988277728	0.0399536768963521	0.0351341584998977	990	tags=35%, list=6%, signal=33%	CA5B/CA6/CA9/CA2/CA3
