ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05166	Human T-cell leukemia virus 1 infection	212	-0.373940066128865	-1.57400211429451	0.000391389432485323	0.00320557491289199	0.00242068586099395	3097	tags=28%, list=19%, signal=23%	ANAPC10/CD4/POLB/TP53/NRAS/JAK3/PIK3R2/CALR/PPP3CC/TGFB2/CCND1/HLA-DOA/TGFB1/HLA-F/ITGAL/EGR2/HLA-A/CDKN2B/HLA-G/MAD2L1/HLA-B/IL15RA/HLA-E/RELB/PTTG1/AKT3/IL2RA/CD3E/CD3D/LTA/CDC20/CCNB2/TNF/LCK/IL2RB/NFATC1/HLA-DMA/IL2RG/B2M/PTTG2/HLA-DQA1/NRP1/HLA-DQA2/SPI1/HLA-DMB/HLA-DPB1/HLA-DRA/CD40/HLA-DRB1/HLA-C/ICAM1/IL6/ITGB2/HLA-DPA1/TGFB3/CSF2/CREB3L3/HLA-DRB5
hsa04060	Cytokine-cytokine receptor interaction	262	-0.447094292486113	-1.92779647392138	0.000391849529780564	0.00320557491289199	0.00242068586099395	2504	tags=34%, list=15%, signal=30%	IL17D/OSMR/BMP2/CSF2RB/IL12A/IL10RA/EDA/IFNL1/GDF6/TNFRSF8/TNFSF4/CXCR2/CSF3R/CCL1/IL21R/TNFRSF4/IL15RA/IL31RA/TNFSF18/CCL17/IL2RA/IL1RAP/CSF3/AMH/LTA/BMPR1A/INHBA/TNF/PRL/IL2RB/CXCR6/LTB/IL1RN/IL13RA2/IL9R/CCL11/XCL1/CXCR1/CCL19/IL2RG/CCL23/CSF1/TNFSF9/TNFSF12/LEP/IL12RB1/CCL26/IL34/CCL4L2/CXCL12/TNFRSF9/CCR5/IL17RB/CD40/FASLG/TNFSF14/TNFSF13B/INHA/TNFSF10/CCR1/IL27RA/CXCL6/IL27/OSM/XCL2/CCR2/TNFRSF18/IL6/IL1B/CXCL13/TGFB3/CCL21/IL32/CCL7/CSF2/CCL5/CXCL5/CCL4/CCL13/IFNG/CCL2/CD70/CCL18/CXCR3/CXCL11/CCL3/CCL8/CXCL9/CXCL10
hsa05332	Graft-versus-host disease	37	-0.764706194799985	-2.42388104578385	0.000392927308447937	0.00320557491289199	0.00242068586099395	2971	tags=76%, list=18%, signal=62%	KIR2DL3/HLA-DOA/HLA-F/CD80/HLA-A/HLA-G/HLA-B/HLA-E/TNF/HLA-DMA/CD86/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/FASLG/PRF1/HLA-DRB1/HLA-C/IL6/IL1B/HLA-DPA1/IFNG/KLRD1/GZMB/HLA-DRB5
hsa05330	Allograft rejection	35	-0.756931272287093	-2.36674921304581	0.000393236335037357	0.00320557491289199	0.00242068586099395	2672	tags=74%, list=16%, signal=63%	HLA-DOA/HLA-F/IL12A/CD80/HLA-A/HLA-G/HLA-B/HLA-E/TNF/HLA-DMA/CD86/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/CD40/FASLG/PRF1/HLA-DRB1/HLA-C/HLA-DPA1/IFNG/GZMB/HLA-DRB5
hsa05320	Autoimmune thyroid disease	38	-0.683066837134958	-2.17138610817178	0.000394166338194718	0.00320557491289199	0.00242068586099395	2672	tags=61%, list=16%, signal=51%	HLA-DOA/HLA-F/CD80/HLA-A/HLA-G/HLA-B/HLA-E/HLA-DMA/CD86/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/CD40/FASLG/PRF1/HLA-DRB1/HLA-C/HLA-DPA1/GZMB/HLA-DRB5
hsa05144	Malaria	47	-0.643624875189276	-2.1336266685547	0.000394321766561514	0.00320557491289199	0.00242068586099395	2672	tags=62%, list=16%, signal=52%	TGFB2/TGFB1/KLRK1/IL12A/ITGAL/KLRB1/TLR2/SDC2/CR1L/CSF3/GYPC/HGF/TNF/VCAM1/SELE/KLRC4-KLRK1/CD36/CD40/ICAM1/THBS4/IL6/ITGB2/IL1B/TGFB3/THBS2/IFNG/CCL2/COMP
hsa04940	Type I diabetes mellitus	41	-0.742733278670789	-2.39632899715269	0.000394632991318074	0.00320557491289199	0.00242068586099395	2562	tags=71%, list=15%, signal=60%	HLA-F/IL12A/CD80/HLA-A/HLA-G/HLA-B/HLA-E/LTA/PTPRN/TNF/HLA-DMA/CD86/CPE/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/FASLG/PTPRN2/PRF1/HLA-DRB1/HLA-C/IL1B/HLA-DPA1/IFNG/GZMB/HLA-DRB5
hsa04912	GnRH signaling pathway	91	0.518091726069543	1.9114073380068	0.000395256916996047	0.00320557491289199	0.00242068586099395	2318	tags=30%, list=14%, signal=26%	CALML6/CALML5/ADCY4/PLA2G4C/JMJD7-PLA2G4B/GNRH2/PLA2G4B/ADCY6/GNRH1/HBEGF/EGR1/CACNA1C/PLCB3/PLCB2/PLA2G4D/ADCY3/ITPR3/GNRHR/PLA2G4F/LHB/PLCB1/PLA2G4A/PLCB4/CAMK2G/PTK2B/ADCY5/PRKCA
hsa05310	Asthma	25	-0.771574484378548	-2.23198211705128	0.000395569620253165	0.00320557491289199	0.00242068586099395	1161	tags=56%, list=7%, signal=52%	HLA-DMA/PRG2/CCL11/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/FCER1G/CD40/HLA-DRB1/HLA-DPA1/HLA-DRB5
hsa04742	Taste transduction	62	0.573044103928286	1.98895728440402	0.000396196513470681	0.00320557491289199	0.00242068586099395	2604	tags=47%, list=16%, signal=40%	TRPM5/TAS2R20/TAS2R10/TAS2R19/ADCY4/TAS2R5/SCNN1A/GABBR1/GABRA4/TAS2R4/ADCY6/TAS2R31/TAS2R14/TAS1R1/TAS2R3/CACNA1C/PLCB3/PLCB2/TAS2R38/ITPR3/GNB3/P2RX3/PLCB1/P2RY4/PLCB4/ENTPD2/SCN3A/ADCY8/PDE1C
