ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04950	Maturity onset diabetes of the young	23	-0.73785619279909	-2.07784939584758	0.000468164794007491	0.0228758169934641	0.0193685407038483	2476	tags=61%, list=15%, signal=52%	MNX1/HHEX/SLC2A2/BHLHA15/NR5A2/NEUROG3/HNF1B/FOXA2/HNF1A/PDX1/FOXA3/HNF4G/HNF4A
hsa05320	Autoimmune thyroid disease	38	-0.672908162650565	-2.1156594690326	0.000497760079641613	0.0228758169934641	0.0193685407038483	2775	tags=50%, list=17%, signal=42%	HLA-G/IL4/TSHB/IL5/CTLA4/TSHR/HLA-DPB1/HLA-DQA1/HLA-DRA/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/CGA/HLA-DQB1/HLA-DRB5
hsa05330	Allograft rejection	35	-0.640725342456445	-1.98488359139322	0.000499251123315027	0.0228758169934641	0.0193685407038483	2775	tags=46%, list=17%, signal=38%	HLA-G/IL4/IL5/HLA-DPB1/HLA-DQA1/HLA-DRA/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/IL12A/HLA-DQB1/HLA-DRB5
hsa04940	Type I diabetes mellitus	41	-0.58049127753227	-1.85627665980342	0.000504032258064516	0.0228758169934641	0.0193685407038483	1860	tags=37%, list=11%, signal=33%	HLA-DQA1/HLA-DRA/HLA-DOB/HLA-DOA/PTPRN/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/PTPRN2/IL12A/ICA1/HLA-DQB1/HLA-DRB5
hsa04672	Intestinal immune network for IgA production	44	-0.732294741627547	-2.37994016781477	0.000517330574236937	0.0228758169934641	0.0193685407038483	3307	tags=66%, list=20%, signal=53%	ICOS/CXCL12/CD80/CCR9/IL15RA/IL4/ITGA4/AICDA/IL5/MADCAM1/HLA-DPB1/TNFSF13B/HLA-DQA1/CXCR4/HLA-DRA/TNFSF13/HLA-DOB/HLA-DOA/HLA-DMA/CCL28/HLA-DMB/HLA-DRB1/HLA-DPA1/CCL25/TNFRSF13B/HLA-DQB1/HLA-DRB5/PIGR
hsa04260	Cardiac muscle contraction	77	-0.473765288143753	-1.72692652332261	0.000559597090095132	0.0228758169934641	0.0193685407038483	2965	tags=27%, list=18%, signal=23%	TPM2/TNNI3/HRC/COX7A1/CACNA2D4/TPM3/ATP1B1/COX6B2/ATP1A4/SLC8A3/MYL4/SLC9A7/CACNG8/CASQ2/ATP2A3/TNNC1/FXYD2/TPM1/MYL2/ACTC1
hsa04610	Complement and coagulation cascades	80	-0.509313507058225	-1.86402706574889	0.0005720823798627	0.0228758169934641	0.0193685407038483	3368	tags=54%, list=20%, signal=43%	C1QC/C3/C8B/ITGB2/C1QB/C3AR1/SERPING1/CLU/C8G/F13A1/C1QA/VSIG4/F2R/ITGAM/F10/ITGAX/C5AR1/PLAUR/CFHR1/F7/SERPINE1/VTN/C6/TFPI/CFI/C4B/C2/CD55/CFB/F2RL3/CR1/C4A/KLKB1/F3/CR2/F2RL2/SERPINA5/C7/C4BPA/SERPINA1/F5/C4BPB
hsa04640	Hematopoietic cell lineage	92	-0.50407419367652	-1.88591733600364	0.000589275191514437	0.0228758169934641	0.0193685407038483	2697	tags=46%, list=16%, signal=38%	IL9R/EPOR/IL4/THPO/ITGA5/CD37/ITGA4/CD5/CD1C/IL5/CD22/HLA-DPB1/CD8B/CD1D/ITGAM/CSF3R/IL2RA/HLA-DQA1/CD19/IL7R/ITGB3/HLA-DRA/CSF2RA/FLT3/KIT/HLA-DOB/HLA-DOA/HLA-DMA/ITGA1/HLA-DMB/HLA-DRB1/HLA-DPA1/ANPEP/FCER2/MME/CD55/CR1/CR2/HLA-DQB1/MS4A1/HLA-DRB5
hsa05217	Basal cell carcinoma	61	0.592112128941106	1.82377772447798	0.000639386189258312	0.0228758169934641	0.0193685407038483	2009	tags=38%, list=12%, signal=33%	WNT7B/WNT10A/WNT3A/WNT4/GLI1/FZD10/WNT7A/SMO/WNT9A/FZD7/GLI2/TCF7L1/GLI3/LEF1/KIF7/WNT10B/WNT2B/WNT6/PTCH1/PTCH2/WNT5A/FZD9/DVL3
hsa05310	Asthma	25	-0.689650821751882	-1.98942320006084	0.000942507068803016	0.0303487276154571	0.0256957190336822	2949	tags=68%, list=18%, signal=56%	IL13/IL4/IL5/HLA-DPB1/HLA-DQA1/FCER1A/HLA-DRA/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/MS4A2/HLA-DQB1/HLA-DRB5
hsa04110	Cell cycle	124	0.482762415080307	1.66537553071309	0.00114646030381198	0.0325647249190938	0.0275719638903083	4196	tags=40%, list=25%, signal=30%	SFN/E2F2/PKMYT1/CCNA1/ESPL1/MCM2/CDC45/ORC6/CDC20/MCM4/BUB1/CCNB1/ORC1/PTTG1/CCNA2/PLK1/CDC7/CDC25A/CCND1/CCNB2/SKP2/MCM5/MAD2L1/CCNE2/MCM6/CDKN2C/RBL1/TFDP2/SMC1B/RBL2/SMAD2/CUL1/CDKN2B/SMAD3/TFDP1/ANAPC7/ATR/CREBBP/CDC6/BUB1B/PRKDC/GSK3B/YWHAQ/TGFB1/FZR1/ANAPC1/MCM3/WEE1/MCM7/STAG1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	-0.429641655425613	-1.62030317754774	0.00121359223300971	0.0325647249190938	0.0275719638903083	3248	tags=48%, list=19%, signal=39%	CXCL11/TNFRSF10A/CCR3/CXCL12/CCL13/IL20RA/CCL20/CCR9/CCR8/CCL27/IL10RA/CCL7/TNFRSF10D/CCL16/ACKR4/CCL22/CCL24/TNFRSF10C/IL18R1/XCR1/IL2RA/IL18RAP/TNFRSF14/CXCR4/IL22RA1/CCL14/CCR7/CXCR3/TNFRSF1B/CCL4L2/CCL28/CCR2/CXCL5/CCR4/CXCR1/CCL25/IL2RG/PF4/CXCL2/CCR6/CXCR5/IL18/CXCL3/CCL23/CCL18/CCL15
hsa05323	Rheumatoid arthritis	87	-0.449777366675943	-1.66946034871685	0.00173611111111111	0.0402332361516035	0.0340647537210373	2857	tags=34%, list=17%, signal=29%	CD80/CCL20/CTSK/ATP6V0D2/MMP3/CTSL/CTLA4/HLA-DPB1/TNFSF13B/HLA-DQA1/HLA-DRA/TLR4/TNFSF13/HLA-DOB/HLA-DOA/ATP6V1C2/HLA-DMA/TNFSF11/HLA-DMB/HLA-DRB1/HLA-DPA1/CXCL5/LTB/TNFRSF11A/CXCL2/HLA-DQB1/IL18/CXCL3/HLA-DRB5
hsa05414	Dilated cardiomyopathy	90	-0.434289600197019	-1.6213555629201	0.00174927113702624	0.0402332361516035	0.0340647537210373	2965	tags=34%, list=18%, signal=28%	TPM2/ADCY4/ADCY6/TNNI3/PRKACB/ITGA10/ITGA5/CACNA2D4/ITGA4/TPM3/SLC8A3/LAMA2/ITGA7/SGCA/CACNG8/IGF1/SGCD/ITGB3/ITGA8/ITGA1/ADRB1/ITGB1/PLN/ATP2A3/TNNC1/DES/AGT/TPM1/MYL2/ACTC1
hsa04612	Antigen processing and presentation	67	-0.474896638183494	-1.68545621045385	0.0021978021978022	0.0412186379928315	0.0348990756461045	3770	tags=37%, list=23%, signal=29%	KIR2DL1/KLRC3/KLRD1/KIR3DL1/CD4/HLA-G/CTSL/CIITA/HLA-DPB1/CD8B/HLA-DQA1/LGMN/CD74/HLA-DRA/IFI30/HLA-DOB/HLA-DOA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DPA1/CTSS/HLA-DQB1/HLA-DRB5
hsa04390	Hippo signaling pathway	152	0.439841452262509	1.55773143719659	0.00222655162816588	0.0412186379928315	0.0348990756461045	2129	tags=25%, list=13%, signal=22%	WNT7B/WNT10A/WNT3A/SOX2/TP73/WNT4/BMP7/PPP2R2C/FZD10/WNT7A/WNT9A/FZD7/BIRC5/CDH1/GLI2/PARD6G/AJUBA/TEAD2/FRMD6/BMPR1B/TCF7L1/SNAI2/PPP2R2B/LEF1/WNT10B/WNT2B/CCND1/NKD2/WNT6/SMAD1/ACTG1/WNT5A/FZD9/DLG1/LLGL1/DVL3/WWTR1/FGF1
hsa04550	Signaling pathways regulating pluripotency of stem cells	136	0.459286017518133	1.60448634422764	0.00225352112676056	0.0412186379928315	0.0348990756461045	3134	tags=32%, list=19%, signal=26%	FGFR3/WNT7B/WNT10A/WNT3A/OTX1/SOX2/WNT4/DLX5/FZD10/DUSP9/WNT7A/WNT9A/FZD7/BMPR1B/ID4/WNT10B/WNT2B/WNT6/JARID2/SMAD1/FGFR2/AKT3/MEIS1/WNT5A/FZD9/HOXA1/PIK3R1/PIK3CD/DVL3/IGF1R/ACVR1C/ACVR1/FZD1/SMAD2/SMARCAD1/MAPK12/FZD6/SMAD5/HRAS/SMAD3/MAPK13/FGF2/MAPK11/HOXD1
hsa05410	Hypertrophic cardiomyopathy	86	-0.438145272338652	-1.62536904840852	0.00230414746543779	0.0412186379928315	0.0348990756461045	2965	tags=31%, list=18%, signal=26%	TPM2/TNNI3/ITGA10/ITGA5/CACNA2D4/ITGA4/TPM3/SLC8A3/LAMA2/ITGA7/SGCA/CACNG8/IGF1/SGCD/ITGB3/ITGA8/ITGA1/ITGB1/ACE/ATP2A3/TNNC1/DES/AGT/TPM1/MYL2/ACTC1
hsa04975	Fat digestion and absorption	34	-0.60165713666165	-1.84998340416557	0.0025	0.0415067315955314	0.035142999291411	2179	tags=50%, list=13%, signal=44%	APOB/AGPAT2/PLA2G12B/MTTP/APOA4/APOA1/MOGAT2/PLA2G2D/DGAT2/NPC1L1/PLA2G2C/PLA2G10/PNLIPRP1/CLPS/PLA2G2A/FABP1
hsa04915	Estrogen signaling pathway	126	0.463117721159743	1.60066165289422	0.00257805786307648	0.0415067315955314	0.035142999291411	1669	tags=17%, list=10%, signal=15%	KRT13/KRT15/CALML3/KRT16/KRT14/KRT24/KRT17/KRT31/CALML5/POMC/CREB5/TGFA/KRT9/ADCY1/KRT34/KRT23/KCNJ6/GNAI1/ADCY3/CALML6/AKT3
hsa04062	Chemokine signaling pathway	186	-0.356065917381853	-1.47635797704664	0.00303030303030303	0.0464646464646465	0.0393407761828814	3797	tags=39%, list=23%, signal=31%	SRC/NCF1/VAV1/VAV2/CXCL13/GNG5/GNG7/CCL21/ROCK1/ROCK2/CXCL11/SHC4/LYN/CCR3/PIK3R6/ADCY4/CXCL12/ADCY6/JAK3/WAS/ARRB2/CHUK/CCL13/CCL20/CCR9/CCR8/GNG10/PRKACB/CCL27/DOCK2/CXCL16/CCL7/SHC3/PRKCB/GNG11/CCL16/JAK2/CCL22/ITK/CCL24/PLCB2/XCR1/PIK3CG/RAP1A/CXCR4/PXN/RASGRP2/PIK3R5/PIK3R2/CCL14/CCR7/CXCR3/CCL4L2/GRK5/PLCB4/CCL28/CCR2/GNG2/CXCL5/CCR4/CXCR1/ARRB1/CCL25/PF4/CXCL2/CCR6/CXCR5/GNG8/CXCL3/CCL23/CCL18/CCL15
