ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa00190	Oxidative phosphorylation	103	0.507448858933004	2.07196801080064	0.000373412994772218	0.00898838767306833	0.00696387014879763	5000	tags=57%, list=30%, signal=40%	COX6A2/ATP6V0E2/COX7B2/ATP4A/COX6B2/COX17/TCIRG1/ATP12A/ATP6V1C2/SDHD/NDUFS8/NDUFV1/NDUFA1/ATP6V0B/COX6B1/NDUFA7/COX7B/COX5A/NDUFB7/NDUFA3/NDUFA4/ATP6V1B1/UQCRH/NDUFB11/UQCRB/NDUFS5/UQCR11/COX6C/NDUFB9/NDUFAB1/ATP6V1G1/ATP6V1E2/COX4I1/NDUFS3/COX5B/COX7A2/NDUFB6/COX6A1/NDUFA8/ATP6V1F/NDUFB4/NDUFC2/COX8A/NDUFS7/COX4I2/NDUFA6/NDUFA13/NDUFB8/NDUFS2/NDUFA11/CYC1/NDUFA9/NDUFB3/NDUFA10/NDUFC1/ATP4B/NDUFB10/NDUFA4L2/UQCRFS1
hsa05034	Alcoholism	173	0.494160801010225	2.16836017712105	0.000379218809252939	0.00898838767306833	0.00696387014879763	1936	tags=30%, list=12%, signal=27%	CALML6/HIST1H2AE/HIST1H2BG/HIST1H2BH/GNG4/H2AFB2/HIST1H2BE/HIST3H2A/GNG3/SLC6A3/HIST1H3D/HIST1H4E/HIST1H3J/HIST2H2AA4/DRD2/HIST1H3E/HIST1H2BF/GRIN3B/H2AFB3/HIST1H3F/SHC2/HIST1H3G/GRIN2C/H2AFJ/HIST3H2BB/GNG8/FOSB/CALML5/HIST2H3C/HIST1H3H/HIST2H2BE/HIST1H2BL/CALML3/HIST1H2AJ/HIST1H2BJ/HIST1H2AL/HIST2H2AA3/HDAC4/HIST1H3B/HIST2H4A/DRD1/HIST2H2BF/GNGT1/GRIN1/HRAS/HIST1H4J/HIST2H3A/HIST2H2AB/HIST1H2BI/HIST1H2BM/HIST1H4I/HDAC10
hsa04612	Antigen processing and presentation	67	-0.50647875689149	-1.94014024211563	0.000413223140495868	0.00898838767306833	0.00696387014879763	5374	tags=66%, list=32%, signal=45%	PSME1/CD8A/CALR/HLA-DPB1/RFX5/NFYB/PSME3/HLA-DRB1/B2M/HLA-DOA/HLA-F/CD74/HSPA1B/KIR3DL1/CREB1/TNF/HLA-DMA/CTSS/CD8B/HSPA1A/HLA-A/HLA-G/CTSB/CD4/NFYA/HLA-DRA/IFNG/IFI30/TAP1/HLA-E/HLA-DMB/HSP90AB1/HLA-DRB5/CANX/TAPBP/HLA-B/HSP90AA1/HLA-DQA2/KLRC2/HSPA8/HLA-DPA1/KLRC4/HLA-C
hsa05416	Viral myocarditis	57	-0.51513910787042	-1.91822612373073	0.0004151100041511	0.00898838767306833	0.00696387014879763	5012	tags=61%, list=30%, signal=43%	CASP3/DAG1/RAC2/HLA-DRB1/HLA-DOA/HLA-F/CD86/CCND1/CXADR/HLA-DMA/ITGAL/PRF1/HLA-A/ICAM1/LAMA1/SGCB/HLA-G/SGCG/HLA-DRA/EIF4G2/CD40LG/SGCD/HLA-E/HLA-DMB/CD28/LAMA2/HLA-DRB5/HLA-B/CAV1/MYH7/ITGB2/HLA-DQA2/HLA-DPA1/HLA-C
hsa05144	Malaria	47	-0.528504872433445	-1.88854644841332	0.000415800415800416	0.00898838767306833	0.00696387014879763	3323	tags=55%, list=20%, signal=44%	ITGAL/LRP1/SDC2/ICAM1/KLRK1/IL18/TGFB3/IFNG/HBA2/CD40LG/MYD88/CR1/ITGB2/IL10/MET/THBS4/TLR2/CCL2/THBS2/IL1B/TLR4/VCAM1/HGF/CD36/KLRC4-KLRK1
hsa05140	Leishmaniasis	73	-0.506324058897668	-1.97289867454473	0.000416840350145894	0.00898838767306833	0.00696387014879763	2504	tags=42%, list=15%, signal=36%	ITGB1/IL4/STAT1/TGFB3/HLA-DRA/TAB2/IFNG/JAK1/JAK2/NFKB1/NCF2/HLA-DMB/ITGAM/HLA-DRB5/MYD88/ITGA4/MAPK14/FCGR2A/MAPK1/CR1/ITGB2/IL10/HLA-DQA2/TLR2/FCGR3A/HLA-DPA1/IL1B/TLR4/CYBB/FCGR3B
hsa05164	Influenza A	152	-0.403581714530058	-1.76715356399713	0.000421585160202361	0.00898838767306833	0.00696387014879763	3323	tags=36%, list=20%, signal=29%	HLA-DMA/ADAR/EIF2AK2/PIK3CB/ICAM1/APAF1/BAK1/PIK3R1/PRKCB/CCND3/PIK3CA/TMPRSS2/IL18/STAT1/IFNAR1/HLA-DRA/CALCOCO2/IFNG/IFNAR2/JAK1/MX2/JAK2/OAS1/TPSAB1/OAS3/EIF2S1/NFKB1/IL33/AKT3/HLA-DMB/RNASEL/CASP1/HLA-DRB5/DNAJC3/MYD88/DDX58/TNFSF10/NXF3/MAPK1/MX1/FASLG/HLA-DQA2/TLR7/IFIH1/PRKCA/CCL2/FAS/HLA-DPA1/RSAD2/IL1B/OAS2/CXCL10/TLR4/TLR3
hsa04145	Phagosome	144	-0.43408214651794	-1.88566440340412	0.000421762969211303	0.00898838767306833	0.00696387014879763	1874	tags=38%, list=11%, signal=34%	CTSS/FCGR1A/OLR1/STX12/ATP6V1B2/HLA-A/RAB5B/HLA-G/PLA2R1/ITGB1/TUBB/CLEC7A/HLA-DRA/TAP1/TUBA1A/ATP6V0D2/C1R/HLA-E/ITGB5/STX7/NCF2/HLA-DMB/ITGB3/MPO/ITGAM/HLA-DRB5/CANX/ITGAV/HLA-B/FCGR2A/EEA1/ITGB2/HLA-DQA2/FCAR/THBS4/TLR2/FCGR3A/THBS2/HLA-DPA1/MSR1/ITGA2/TLR4/CYBB/COLEC12/HLA-C/CD36/FCGR3B/CD209/MARCO/SFTPD/MRC1/SFTPA2/SFTPA1
hsa04976	Bile secretion	77	-0.480272908396073	-1.88532215899122	0.000423370025402202	0.00898838767306833	0.00696387014879763	1917	tags=29%, list=11%, signal=25%	PRKACB/UGT1A4/ABCC3/AQP1/ABCC2/UGT2B4/ADCY2/UGT2B11/SCTR/UGT1A8/ABCG2/KCNN2/BAAT/AQP9/FXYD2/NR1H4/CA2/NR0B2/AQP4/UGT2B7/SLCO1B3
hsa05150	Staphylococcus aureus infection	81	-0.526123834288949	-2.08355263228123	0.000424088210347752	0.00898838767306833	0.00696387014879763	3250	tags=52%, list=19%, signal=42%	ITGAL/FCGR1A/FPR2/MASP1/DEFA1/ICAM1/C1QB/FPR1/CFH/C2/HLA-DRA/C1S/KRT39/C1R/C5/DEFB4A/C1QC/HLA-DMB/KRT20/ITGAM/CAMP/KRT17/HLA-DRB5/KRT14/DEFA1B/FCGR2A/FPR3/ITGB2/IL10/HLA-DQA2/CFB/FCAR/C3AR1/FCGR3A/KRT15/HLA-DPA1/CFI/KRT13/PTAFR/DEFA3/FCGR3B
