ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05164	Influenza A	152	-0.466443903561597	-1.74996279931603	0.000316455696202532	0.0102675297343835	0.00886115675017076	3411	tags=30%, list=20%, signal=24%	DNAJB1/IFNGR2/PIK3CA/IFNAR2/IRF9/CCL2/IL12B/NXT2/JAK1/IL1A/BID/AKT3/PLG/PABPN1L/XPO1/CASP1/HLA-DQA1/TMPRSS2/HLA-DRA/HLA-DPB1/APAF1/IL12A/NXF3/PIK3CD/NXF2/CXCL10/IFNG/BCL2L2-PABPN1/TNFRSF10B/CIITA/FASLG/PRSS3/FAS/PIK3R2/IL18/TPSAB1/IL33/PRKCA/HLA-DRB1/TMPRSS4/HLA-DMA/TPSD1/HLA-DPA1/HLA-DQB1/HLA-DRB5
hsa04514	Cell adhesion molecules	136	-0.489960038236484	-1.80407054226039	0.000325732899022801	0.0102675297343835	0.00886115675017076	2800	tags=37%, list=17%, signal=31%	CD80/LRRC4B/CLDN11/CLDN3/SELP/LRRC4C/HLA-DQA1/NLGN4X/CLDN18/HLA-DRA/HLA-DPB1/CLDN22/NFASC/SDC4/HLA-B/CADM1/NEGR1/ITGAV/JAM3/CLDN5/CTLA4/NCAM2/NRXN1/CLDN6/JAM2/CD274/NRCAM/TIGIT/HLA-C/NTNG1/CNTN2/CD8B/ITGA8/NRXN3/CADM3/L1CAM/HLA-DRB1/CLDN16/ITGB8/CLDN9/CLDN1/HLA-DMA/HLA-DPA1/HLA-DQB1/CLDN10/MADCAM1/HLA-DRB5/CD22/MAG
hsa05322	Systemic lupus erythematosus	122	-0.479057183377786	-1.74024924318647	0.000326157860404436	0.0102675297343835	0.00886115675017076	3510	tags=44%, list=21%, signal=35%	HIST1H2AG/HIST1H3J/HIST1H3B/ACTN1/HIST1H4F/H2AFB3/HIST1H2AK/HIST1H2AL/HIST1H3F/CD80/HIST1H3A/HIST1H4C/HIST1H4J/HIST2H4A/HIST1H4H/C8G/HIST1H2BF/H2AFB2/HLA-DQA1/HLA-DRA/HLA-DPB1/FCGR3B/IL10/HIST1H4K/HIST2H2AA4/HIST1H2AH/HIST1H2AJ/HIST1H2AC/C8B/IFNG/HIST1H2BC/HIST1H4B/HIST1H2AE/C6/HIST2H2AC/HIST1H4E/HIST1H2BJ/HIST1H2BD/HIST2H2AA3/HIST1H2AD/HIST1H2BG/HIST1H3H/ELANE/HIST1H2AM/HIST1H2BE/H2AFB1/HLA-DRB1/HIST2H3D/HLA-DMA/CTSG/HLA-DPA1/HLA-DQB1/HLA-DRB5
hsa05150	Staphylococcus aureus infection	81	-0.554313510376085	-1.90141401305363	0.000328731097961867	0.0102675297343835	0.00886115675017076	2554	tags=37%, list=15%, signal=32%	PLG/SELP/HLA-DQA1/KRT16/HLA-DRA/HLA-DPB1/FCGR3B/IL10/KRT13/DEFA4/KRT27/FGG/CFI/KRT15/KRT14/DEFB1/MASP1/DEFA1B/HLA-DRB1/KRT17/HLA-DMA/DEFA1/CFB/HLA-DPA1/DEFA3/FCAR/HLA-DQB1/KRT19/HLA-DRB5
hsa04512	ECM-receptor interaction	85	-0.499947531783816	-1.72223978432801	0.000330687830687831	0.0102675297343835	0.00886115675017076	3202	tags=39%, list=19%, signal=32%	COL6A2/THBS1/RELN/VTN/COL2A1/GP5/COL1A2/ITGA5/ITGA7/LAMA5/ITGB6/SDC4/ITGAV/COL1A1/ITGB3/ITGA3/TNXB/THBS2/TNC/TNN/ITGB4/ITGA11/COL9A2/ITGA8/ITGA2/COL9A3/CD36/FREM1/ITGB8/LAMB3/LAMA1/LAMC3
hsa05410	Hypertrophic cardiomyopathy	86	-0.496029384298822	-1.71143807301712	0.00033101621979477	0.0102675297343835	0.00886115675017076	2511	tags=33%, list=15%, signal=28%	ITGA5/CACNB1/SGCD/ITGA7/PRKAG3/PRKAA2/ACE/ITGB6/SLC8A3/CACNA1C/TNNI3/ITGAV/ITGB3/TGFB3/ITGA3/ITGB4/ATP2A1/ITGA11/ITGA8/ITGA2/CACNG4/CACNA2D3/SGCG/ITGB8/DES/ACTC1/LAMA1
hsa04612	Antigen processing and presentation	67	-0.59682235355816	-1.98256861805262	0.00033500837520938	0.0102675297343835	0.00886115675017076	2363	tags=39%, list=14%, signal=33%	HLA-DQA1/B2M/HLA-DRA/HLA-DPB1/KIR2DL4/HSPA1A/HLA-B/KLRC3/CD74/KIR2DL3/IFNG/TAP1/KIR3DL1/HSPA1B/CTSB/HLA-C/CIITA/CD8B/KLRC4/HLA-DRB1/HLA-DMA/HLA-DPA1/KLRC2/HLA-DQB1/HLA-DRB5
hsa05321	Inflammatory bowel disease	61	-0.5657904794769	-1.85159613734346	0.000336700336700337	0.0102675297343835	0.00886115675017076	2318	tags=34%, list=14%, signal=30%	TLR5/HLA-DRA/HLA-DPB1/IL12RB2/IL10/IL12A/STAT6/IFNG/IL4R/TGFB3/IL18RAP/STAT4/IL18/HLA-DRB1/GATA3/HLA-DMA/HLA-DPA1/IL18R1/HLA-DQB1/HLA-DRB5
hsa04940	Type I diabetes mellitus	41	-0.647588311653296	-1.97378252044308	0.000345065562456867	0.0102675297343835	0.00886115675017076	3040	tags=49%, list=18%, signal=40%	HLA-A/IL1A/CD80/ICA1/HLA-DQA1/HLA-DRA/HLA-DPB1/IL12A/HLA-B/IFNG/HLA-C/FASLG/FAS/HLA-DRB1/LTA/HLA-DMA/HLA-DPA1/HLA-DQB1/HLA-DRB5
hsa04672	Intestinal immune network for IgA production	44	-0.587380761525908	-1.80769896394741	0.000346860908775581	0.0102675297343835	0.00886115675017076	2763	tags=50%, list=17%, signal=42%	LTBR/TNFRSF13C/CXCL12/IL15RA/CD80/CCR9/TNFRSF17/HLA-DQA1/HLA-DRA/HLA-DPB1/IL10/TNFSF13B/TNFRSF13B/IL15/HLA-DRB1/CCL25/HLA-DMA/HLA-DPA1/HLA-DQB1/MADCAM1/HLA-DRB5
