Name	AveExpr	t	logFC	P.Value	Adj pval	B
GSTM1	5.0225771436342255	1.9077215473038147	1.8071125800278596	0.05986609893022587	0.9998473905087976	-3.94179562786446
NPIPB15	3.3268435217561936	3.2516617057064887	1.7074560700956303	0.00165225341614609	0.6100999636346521	-1.6781679642286855
F8A3	4.616112248567238	3.2084552357039167	1.661962749896161	0.001890916847116249	0.6313683945132637	-1.7654911162487537
CACNG6	1.0950523160171768	4.41632739504304	1.6001485769327763	2.9672338889424098e-5	0.09006543930903195	0.9367664626539645
CLSTN2	5.8377223059394705	3.2740838170630564	1.4402730426231014	0.001543942879451355	0.6100999636346521	-1.6342679081236309
MSLN	2.764240227203013	2.685803506339373	1.3789974833277372	0.008717597410869403	0.9998473905087976	-2.7469724878273833
PNMA6A	0.6157640759635655	4.788452205723567	1.3362104343988077	7.117694245339556e-6	0.032406861899031	1.8627355252815025
AL022328.1	2.728450435482141	1.0635055287906545	1.3134896285730009	0.29061998709112535	0.9998473905087976	-4.8183795760432515
SEPT1	0.1906553106966939	2.450870812233648	1.312584118494032	0.016331797846306468	0.9998473905087976	-3.1436795655878385
PRAME	2.0067278429715865	2.2276628700480336	1.285641412438983	0.028578179677066776	0.9998473905087976	-3.4922098337887584
NPY1R	6.404603587853123	2.012134806629028	1.2015786883410127	0.04743090356541436	0.9998473905087976	-3.8018567711758546
AL109927.1	2.0706784031717085	1.5726313626421036	1.1957506394710657	0.11958268491591496	0.9998473905087976	-4.345240173543741
RP11-463D19.2	1.1587506540803765	1.7389449557921617	1.1217793863962588	0.0857190901087607	0.9998473905087976	-4.153800963852384
CNTNAP2	1.8240483598802566	2.1280807919425526	1.0515988952046702	0.03625969240934949	0.9998473905087976	-3.638571654134995
ZNF788	2.50296244379232	2.147936688143903	1.0496497326390701	0.0345981220989577	0.9998473905087976	-3.609841347055913
PIGY	3.192858930610468	0.8585174349423638	1.005661695017988	0.3930655851973407	0.9998473905087976	-4.9591091851162155
DSCR8	0.37756591626035835	2.6578783544608386	0.9926005718062654	0.009411340822167545	0.9998473905087976	-2.7956294474070207
NKG2-E	1.7032764751682632	2.5292136525328344	0.9797982746973339	0.013297926102933172	0.9998473905087976	-3.014441089027232
NPIPA8	2.6399128799836475	1.819423794597618	0.9725220230885228	0.07240844597266129	0.9998473905087976	-4.05483530660579
CNTNAP3B	5.013298279904599	3.139939495421293	0.972231423355459	0.002332168264942802	0.7198889566294628	-1.9010787235986468
NDUFC2-KCTD14	1.506921242351278	1.97854206772729	0.962843517002105	0.051143854129111245	0.9998473905087976	-3.847442873359779
ABCA8	6.544659123716295	2.6679517662029197	0.9626696588329304	0.009162769198802649	0.9998473905087976	-2.7785650156085535
LGALS4	3.1378650392501255	4.272483690081024	0.9449924039906055	5.0590405096106116e-5	0.11516905720128558	0.5899065896508953
AL356356.1	2.028126190678123	1.6557404448582207	0.9418692788742078	0.10150753225870664	0.9998473905087976	-4.251754614975169
WISP2	7.06898581161434	2.53170006302388	0.9414987077223005	0.013225691920136307	0.9998473905087976	-3.0108883601422853
FABP6	1.0986898521517987	2.070243775940098	0.9414769523271316	0.04149978353165334	0.9998473905087976	-3.7209350686833726
GPM6A	3.8343229269914176	2.3083796052975774	0.9321945822621069	0.023433187016202815	0.9998473905087976	-3.369274658416942
CTLA4	2.71716338718218	2.862218030676935	0.9271330184092812	0.005306194343854736	0.8423991798437218	-2.4300863290880255
HMGCS2	5.972480184768249	1.202046396036896	0.9260486222684459	0.23274487796044302	0.9998473905087976	-4.706870170417189
ACSM1	3.873897033302915	2.2089116639192383	0.918904299743331	0.029901785934785107	0.9998473905087976	-3.5201623620535396
AL353791.1	4.1837077095948	3.3015766311112555	0.9180357222498001	0.0014117100911799014	0.6078148222865004	-1.5762353874092523
FAM155B	2.343837422008191	3.090810361853892	0.9126565238735274	0.0027057402756104705	0.7581067984525829	-1.997003500347689
SERPINB7	1.450033503952055	2.3110464383318057	0.9086316610798884	0.02327842307484075	0.9998473905087976	-3.365155197718652
C4BPA	3.758481712545402	1.9658410364983203	0.8980729275227963	0.05261936470750129	0.9998473905087976	-3.864563299150131
C6orf141	4.887248298157059	2.2202173649716426	0.8955837942705829	0.029097210161267744	0.9998473905087976	-3.5033290089471487
DNAH10	2.298090383204996	4.430808468605353	0.8937963383285665	2.8068225633936153e-5	0.09006543930903195	0.9730025611652096
GRIA1	2.732902171108735	2.2404639772128205	0.8931748922984806	0.02769574585773988	0.9998473905087976	-3.472871726513926
MKRN3	1.2126947663783634	2.047760187951945	0.8916288989023835	0.043706419583673876	0.9998473905087976	-3.752417728143903
ALG1L	2.832674980767089	2.0524991517593696	0.8842433678163442	0.04322979958377622	0.9998473905087976	-3.7457770343713124
BPIFB1	3.467061759672823	1.47105270284717	0.879171347400419	0.14501559578372666	0.9998473905087976	-4.453371128283748
PNLDC1	2.302868443061451	2.403258720606077	0.8669339259028177	0.018446195066236393	0.9998473905087976	-3.220061271648868
ADH1B	9.332628855924858	1.2870145533155297	0.859017900991665	0.20164704188988808	0.9998473905087976	-4.632032406328454
KRT6C	2.1487655800081247	2.0619657734146406	0.8584370741704443	0.042297727561021625	0.9998473905087976	-3.732532668705514
ANXA8L1	4.212785027034632	1.534380004388125	0.8579526432644826	0.12869846752013178	0.9998473905087976	-4.386733052530117
GBP5	3.9210636118275084	2.319175645364359	0.8560575302150197	0.02281027901423934	0.9998473905087976	-3.3525329314026076
NAT1	5.503274057440782	1.6636365463457932	0.8409757342135444	0.099935559588562	0.9998473905087976	-4.242696632232586
OLFM4	5.392714030531019	1.3478484080704072	0.8406317340409721	0.18135411246756983	0.9998473905087976	-4.575472240694309
ANXA8L2	5.396220621961296	1.426834636916279	0.8382116323944908	0.15735775918990574	0.9998473905087976	-4.498359226463169
PTCHD3	2.238371584624428	2.667517824037387	0.8330681218089234	0.009162817711400739	0.9998473905087976	-2.7786623639354926
C11orf21	2.7001608868832268	3.0161681180112745	0.8326957892363072	0.0033839100527561614	0.7927168639054365	-2.1411566617378046
ABCA9	5.689220577129933	2.7908998239101135	0.8312832785611564	0.0065042815213594415	0.946504076739628	-2.5602933675069677
SYT5	1.1032125517418523	2.3132536143328353	0.8294151961373051	0.023149695265666497	0.9998473905087976	-3.361715743591806
PM20D1	2.373626975054544	3.336077539527164	0.8256912676614727	0.001265776413663207	0.5976227602984266	-1.5054912400370646
C7	6.536251833745639	1.6514003280534528	0.8209377640821094	0.10241460054767941	0.9998473905087976	-4.2567940154398105
MARCH11	1.2289504767321011	1.818676058989624	0.8139484950752904	0.07252359706107353	0.9998473905087976	-4.055773070646593
S100A7	3.198238752743047	1.1142180819748546	0.8111150059852257	0.26837317391399	0.9998473905087976	-4.779087158636747
ABCA10	5.607401417905519	2.6547611946721354	0.8066224099485266	0.0094921428217582	0.9998473905087976	-2.8010548983184735
BMPER	4.227339365251132	2.4882145437891983	0.8045204465643554	0.014810281144142392	0.9998473905087976	-3.082301225601909
ANKRD30B	3.2089969845417756	1.3647710982724743	0.8020843892191976	0.17597127171486887	0.9998473905087976	-4.559290453448531
SMOC1	4.8948704659308016	1.8121681854530147	0.8018594564295087	0.07353664905194755	0.9998473905087976	-4.063938073961895
KRT81	4.6378283837016046	1.2451170626186292	0.8009882660290621	0.21657314076429232	0.9998473905087976	-4.669543226936237
LRP1B	3.0927707070876007	1.876308442541057	0.7990966325450475	0.0640808810847033	0.9998473905087976	-3.9824591401693716
AC007952.5	2.646221243407572	3.3326099740356994	0.7975996938376047	0.0012797763920293565	0.5976227602984266	-1.5126246244385384
ESPNL	2.026585908591424	2.6008898247215244	0.7833426124700469	0.010980886842371411	0.9998473905087976	-2.89346829205011
C10orf107	3.0425054823854785	2.1309943626344197	0.7787773992529865	0.036005978804469964	0.9998473905087976	-3.6343047392332686
ACKR4	4.917122954202114	2.81423709201004	0.7781079780134101	0.006086562875020111	0.9236530019084271	-2.51788932658004
WDR65	2.5547536654863965	2.7207320156501957	0.7775904079523883	0.007912155686284188	0.9998473905087976	-2.685308862444659
GSTT2	5.092714032939962	2.299958993810863	0.7747512493974078	0.023929976902376787	0.9998473905087976	-3.382297480319372
CRYBB2	1.7260612612961146	3.1994827519987745	0.7665131920166228	0.001941391944473027	0.6313683945132637	-1.7825368603071872
RP11-723O4.6	2.0995345956566958	2.367096747785524	0.7645934583765701	0.020221252527896097	0.9998473905087976	-3.2774840123671547
IGFL1	1.9523854272311438	1.4962479106183821	0.7609381376363835	0.1383357825312276	0.9998473905087976	-4.427167673040955
PADI3	1.4435501285458199	1.8337188832378668	0.7570365698187513	0.07023495497933262	0.9998473905087976	-4.036835206247763
PITX2	2.966851057997409	2.7772323434818147	0.7551491026567252	0.006756288709430685	0.946504076739628	-2.5846003871020455
TNNT3	5.458321144627607	2.011656591206776	0.7537045861306417	0.047464662657372134	0.9998473905087976	-3.802371539562585
FGF10	5.641343560832489	1.643817521204912	0.7521148394051238	0.10397570802934458	0.9998473905087976	-4.265482222267738
HECW1	2.0181421187875355	2.890527339891139	0.7446413708202744	0.0048906540032571085	0.8402697236539477	-2.377820131446226
LCN2	5.719075410686588	1.2628716402013946	0.7427258718186867	0.2101519977638509	0.9998473905087976	-4.6537917772505955
TNNI3	1.7880954871557035	1.5056795000118006	0.7403867965106203	0.13589952318021836	0.9998473905087976	-4.417253089946057
PTPN20A	3.2617248275883477	1.7083578652233065	0.7401272106403742	0.09125897868507224	0.9998473905087976	-4.190285811341913
L1TD1	1.8336636709804772	2.4256941967565337	0.7327198534444999	0.017414929258155545	0.9998473905087976	-3.1840405806151906
AMDHD1	2.9665358517822815	2.357854653587747	0.7297388668941203	0.020698782742678792	0.9998473905087976	-3.292047519318404
PKHD1L1	3.84024209099445	1.9192139828394879	0.7290900590235951	0.05834770774444896	0.9998473905087976	-3.9265590013801903
AC007405.2	2.2507187259191057	2.0036607996380584	0.7242200214947783	0.04832254274994442	0.9998473905087976	-3.8132440138937804
ACTC1	2.081364362919329	2.049097962670058	0.7213913495639008	0.04356637014400143	0.9998473905087976	-3.7504991767078657
TPRG1	5.992778243750943	1.9054665755188203	0.7186699079205026	0.06015091608895511	0.9998473905087976	-3.9446795337524048
TUBB8	1.5466309090293642	2.680237273512071	0.7176719166269739	0.008848539809207748	0.9998473905087976	-2.756481902714691
SLURP1	1.7385451661650886	1.9456139305670903	0.7172807842020144	0.055040295473053114	0.9998473905087976	-3.8916034490561744
RETN	1.593583054978529	2.2173435886579447	0.7158557758557973	0.02929362246360033	0.9998473905087976	-3.5075193315324564
PGR	4.927896766189188	1.165055045966567	0.715332644365529	0.2473156304903628	0.9998473905087976	-4.737925072620049
CYP19A1	2.1647189781470875	2.375470837353792	0.7137778980987994	0.01979704651790941	0.9998473905087976	-3.264247064321392
CPB1	6.089605982475577	0.7899096063140999	0.7126902753254654	0.4318189853092991	0.9998473905087976	-4.999661983604294
LILRB2	4.254077951894224	3.107958302177151	0.7113965604455155	0.002568929916358728	0.7426246291543674	-1.963520250560348
NPY5R	4.0117946420794235	1.4747857789226941	0.7092908972502906	0.14400723259750609	0.9998473905087976	-4.449512072716189
PPP2R2C	2.837645193328786	1.4322438439492242	0.7084904820022664	0.1557836730826804	0.9998473905087976	-4.492909481175478
FMO2	7.428627124582344	1.9000401546746035	0.707952451470244	0.060880840764085904	0.9998473905087976	-3.9518286795202036
ZFP37	4.228189655226558	3.508634951396089	0.7065176415096319	7.25558150891837e-4	0.46030589594685734	-1.144127981760513
FCRL5	3.207134110346564	1.591132891345345	0.7057502768060262	0.1153329113694871	0.9998473905087976	-4.324782949080562
