Name	AveExpr	t	logFC	P.Value	Adj pval	B
KRT15	7.44901025927905	2.9369339273905113	5.3622885036544705	0.0041794242681402445	0.2180964893162468	-2.018444776425259
KRT13	8.357534578760418	2.09070688029594	5.3147088758531	0.03928646353540077	0.41691268014731997	-3.8307292641123
GBP6	4.606086585541789	2.4494178091509027	5.060134653184792	0.016178900611841584	0.3166648233027624	-3.126721268448135
KRT5	8.557351971353524	2.1240832929262847	4.805709571939811	0.03632089334857539	0.4065487389458501	-3.769425337157675
ADH7	2.5910802614251804	2.685713843304445	4.588534048190859	0.008553645429163176	0.26162475574750216	-2.6093708028781224
IGFL1	4.158156054693866	2.518392914697079	4.501144000924668	0.013485713613480832	0.3022479601954084	-2.979848844906224
CAPNS2	4.465177217832869	2.397066018867698	4.294440682282777	0.018518111971566765	0.3295025561630504	-3.235395786675281
CALML3	6.171444271922206	1.8587646813531957	4.29149166767864	0.06622817929210123	0.4822661340534777	-4.2323235034808775
TMPRSS11D	4.333101818992932	2.1001813248784877	4.188918753487587	0.03840848010768412	0.4150595559906501	-3.8132539968932333
KRT6A	8.486470248191987	1.6914660928190792	4.178504830712571	0.09410171643702356	0.5301072269212588	-4.494952583837745
TP53AIP1	3.6992374920735607	2.892530952958798	4.167716825598351	0.004746048416411349	0.22567893932032243	-2.1244212408042102
SBSN	6.228408826858175	1.8180999075986595	4.120760844173849	0.07227343850878719	0.49157232783828425	-4.298269537841736
LY6D	7.132596265615342	1.7984805901818905	4.11123868673529	0.07535037514735946	0.4985938483654459	-4.329603834922766
SPRR2F	3.7010635075007112	2.073239061595732	4.094164776403348	0.0408966597191582	0.4210466421999871	-3.8622413073960145
SPRR2A	7.8618453649776665	1.6553816872579938	4.073144052285301	0.10122338263361803	0.539502559123047	-4.548571945761501
KRT6C	5.176349230972897	1.6238552687930659	4.065185202846812	0.1077969538155066	0.550187662651034	-4.594530997131983
CLCA2	4.823345840726083	1.9860465862560277	4.043050017360151	0.04996969264218275	0.44539761009608436	-4.017211942677773
FAT2	4.62897093879021	2.5879066623083173	4.0161548556438715	0.01119337272479655	0.2872643962436204	-2.828631615774854
MYCL	4.201564923687579	3.963506084169259	3.992388211066169	1.4367428155377524e-4	0.075886981301269	0.8277364046434723
A2ML1	5.267540292915172	1.754981719218976	3.861094151347591	0.08256097285883754	0.5103558360034371	-4.397951882680754
GJB6	5.2166516194462025	1.8771182263107944	3.8502920756539574	0.06364167723726691	0.4781527334344492	-4.2021193278675035
