Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.156341657359159	6.888167812453111	3.078459821565922	1.4112387422329498e-10	1.285073998677324e-6	13.201321558614119
F8A3	4.552254258814257	4.7940714586415485	1.538861947417912	3.866680616332706e-6	0.004694665825643416	4.040900480896527
CCL3L3	2.324879095702412	4.148140391265523	1.4361805174938977	5.563718303534473e-5	0.021191972717499768	1.674856517629613
UBD	5.730633380479265	3.9645893990022074	1.398302466226081	1.1295944987985604e-4	0.029704218324208723	1.050719667988389
REG1A	4.426455677451985	2.4992251613868253	1.3497085365252488	0.013511907906673311	0.27931766946235453	-3.0646123163892196
RAB25	3.426001693051679	2.7999124695798296	1.3222105756612166	0.005777192864180799	0.19473543259141746	-2.3540590642745074
PTPN20A	2.5192355346471746	3.902137513043698	1.2478260975903004	1.429877692174845e-4	0.0330626382290907	0.8434883276723948
GAL	1.9202824927149094	4.011979375190544	1.2050548312810971	9.428958851158311e-5	0.02815085222906478	1.2097221104724225
BARX2	4.21000272672747	3.753383299415097	1.1783963554302477	2.479863541871767e-4	0.041057522567789655	0.3606000798486191
SLC30A2	3.6335320876031942	3.519200446373423	1.1718396223325058	5.716774019085445e-4	0.05882140589581024	-0.36828353128655156
SERPINA5	4.511426532708369	3.9608923475036977	1.126292433524159	1.1455536277331671e-4	0.029704218324208723	1.0383786542285254
SEPT1	0.898208177876349	3.6100262031495367	1.1189372690564696	4.1542296364944673e-4	0.05217712423437051	-0.0902099517241588
CD1E	2.8632459801851926	4.3437274808200605	1.1105239584097366	2.5522390298767956e-5	0.013670993297681235	2.364043991046133
FLT3	2.1509163637257567	4.8134904439056285	1.0959928572918924	3.5539076738345915e-6	0.0046231261825625414	4.116050323934594
TSPAN8	3.4994272316733426	2.887741794611455	1.086942361514743	0.004448036816350095	0.17309742358596306	-2.1328605703942736
FOLR3	1.9379825619575568	3.675378407099675	1.0738221084808366	3.2895184830736534e-4	0.046105530912249705	0.11350741856080937
SERPINA3	5.648845347456988	2.906473508666688	1.0692958312323624	0.004203562193676331	0.16974562011359945	-2.084898854161295
GSTT2	3.9441743714418767	3.843953421905453	1.0680766429637143	1.7767588795004777e-4	0.03519575898984219	0.6528009437162972
GGT6	2.566106831898547	2.7823652142316786	1.0490999366702116	0.006082640695765218	0.1987881492175544	-2.397520324067589
C4BPA	1.8855549971553678	3.2232872837225734	1.0476654749878853	0.001551690598189462	0.11258720786544416	-1.2325880588799398
TMEM52B	3.0407625042495545	3.7472509685846	1.042377110577816	2.5359557831079185e-4	0.0413640571977699	0.34102101435947674
GSTT2B	3.2129136293517275	3.7928357276794404	1.0345849825893416	2.1461457232381975e-4	0.03780392694706812	0.4871865547725971
CCL4L1	4.469381910952965	3.8853631428023436	1.0096922404597901	1.5226436810875628e-4	0.033817544780447184	0.7882767076197501
GSTM1	4.441298005127641	2.126785527283349	1.003663677500664	0.03505639115119974	0.4245250809996537	-3.8416329627217776
TMED6	4.7544606547453006	3.38859694676855	0.9972751565070146	8.953467377487687e-4	0.07800412131457797	-0.7576960130247139
FAM3B	2.57327031238459	3.553988622938577	0.9782087281354204	5.062275069713246e-4	0.056560830410808366	-0.26247385542715485
CKMT2	2.8638458803643196	2.871654367958292	0.9685136030255714	0.004668313021599913	0.17675533627729234	-2.1738318217280357
AOC1	6.201100817366501	2.0049435094391748	0.9619975699583918	0.04674883401634719	0.47352044777848445	-4.070406977154335
PNMA6A	1.7657377453357745	2.7899510046457534	0.9618112632757618	0.005948834589981644	0.19734093907603953	-2.3787617569809445
C2orf54	2.1582041253510695	2.8956740034239794	0.9615049029955136	0.004342964163492537	0.17171830015809295	-2.1125840987230093
TMEM255A	3.643023087620601	3.3857604728738013	0.9612359033330731	9.039883103016084e-4	0.07800412131457797	-0.7660151404848472
PRSS22	2.23689260961797	3.001871279911772	0.9612236405302306	0.0031388585572180946	0.153257083228032	-1.836385932781143
KCNJ1	1.8315130787965344	2.6619850860243157	0.9611048214624953	0.008605819193450725	0.23264796139004906	-2.6890518992354746
MGAM	3.0230797613414295	2.6491787262567486	0.94282222812368	0.008923500287394654	0.23604162088845393	-2.719381059272588
SLAMF7	3.882711395872528	4.118438396813565	0.9418781702365875	6.248869317538088e-5	0.022760881602200734	1.5723532744288171
