Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.8380553395766823	3.7680416243086934	2.3969697012867717	2.7895229942684704e-4	0.06430733262230048	0.2725221574110126
IGJ	6.19911411905713	5.010584616784217	2.057281246006042	2.3590834686396905e-6	0.01533739222199802	4.430554628174395
AC117834.1	0.9699984749248463	2.7796090021908118	1.7867479786569624	0.0065081063740431875	0.19275635042603903	-2.4062861150001713
NLRP2	4.42332411995267	3.470199683755372	1.7230364068418842	7.703998630045612e-4	0.09676222279337289	-0.6009295858705377
IGLL5	3.8836651395995623	3.9329551363400923	1.717179968556744	1.5532298538462093e-4	0.05572148677237623	0.7786402551859153
ANKRD34B	1.0381151771675008	4.309258892804618	1.5986654014834358	3.853044111931197e-5	0.03763714778812093	1.989400647296753
PTPN20A	2.355222008363596	4.640536478143782	1.5754097516902772	1.0610364702869284e-5	0.03220599366144257	3.114646097393745
AC006538.4	0.624851802893934	2.5960123098926546	1.5683108973118725	0.010857993152058683	0.23267558572446698	-2.830231121218753
CCL3L3	1.6364012478631262	3.402455980114493	1.5604495435550587	9.631620768721529e-4	0.10503657331733922	-0.7919799666643028
CCL4L1	3.52260000764306	3.3175827152528843	1.5535806480324337	0.0012688097920602387	0.11451370971818604	-1.027217508454636
MUC13	3.101846851548256	3.570535990355249	1.5269327190079514	5.504950750445732e-4	0.08346481867324228	-0.31269677242703864
SPINK2	3.7388443397790554	3.2248749656104403	1.4789791369430585	0.0017053365154659503	0.12460378911152405	-1.2788359584716513
ACSM1	4.9439211144152475	4.094969830927342	1.4099884207322129	8.605170436145148e-5	0.05223912132769182	1.290672584700916
NPIPB15	3.851001436696475	2.4344742589902895	1.3661242602118184	0.016694612707474	0.2741589599896452	-3.182518055693117
HIST2H4B	4.943490498545336	2.1254854076721945	1.3492011847503216	0.036021291286412044	0.34097580773547337	-3.800389426844881
CRISP3	4.426941322240353	2.110429844339733	1.3296411298681763	0.03732816304930695	0.3447365646318348	-3.828570550910114
PIGR	5.995180218409564	2.4315219441801164	1.2616600512095522	0.016823391067028508	0.27552841556899565	-3.1887725336107433
HIST1H4K	1.0420978014198905	2.5781503727088344	1.2571436870838122	0.011397619539086485	0.2337500753557099	-2.8701496704632903
UPK1A	5.375353380335504	3.0290572841418197	1.2105544255376142	0.0031251554233230555	0.15048872986294404	-1.7915112883988948
AMPD1	1.535607488119995	3.544519436319261	1.2002222958330622	6.009858075169668e-4	0.0841934886653769	-0.38803077043915035
AC012215.1	2.2062534676418184	2.3273919667071183	1.1969626121642465	0.021969841452935814	0.30357720223131035	-3.4050859688379553
F8A3	3.480000971176355	1.8569948582628317	1.1791588942208362	0.0662692271292382	0.4276252534571849	-4.275379826368874
TNFRSF17	1.6486563644264995	4.167588273214645	1.1642635959888996	6.569899094934617e-5	0.04948865111889718	1.5250749250072104
CAPNS2	3.9556207541659885	2.800650834226073	1.1604115753196087	0.006127890377694837	0.18917056244785552	-2.3561312217379675
BPIFB2	3.7076970858073706	2.8748304504538944	1.1525893801865372	0.004943849872261219	0.17735924778924833	-2.1767904270261718
RP4-583P15.14	3.7012741110324514	1.8601423518114122	1.141537473479227	0.06581836667440547	0.42677778962151885	-4.270153641185354
AL359736.1	0.7994146389415109	2.3951606350158117	1.12163832647561	0.018483572699542237	0.2857579168115987	-3.2652564400306985
FCRL5	1.5087766709974724	3.789370345904309	1.1211253831163122	2.588418266901513e-4	0.06370307226595993	0.33710078393486853
