Name	AveExpr	t	logFC	P.Value	Adj pval	B
GAST	0.8909144017615006	3.149231594380015	1.892923824339122	0.0019118632896672322	0.2317988535842896	-1.3882615379439764
F8A2	1.8103134283754478	3.7342854013039153	1.5840792474392915	2.510997083562861e-4	0.11421828547193864	0.30385624292488966
SPINK2	2.8751502267941196	4.583314648506372	1.4979345807811577	8.439065838368359e-6	0.009040721591080268	3.1805002689419384
F8A3	3.8653603087463617	3.0520722008068466	1.404850547824335	0.002610266731223638	0.2700689513242652	-1.6446410805564007
LGALS9C	5.522642339836492	2.9284275476698047	1.3165489953348146	0.003839403828111398	0.3426285118770921	-1.9607310402106806
GKN1	9.004378434652061	1.7892331294139925	1.2951060061268667	0.07522944983193965	0.8925897606915448	-4.29867578185951
NPIPB15	3.768440810915094	3.3752901893613876	1.2683572443185347	8.999318930501148e-4	0.19180612782199064	-0.7639455600356566
MUC17	1.924440271623364	2.4004103117128555	1.2682575440998507	0.017376949115009945	0.5833861207297778	-3.175543806327911
CEACAM5	6.0718579124076735	2.556549148216339	1.252593327135867	0.011382567051476628	0.5093225309310996	-2.839419797122297
UPK1B	3.5004620090278222	2.753761150121254	1.2404930942146843	0.0064844643692493105	0.4155249953360073	-2.3869010682715865
AREGB	2.109774835290299	3.738426832511737	1.228953245804035	2.472425779099594e-4	0.11421828547193864	0.3168523534657064
GATS	0.8625246169107513	3.2940706357956957	1.1460534328010248	0.0011849822153840684	0.20827923525877343	-0.9925454002548006
ATP10B	4.142169198765017	3.398518766514754	1.1055944546465728	8.310151315014229e-4	0.1868450317889372	-0.6976442901477196
NKX6-2	4.1817684887364726	2.364746613508655	1.0818994019730876	0.01908799982561011	0.6056038653750802	-3.249579999333737
KRT20	5.632413914912371	1.795237908903838	1.0621766756330624	0.07426425383867645	0.892036143142009	-4.289164291041259
CCL4L1	3.7792448402446626	3.4557992142458884	1.0529367911723	6.815990901498709e-4	0.17004496753163628	-0.5324791856882634
SLC6A20	3.481097303403132	3.375562096060974	1.0511113162429941	8.989864414931137e-4	0.19180612782199064	-0.7630863907339265
CCL15	1.9603770906268707	2.745505000801575	1.0499207764570548	0.006642999072636457	0.4171803417615695	-2.406446049948629
UTS2	1.127632932706648	3.636559665297674	1.0163278644232274	3.5876742749837715e-4	0.13334433448164174	0.004253952775605363
CD1E	2.8639782369404707	3.26855097811823	1.0136072982807116	0.001290465823263468	0.21612314864499604	-1.0632747274821073
GSTM1	5.649808965053304	2.0129321144014916	1.01261210902695	0.0455859540474523	0.7744509282763071	-3.9237410958451084
ACSM1	3.2934690024238056	5.819068197619888	1.0089938282093827	2.586337099504981e-8	1.1060280956147712e-4	8.144083251589382
LGALS9B	5.04561043686042	2.065645355009105	0.9634684249077203	0.04026982505696275	0.7453191605054935	-3.8292653248114643
GKN2	7.791577825816489	1.4167468213716818	0.9519019350829456	0.15825533610128625	0.9984648028203629	-4.828299449859533
PDE4C	6.135938920946956	3.599646836491698	0.9478834821104316	4.1006160413066154e-4	0.14090645159297374	-0.10767728315718106
DUOXA2	5.194607969690637	1.9224589950738165	0.9465433554944145	0.05609943931770425	0.8287391569646255	-4.080463891752869
NKX6-3	2.197231901537669	2.0100542561684875	0.903683330368446	0.04589052318034569	0.776005764308687	-3.928815482778176
PPP1R14D	3.2785445486017357	1.9524209857924664	0.89820302730354	0.05241008935117021	0.8092561135139711	-4.029309722665831
FUT6	3.658332070276994	2.1080923638189466	0.8893276257372169	0.03638117030705852	0.727471265279913	-3.7514828570900844
SLC5A5	4.536431566239381	1.8677587529264732	0.8850469604272395	0.06339290441438207	0.8612991813601828	-4.171875591226706
PTPN20A	2.4618448803938295	3.7106435989360858	0.8628064922608851	2.738096647703361e-4	0.11717839980731425	0.23105338397302688
DUOX2	5.592430916159038	1.9163121539454784	0.8609318606591083	0.056882212751123616	0.8287873488239585	-4.0908620491824506
COL17A1	5.368140996594189	2.655801702248808	0.8549048927109073	0.008609572640067238	0.4531720720257357	-2.615571489652906
CCL3L3	1.4852464727465509	2.53667612021115	0.8470751125476148	0.0120240610127085	0.5172419616882413	-2.883227824644241
SOSTDC1	5.727384379962297	2.5255533476012677	0.8263823622870152	0.012399415827785877	0.5227272246658249	-2.9077133015154013
CD1C	3.6875383667343558	3.0161896056383055	0.8077620938706671	0.002922526939916209	0.2877030304311027	-1.737432439702777
PI3	5.9650472344682814	1.6283141369949095	0.804845401810617	0.10517692740081293	0.9488684477787735	-4.542112005039607
GAL3ST2	1.1108917369031004	3.1702974469917526	0.8039610787848334	0.0017844409629348915	0.2317988535842896	-1.3314045408736837
CLC	1.9205675410941425	1.8308477000663543	0.7899127736244889	0.06874569398813678	0.8767044043232403	-4.2321199393138995
C6orf58	3.7885812410509323	1.528303444278518	0.7780662185776643	0.12816144945662508	0.9804933896001016	-4.682214967770041
UGT1A8	1.4371328351149368	1.5386449227858061	0.7778911995797348	0.12561462099852344	0.9804933896001016	-4.668126040174145
PHGR1	7.514009223320093	1.4811288876534814	0.7672770496517831	0.14029023781756983	0.988998724977665	-4.745306234342397
HPGD	7.799675587197082	3.244101597205412	0.7597960566061639	0.0014003490454822735	0.22101048993141392	-1.1309225970942167
HOXB13	0.744426878368122	2.7583204781860613	0.7594222330253505	0.006397677653868729	0.4129866642168812	-2.3760179215331627
AC015688.3	0.47646388319553007	2.630055542153542	0.753143848971807	0.00926179670307529	0.47248134889749915	-2.6742974915652735
DHRS9	4.478874589779271	2.5834189090431914	0.747816491323861	0.010560873654825512	0.4982762461183477	-2.7795264354270803
AL109927.1	2.355188665692938	1.201557475107307	0.7463206736761294	0.23108616410670224	0.9984648028203629	-5.0794946481676595
SYTL5	3.6290903346847214	2.267001245973146	0.7450210557880004	0.024556680481716955	0.6615773149896882	-3.4470914029622244
BTNL8	4.434853136430258	2.205331868709495	0.7441509520149046	0.028673704498054092	0.6843549879426719	-3.5677002275639973
POLR2J2	5.430580892464923	3.101363219715585	0.7430821043341274	0.0022306286125531407	0.25549816535734465	-1.5153832565564604
LRRC19	1.8214302803041187	2.5267657320740793	0.7423137741295736	0.012355993382825552	0.5226135234807268	-2.904961512979455
CDHR2	4.488824148500519	1.9437612134927242	0.7408151957143687	0.053454603865479	0.8126170664424904	-4.044171248246496
AL807752.1	2.7606785983761166	2.360519461039356	0.7407642515369424	0.019298080227695493	0.6063981371822375	-3.2582289233344723
PLA2G10	4.576089856145412	1.6520333985424827	0.7394439885331865	0.10024081842983755	0.9421783518013367	-4.507621992044778
UGT1A10	4.57698637457111	1.3626357537108504	0.7366494400019135	0.17467019487044888	0.9984648028203629	-4.89526769434293
CCL4L2	3.359375203145644	2.5955552325047315	0.7351457741283003	0.01020731153658584	0.48783387922842064	-2.75227435881819
ADH7	4.139587450257684	1.792270160465394	0.7329127021177166	0.07473779269404453	0.892036143142009	-4.293861104177569
AL117190.2	0.7558914524798688	2.20400147297685	0.7237402816092425	0.0287683873378314	0.6843549879426719	-3.570261889736423
NOX1	1.3091251306811225	2.639770170601479	0.7195342007895407	0.009009624360176475	0.4611777568639617	-2.652135559527601
AKR1B15	3.530252073687971	1.7322934703772757	0.7088387654849884	0.08490214672299805	0.9149320939749858	-4.387335432910307
GCOM1	5.497395307153225	3.0752669209537915	0.7059764610401889	0.0024247077389622645	0.2660167309757877	-1.584033137894746
PPAN-P2RY11	1.1508007739024186	2.304238381371642	0.7025604944721664	0.022328904345018736	0.6303303415822009	-3.372746733535041
FAM183A	1.4303991991294804	2.4822503557195432	0.7024987987958831	0.013953420206886256	0.542384927778276	-3.0017440168245906
GSTT2	4.4856707815886345	3.2604786097002436	0.7020102163438802	0.0013256227650318723	0.21612314864499604	-1.0855540048578156
CYP1A1	2.26381414472034	2.5373147583150177	0.699615929178337	0.012001805695391788	0.5172419616882413	-2.8817729539617916
PSAPL1	4.197779559023388	1.6173112862171615	0.6994109304303433	0.10752986105466168	0.949725426540979	-4.557944060935518
