Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	1.8564442061940651	5.845280857086578	2.140889522847644	1.2936785374377998e-8	7.490027876114177e-6	9.35274007670538
F8A3	4.114243887887191	5.140131909683339	1.5851015715496484	4.901025160298505e-7	1.6841032116859692e-4	5.977658861349686
LRRTM1	3.2446126778106055	7.275924285710417	1.5670537462027756	2.8997352142608845e-12	8.801662953686538e-9	17.209734794627373
NPIPB15	4.043443485522783	4.829744489468984	1.5032260565434834	2.1627243737463617e-6	5.304830841465238e-4	4.606362982865185
GSTM1	5.044842402285781	3.537063401241074	1.387589396840804	4.671971491447602e-4	0.0229342169278285	-0.2942598177815414
CCL3L3	1.7216932341171758	4.099466526434195	1.14294323654255	5.309110504981356e-5	0.005462684774955958	1.6722153308050327
CCL4L1	3.580441516649348	4.078294032974353	1.0708690593245138	5.7888946402003646e-5	0.005761057332640931	1.5934664691071
SHISA6	2.1818824497479214	6.090292781883696	1.0662736955963066	3.36988640702725e-9	2.7896532383991034e-6	10.606547192881223
PHEX	3.2320715684491756	4.570351860614844	1.0289745675975013	7.069314106262774e-6	0.0011811591605803452	3.5164357980435037
KCNAB1	6.115550347600827	5.898182298930092	0.9881764197232794	9.710679349500877e-9	6.098306631486551e-6	9.619931026348944
ESPNL	3.411737722334811	4.526508028750808	0.9767658244654855	8.592116936291796e-6	0.0013039969470312184	3.3373301949744727
MYOC	5.625340373172156	4.154288379672482	0.9609524226510615	4.236499208521599e-5	0.004565391928141737	1.8778065615222372
C10orf82	4.4145602785913765	5.96830867561528	0.8816594681904615	6.617693550130838e-9	4.635439805191646e-6	9.977271920301025
PAX1	3.001909115912663	4.762790618856429	0.86817841474282	2.950119302373692e-6	6.473201534316829e-4	4.320242446808028
NPIPA8	3.2402201875751437	2.9872678632010703	0.8564905185776923	0.0030421892946878434	0.07242398880373203	-1.9579628328131244
ARHGAP40	2.223360527283346	3.82560281445036	0.8189238816776598	1.5808621068695529e-4	0.011202591708291167	0.6819247411667932
IGSF1	4.736378445579855	3.76634620157533	0.8159937808392952	1.9859903269740646e-4	0.012871478944787068	0.47573716394033116
PTPN20A	2.4164813224166193	4.734818760257922	0.810279018691842	3.3555276157220314e-6	7.024237808911452e-4	4.201663913710029
POLR2J2	4.763987950024283	4.5303216601099265	0.8052608523055991	8.448875440571748e-6	0.0013039908434211243	3.35276949131807
MT1H	8.111769119879613	2.77379183991409	0.8030692833779955	0.005880529597112069	0.10458613771738769	-2.5329241252091506
ACSM1	2.8831522878478317	8.130745169563065	0.7923171138236635	1.0668086886376603e-14	1.8160048262753331e-10	22.47003116414299
MROH2A	3.4421736213816865	2.6317681772631576	0.7897890472508182	0.008924167320986894	0.13354735870477188	-2.8930277607470307
PKNOX2	5.850522803018743	4.326770506015124	0.7888931204397354	2.050437449913203e-5	0.0026297582280154406	2.5404102146820007
PNMA6A	1.0826204455847528	3.0736075284479556	0.7710936938221938	0.0023050487060528126	0.061553588027322324	-1.7140285886586941
LRRN1	4.056091784085001	5.2748282372416	0.7632969143122255	2.5158491571250963e-7	9.545551010325471e-5	6.595189806632113
BMP8A	6.020057164871076	3.2598862522887604	0.7510098895679134	0.0012400108152509682	0.04244939279577187	-1.1656081169181398
UPK3A	4.083308861226048	3.920876525326718	0.7335712964891692	1.0889767776149741e-4	0.008548467704277547	1.0194707134969274
SPINK2	2.9486208947656065	4.725418655050057	0.7307885099689044	3.503470332503528e-6	7.089466855061584e-4	4.161942812895444
GSTT2	5.410391583513137	5.389323107921864	0.730348249689607	1.4132507139687615e-7	5.7212889364473045e-5	7.129982930869388
SCUBE1	3.3694113917839825	4.779560077667211	0.7101792874710484	2.7300667938426445e-6	6.149369917363552e-4	4.391649692186681
CIB4	3.0464106580979786	2.8986688605408757	0.7074983500195802	0.004017936519708803	0.08493024745298587	-2.201466207987806
C2orf72	1.1299804235084934	4.74326975965867	0.681987730653006	3.2276763079802816e-6	6.915581284816104e-4	4.237432256945385
CSMD1	1.4825211168263734	3.6297240693225614	0.6783498394901175	3.3234740121323015e-4	0.018681206391652307	0.011643592606673359
MT1G	10.472335971576442	2.4684821811860327	0.6720689283230961	0.014114308033160383	0.1693345045453998	-3.2847001864945287
ANKRD45	2.4745377679864595	5.221786391759942	0.6552525800437468	3.276108861886798e-7	1.1932898918536474e-4	6.350551682481336
PM20D1	2.20715195285066	4.37979733332289	0.6533033618144388	1.6323983908036286e-5	0.0022021658883937542	2.749023768701872
ACSM5	4.894781971254048	5.836349830858412	0.645479693198209	1.357187128880781e-8	7.490027876114177e-6	9.308095733954001
ETNPPL	3.112564468096222	3.470112965436934	0.6433855532710031	5.948596390308485e-4	0.026882341801562813	-0.5107016653356649
CNTNAP2	1.949228273410841	4.271084884951151	0.6390218230119138	2.598067160435383e-5	0.0032187754507380403	2.324009792274544
LRRC36	2.0712427572378607	5.417505357425198	0.632379341166434	1.2238955674318827e-7	5.3070443033498686e-5	7.26344529383189
DAPL1	6.794698682422357	5.056213381945342	0.6312618031417498	7.373748488901752e-7	2.3559773242083984e-4	5.5998207589956595
GRIA3	2.0379968015257	3.0597476266670673	0.6182015747211478	0.002410990784975182	0.06304922933478309	-1.7536072558411204
CCL4L2	3.6656380964526796	2.6541201259667306	0.6109913152395943	0.008366599971541279	0.12912925312009302	-2.837547481958098
DIRAS3	4.599924312998447	3.9604659635312114	0.6081331676085382	9.307081247566486e-5	0.008052879737362845	1.1619314887570358
CTB-134H23.2	1.8164273918158562	4.58705749179871	0.6060259019394982	6.559684872758582e-6	0.0011270281217233896	3.5851535218223125
AL590822.2	1.7026833818165408	2.0000745836257092	0.6012774381091435	0.04637449684079425	0.3016126457675458	-4.273928696566529
CTD-3105H18.16	0.43688458952687764	3.8399971633783743	0.6005031648731793	1.494940592820851e-4	0.010761208725870884	0.732474584022806
DPYSL4	2.7437521462692556	3.3997896584756178	0.5998901314580358	7.636447081985397e-4	0.031752277227652524	-0.733965754003508
C15orf26	1.84669619044658	4.8640004861300525	0.5948337704780509	1.8419903919597486e-6	4.659212363662631e-4	4.754365268854353
SCIN	3.3229935321302886	4.311807771981436	0.5859145049703045	2.1853630799899872e-5	0.0027638772508873366	2.4821154986045064
PIGY	2.8534390890581696	1.1310771542417462	0.5837206198297324	0.2589070714724525	0.6241185421120192	-5.570333371359912
DUOX2	7.634121705656504	4.609096756241355	0.5797081467618392	5.943101427564238e-6	0.0010435592222880422	3.675870765377291
PRSS46	2.572132460977555	5.163890124132577	0.5767003992982906	4.3603098552147916e-7	1.5271146746763804e-4	6.085835193230014
AGR2	4.640991215471261	2.6125026683331534	0.5754873972218446	0.00943124369342429	0.13703715620251428	-2.940486787197359
BHLHA15	2.704717250354522	3.108504875599669	0.5739255589730501	0.0020567464377320875	0.05798369369036653	-1.6135540906182477
CPXM1	6.323205469037748	2.819413841573815	0.5723094426925801	0.005124498497102285	0.0970138946249759	-2.4134363581189606
PCSK1N	3.113604865264384	2.3160909395785745	0.5681157563449348	0.021212864678388135	0.20473168602162414	-3.628505757551871
TMEM61	2.548783312710882	3.9823279353783767	0.5667418203463777	8.528809951804878e-5	0.0076515609281906614	1.2411967806135564
CDH4	1.7725627272778652	3.538045116639607	0.5657021477137141	4.654960873872102e-4	0.022930697080437653	-0.291001149342212
C2CD4C	3.4777868137383865	3.450331387316256	0.5635368105855281	6.384138188549146e-4	0.028497040365161045	-0.5739203224230787
ZNF536	3.696157640576469	3.402262938484727	0.5633753054867037	7.570328666822982e-4	0.03162174900921563	-0.7261986519033021
DPP10	1.516657152076705	3.062997668404674	0.562311744112983	0.0023857315129664925	0.06278748889327422	-1.744335292880752
DUOXA2	6.520748201829419	3.8025787265321807	0.5580645531525512	1.728042250664211e-4	0.011831242657555117	0.6014399434399227
PKHD1L1	7.858120635058139	2.2790267505338506	0.557327029998147	0.023353065416439844	0.21439658981733853	-3.7089388603971067
KHDC1L	1.5077777047941536	4.073448181060447	0.5572920584666279	5.903607078085217e-5	0.005780456564843439	1.5755953132058753
CTAGE6	0.42796929487564805	6.396931709540702	0.5552758314266429	5.915918593228481e-10	5.904720835450036e-7	12.230925933087025
C1QL3	2.3156782832327045	4.52362924755772	0.5535909875163414	8.70162485178855e-6	0.001309702411576637	3.3256983172374435
FER1L6	2.816395032295926	3.2075081782113837	0.5528168554895485	0.0014804293345416068	0.047321916650446126	-1.3228191983398156
PAX9	3.0081485771117458	3.463314294397953	0.5515371389026407	6.09494170617318e-4	0.027475514443768802	-0.5324537036389314
CYP4F11	3.453364342636382	2.0916306747483064	0.5501385274543846	0.03729459405760061	0.27366200417326925	-4.096368427076511
GSTM3	7.470427349067455	5.678029428765039	0.5496042560161261	3.163235086888581e-8	1.6002454834004122e-5	8.520578692315443
LUZP6	2.9563821685779743	1.1479101985701528	0.5487931871076177	0.25190101655494473	0.615540227223756	-5.551972734984682
AL358333.1	3.4676794990811497	1.7185112815104704	0.5456318896449495	0.08671344987990974	0.39478786692749357	-4.771374090926879
SCGN	2.365813928558106	2.6658503724654268	0.5422019236346713	0.008086582722265838	0.12587422610077387	-2.808244456998474
CST1	0.7036813006077932	2.3989249913226547	0.5415543350990104	0.017040467880926516	0.18472678633775816	-3.4442365619707145
LHX8	1.81300324006082	3.9965015516315816	0.5397618480028858	8.057997477684228e-5	0.007329454382924339	1.2927668764277183
UTS2R	3.7054093343648664	2.627954964229791	0.5378230793442431	0.009022423052098992	0.13409545055010583	-2.90244006246508
NBPF16	4.86347901823975	7.004866794301854	0.5313104985455475	1.5716738904601502e-11	3.180369432562251e-8	15.625747130702543
OR2W3	4.778313508925047	4.360729901727074	0.5308439027836274	1.7723259969767484e-5	0.002338956598329025	2.6737519286947142
CETP	4.474599343796807	3.8785304410806076	0.5298257777650459	1.2863419610924291e-4	0.0096406830433807909	0.8685278305318533
KIF1A	3.633619753109753	2.910857376994748	0.5284502351052214	0.0038685671999801707	0.08298272986325628	-2.168373645626409
GRK1	4.099224495042398	4.527881772728306	0.5240802228446264	8.539162996447142e-6	0.0013039969470312184	3.342995296782994
BBOX1	5.627173761486724	3.400326576474043	0.5239199081939052	7.622491151891911e-4	0.031752277227652524	-0.7323213104454389
CHRNA9	1.135444516975156	3.0271164946550617	0.5236064273078631	0.0026784936277038946	0.06645875469719799	-1.8461654310287345
PMCH	0.941549194567804	2.6524552516827598	0.523507512369922	0.008406924030967855	0.12953206468019168	-2.8416885598143207
ZCCHC16	0.8532817086822745	2.7230580271522435	0.521972349638807	0.0068386878286274795	0.11447259442551806	-2.6636178193422593
VCX	0.5191425281424998	4.752842395312714	0.5217854388858196	3.0885262622978358e-6	6.696219082020021e-4	4.278013887542138
UPK3BL	7.731900333467459	4.165107258388119	0.5214842031997273	4.050801956428297e-5	0.004466229792634421	1.9186660794565347
AC136297.1	5.161978449425657	1.918047654509085	0.5212975472227139	0.05603416768402782	0.3275495982899871	-4.426437890676396
SELENBP1	8.8802439227732215	6.856719932138184	0.517036158065876	3.887661764598721e-11	5.9001746714059925e-8	14.777542047927486
GSDMC	2.433359771223139	2.7464878007462747	0.5168991534262108	0.006379789057417014	0.10961199840913081	-2.603533672119251
PGA5	3.4921179171448875	2.067893646963321	0.5167120610303853	0.03948900550645202	0.27994071873526893	-4.143144439351996
NLRP2	4.911632368563705	2.1880765995696088	0.5165534425280756	0.029418981652826415	0.24234362835526674	-3.9009890039526374
NUGGC	3.8902252206897225	3.1268919860805937	0.5160041341846129	0.0019361433623646968	0.05617132566738822	-1.5602125970480936
SLC22A16	0.7280829231807876	4.19884071876679	0.5132463513673339	3.51983559230984e-5	0.003932714466696123	2.0467870154723196
CKS1B	0.6620116996169397	2.457809211695635	0.508675109257327	0.014532025119991581	0.17039500582891168	-3.3094590814113602
CTD-2207O23.12	2.370359296668742	1.114402553069546	0.5083975102519371	0.26597982852222213	0.630076045401497	-5.588256072838928
UTS2	0.7989876079872552	2.497965512769135	0.5079985182460236	0.013014665299789528	0.1626788499929766	-3.2157493814599487
LRRIQ3	3.3474983972718175	4.643059575038817	0.5052637045198671	5.098086105103542e-6	9.284634414614572e-4	3.816830084723617
GCNT3	3.2991199113312053	2.983751542844106	0.5035396135477481	0.003076233646124383	0.07266454884982784	-1.9677339868050057
ZSCAN31	5.832027977991777	3.7617932292235716	0.5026965019157004	2.020863177841107e-4	0.013051049714483065	0.4600186047532837
IGFALS	3.17222990717386	3.683235374133109	0.4997365290054039	2.721295966937566e-4	0.015987174887053857	0.1915977234569448
DOK7	2.8088445834214766	3.086633002021504	0.49738453740127264	0.0022092418967696397	0.05997565071982573	-1.6766307831287852
PDE8B	7.966251253618539	4.728498080894715	0.49650316335979383	3.4550940654463526e-6	7.089466855061584e-4	4.174762076352274
PRSS45	3.7180403369796577	4.690649899572451	0.4963435695099161	4.107225249958565e-6	7.873766973920567e-4	4.015613120523912
NMNAT2	4.962395550586587	3.1176867234451566	0.4946748192826629	0.00199575819718984	0.05722898664507082	-1.5869796227660844
KIT	6.426593408849275	3.215098326051707	0.4942355712665796	0.0014431673966857532	0.04701782581116447	-1.3002158120224987
FTCDNL1	4.611031931312191	4.391651133831732	0.4930301591237196	1.5508850659421712e-5	0.0021236630692435202	2.7959247586076232
HSD11B2	5.882784138986984	3.5669796677614207	0.49020624704510407	4.188810188773865e-4	0.02154989015761289	-0.1963015951538889
CCL13	3.1329352125744028	2.311884500866322	0.4885196049581828	0.021446738112824323	0.20564658036200034	-3.63769588081567
ADRA1B	3.058223501212974	4.313476024640397	0.486033617883634	2.1698704579562108e-5	0.0027634741804404553	2.488620639326691
ODAM	4.960762564923922	2.236229757979641	0.48543454841141376	0.026056270320041926	0.22626829676694155	-3.800250475350444
CRYBA4	0.6723125543740075	3.278853586404035	0.4837717401455296	0.0011621872809778413	0.04081285024293795	-1.1080402450330578
CD300LG	3.4533509355689556	2.616165431685541	0.4832505421666533	0.00933273827869227	0.13614391415448684	-2.931480141264918
GALNTL6	1.2104702969800385	3.931547788532551	0.48262162895714145	1.0439131050841238e-4	0.008355760682264006	1.057786638558678
TMEM105	2.2594358705737103	2.9477381080077594	0.48241302000294106	0.0034469209510223416	0.07817599546702228	-2.0674381106070854
HMGA2	1.8350894328744545	2.532710447663565	0.48171059714383135	0.01181714893336879	0.15405434242985855	-3.1334917301939633
SMOC1	4.748387060978076	2.720284681547255	0.48028206584553335	0.006895030435469831	0.11509834490446981	-2.6707055754423226
TRPV6	3.6676743230271742	3.0280601440515214	0.4770321317070816	0.0026703815347599714	0.06634786972857926	-1.8434998775019453
ITM2C	7.545533134402925	5.874568456008452	0.47640978299572634	1.1037021542045063e-8	6.7002078774574905e-6	9.50065259677772
AL807752.1	2.8986726986472675	2.5913777115462	0.4763827205169666	0.010016586311620104	0.1406544110325357	-2.9921312135173848
S100A5	4.73920323794073	3.9457926032768165	0.47333632183078667	9.86622140167655e-5	0.008204731697138508	1.1089912453260045
EPHB6	6.640327538092597	4.226894916100521	0.4719616989764459	3.130338218580859e-5	0.003701929846545104	2.1538245895613697
GPR133	5.970725249132994	4.17152308483634	0.46921841210667914	3.944373346429995e-5	0.004380178499096529	1.9429412276721907
VIT	4.426547937885048	2.823058936789797	0.4674684033224068	0.005067988913666665	0.09637912442169252	-2.403799203515439
GSTT2B	4.508389088856769	3.326274501433112	0.4660899330598074	9.871961146304406e-4	0.03722322078602399	-0.9628764353578187
PTGER1	1.221171210661163	3.532800297779197	0.46591428384576705	4.7445677979337115e-4	0.023156836910900588	-0.3081015440051127
NALCN	3.52683466190366	3.1201293059658646	0.46497501691969667	0.0019796963688016134	0.05686787108614351	-1.5798572907487731
CACNA2D2	4.368237194491132	4.219991239991616	0.46260579049040285	3.2218218285326537e-5	0.0037807560962128148	2.1275146977555783
BTBD16	1.5396292515450762	3.5390309458358624	0.4624976305857602	4.638296277737959e-4	0.022930697080437653	-0.2877843160563529
HSD17B6	6.65191062313932	2.5047330347446466	0.46211058265885985	0.012773446127161935	0.16057582501354006	-3.199819267125207
ENKUR	2.764344724424365	3.6794644390758453	0.46139928146585296	2.7601091273435265e-4	0.016163057050540292	0.17883928824721806
ZACN	5.320614168341952	2.020876278158062	0.46124052872474497	0.044161966959587705	0.29440234376900887	-4.234264953468174
