Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.7027332089061153	5.214147844300243	2.270807681654756	9.25404736524023e-7	0.005617823687191836	5.1267228183247715
IHH	2.889438744991819	4.490380904683561	2.0327610751988425	1.823116712852341e-5	0.04150325196808355	2.5697386131170292
GSTM1	4.738995806068979	3.058854162323802	1.6487507396182348	0.002816616062805765	0.2067720512838691	-1.6925980900100175
SCGB1D2	5.743504938450084	3.4990447305868053	1.4821026060613613	6.851057052544487e-4	0.14010027102371925	-0.5118308761519454
UPK1B	3.9188671418799785	3.577810736106627	1.4585398096420379	5.248636096563419e-4	0.13463121209945492	-0.28752280947057063
MMP7	7.683579649316218	3.227403948500523	1.4369209253589155	0.0016646209064303075	0.1796959359520882	-1.2554315515254784
PGR	4.0695786426946174	3.7410171746789107	1.4340335718892265	2.984383773459134e-4	0.10255018355139198	0.18922430515120592
F8A3	4.474216991384518	4.347984284790106	1.4332924289318192	3.177412240969181e-5	0.04822252644377561	2.09473792482828
C1orf64	1.308060766991731	4.123408814509764	1.3551287787448287	7.460654478146316e-5	0.0738523109322787	1.3664632722820969
MS4A8	2.7607054815926775	3.1266657020039434	1.3537804956844677	0.0022847974078773464	0.1874357224876677	-1.5190030327022495
GP2	1.2021733553512466	3.3430912181545476	1.3283543118517342	0.0011473730740706918	0.16131211085813074	-0.9445214600693284
C20orf85	3.3420931726614036	2.5494362671493325	1.304856423999849	0.012227329739920917	0.307927086421546	-2.8939458008799552
TUBA3E	1.2526984018635423	4.288739408152973	1.2974275674208204	3.990704639159753e-5	0.05317737385100286	1.9000879782596183
NPIPB15	4.224154456008807	4.097424163403871	1.295698590353981	8.220020675687533e-5	0.0738523109322787	1.2839054368328418
PIGR	5.620093124381986	2.4301924383557996	1.2871403343512124	0.016778357777976285	0.34684160255675833	-3.147878772704166
TEKT1	2.6397555995790993	2.979168382897687	1.2637750745536986	0.0035871745491427697	0.2146717500651368	-1.8925915553190293
SLC47A1	4.738872239622063	3.952461628530687	1.2502685457215428	1.4015146646845174e-4	0.08233672604269171	0.8300636502742709
EDN3	2.524654155708607	2.596726183268719	1.233916742776501	0.01075399417298884	0.2936307974189996	-2.7903014796043655
TMEM190	2.9727663650501217	2.9232529027235947	1.232059717290796	0.004239322566408113	0.2259254382680516	-2.0303136336351217
SCGB2A1	7.549024149334735	2.804091685131209	1.216305666467428	0.006007428525224767	0.24300433546193215	-2.316508711990159
SCGB2A2	3.2978508206595163	2.249659811325418	1.2037860309399933	0.026546778722243116	0.3924827243725641	-3.511767754549197
