Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2	AC008443.1	PDZD3	RPRML		RPRML		COX7A1	COX7A1
NPIPB15	NPIPB15	NPIPB15	KLK3	FKSG63	HLA-DRB5		HLA-DRB5		APOBEC3H	APOBEC3H
CRYBB2	CRYBB2	CRYBB2		AREGB	TENM3		TENM3		AC006132.1	AC006132.1
F8A3	CTB-134H23.2	F8A3		AP001362.1	XKR9		XKR9		BHLHE22	BHLHE22
CTB-134H23.2	F8A3	CTB-134H23.2		LEFTY2	GABRB3		GABRB3		TGFB3	TGFB3
CAPN8	CAPN8	CAPN8		CLDN2	IBSP		IBSP		C10orf10	C10orf10
CYP3A5	CYP3A5	CYP3A5		TBC1D3C	ORM2		ORM2		EIF5AL1	EIF5AL1
SPACA4	COL17A1	SPACA4		OSBPL7	CCL8		CCL8		GBP4	GBP4
SLC6A7	SLC6A7	SLC6A7		UGT1A6	SLN		SLN		RARRES3	RARRES3
AC008443.1	SPACA4	COL17A1		C12orf56	ALOX15B		ALOX15B		CLEC5A	CLEC5A
COL17A1	PDZD3	ANKDD1B		EXOC3L4	UBD		UBD		TM4SF19	TM4SF19
KLK3	AC114494.1	TBC1D3H		PSORS1C2	IDO1		IDO1		CCL4	CCL4
ANKDD1B	ANO9	AC114494.1		AC174470.1	CTSW		CTSW		SLAMF9	SLAMF9
TBC1D3H	ABCC3	CCL3L3		RP11-6L6.2	FAM21B		FAM21B		IFNG	IFNG
AC114494.1	CCDC64B	FGF20		MROH7	CRABP1		CRABP1		SLC6A12	SLC6A12
CCL3L3	EPS8L3	ABCC3		EXPH5	SPATC1L		SPATC1L		GFPT2	GFPT2
FGF20	TBC1D3H	CCDC64B		ADH4	CXCL9		CXCL9		MMP13	MMP13
ABCC3	FGF20	LRRC36		AP001468.1	TM4SF5		TM4SF5		CREB3L3	CREB3L3
CCDC64B	ATP10B	EPS8L3		SERPINC1	CXCL10		CXCL10		BCL2A1	BCL2A1
LRRC36	ANKDD1B	ANO9		TUBB8	MARCO		MARCO		IFI30	IFI30
EPS8L3	FKSG63	SPINK7		CTD-2535L24.2	ARSE		ARSE		HOPX	HOPX
ANO9	AREGB	SYTL5		MT-CO1					CD300C	CD300C
SPINK7	CCL3L3	POLR2J2		MT-ND6					MSI1	MSI1
SYTL5	LRRC36	ATP10B		FAM194B					RNASE2	RNASE2
POLR2J2	SYTL5	WDR72		ARHGAP40					FCGR3A	FCGR3A
ATP10B	AP001362.1	SPDYE2		MT-ND5					FMO1	FMO1
WDR72	POLR2J2	TMC4		FAM183A					GZMB	GZMB
SPDYE2	TMC4	EVX1		NXNL2					LILRA2	LILRA2
TMC4	EVX1			ACSM1					AKR7A3	AKR7A3
EVX1	LEFTY2			IL33					PI15	PI15
	CLDN2			BLOC1S5-TXNDC5					S100A8	S100A8
	SPDYE2			ANKRD18A					C3	C3
	TBC1D3C			SELENBP1					GZMH	GZMH
	SPINK7			ARHGDIG					MPV17L	MPV17L
	WDR72			RIPPLY2					TWIST2	TWIST2
	OSBPL7			FAM154B					SIRPB1	SIRPB1
	UGT1A6			ZDHHC11B					CCL2	CCL2
	C12orf56			GOLGA6L10					FCGR1A	FCGR1A
	EXOC3L4			UPK3BL					CD70	CD70
	PSORS1C2			TBC1D29					KLRD1	KLRD1
	AC174470.1			PAX7					CXCR3	CXCR3
	RP11-6L6.2			C9orf173					SIGLEC5	SIGLEC5
	MROH7			NTN5					PNMA6C	PNMA6C
	EXPH5			MST1R					FMO2	FMO2
	ADH4			CALML6					FCN1	FCN1
	AP001468.1			ESRP2					ZNF683	ZNF683
	SERPINC1			PLEKHH1					F8A1	F8A1
	TUBB8			HPR					AQP9	AQP9
	CTD-2535L24.2			PNMA6A					LRRN1	LRRN1
	MT-CO1			FSIP2					C6orf52	C6orf52
	MT-ND6			RP11-347C12.1					CXCL11	CXCL11
	FAM194B			GRIK3					DACT2	DACT2
	ARHGAP40			MAMDC4					RIBC2	RIBC2
	MT-ND5			MLXIPL					HSD11B1	HSD11B1
	FAM183A			NPY4R					ASB12	ASB12
	NXNL2			HSF4					SIGLEC14	SIGLEC14
	ACSM1			GPR17					EGFL6	EGFL6
	IL33			MT-ND4L					CCL3	CCL3
	BLOC1S5-TXNDC5			KLK14					ECEL1	ECEL1
