Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2	F8A3	AL359736.1	F8A1		F8A1	AGAP7	C6orf52	C6orf52
CCL3L3	CCL3L3	CCL3L3		TUBB8	AGAP7		NPIPA3		FAM27A	FAM27A
SPINK2	NPIPB15	SPINK2		CTB-134H23.2	NPIPA3		ASB12		KRT7	KRT7
NPIPB15	SPINK2	NPIPB15		MAP1LC3B2	ASB12		CCDC144A		FAM27E2	FAM27E2
F8A3	LEFTY2	CD1E		C10orf107	CCDC144A		SLC44A5		SMN2	SMN2
CD1E	CD1E	LEFTY2		ESPNL	SLC44A5		RGPD1		ZNF321P	F8A1
LEFTY2	CCL4L1	CCL4L1		AC007952.5	RGPD1		SPATC1L		MARCO	NPIPA3
CCL4L1	ACSM1	ACSM1		FTCDNL1	SPATC1L		FAM21B			ZNF321P
ACSM1	AL359736.1	KLRC1		COL4A3	FAM21B					ASB12
KLRC1	PM20D1	PM20D1		PRSS45						CCDC144A
PM20D1	CD1C	CD1C		PLK5						SLC44A5
CD1C	TUBB8	CRYBB2		C1orf110						SPATC1L
CRYBB2	KLRC1			PLA2G4C						RGPD1
	CTB-134H23.2									MARCO
	MAP1LC3B2									FAM21B
	CRYBB2									
	C10orf107									
	ESPNL									
	AC007952.5									
	FTCDNL1									
	COL4A3									
	PRSS45									
	PLK5									
	C1orf110									
	PLA2G4C									
