Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		BPIFB1	BX088651.1		BX088651.1		CFHR3	CFHR3
F8A3	F8A3	F8A3		BPIFB2	SLC44A5		SLC44A5		LRRC37A2	LRRC37A2
NPIPB15	NPIPB15	NPIPB15		MUC5B	CCDC144A		CCDC144A		OVCH1-AS1	OVCH1-AS1
GSTM1	GSTM1	GSTM1		SCGB3A1	AGAP7		AGAP7		ANKRD65	ANKRD65
PIGR	PIGR	PIGR		DMBT1	NPIPA2		NPIPA2		HLA-DRB5	HLA-DRB5
SPINK2	BPIFB1	SPINK2		AGR3	NPIPA3		NPIPA3		FTCD	FTCD
FOLR1	BPIFB2	FOLR1		ZG16B	PRSS21		PRSS21		AL162389.1	AL162389.1
PTPN20A	MUC5B	PTPN20A		ERN2	MARCO		MARCO		AMH	AMH
HTR2B	SPINK2	HTR2B		MMP7	RGPD1		RGPD1		F8A1	F8A1
MAP1LC3B2	SCGB3A1	MAP1LC3B2		AREGB	FAM21B		FAM21B		WFDC3	WFDC3
GJB1	DMBT1	GJB1		SPDEF	SPATC1L		SPATC1L		GTF2A1L	GTF2A1L
TSPAN8	AGR3	TSPAN8		AZGP1					OXCT2	OXCT2
CCL4L1	FOLR1	CCL4L1		C6orf58					C6orf52	C6orf52
TUBB8	ZG16B	TUBB8		FCGBP					RGPD2	RGPD2
POLR2J2	ERN2	POLR2J2		GRIA2					TDGF1	TDGF1
KIAA1324	PTPN20A	KIAA1324		REG4					XKR9	XKR9
C4BPA	HTR2B	C4BPA		ESPNL					STON1-GTF2A1L	BX088651.1
ACSM1	MAP1LC3B2	ACSM1		PLEKHS1					PTPN20B	STON1-GTF2A1L
GSTT2	MMP7	GSTT2		GSTM3						SLC44A5
	GJB1			NCMAP						PTPN20B
	TSPAN8			PRR4						NPIPA2
	AREGB			CLDN3						NPIPA3
	POLR2J2			LCN1						AGAP7
	SPDEF			GAL3ST2						CCDC144A
	TUBB8			CCL4L2						PRSS21
	CCL4L1			NEU4						MARCO
	AZGP1			C1QL3						RGPD1
	KIAA1324			CAPN9						SPATC1L
	ACSM1			CCL3L3						FAM21B
	C6orf58			STATH						
	C4BPA			BTBD16						
	FCGBP			C10orf107						
	GRIA2			PLD4						
	REG4			ENTPD8						
	GSTT2			MS4A8						
	ESPNL			FTCDNL1						
	PLEKHS1			LAIR2						
	GSTM3			KANK4						
	NCMAP			DOK7						
	PRR4			CCL15						
	CLDN3			SLC22A16						
	LCN1			PGBD5						
	GAL3ST2			LRRIQ3						
	CCL4L2			LRRC31						
	NEU4			RP11-683L23.1						
	C1QL3			VTCN1						
	CAPN9			CTB-134H23.2						
	CCL3L3			LRRC36						
	STATH			GLYATL2						
	BTBD16			CHRM1						
	C10orf107			MIA						
	PLD4			PNMA6A						
	ENTPD8			RP11-712L6.5						
	MS4A8			CCL3L1						
	FTCDNL1			SCAMP5						
	LAIR2			C11orf21						
	KANK4			PLK5						
	DOK7			TMEM211						
	CCL15			EFCAB1						
	SLC22A16			TMEM88B						
	PGBD5			CPNE6						
	LRRIQ3			RIPPLY2						
	LRRC31			LTK						
	RP11-683L23.1			C17orf97						
	VTCN1			CHST9						
	CTB-134H23.2			ENPP5						
	LRRC36			UGT3A2						
	GLYATL2			PRSS45						
	CHRM1									
	MIA									
	PNMA6A									
	RP11-712L6.5									
	CCL3L1									
	SCAMP5									
	C11orf21									
	PLK5									
	TMEM211									
	EFCAB1									
	TMEM88B									
	CPNE6									
	RIPPLY2									
	LTK									
	C17orf97									
	CHST9									
	ENPP5									
	UGT3A2									
	PRSS45									
