Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		CD1E	NPIPA2		NPIPA2		MRC1	MRC1
F8A3	NPIPB15	F8A3		IGLL5	SMN2		SMN2		ASB12	ASB12
NPIPB15	F8A3	NPIPB15		ESPNL	PRSS21		PRSS21		LRRC37A2	LRRC37A2
GSTM1	GSTM1	GSTM1		PNMA6A	GSTT1		GSTT1		FTCD	FTCD
CCL3L3	CCL3L3	CCL3L3		CCL4L2	AGAP7		AGAP7		HLA-DRB5	HLA-DRB5
SPINK2	SPINK2	SPINK2		MAP1LC3B2	SLC44A5		SLC44A5		MARCO	MARCO
CCL4L1	CCL4L1	CCL4L1		C10orf107	CCDC144A		CCDC144A		ANKRD65	ANKRD65
ACSM1	ACSM1	ACSM1		CTB-134H23.2	NPIPA3		NPIPA3		PTPN20B	PTPN20B
PTPN20A	PTPN20A	PTPN20A		TUBB8	FAM21B		FAM21B		RGPD2	RGPD2
GSTT2	GSTT2	GSTT2		C1QL3	RGPD1		RGPD1		PNMA6C	PNMA6C
GSTM3	GSTM3	GSTM3		CCL3L1	SPATC1L		SPATC1L		AL354718.1	AL354718.1
POLR2J2	POLR2J2	POLR2J2		PM20D1					XKR9	XKR9
	CD1E			AREGB					C6orf52	C6orf52
	IGLL5			FTCDNL1					F8A1	F8A1
	ESPNL			C4BPA					LY6K	NPIPA2
	PNMA6A			GAL3ST2						LY6K
	CCL4L2			FCGBP						PRSS21
	MAP1LC3B2			LRRIQ3						AGAP7
	C10orf107			GSTT2B						SMN2
	CTB-134H23.2			IGJ						GSTT1
	TUBB8			NPIPA8						CCDC144A
	C1QL3			PRSS45						SLC44A5
	CCL3L1			UTS2						NPIPA3
	PM20D1			SULT1A1						RGPD1
	AREGB									FAM21B
	FTCDNL1									SPATC1L
	C4BPA									
	GAL3ST2									
	FCGBP									
	LRRIQ3									
	GSTT2B									
	IGJ									
	NPIPA8									
	PRSS45									
	UTS2									
	SULT1A1									
