Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2	ZACN	HHATL	MEI4		MEI4	PAEP	FRZB	RAB3C
GSTM1	GSTM1	GSTM1	MYL3	NMRK2	CXCL11		CXCL11	KCNK2	ADRA1A	SCD
RP11-599B13.6	PNMA6A	RP11-599B13.6		GPR143	CTSW		CTSW	PLA2G2A	TENM2	MTRNR2L8
PNMA6A	NPIPB15	PNMA6A		MAPK4	PAEP		MME	APOB	FAM196B	CSAG1
F8A3	RP11-599B13.6	F8A3		PROM1	MME		UNC5C	PITX2	CDH6	FRZB
NPIPB15	F8A3	NPIPB15		VTCN1	UNC5C		PLN	CCL20	TRPC6	ADRA1A
TRIM63	TRIM63	TRIM63		RAB25	PLN		KCNK3	MYOC	CLDN2	TENM2
DAPL1	SLC30A2	DAPL1		TFCP2L1	KCNK3		NTS	AQP9	CD8B	FAM196B
PRR15L	PCP4	PRR15L		SV2B	NTS		CABP1	TMEM92	EGLN3	CDH6
PCP4	DAPL1	PCP4		WFDC2	CABP1		SCD	IL20RB	CLEC18C	TRPC6
PCSK1N	KRT7	PCSK1N		CNTN3	SCD		CSAG1	ZMAT4	NTM	CTSW
SLC30A2	MSLN	SLC30A2		LYPD6B	KCNK2		CD36	PRIMA1	TAL2	CXCL11
SCEL	ARHGAP40	SCEL		SPINK2	CSAG1		RAB3C	FGG	RGS5	CLDN2
ARHGAP40	PRR15L	ARHGAP40		GGT6	PLA2G2A		MTRNR2L8	C5orf46	SLITRK5	MEI4
MSLN	PCSK1N	MSLN		HAGHL	CD36		TNFRSF9	C10orf99	EPHA7	CD8B
KRT7	SCEL	KRT7		ESRP1	RAB3C		TFF1		CUBN	NKAIN1
PLG	HHATL	PLG		S100A5	MTRNR2L8		MMRN1		KCNK9	EGLN3
LCN2	LCN2	LCN2		IRX6	APOB		EBF2		CA9	CLEC18C
CDH17	MAL	CDH17		EHF	PITX2		GTF2A1L		CYP4A22	NTS
GAL3ST3	GPR110	GAL3ST3		ALDH1A2	TNFRSF9		F8A1		PNMA6C	NTM
LGALS7B	PLG	LGALS7B		BNC1	TFF1		PRRX1		SLC6A3	TAL2
MAL	LGALS7B	MAL		TMEFF1	MMRN1		ACTG2			PLN
SH3GL2	CDH17	SH3GL2		OMG	CCL20		GZMK			NEGR1
C2orf54	KRT17	C2orf54		LCN10	EBF2		CASQ2			GTF2A1L
GPR110	GAL3ST3	GPR110		ADORA1	GTF2A1L		NKAIN1			RGS5
RP11-683L23.1	NMRK2	RP11-683L23.1		SCNN1A	F8A1		KCNK17			UNC5C
BCL2L2-PABPN1	RP11-683L23.1	BCL2L2-PABPN1		SLC38A8	PRRX1		BTBD16			SLITRK5
FOXJ1	GPR143	FOXJ1		LEFTY1	ACTG2		HTR1F			ACTG2
FOXA3	BCL2L2-PABPN1	FOXA3		CRYBB2	GZMK		IL6			MMRN1
KRT17	ACSM1	KRT17		PRSS22	CASQ2		OR51E1			EPHA7
BEX1	MAPK4	BEX1		SVOPL	MYOC		LPPR5			TGFBI
DOK7	DOK7	DOK7		LMTK3	NKAIN1		IDO1			TNFRSF9
SOX8	PROM1	SOX8		AC132192.1	AQP9		COL10A1			KCNK3
INHA	TUBB8	INHA		SLC13A3	KCNK17		TMEM91			PRRX1
