Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2	AOC1	PEBP4	EIF5AL1		EIF5AL1	CGREF1	RP11-368I7.4	RP11-368I7.4
F8A3	F8A3	F8A3	CD1E	CTB-134H23.2	CGREF1		LY6K	FAM21B	AKR1C3	AKR1C3
CCL3L3	CCL3L3	CCL3L3	AJAP1	CEACAM5	LY6K		SLC1A7	PRAME	RIBC2	RIBC2
UBD	UBD	UBD	CXCL9	FCN2	SLC1A7		SYT17		GPRC5D	GPRC5D
AOC1	PTPN20A	FLT3	GSTT2B	C6orf100	SYT17		TRIM54		SLC39A4	SLC39A4
FLT3	FLT3	C4BPA	ITM2A	SOX30	TRIM54		F8A1		TENM3	TENM3
C4BPA	C4BPA	PTPN20A		GZMH	F8A1		CD70		BX088651.1	BX088651.1
PTPN20A	SERPINA5	SERPINA5		P2RX5	FAM21B		AKR1C2		ARSE	EIF5AL1
SERPINA5	TMEM52B	TMEM52B		SLC22A16	PRAME		SPATC1L			LY6K
TMEM52B	CRYBB2	CRYBB2		DNASE1L3	CD70		PNMA6C			SYT17
CRYBB2	PEBP4	PPP2R2B		SMIM17	AKR1C2					SLC1A7
CD1E	PPP2R2B	KLRC1		GZMA	SPATC1L					TRIM54
PPP2R2B	EMR1	EMR1		GPIHBP1	PNMA6C					F8A1
AJAP1	CTB-134H23.2			GPR1						AKR1C2
CXCL9	CEACAM5			TTC24						SPATC1L
KLRC1	FCN2			NOTCH2NL						CD70
EMR1	KLRC1			NBPF16						PNMA6C
GSTT2B	C6orf100			CD40LG						ARSE
ITM2A	SOX30			GSTM3						
	GZMH			FTCDNL1						
	P2RX5			CD6						
	SLC22A16			C11orf21						
	DNASE1L3			SPDYE2B						
	SMIM17			PRSS45						
	GZMA			BLNK						
	GPIHBP1			TBX21						
	GPR1			THEMIS						
	TTC24			KIR3DL2						
	NOTCH2NL			TUBB8						
	NBPF16									
	CD40LG									
	GSTM3									
	FTCDNL1									
	CD6									
	C11orf21									
	SPDYE2B									
	PRSS45									
	BLNK									
	TBX21									
	THEMIS									
	KIR3DL2									
	TUBB8									
