Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		INS	STON1-GTF2A1L		STON1-GTF2A1L	SHISA3	EIF2S3L	EIF2S3L
NPIPB15	NPIPB15	NPIPB15		PNLIP	ABCA12		ABCA12		PRKG2	PRKG2
F8A3	F8A3	F8A3		RIPPLY2	SHISA3		ARSE		SLC16A7	SLC16A7
B4GALNT4	CRYBB2	B4GALNT4		CELA3A	ARSE		LRRC31		GTF2A1L	GTF2A1L
CRYBB2	CTB-134H23.2	CRYBB2		GSTT2B	LRRC31				F8A1	F8A1
CTB-134H23.2	B4GALNT4	CTB-134H23.2		NLRP11					ACY3	ACY3
TMEM88B	INS	TMEM88B		CTRB2					FMO1	FMO1
IZUMO1	TMEM88B	IZUMO1		FAM194A					SPATC1L	SPATC1L
CALML6	GSTT2	CALML6		C17orf97					SIGLEC14	SIGLEC14
GSTT2	IZUMO1	GSTT2		LRRIQ3					KLRC4-KLRK1	KLRC4-KLRK1
TUBB8	CALML6	TUBB8		PNLDC1					PAX8	PAX8
DNAAF1	DNAAF1	DNAAF1		SCAMP5					RNASE3	RNASE3
ST20-MTHFS	PNLIP	ST20-MTHFS		UPK3BL					XKR9	XKR9
GAL3ST2	RIPPLY2	GAL3ST2		COL9A3					CCDC144A	CCDC144A
TBC1D3C	CELA3A	TBC1D3C		NPIPB6					C6orf52	STON1-GTF2A1L
GRK1	ST20-MTHFS	GRK1		NTN5					IFRG15	C6orf52
	GRK1			NOTCH2NL					GSTT1	IFRG15
	TUBB8			CRP						ABCA12
	TBC1D3C			SSUH2						ARSE
	GAL3ST2			TBC1D3H						LRRC31
	GSTT2B			FTCDNL1						GSTT1
	NLRP11			ACSM1						
	CTRB2			STK31						
	FAM194A			C17orf64						
	C17orf97									
	LRRIQ3									
	PNLDC1									
	SCAMP5									
	UPK3BL									
	COL9A3									
	NPIPB6									
	NTN5									
	NOTCH2NL									
	CRP									
	SSUH2									
	TBC1D3H									
	FTCDNL1									
	ACSM1									
	STK31									
	C17orf64									
