Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
	F8A2			F8A2					EP400NL	EP400NL
	HPR			HPR					F8A1	F8A1
	MS4A8			MS4A8					TPRG1	TPRG1
	PRR15			PRR15					NPIPA3	NPIPA3
	ALG1L			ALG1L					SLC39A4	SLC39A4
	HSD3B1			HSD3B1					MUC3A	MUC3A
	LRFN5			LRFN5						
	GSTM3			GSTM3						
	KCNC2			KCNC2						
	ARHGAP40			ARHGAP40						
	RNF135			RNF135						
	EMR1			EMR1						
	CD84			CD84						
	TMC6			TMC6						
	POU2F2			POU2F2						
	ZNF107			ZNF107						
	GRM4			GRM4						
	KCNC1			KCNC1						
