Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
GSTM1	GSTM1	GSTM1	APOC4-APOC2	MAGEA10	CCDC144A		CCDC144A	GGTLC1	LRRC37A2	LRRC37A2
F8A2	F8A2	F8A2	SULT1C2	NPIPA8	LRRN1		LRRN1		LY75	LY75
C4BPA	C4BPA	C4BPA		C12orf56	CLMP		CLMP		ASPDH	ASPDH
F8A3	F8A3	F8A3		MROH2A	ADARB2		ADARB2		ENPEP	ENPEP
NPIPB15	NPIPB15	NPIPB15		FEZF1	PADI4		PADI4		IGLON5	IGLON5
CCL3L3	CCL3L3	CCL3L3		NHLH2	XKR9		XKR9		PTGER2	PTGER2
LGALS4	LGALS4	LGALS4		FAM69B	CCL14		CCL14		NAMPT	NAMPT
LTK	LTK	LTK		UPK3BL	DEFA3		DEFA3		RGPD2	RGPD2
GSTM3	GSTM3	GSTM3		CABP4	SLC44A5		SLC44A5		GTF2A1L	GTF2A1L
GSTT2	GSTT2	GSTT2		LCNL1	MT1A		MT1A		FAM150B	FAM150B
SLC6A4	CLEC2L	SLC6A4		POLR2J2	SPATC1L		SPATC1L		CLEC4G	CLEC4G
LBP	SLC6A4	LBP		CSMD1	BEGAIN		BEGAIN		LYVE1	LYVE1
CLEC2L	LBP	CLEC2L		TDRD12	NPIPA3		NPIPA3		H2AFB1	H2AFB1
GSTT2B	GSTT2B	GSTT2B		POU3F1	RGPD1		RGPD1		CLEC18C	CLEC18C
PF4V1	LYNX1	PF4V1		MYOM2	LY6K		LY6K		DSC2	DSC2
LYNX1	ACSM1	LYNX1		PTGER1	EREG		EREG		BTNL3	BTNL3
ACSM1	PF4V1	ACSM1		TSKS	GGTLC1		SMN2		SERF1A	SERF1A
PRSS50	PRSS50	PRSS50		NPY4R	SMN2		BPIFA1		PDPN	PDPN
APOC4-APOC2	MAGEA10	CCL3L1		CD300LG	BPIFA1		S100P		F8A1	F8A1
CCL3L1	NPIPA8	FCGBP		SULT1A2	S100P				STC1	STC1
FCGBP	C12orf56	VGLL1		B4GALNT1					SLC28A3	SLC28A3
VGLL1	CCL3L1	SNX31		CX3CR1					HOXA9	HOXA9
SNX31	SNX31	SHISA2		COL9A3					FCAR	FCAR
SHISA2	KHDC1L	KHDC1L		BTBD16					NPIPA2	NPIPA2
KHDC1L	FCGBP	TUBB8		CRYBB2					ENPP4	ENPP4
TUBB8	VGLL1	ARHGAP40		KCTD19					SLC10A6	SLC10A6
ARHGAP40	TUBB8	GGT2		SGCA					TMEM132D	TMEM132D
GGT2	MROH2A	ESPNL		GSTM4					GJA1	GJA1
ESPNL	SHISA2	PRSS45		AMDHD1					AK4	AK4
PRSS45	PRSS45	UGT3A2		PCP2					AGAP7	AGAP7
UGT3A2	ARHGAP40	CCL4L1		SOX30					PKP2	PKP2
CCL4L1	EPHA7	EXOC3L4		SMIM17					PTX3	CCDC144A
EXOC3L4	EXOC3L4	CLEC4M		AC007952.5					CYP1B1	PTX3
CLEC4M	ESPNL	FGFR3		GPHA2					DARC	CYP1B1
FGFR3	GGT2	SULT1A1		TLE6					PRSS21	DARC
SULT1C2	CLEC4M	LRRC36		RND2						ADARB2
SULT1A1	UGT3A2	EPHA7		CRIP3						CLMP
LRRC36	SULT1A1	CHRM1		SLC27A2						LRRN1
EPHA7	CCL4L1	OR8G5		JAKMIP1						PADI4
CHRM1	FEZF1	PLXNB3		PNMA6A						CCL14
OR8G5	FGFR3	SLC22A16		TFAP2E						MT1A
PLXNB3	LRRC36	RGL3		PLA2G4C						DEFA3
SLC22A16	NHLH2	CTB-134H23.2		KLKB1						XKR9
RGL3	CTB-134H23.2			TSPAN11						SLC44A5
CTB-134H23.2	CHRM1			CCDC154						BEGAIN
	PLXNB3			ATP6V0E2						SPATC1L
	SLC22A16			PLEK2						NPIPA3
	RGL3			LRRIQ3						EREG
	FAM69B			GOLGA8M						RGPD1
	UPK3BL			COLQ						LY6K
	CABP4			FCAMR						PRSS21
	OR8G5			L1TD1						SMN2
	LCNL1			TTC24						BPIFA1
	POLR2J2			CD79B						S100P
	CSMD1			FBXO39						
	TDRD12			RHBDL1						
	POU3F1			ZSCAN31						
	MYOM2									
	PTGER1									
	TSKS									
	NPY4R									
	CD300LG									
	SULT1A2									
	B4GALNT1									
	CX3CR1									
	COL9A3									
	BTBD16									
	CRYBB2									
	KCTD19									
	SGCA									
	GSTM4									
	AMDHD1									
	PCP2									
	SOX30									
	SMIM17									
	AC007952.5									
	GPHA2									
	TLE6									
	RND2									
	CRIP3									
	SLC27A2									
	JAKMIP1									
	PNMA6A									
	TFAP2E									
	PLA2G4C									
	KLKB1									
	TSPAN11									
	CCDC154									
	ATP6V0E2									
	PLEK2									
	LRRIQ3									
	GOLGA8M									
	COLQ									
	FCAMR									
	L1TD1									
	TTC24									
	CD79B									
	FBXO39									
	RHBDL1									
	ZSCAN31									
