Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
	XAGE1D			XAGE1D					DYNLT3	DYNLT3
	XAGE1C			XAGE1C					TMEM164	TMEM164
	XAGE1B			XAGE1B					HTATIP2	HTATIP2
	COX7B2			COX7B2					AMMECR1	AMMECR1
	MAGEC2			MAGEC2					TUBA4A	TUBA4A
	XAGE1E			XAGE1E					ANKRD65	ANKRD65
	XAGE1A			XAGE1A					PNMA6C	PNMA6C
	MAGEC1			MAGEC1					CKMT1A	CKMT1A
	GABRA3			GABRA3						
	IZUMO1			IZUMO1						
	TUBB8			TUBB8						
	MAGEA2B			MAGEA2B						
	MAGEA2			MAGEA2						
	TPTE			TPTE						
	HIST1H2BI			HIST1H2BI						
	AC126614.1			AC126614.1						
	SSX2B			SSX2B						
	DDX53			DDX53						
	ZNF595			ZNF595						
	SSX2			SSX2						
	HSD3B7			HSD3B7						
	OFCC1			OFCC1						
	C8orf87			C8orf87						
	NOTCH2NL			NOTCH2NL						
	IQCF5			IQCF5						
	FHOD1			FHOD1						
