Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		CTB-134H23.2	ADC		ADC	CBLN4	FUT11	FUT11
	CTB-134H23.2			CTAGE6	FRY		FRY	RAB31	CNN2	CNN2
	CTAGE6			HDHD1	CBLN4		GADD45B	GGT5	LITAF	LITAF
	HDHD1			FAM203A	RAB31		LOXL1	ABCB5	CREBRF	CREBRF
	FAM203A			SMPD2	GGT5		MARVELD1	SLITRK4	KAT2B	KAT2B
	SMPD2				ABCB5		MAFB	P4HA3	KLHL9	KLHL9
					SLITRK4		GNB4	KLF17	BMPR1A	BMPR1A
					P4HA3		ATP8B2	FRMD6	AHNAK	AHNAK
					KLF17		ZNF677	ITGAD	RASA3	ADC
					GADD45B		ARHGAP20	PRKD1	PPP5D1	RASA3
					FRMD6		LRRC17	PABPC5	MTAP	PPP5D1
					ITGAD		MEIS1	MDGA1	AC016722.2	FRY
					PRKD1		SYNDIG1	CRYBB1	TCF21	GADD45B
					LOXL1		PTPRS	SEZ6L	TLR3	MTAP
					MARVELD1		LTBP1	CDK15	PLXDC2	LOXL1
					PABPC5		RUNX1T1	PPAPDC3	PHLDA3	AC016722.2
					MDGA1		HOPX	CDH11	PRICKLE1	MARVELD1
					CRYBB1		ISLR	TNNI2	MS4A4A	TCF21
					SEZ6L		CLMP	RNF165	GLI1	MAFB
					CDK15		FAM180A	NEFH	MOXD1	TLR3
					PPAPDC3		CPEB1	LAYN	MFAP4	PLXDC2
					CDH11		PTGER3	FBLN5	CST2	PHLDA3
					MAFB		BNC2	LPPR4		GNB4
					TNNI2		GLI2	PALLD		ATP8B2
					RNF165		PODN	SGCD		PRICKLE1
					NEFH		NPR3	PRDM6		ZNF677
					LAYN		F13A1	VSTM4		MS4A4A
					FBLN5		COL8A1	ABCA6		GLI1
					GNB4		ADCYAP1	TCEAL7		ARHGAP20
					ATP8B2		DPT	KLHL38		LRRC17
					LPPR4		SCG2	TMEM240		MEIS1
					PALLD		FMO2	SAMD11		SYNDIG1
					SGCD			GALNT15		PTPRS
					PRDM6			GDF6		MOXD1
					ZNF677			PCBP3		RUNX1T1
					VSTM4			CPZ		LTBP1
					ABCA6			STON1		ISLR
					TCEAL7			FIBIN		PTGER3
					KLHL38			TACR1		HOPX
					TMEM240			ADAMTSL3		BNC2
					ARHGAP20			SUSD5		GLI2
					SAMD11			ST6GAL2		FAM180A
					GALNT15			DDR2		CPEB1
					LRRC17			FGF14		CLMP
					GDF6			FLRT2		MFAP4
					PCBP3			MFAP5		PODN
					CPZ			PEG3		NPR3
					MEIS1			TBX18		F13A1
					STON1			SLIT2		COL8A1
					SYNDIG1			SSC5D		ADCYAP1
					FIBIN			AC026703.1		SCG2
					TACR1			CPED1		DPT
					ADAMTSL3			BOC		CST2
					SUSD5			ASPN		FMO2
					ST6GAL2			FAT3		
					DDR2			ITGBL1		
					FGF14			CCDC80		
					FLRT2			ADAM33		
					MFAP5			GPM6A		
					PEG3			WISP2		
					TBX18			NRK		
					PTPRS			SCN7A		
					SLIT2			PDZRN4		
					SSC5D			NPTX1		
					LTBP1			OMD		
					AC026703.1			SFRP4		
					CPED1			PI16		
					RUNX1T1			PENK		
					BOC					
					ASPN					
					FAT3					
					HOPX					
					ISLR					
					CLMP					
					FAM180A					
					CPEB1					
					PTGER3					
					BNC2					
					ITGBL1					
					GLI2					
					CCDC80					
					ADAM33					
					GPM6A					
					PODN					
					WISP2					
					NPR3					
					F13A1					
					NRK					
					SCN7A					
					PDZRN4					
					COL8A1					
					ADCYAP1					
					DPT					
					NPTX1					
					SCG2					
					OMD					
					SFRP4					
					FMO2					
					PI16					
					PENK					
