Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A3	SPINK2	SPINK2	F8A3	MAP1LC3B2	PROX1		CCDC144A	PROX1	LRRC37A	LRRC37A
SPINK2	ACSM1	ACSM1	PTPN20A		CCDC144A		CHST13		F8A1	F8A1
ACSM1	MAP1LC3B2				CHST13		SPATC1L		LRRC37A2	LRRC37A2
PTPN20A					SPATC1L		CBLN1		C6orf52	C6orf52
					CBLN1		ANKRD65		FAM27A	FAM27A
					ANKRD65				SMN2	SMN2
									NPIPA3	NPIPA3
										CCDC144A
										CHST13
										SPATC1L
										CBLN1
										ANKRD65
