Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2	KRT23	TUBB8	STON1-GTF2A1L		STON1-GTF2A1L	GABRB3	CPB1	CPB1
NPIPB15	NPIPB15	NPIPB15		ACSM1	GABRB3		SFRP2	MEOX2	COL10A1	COL10A1
F8A3	F8A3	F8A3		C4BPA	MEOX2		F8A1	SLC7A2	SLC44A5	SLC44A5
GSTM1	GSTM1	GSTM1		TBC1D3C	SLC7A2		MRC1	SFTPA2	GFRA1	SFRP2
CCL3L3	CCL3L3	CCL3L3		C6orf100	SFTPA2		FAM21B	DDX3Y	CST1	GFRA1
TNNI3	CRYBB2	TNNI3		ST20-MTHFS	SFRP2		CST2	CD36	LRRC31	MRC1
KRT23	CTB-134H23.2	CRYBB2		MSLN	DDX3Y		PNMA6C	EIF1AY	PRSS21	CST1
CRYBB2	PNMA6A	CTB-134H23.2		KM-PA-2	CD36		AL022328.1	SCGB3A2	ARSE	LRRC31
CTB-134H23.2	TUBB8	ZACN		GJB5	EIF1AY			FOXE1	SPATC1L	STON1-GTF2A1L
ZACN	ZACN	ARHGAP40		RP11-683L23.1	F8A1			C7	TFF1	PRSS21
ARHGAP40	ARHGAP40	PNMA6A		NPIPA8	SCGB3A2			SFTPC		ARSE
PNMA6A	ACSM1			RP11-599B13.6	MRC1			FMO2		SPATC1L
	C4BPA			P2RX5	FAM21B			CTSE		TFF1
	TBC1D3C				FOXE1			NKX2-1		PNMA6C
	C6orf100				C7			RPS4Y1		CST2
	ST20-MTHFS				CST2			SFTPA1		F8A1
	MSLN				PNMA6C			SFTA3		FAM21B
	KM-PA-2				AL022328.1			SFTPB		AL022328.1
	GJB5				SFTPC					
	RP11-683L23.1				FMO2					
	NPIPA8				CTSE					
	TNNI3				NKX2-1					
	RP11-599B13.6				RPS4Y1					
	P2RX5				SFTPA1					
					SFTA3					
					SFTPB					
