Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		PM20D1	TMEM132C		CORO6	TMEM132C	TBC1D3	TBC1D3
ESPNL	ESPNL	ESPNL		ALAS2	CORO6		F8A1		LRRC37A2	LRRC37A2
ACSM1	PM20D1	ACSM1		DNAH10	F8A1				OXGR1	OXGR1
	ALAS2			PRSS45					HTR2B	HTR2B
	ACSM1			NOTCH2NL					TUBB2B	TUBB2B
	DNAH10			SMIM17					MEOX1	MEOX1
	PRSS45			SOX30					MINOS1-NBL1	CORO6
	NOTCH2NL								RP4-583P15.14	MINOS1-NBL1
	SMIM17								RP11-298I3.5	F8A1
	SOX30									RP4-583P15.14
										RP11-298I3.5
