Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2		BMP8A	LRP8		LRP8	SFN	ANKRD30BL	ANKRD30BL
F8A3	F8A3	F8A3		C2orf72	PROM1		PROM1	TACSTD2	PRTN3	PRTN3
LRRTM1	LRRTM1	LRRTM1		CSMD1	SFN		RP11-565P22.6	FAM21B	VWDE	VWDE
NPIPB15	NPIPB15	NPIPB15		ANKRD45	RP11-565P22.6		NDNF		DTX4	DTX4
GSTM1	GSTM1	GSTM1		PM20D1	TACSTD2		HLA-DRB5		PRSS21	PRSS21
CCL3L3	CCL3L3	CCL3L3		ACSM5	NDNF		C6orf52		XKR9	XKR9
CCL4L1	CCL4L1	CCL4L1		ETNPPL	HLA-DRB5		FTCD		RGPD2	RGPD2
SHISA6	SHISA6	SHISA6		CNTNAP2	C6orf52		CD22		AL627309.1	AL627309.1
PHEX	PHEX	PHEX		LRRC36	FTCD		NPIPA3		ENPP2	ENPP2
KCNAB1	KCNAB1	KCNAB1		DAPL1	CD22		NPIPA2		COL28A1	COL28A1
ESPNL	ESPNL	ESPNL		DIRAS3	NPIPA3		CCDC144A		CACNA1I	CACNA1I
MYOC	MYOC	MYOC		CTB-134H23.2	FAM21B		AGAP7		AC007952.6	AC007952.6
C10orf82	C10orf82	C10orf82		CTD-3105H18.16	NPIPA2		LAMC3		ATHL1	ATHL1
PAX1	PAX1	PAX1		DPYSL4	CCDC144A		MAG		DEPDC1B	DEPDC1B
IGSF1	ARHGAP40	IGSF1		C15orf26	AGAP7		VAT1L		HRK	HRK
PTPN20A	IGSF1	PTPN20A		SCIN	LAMC3		HOXD1		MTRNR2L12	MTRNR2L12
ARHGAP40	PTPN20A	ARHGAP40		DUOX2	MAG		CUX2		MLXIPL	MLXIPL
PKNOX2	POLR2J2	PKNOX2		PRSS46	VAT1L		IL1RL1		RIMS4	RIMS4
POLR2J2	ACSM1	POLR2J2		TMEM61	HOXD1		MUC16		CFHR3	CFHR3
ACSM1	PKNOX2	ACSM1		CDH4	CUX2		SPATC1L		ADRB1	ADRB1
LRRN1	LRRN1	LRRN1		C2CD4C	IL1RL1		PNMA6C		PLCH2	PLCH2
SPINK2	BMP8A	SPINK2		ZNF536	MUC16		CTSE		LAMA1	LAMA1
UPK3A	UPK3A	UPK3A		KHDC1L	SPATC1L		NKX2-3		MEI1	MEI1
GSTT2	SPINK2	GSTT2		DUOXA2	PNMA6C		CPAMD8		ICAM5	ICAM5
SCUBE1	GSTT2	SCUBE1		CTAGE6	CTSE		SLC44A5		KRTAP5-1	KRTAP5-1
	SCUBE1			PAX9	NKX2-3		RGPD1		RP11-190A12.7	RP11-190A12.7
	C2orf72			FER1L6	CPAMD8		SORCS1		SCGB2A1	SCGB2A1
	CSMD1			C1QL3	SLC44A5				F8A1	F8A1
	ANKRD45			GSTM3	RGPD1				S100P	S100P
	PM20D1			LHX8	SORCS1				OLFM2	OLFM2
	ACSM5			NBPF16					SORCS2	SORCS2
	ETNPPL			CETP					TMEM100	TMEM100
	CNTNAP2			OR2W3					UNC5D	UNC5D
	LRRC36			GRK1					SMN2	SMN2
	DAPL1			BBOX1					ZMAT4	LRP8
	DIRAS3			VCX						PROM1
	CTB-134H23.2			UPK3BL						NDNF
	CTD-3105H18.16			SELENBP1						RP11-565P22.6
	DPYSL4			SLC22A16						HLA-DRB5
	C15orf26			LRRIQ3						ZMAT4
	SCIN			ZSCAN31						C6orf52
	DUOX2			IGFALS						FTCD
	PRSS46									CD22
	TMEM61									AGAP7
	CDH4									NPIPA3
	C2CD4C									NPIPA2
	ZNF536									CCDC144A
	KHDC1L									LAMC3
	DUOXA2									MAG
	CTAGE6									VAT1L
	PAX9									HOXD1
	FER1L6									IL1RL1
	C1QL3									MUC16
	GSTM3									CUX2
	LHX8									SPATC1L
	NBPF16									CTSE
	CETP									PNMA6C
	OR2W3									CPAMD8
	GRK1									NKX2-3
	BBOX1									SLC44A5
	VCX									RGPD1
	UPK3BL									SORCS1
	SELENBP1									
	SLC22A16									
	LRRIQ3									
	ZSCAN31									
	IGFALS									
