Up_MW	Up_limma	Up_Intersection_All	Up_Only_MW	Up_Only_Limma	Dwn_MW	Dwn_limma	Dwn_Intersection_All	Dwn_Only_MW	Dwn_Only_Limma	Dwn_Limma
F8A2	F8A2	F8A2	TEKT1	SLC47A1	KIRREL3		KIRREL3	SMN2	CKAP2L	CKAP2L
IHH	IHH	IHH	SCGB1D2	CEACAM21	SMN2		DISP2		FAM83D	FAM83D
TEKT1	F8A3	PGR	DMBT1	TMEM101	DISP2		F8A1		CDCA2	CDCA2
PGR	PGR	F8A3	OVGP1	ADAMTS6	F8A1		SFRP2		FAM64A	FAM64A
F8A3	FAM150B	NPIPB15	HBA1	ACSM1	SFRP2				NEIL3	NEIL3
NPIPB15	C1orf64	C1orf64		AL118506.1					EIF5AL1	EIF5AL1
SCGB1D2	TUBA3E	TUBA3E		AL353791.1					ULBP1	ULBP1
C1orf64	NPIPB15	FAM150B		MFAP3L					SHOX2	KIRREL3
TUBA3E	SLC47A1	TRH		POC1B-GALNT4						SHOX2
FAM150B	TRH	NXNL2		ABCA10						DISP2
DMBT1	NXNL2	NDP		ZNF516						F8A1
TRH	NDP	TBC1D3C		RP11-426L16.10						SFRP2
OVGP1	CEACAM21	BMPR1B		TUBB8						
NXNL2	TBC1D3C	TMEM232		A4GALT						
NDP	TMEM101	HOXB4		KCNK6						
TBC1D3C	KCNC3	KCNC3		FKBP11						
BMPR1B	BMPR1B	AR		NTN5						
TMEM232	HOXB4	HSD17B3		SDR42E2						
HOXB4	TMEM232	NOTCH2NL		CASP16						
KCNC3	AR	ANO1		NBPF16						
AR	ANO1	CD200		ANAPC4						
HBA1	ADAMTS6	AC005841.1		SEPP1						
HSD17B3	ACSM1	TBC1D3H		ABCA5						
NOTCH2NL	HSD17B3			RNASET2						
ANO1	AL118506.1			RP1-102H19.8						
CD200	NOTCH2NL			PLA2G4C						
AC005841.1	AL353791.1									
TBC1D3H	MFAP3L									
	POC1B-GALNT4									
	AC005841.1									
	ABCA10									
	TBC1D3H									
	CD200									
	ZNF516									
	RP11-426L16.10									
	TUBB8									
	A4GALT									
	KCNK6									
	FKBP11									
	NTN5									
	SDR42E2									
	CASP16									
	NBPF16									
	ANAPC4									
	SEPP1									
	ABCA5									
	RNASET2									
	RP1-102H19.8									
	PLA2G4C									
