ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	-0.400712718372492	-1.87132141805724	0.000219298245614035	0.0191986644407346	0.0146233697766955	5120	tags=48%, list=31%, signal=34%	ZNF606/ZSCAN32/ZNF677/ZNF84/ZNF79/ZNF596/DDX58/ZNF623/TSC1/ZNF486/ZNF492/ZNF641/ZFP92/ZNF613/ZNF841/POU2F3/CHUK/ZNF443/ZNF184/TBK1/ZNF600/ZNF431/ZNF471/ZFP28/ZNF211/ZNF850/MAVS/ZNF551/ZNF275/NFKB1/ZNF607/ZNF674/ZNF383/FAS/ZNF836/ZNF182/ZNF425/ZNF30/APAF1/AKT3/ZNF547/ZNF461/ZNF577/ZNF382/ZNF350/ZNF267/ZNF630/ZNF222/JAK2/ZNF302/ZNF33B/TRAF5/ZNF773/ZNF416/ZNF33A/ZNF614/ZNF284/ZNF585B/ZNF37A/ZNF433/ZNF792/ZNF610/ZNF578/ZNF790/ZNF189/ZFP90/ZNF331/ZNF671/ZNF549/ZNF160/ZNF662/IFNAR1/ZNF418/ZNF223/ZNF12/ZNF782/ZNF227/ZNF460/ZNF98/ZIK1/ZNF234/IRAK4/ZNF766/ZNF224/ZNF569/ZNF571/ZNF83/ZNF573/ZNF564/ZFP1/TAB2/ZNF233/PTPN11/ZNF417/HCFC2/ZNF107/ZNF180/ZNF814/ZNF713/ZNF568/ZNF780B/ZNF439/ZNF605/TRAF6/RBAK/ZNF563/ZNF557/ZNF765/ZNF658/ZNF799/ZNF420/ZNF177/ZNF320/ZNF311/ZNF611/ZNF81/ZNF506/ZNF627/ZNF41/ZNF257/ZNF17/ZNF415/ZNF230/ZNF543/ZNF548/ZNF25/ZNF283/ZNF14/PIK3R3/HLA-DPA1/ZNF436/JAK1/ZNF791/ZNF141/ZNF44/PIK3CA/ZNF727/POU2F1/ZNF430/ZNF85/ZNF354C/ZNF45/ZNF823/ZNF19/ZNF829/ZNF620/ZNF616/ZNF429/ZNF468/ZNF708/ZNF570/ZNF561/ZNF621/ZNF699/C5/ZNF624/ZNF253/ZNF675/ZNF181/ZNF136/HLA-DRB5/ZNF20/ZNF175/ZNF808/ZFP30/ZNF860/ZNF562/ZNF225/ZNF546/ZNF304/ZNF665/ZNF440/ZNF763/RNASEL/ZNF721/ZNF555/ZNF528/ZFP14/ZNF583/ZNF813/EIF2AK3/ZNF582/ZNF268/ZNF730/ZNF595/ZNF619/ZNF347/ZNF112/ZNF254/ZNF709/ZNF701/ZNF680/ZNF816/ZNF426/ZNF845/ZNF649/ZNF510/ZNF540/ZNF132/ZNF805/ZNF100/ZNF615/ZNF442/ZNF597/ZNF441/PIK3R1/ZNF749/ZNF221/ZNF772/ZNF208/ZNF484/ZNF43/ZNF91/ITGB3/ZNF587/ZNF737/ZNF490/ZNF676/TLR3/BCL2/ZNF214/ZNF552
hsa04151	PI3K-Akt signaling pathway	330	-0.370633881516616	-1.68743335335165	0.00023121387283237	0.0191986644407346	0.0146233697766955	3537	tags=32%, list=21%, signal=26%	PHLPP2/IFNAR1/ITGB5/CSF3R/ITGA8/ITGB6/COL1A1/ITGA3/EIF4E/GNG2/PKN2/PRKAA1/FGF18/CREB3L4/LPAR6/PPP2R5A/LAMC1/RBL2/PPP2R1B/ERBB3/FGF1/GNB4/PPP2R2A/COMP/KRAS/SOS2/MAPK1/FGF7/CREB1/EIF4B/SGK3/TNR/INSR/ATF2/PIK3R3/ANGPT4/JAK1/KDR/TNC/PIK3CA/FGFR2/PDGFRB/EIF4E1B/FLT3/NGFR/LAMA3/MAGI1/G6PC2/CCND1/PIK3CG/PDPK1/ANGPT2/PPP2R5E/PTEN/OSMR/ITGA4/C8orf44-SGK3/THBS2/FGF20/ITGAV/COL1A2/COL6A3/CREB3L1/KIT/VWF/TLR4/MAGI2/FLT1/F2R/LPAR4/IBSP/PIK3R1/FGF2/LPAR1/THBS1/PDGFRA/TEK/PDGFC/HGF/ITGB3/IRS1/GHR/IGF1/ITGA1/COL4A5/IGF1R/PDGFD/GNG12/ITGA2/AREG/PCK1/LAMA2/BCL2/THBS4/NTRK2/TNN/COL4A6/MYB/IGF2/FGF10/KITLG/PRKAA2/PRLR/CHAD/ERBB4
hsa04923	Regulation of lipolysis in adipocytes	52	-0.559090728264283	-1.9762918624796	0.000292654375182909	0.0191986644407346	0.0146233697766955	2230	tags=35%, list=13%, signal=30%	PIK3R3/PIK3CA/PTGS1/LIPE/ADCY9/PIK3R1/PRKG1/AQP7/PRKACB/IRS1/PTGER3/ADCY5/FABP4/PLIN1/PRKG2/ADCY1/NPY1R
hsa03030	DNA replication	36	0.54295375496091	1.97526441987874	0.000575373993095512	0.0191986644407346	0.0146233697766955	4631	tags=61%, list=28%, signal=44%	POLD1/MCM2/MCM7/POLE/RFC4/LIG1/MCM5/FEN1/RNASEH2A/RNASEH2C/MCM3/DNA2/MCM4/PCNA/MCM6/POLD2/RFC2/POLE4/POLE2/RNASEH1/POLD4/RPA4
hsa05340	Primary immunodeficiency	36	0.683207264882344	2.48550634265698	0.000575373993095512	0.0191986644407346	0.0146233697766955	3433	tags=58%, list=21%, signal=46%	ZAP70/CD79A/CD19/TNFRSF13C/TAP2/ICOS/ADA/CD3D/LCK/IGLL1/IKBKG/TAP1/TNFRSF13B/AICDA/IL2RG/ORAI1/AIRE/RFXANK/JAK3/CIITA/CD3E
hsa03050	Proteasome	44	0.51764619542655	1.97984293659427	0.000597371565113501	0.0191986644407346	0.0146233697766955	4608	tags=50%, list=28%, signal=36%	ADRM1/PSMB9/PSMA7/PSMB10/PSMB8/PSMD9/PSMB5/IFNG/PSMB4/PSMB3/PSMD3/PSMB6/PSMC4/PSMD2/PSMB2/PSMD4/PSME4/PSME2/PSMB1/PSMC5/PSMC3/PSMD7
hsa04657	IL-17 signaling pathway	91	0.419010466868655	1.85280934637262	0.000732064421669107	0.0191986644407346	0.0146233697766955	3100	tags=34%, list=19%, signal=28%	S100A7/LCN2/CXCL1/CCL7/S100A8/S100A9/CXCL5/CCL17/MMP9/CXCL10/CCL20/MAPK15/IL17C/CEBPB/FOSL1/TNF/TRAF4/TRADD/MAPK4/MAPK12/IKBKE/IKBKG/TRAF2/S100A7A/CSF2/MMP1/IFNG/JUND/MUC5B/CXCL6/CXCL3
hsa04360	Axon guidance	176	-0.380373478022398	-1.62608172448692	0.000759301442672741	0.0191986644407346	0.0146233697766955	3723	tags=33%, list=22%, signal=26%	ITGB1/PAK3/SEMA6A/CDC42/UNC5B/ENAH/SEMA3F/PPP3CB/EPHA4/NFATC2/PTPN11/NEO1/SRGAP1/ROCK1/PAK2/NFATC3/KRAS/SEMA3A/SRGAP3/MAPK1/TRPC1/EFNB3/SEMA3G/ROBO1/PIK3R3/FZD3/PIK3CA/PPP3CA/NRP1/PLXNA4/PLXNC1/RASA1/SLIT3/CXCL12/TRPC6/ABLIM1/BMPR2/RND1/PIK3R1/WNT5A/NTNG1/UNC5A/SEMA3D/SLIT2/ARHGEF12/ABLIM3/UNC5C/PARD6B/EPHA3/SEMA6D/SEMA3E/SEMA3C/SEMA5A/LRRC4C/ROBO2/NTN4/BMPR1B
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.416183831189742	1.85314848469227	0.000760456273764259	0.0191986644407346	0.0146233697766955	3100	tags=40%, list=19%, signal=33%	CCL3L3/CCL4L1/CCL18/CCL25/CXCL13/CXCR5/CXCL1/CCL7/CCL3L1/CXCL5/CCL17/CXCL10/IL20RB/CCL20/IL37/LTA/TNF/CCR10/IL34/IL2RA/IL22RA1/CCL27/CCR3/CCL4L2/CXCR3/CCR7/CCL8/CXCL11/IL2RG/CCL24/PPBP/CXCL9/TNFRSF14/CX3CL1/CCL1/CCL5/CXCL6/TNFRSF1B/CXCL3
hsa04110	Cell cycle	124	0.436928999150327	2.0435588536201	0.000790513833992095	0.0191986644407346	0.0146233697766955	3739	tags=45%, list=22%, signal=35%	CDKN2A/CCNE1/E2F1/CDC20/ORC6/CDC45/PLK1/PKMYT1/CDC25B/E2F2/CCNB2/ESPL1/PTTG1/ORC1/CCNA2/CDK1/ANAPC11/SFN/CDC25A/RBL1/MCM2/MAD1L1/BUB1/BUB1B/CDC7/MCM7/MAD2L1/CDKN2D/CDC25C/TTK/CCNB1/CHEK1/MCM5/MAD2L2/GADD45G/E2F4/CHEK2/ANAPC2/ZBTB17/CCNA1/GADD45B/CDC6/MYC/MCM3/SMC1B/CDKN2C/CDK4/MCM4/PCNA/MCM6/CCNB3/E2F3/RBX1/E2F5/FZR1/SKP2
