ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	-0.394661316809326	-1.86477147013531	0.000226654578422484	0.0204383886255924	0.0155676513558778	4926	tags=53%, list=30%, signal=39%	ZNF226/ZNF200/ZNF140/ZNF529/ZNF10/ZNF589/ZFP69B/ZFP37/ZNF559/ZNF677/ZNF554/IFNGR1/PPP1CB/ZNF398/DDX58/PIK3CB/ZNF566/ZNF432/ZNF2/ZNF700/IL1B/ZNF256/ZNF492/ZNF596/PPP1CC/ZNF473/ZNF669/ZNF248/ZFP92/ZNF606/ZNF84/POU2F3/ZNF471/ZNF641/ZNF79/ZNF623/ZSCAN32/TSC1/ZNF431/ZNF184/ZNF600/ZNF841/ZNF613/CHUK/TBK1/FAS/ZNF850/AKT3/ZNF443/ZFP28/ZNF486/ZNF551/ZNF211/NFKB1/ZNF607/MAVS/ZNF383/ZNF275/ZNF382/APAF1/ZNF222/ZNF836/ZNF674/JAK2/ZNF267/ZNF461/ZNF182/ZNF425/ZNF30/ZNF630/ZNF547/ZNF33B/ZNF302/ZNF773/ZNF350/ZNF416/ZNF578/ZNF577/ZNF662/ZNF614/ZIK1/ZNF189/TRAF5/ZNF284/ZFP90/ZNF790/ZNF585B/ZNF433/ZNF37A/ZNF418/ZNF33A/ZNF610/ZNF792/ZNF549/ZNF331/ZNF12/IFNAR1/ZNF223/ZNF671/ZNF460/ZNF160/ZNF227/ZNF234/ZNF224/ZNF569/ZNF766/IRAK4/ZNF233/ZNF571/ZFP1/ZNF782/ZNF83/ZNF573/ZNF564/TAB2/ZNF98/HCFC2/PTPN11/ZNF107/ZNF180/ZNF417/ZNF814/ZNF439/ZNF568/ZNF713/ZNF780B/RBAK/ZNF658/TRAF6/ZNF605/ZNF420/ZNF563/ZNF557/ZNF320/ZNF765/ZNF627/ZNF611/ZNF799/ZNF81/ZNF177/ZNF41/ZNF17/ZNF506/ZNF257/ZNF543/ZNF283/ZNF230/ZNF415/JAK1/HLA-DPA1/ZNF311/ZNF25/ZNF548/ZNF436/ZNF14/PIK3CA/ZNF791/PIK3R3/ZNF141/ZNF354C/ZNF727/ZNF44/ZNF85/ZNF620/ZNF829/ZNF430/POU2F1/ZNF45/ZNF616/ZNF19/ZNF561/ZNF570/HLA-DRB5/ZNF823/ZNF429/ZNF708/ZNF699/ZNF468/C5/ZNF624/ZNF621/ZNF253/ZNF675/ZNF181/ZNF136/ZNF808/ZFP30/ZNF562/ZNF175/ZNF546/ZNF225/ZNF304/ZNF20/ZNF860/ZNF763/ZNF583/ZNF665/ZNF440/ZNF730/RNASEL/ZNF721/ZFP14/ZNF528/ZNF555/ZNF582/ZNF813/ZNF268/EIF2AK3/ZNF254/ZNF112/ZNF619/ZNF347/ZNF709/ZNF426/ZNF701/ZNF680/ZNF595/ZNF816/ZNF845/ZNF649/ZNF132/ZNF510/ZNF540/ZNF805/ZNF100/ZNF615/ZNF749/ZNF442/PIK3R1/ZNF441/ZNF221/ZNF208/ZNF597/ZNF772/ZNF484/ZNF91/ZNF43/ITGB3/ZNF587/ZNF490/ZNF737/ZNF676/TLR3/BCL2/ZNF214/ZNF552
hsa04151	PI3K-Akt signaling pathway	330	-0.370627664246079	-1.70698261286365	0.000238379022646007	0.0204383886255924	0.0155676513558778	3531	tags=32%, list=21%, signal=26%	GNG2/CSF3R/IFNAR1/ITGA8/ITGB5/ITGA3/PPP2R3A/PPP2R2C/EGF/EIF4E/PKN2/LAMC1/PRKAA1/FGF18/GNB4/ITGB6/FGF1/LPAR6/RBL2/FGF7/CREB3L4/PPP2R5A/PPP2R1B/NGFR/COMP/PPP2R2A/ERBB3/KRAS/SOS2/TNC/CREB1/MAPK1/FLT3/EIF4B/SGK3/LAMA3/TNR/ANGPT4/JAK1/ATF2/PDGFRB/PIK3CA/KDR/FGFR2/INSR/PIK3R3/MAGI1/PIK3CG/ITGA4/ANGPT2/OSMR/G6PC2/CCND1/EIF4E1B/PTEN/PDPK1/THBS2/PPP2R5E/COL6A3/C8orf44-SGK3/KIT/COL1A2/ITGAV/FGF20/CREB3L1/VWF/F2R/TLR4/FLT1/IBSP/MAGI2/PDGFRA/LPAR4/PIK3R1/THBS1/FGF2/LPAR1/TEK/PDGFC/HGF/ITGB3/IGF1/IRS1/GHR/COL4A5/ITGA1/AREG/IGF1R/GNG12/PDGFD/ITGA2/LAMA2/PCK1/BCL2/THBS4/TNN/NTRK2/COL4A6/MYB/IGF2/PRKAA2/FGF10/KITLG/PRLR/CHAD/ERBB4
hsa04923	Regulation of lipolysis in adipocytes	52	-0.560004023968907	-1.98880656802416	0.000301841231512225	0.0204383886255924	0.0155676513558778	2168	tags=35%, list=13%, signal=30%	INSR/PTGS1/PIK3R3/LIPE/ADCY9/PIK3R1/PRKACB/PRKG1/AQP7/IRS1/PTGER3/FABP4/PLIN1/ADCY5/PRKG2/ADCY1/NPY1R
hsa03030	DNA replication	36	0.541269124511342	1.95513645009332	0.000549148819330038	0.0204383886255924	0.0155676513558778	4953	tags=64%, list=30%, signal=45%	POLD1/MCM2/MCM7/POLE/RFC4/LIG1/FEN1/MCM5/RNASEH2A/RNASEH2C/MCM3/DNA2/PCNA/MCM4/MCM6/POLD2/RFC2/POLE2/POLE4/RNASEH1/RPA4/POLD4/POLA2
hsa05340	Primary immunodeficiency	36	0.697452662367897	2.51929227191959	0.000549148819330038	0.0204383886255924	0.0155676513558778	3307	tags=58%, list=20%, signal=47%	CD79A/ZAP70/CD19/TNFRSF13C/TAP2/ICOS/ADA/CD3D/LCK/TNFRSF13B/IGLL1/TAP1/IKBKG/IL2RG/AICDA/ORAI1/AIRE/JAK3/CD3E/RFXANK/CIITA
hsa03050	Proteasome	44	0.522638488227651	1.9820134244941	0.000570776255707763	0.0204383886255924	0.0155676513558778	4590	tags=50%, list=28%, signal=36%	ADRM1/PSMB9/PSMA7/PSMB8/PSMB10/PSMD9/PSMB5/IFNG/PSMB4/PSMB3/PSMD3/PSMB6/PSMC4/PSMB2/PSMD2/PSMD4/PSME2/PSME4/PSMC5/PSMB1/PSMC3/PSMD7
hsa04657	IL-17 signaling pathway	91	0.431296541000867	1.89457688704148	0.000672947510094213	0.0204383886255924	0.0155676513558778	3056	tags=34%, list=18%, signal=28%	S100A7/CXCL1/LCN2/S100A8/S100A9/CCL7/CXCL5/MMP9/CCL17/CXCL10/CCL20/IL17C/MAPK15/MAPK4/CEBPB/FOSL1/TRAF4/TRADD/TNF/MAPK12/IKBKE/IKBKG/TRAF2/S100A7A/MMP1/CSF2/CXCL6/CXCL3/MUC5B/IFNG/JUND
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.440773728566788	1.94898856857468	0.00069589422407794	0.0204383886255924	0.0155676513558778	3383	tags=45%, list=20%, signal=36%	CCL3L3/CCL4L1/CXCL13/CCL18/CCL25/CXCR5/CXCL1/CCL7/CXCL5/CCL3L1/CCL17/CXCL10/CCL20/IL20RB/IL37/LTA/IL34/IL2RA/IL22RA1/TNF/CCR10/CXCR3/CCL27/CCR7/CCL4L2/CCR3/CXCL11/IL2RG/CCL24/CCL8/CXCL9/PPBP/TNFRSF14/CX3CL1/CXCL6/CCL5/CXCL3/TNFRSF1B/CCL1/CCL13/CCL26/CCR8/PF4V1/XCL2
hsa05322	Systemic lupus erythematosus	122	0.501769054734232	2.32464588355566	0.000714285714285714	0.0204383886255924	0.0155676513558778	2718	tags=41%, list=16%, signal=35%	HIST1H2AH/H2AFB3/HIST3H2A/H2AFB2/C8G/HIST1H3B/HIST1H2BO/HIST1H3A/HIST2H3D/HIST1H2AM/HIST1H2AE/HIST1H2BJ/H2AFX/HIST2H2AC/HLA-DOB/HIST2H2AA4/SNRPB/H2AFJ/HIST1H2BL/HIST1H3D/TNF/HIST1H3F/HIST1H2BE/HIST1H2BK/HIST1H3J/HIST1H2BH/HIST1H2AG/HIST1H4I/HIST1H2AJ/HIST1H3G/HIST1H2AK/HIST1H4E/HIST2H2AB/HIST1H3C/HIST1H2AL/H2AFY2/SNRPD1/HIST1H4B/HIST1H4D/HIST1H2AD/HIST1H2AB/H2AFZ/ELANE/SNRPD3/HIST1H3H/H3F3B/HIST1H4A/CD80/C1QA/HIST1H2BG
hsa04110	Cell cycle	124	0.441566164648542	2.04473795981045	0.000724112961622013	0.0204383886255924	0.0155676513558778	2510	tags=35%, list=15%, signal=30%	CDKN2A/CCNE1/CDC20/E2F1/ORC6/CDC45/PLK1/PKMYT1/E2F2/CDC25B/CCNB2/ESPL1/PTTG1/ORC1/CCNA2/CDK1/ANAPC11/SFN/CDC25A/RBL1/BUB1/MCM2/BUB1B/MAD1L1/CDC7/MCM7/MAD2L1/CDC25C/TTK/CDKN2D/CCNB1/CHEK1/MCM5/MAD2L2/E2F4/CHEK2/GADD45G/CCNA1/MYC/ANAPC2/ZBTB17/GADD45B/CDC6
