ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04912	GnRH signaling pathway	91	0.518091726069543	1.92687177623322	0.000388500388500389	0.00377402719174871	0.00282527697584327	2318	tags=30%, list=14%, signal=26%	CALML6/CALML5/ADCY4/PLA2G4C/JMJD7-PLA2G4B/GNRH2/PLA2G4B/ADCY6/GNRH1/HBEGF/EGR1/CACNA1C/PLCB3/PLCB2/PLA2G4D/ADCY3/ITPR3/GNRHR/PLA2G4F/LHB/PLCB1/PLA2G4A/PLCB4/CAMK2G/PTK2B/ADCY5/PRKCA
hsa04742	Taste transduction	62	0.573044103928286	1.99172092456277	0.000391849529780564	0.00377402719174871	0.00282527697584327	2604	tags=47%, list=16%, signal=40%	TRPM5/TAS2R20/TAS2R10/TAS2R19/ADCY4/TAS2R5/SCNN1A/GABBR1/GABRA4/TAS2R4/ADCY6/TAS2R31/TAS2R14/TAS1R1/TAS2R3/CACNA1C/PLCB3/PLCB2/TAS2R38/ITPR3/GNB3/P2RX3/PLCB1/P2RY4/PLCB4/ENTPD2/SCN3A/ADCY8/PDE1C
hsa05310	Asthma	25	-0.771574484378548	-2.24968967137685	0.000394011032308905	0.00377402719174871	0.00282527697584327	1161	tags=56%, list=7%, signal=52%	HLA-DMA/PRG2/CCL11/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/FCER1G/CD40/HLA-DRB1/HLA-DPA1/HLA-DRB5
hsa04940	Type I diabetes mellitus	41	-0.742733278670789	-2.41293287372347	0.000394944707740916	0.00377402719174871	0.00282527697584327	2562	tags=71%, list=15%, signal=60%	HLA-F/IL12A/CD80/HLA-A/HLA-G/HLA-B/HLA-E/LTA/PTPRN/TNF/HLA-DMA/CD86/CPE/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/FASLG/PTPRN2/PRF1/HLA-DRB1/HLA-C/IL1B/HLA-DPA1/IFNG/GZMB/HLA-DRB5
hsa05320	Autoimmune thyroid disease	38	-0.683066837134958	-2.17320795796747	0.000397930760047752	0.00377402719174871	0.00282527697584327	2672	tags=61%, list=16%, signal=51%	HLA-DOA/HLA-F/CD80/HLA-A/HLA-G/HLA-B/HLA-E/HLA-DMA/CD86/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/CD40/FASLG/PRF1/HLA-DRB1/HLA-C/HLA-DPA1/GZMB/HLA-DRB5
hsa05332	Graft-versus-host disease	37	-0.764706194799985	-2.41420854413948	0.000398089171974522	0.00377402719174871	0.00282527697584327	2971	tags=76%, list=18%, signal=62%	KIR2DL3/HLA-DOA/HLA-F/CD80/HLA-A/HLA-G/HLA-B/HLA-E/TNF/HLA-DMA/CD86/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/FASLG/PRF1/HLA-DRB1/HLA-C/IL6/IL1B/HLA-DPA1/IFNG/KLRD1/GZMB/HLA-DRB5
hsa05330	Allograft rejection	35	-0.756931272287093	-2.35814629143226	0.000402738622633911	0.00377402719174871	0.00282527697584327	2672	tags=74%, list=16%, signal=63%	HLA-DOA/HLA-F/IL12A/CD80/HLA-A/HLA-G/HLA-B/HLA-E/TNF/HLA-DMA/CD86/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/CD40/FASLG/PRF1/HLA-DRB1/HLA-C/HLA-DPA1/IFNG/GZMB/HLA-DRB5
hsa05144	Malaria	47	-0.643624875189276	-2.13569779512118	0.00040371417036738	0.00377402719174871	0.00282527697584327	2672	tags=62%, list=16%, signal=52%	TGFB2/TGFB1/KLRK1/IL12A/ITGAL/KLRB1/TLR2/SDC2/CR1L/CSF3/GYPC/HGF/TNF/VCAM1/SELE/KLRC4-KLRK1/CD36/CD40/ICAM1/THBS4/IL6/ITGB2/IL1B/TGFB3/THBS2/IFNG/CCL2/COMP
hsa05150	Staphylococcus aureus infection	81	-0.602339001370362	-2.22590082817563	0.000406173842404549	0.00377402719174871	0.00282527697584327	1646	tags=47%, list=10%, signal=42%	PTAFR/FCGR2A/MASP1/CFI/DEFA3/ITGAM/HLA-DMA/C1R/KRT19/HLA-DQA1/HLA-DQA2/C3AR1/C1S/HLA-DMB/HLA-DPB1/HLA-DRA/FPR3/CFH/FCGR2B/FPR1/C2/HLA-DRB1/C1QB/C1QA/ICAM1/DEFA1/C1QC/FCGR3B/CAMP/ITGB2/FCAR/HLA-DPA1/FPR2/FCGR3A/FCGR1A/C3/HLA-DRB5
hsa05416	Viral myocarditis	57	-0.695067878402831	-2.40099831672898	0.00040650406504065	0.00377402719174871	0.00282527697584327	2579	tags=56%, list=15%, signal=48%	HLA-DOA/HLA-F/FYN/ITGAL/CD80/SGCG/HLA-A/HLA-G/RAC2/HLA-B/HLA-E/LAMA1/CAV1/HLA-DMA/CD86/MYH6/SGCD/HLA-DQA1/HLA-DQA2/HLA-DMB/HLA-DPB1/HLA-DRA/CD40/MYH7/PRF1/HLA-DRB1/HLA-C/ICAM1/ITGB2/HLA-DPA1/HLA-DRB5
