ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	0.407237139186557	1.50575419648065	0.000203376042302217	0.00867223269593321	0.00717252328235077	4155	tags=39%, list=25%, signal=30%	HLA-DQA1/TNF/FASLG/ZNF285/IL1B/POU2F2/HLA-DQB1/ZNF556/CCL5/HLA-DOA/ZNF530/IFNG/ZNF606/ZNF480/ZNF98/HLA-DRA/ZNF114/ZNF320/ZNF714/ZNF780A/ZNF792/ZNF155/ZNF417/ZNF699/ZNF737/ZFP37/HLA-DMB/ZNF426/CD74/HLA-DPB1/ZNF221/IL12B/ZNF275/OAS2/ZNF772/ZNF284/ZNF793/OAS1/ZNF107/ZNF879/ZNF547/ZNF214/ZNF234/ZNF613/ZNF235/ZNF45/ZNF669/ZNF223/ZNF222/SOCS3/HLA-DOB/ZNF311/ZNF570/ZNF773/ZNF441/ZNF701/ZNF620/ZNF627/IRF7/ZNF878/ZNF8/ZNF585B/ZNF549/ZNF257/ZNF709/ZNF43/ZNF543/ZNF177/ZNF225/ZNF557/IL12A/IRF9/ZNF671/ZNF419/IFIH1/ZNF233/STAT2/HLA-G/ZNF350/STAT1/HLA-DPA1/ZNF689/ZNF461/ZNF717/ZNF675/ZNF230/ZNF559/ZNF439/ZNF763/ZNF805/ZFP1/ZNF490/ZNF175/IKBKE/ZNF10/OAS3/ZNF432/ZNF2/ZNF552/ZNF623/ZFP30/ZNF554/ZNF583/ZNF568/ZNF14/ZNF566/ZNF674/ZNF460/ZNF184/POU2F3/ZNF226/ZNF658/ZNF224/TAP1/ZNF256/ZNF33A/ZNF268/ZNF416/ZNF33B/ZNF573/ZNF324/ZNF30/ZNF3/TLR3/SRSF5/DDX58/BCL2/ZIK1/ZNF440/ZNF429/ZNF816/ZNF77/JAK2/ZNF181/ZNF443/ZNF527/ZNF782/ZNF823/ZNF425/ZNF597/HLA-F/ZNF641/SRSF6/ZNF585A/ZNF565/ZNF200/TP53/ZNF624/HLA-E/ZNF595/ZNF302/ZNF154/ZNF841/ZNF382/NXF2B/ZNF713/TAP2/ZNF582/HLA-A/MYD88/ZNF726/HLA-DRB1/CARD9/MAVS/ZNF845/CASP3/ZNF93/ZNF442/TMEM173/ZNF383/ZNF398/CASP9/ZNF211/ZNF112/ZNF44/ZNF778/ZNF766/ZNF415/ZNF160/ZNF57
hsa04060	Cytokine-cytokine receptor interaction	262	0.513081762527899	1.84247832930658	0.000210349179638199	0.00867223269593321	0.00717252328235077	1599	tags=28%, list=10%, signal=26%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/PF4V1/XCL2/CXCL10/CXCL11/TNFRSF13B/TNF/CCL13/CCL17/FASLG/XCR1/IL1B/CCL22/CCL25/ACKR4/TNFRSF17/CCL3/CXCL9/CCL8/GDF5/CSF2RB/CCL5/CCL15/CCR6/TNFRSF18/IL2RB/CD40LG/CCR4/CCR5/CXCR3/CCL24/BMP8A/IFNG/TNFRSF13C/CSF1R/CXCL6/BMP3/XCL1/GDF10/CX3CR1/CXCR6/IL12RB1/CCR9/IL21R/CD27/CCR2/IFNL1/CCL4/CCL19/CCL11/IL27/CCL28/IL12B/IL5/CD4/BMP6/IL16/IL23A/CCR3/TNFRSF4/LTB/CCL18/BMP4/CNTFR/IL18/TNFSF10/CCR10/CXCL1/IL22RA1/IL5RA
hsa04062	Chemokine signaling pathway	186	0.57437351791298	2.0078115906092	0.000219106047326906	0.00867223269593321	0.00717252328235077	995	tags=23%, list=6%, signal=21%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/PF4V1/XCL2/CXCL10/CXCL11/CCL13/CCL17/XCR1/CCL22/CCL25/CCL3/CXCL9/GNG8/CCL8/CCL5/GRK1/CCL15/CCR6/CCR4/CCR5/CXCR3/CCL24/ADCY1/CXCL6/XCL1/CX3CR1/PRKCB/GNG7/CXCR6/GNGT1/VAV1/CCR9/CCR2/CCL4/CCL19/RAC2/CCL11/CCL28/NCF1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.680495584484723	2.22276684535187	0.000236686390532544	0.00867223269593321	0.00717252328235077	1705	tags=45%, list=10%, signal=41%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/PF4V1/XCL2/CXCL10/CXCL11/TNF/CCL13/CCL17/XCR1/CCL22/CCL25/ACKR4/CCL3/CXCL9/CCL8/CCL5/CCL15/CCR6/IL2RB/CCR4/CCR5/CXCR3/CCL24/CSF1R/CXCL6/XCL1/CX3CR1/CCR9/CCR2/CCL4/CCL19/CCL11/CCL28/CCR3/CCL18/IL18/TNFSF10/CCR10/CXCL1/IL22RA1/CXCL5
hsa04640	Hematopoietic cell lineage	92	0.593447834701682	1.92662303856861	0.000237473284255521	0.00867223269593321	0.00717252328235077	1632	tags=36%, list=10%, signal=33%	CD1E/CD1C/FCER2/HLA-DQA1/TNF/IL1B/CR2/CD1B/CD3D/HLA-DQB1/CD3G/CD2/HLA-DOA/CD3E/CD8A/FCGR1A/CSF1R/HLA-DRA/CD7/CD5/FLT3/HLA-DMB/CD38/MS4A1/HLA-DPB1/IL5/CD4/ITGA4/CD14/FLT3LG/IL5RA/CD19/HLA-DOB
hsa04620	Toll-like receptor signaling pathway	90	0.5911002562223	1.91367075024788	0.000237699072973615	0.00867223269593321	0.00717252328235077	790	tags=18%, list=5%, signal=17%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/CXCL10/CXCL11/TNF/IL1B/CCL3/CXCL9/CCL5/CD80/FOS/TLR7/TLR6/CCL4
hsa04658	Th1 and Th2 cell differentiation	89	0.560367826937007	1.81218628514243	0.000238038562247084	0.00867223269593321	0.00717252328235077	2353	tags=34%, list=14%, signal=29%	HLA-DQA1/CD3D/HLA-DQB1/CD3G/IL2RB/FOS/HLA-DOA/CD3E/RUNX3/IFNG/LCK/HLA-DRA/IL12RB1/HLA-DMB/HLA-DPB1/IL12B/IL5/TBX21/CD4/ZAP70/HLA-DOB/LAT/PRKCQ/IL12A/JUN/STAT1/HLA-DPA1/IL4/CD247/IL2RG
hsa05323	Rheumatoid arthritis	87	0.580171655426553	1.87224330228284	0.000239463601532567	0.00867223269593321	0.00717252328235077	2278	tags=36%, list=14%, signal=31%	CCL3L3/CCL3L1/HLA-DQA1/TNF/IL1B/CCL3/HLA-DQB1/ATP6V0D2/CCL5/CD80/FOS/HLA-DOA/ITGAL/IFNG/CXCL6/HLA-DRA/ATP6V0E2/HLA-DMB/ACP5/HLA-DPB1/IL23A/CTLA4/LTB/IL18/CXCL1/HLA-DOB/CXCL5/CD86/JUN/HLA-DPA1/CXCL3
hsa04612	Antigen processing and presentation	67	0.60581396959491	1.8859657787399	0.000247586036147561	0.00867223269593321	0.00717252328235077	2354	tags=40%, list=14%, signal=35%	KLRC1/HLA-DQA1/TNF/KLRD1/KIR3DL2/HLA-DQB1/HLA-DOA/KIR2DL4/CD8A/IFNG/HLA-DRA/KLRC3/CIITA/HLA-DMB/CD74/HLA-DPB1/LGMN/CTSS/CD4/HLA-DOB/HSPA6/HLA-G/HLA-DPA1/KIR2DL1/KIR2DL3/KIR3DL1/KLRC4
hsa05340	Primary immunodeficiency	36	0.694372187111818	1.95038529508436	0.000269323996768112	0.00867223269593321	0.00717252328235077	2814	tags=56%, list=17%, signal=46%	TNFRSF13B/CD79A/CD3D/CD40LG/ICOS/CD3E/CD8A/LCK/TNFRSF13C/CIITA/RAG1/CD4/ZAP70/CD19/BLNK/PTPRC/IL2RG/AICDA/TAP1/BTK
