ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	0.535521219499713	1.91092898688381	0.000207684319833853	0.0082855157862234	0.00660891092461102	2020	tags=32%, list=12%, signal=29%	CCL3L3/CCL4L1/CCL4L2/PF4V1/CCL3L1/XCL2/TNFRSF13B/CCL13/IL1B/CXCL10/TNF/XCR1/FASLG/CCL22/CXCL11/TNFRSF17/CCL17/CCL15/CCL3/CCL24/CCL25/CCL8/CCR6/CSF2RB/CXCR3/IL2RB/CCL5/CXCL9/ACKR4/TNFRSF18/TNFRSF13C/CCR4/CD40LG/GDF5/CCR5/CXCR6/IL21R/CD27/CSF1R/BMP3/IL12RB1/BMP8A/CXCL6/CCR2/CCR9/CCL28/CCL4/CCL19/CX3CR1/XCL1/IFNG/IL18/LTB/IL22RA1/IFNL1/IL27/CCL18/CD4/CXCL1/BMP5/IL23A/GDF10/IL16/IL12B/IL5/TNFRSF4/IL5RA/IL2RG/CXCL5/CRLF2/CXCL14/CCR3/CCL7/TNFSF10/EDAR/CCR1/CXCL3/IFNLR1/BMP6/CCL11/TNFRSF11A/IL2RA/IL17RE/BMP4/OSM
hsa04062	Chemokine signaling pathway	186	0.588664854229074	2.05134814853308	0.000214592274678112	0.0082855157862234	0.00660891092461102	2650	tags=34%, list=16%, signal=29%	CCL3L3/CCL4L1/CCL4L2/PF4V1/CCL3L1/XCL2/CCL13/CXCL10/XCR1/CCL22/CXCL11/CCL17/CCL15/CCL3/CCL24/CCL25/CCL8/CCR6/CXCR3/CCL5/CXCL9/GRK1/CCR4/GNG8/CCR5/CXCR6/VAV1/CXCL6/CCR2/CCR9/CCL28/RAC2/CCL4/GNGT1/NCF1/CCL19/CX3CR1/XCL1/ADCY1/PRKCB/GNG7/CCL18/CXCL1/PIK3CG/CXCL5/CXCL14/CCR3/CCL7/CCR1/CXCL3/DOCK2/CCL11/VAV3/PTK2B/GNAI1/HCK/PLCG2/ADCY7/STAT1/WAS/CCR10/PIK3R6/PLCB2
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.714647104786323	2.33447075557723	0.000231107002542177	0.0082855157862234	0.00660891092461102	1924	tags=50%, list=12%, signal=44%	CCL3L3/CCL4L1/CCL4L2/PF4V1/CCL3L1/XCL2/CCL13/CXCL10/TNF/XCR1/CCL22/CXCL11/CCL17/CCL15/CCL3/CCL24/CCL25/CCL8/CCR6/CXCR3/IL2RB/CCL5/CXCL9/ACKR4/CCR4/CCR5/CSF1R/CXCL6/CCR2/CCR9/CCL28/CCL4/CCL19/CX3CR1/XCL1/IL18/IL22RA1/CCL18/CXCL1/IL2RG/CXCL5/CXCL14/CCR3/CCL7/TNFSF10/CCR1/CXCL3/CCL11/IL2RA
hsa04972	Pancreatic secretion	97	0.580732979227582	1.8927924896287	0.000231857175979597	0.0082855157862234	0.00660891092461102	3564	tags=46%, list=21%, signal=37%	PLA2G10/CLCA1/SLC26A3/CFTR/CPA3/PLA2G2D/PLA2G12B/CLCA4/SCT/CEL/CD38/ADCY1/CA2/PRSS3/SCTR/RAB27B/PRKCB/SLC4A4/CELA3A/ATP2A1/ATP1B1/ATP2A3/ATP1A2/PRKCG/KCNQ1/PLA2G3/CPA1/ATP1A4/ITPR2/ATP2B1/ADCY7/CTRL/CELA2A/CELA3B/CTRB2/CELA2B/PLCB2/PNLIPRP1/AMY2A/CHRM3/RYR2/CLCA2/AMY1A/FXYD2/PLA2G1B
hsa04640	Hematopoietic cell lineage	92	0.59594345440591	1.93308820477007	0.000232937339855579	0.0082855157862234	0.00660891092461102	3139	tags=49%, list=19%, signal=40%	CD1E/CD1C/CR2/IL1B/TNF/FCER2/HLA-DQA1/CD1B/CD3D/CD3G/CD2/CD8A/CD3E/FCGR1A/HLA-DOA/MS4A1/HLA-DQB1/CSF1R/CD7/FLT3/CD5/CD38/HLA-DRA/HLA-DMB/CD4/CD14/IL5/IL5RA/CD19/GP9/HLA-DPB1/ITGA4/IL2RA/HLA-DOB/CD8B/GP5/IL4/CD37/IL3RA/FLT3LG/TFRC/CR1L/CD1D/KIT/CSF2RA
hsa04620	Toll-like receptor signaling pathway	90	0.589334058617472	1.90705876417485	0.000233045910044279	0.0082855157862234	0.00660891092461102	2944	tags=33%, list=18%, signal=28%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/IL1B/CXCL10/TNF/CXCL11/CCL3/CCL5/CXCL9/CD80/FOS/TLR7/CCL4/TLR6/CD14/IL12B/CD86/MAP2K6/IKBKE/IRF7/MAPK13/STAT1/RIPK1/MYD88/IRF5/TLR3/TIRAP/JUN
hsa05323	Rheumatoid arthritis	87	0.602666986078915	1.94506455406258	0.000234301780693533	0.0082855157862234	0.00660891092461102	1989	tags=34%, list=12%, signal=31%	CCL3L3/CCL3L1/IL1B/TNF/HLA-DQA1/ATP6V0D2/CCL3/CCL5/CD80/FOS/ITGAL/HLA-DOA/HLA-DQB1/CXCL6/HLA-DRA/IFNG/ACP5/IL18/HLA-DMB/ATP6V0E2/LTB/CXCL1/IL23A/CXCL5/CD86/CTLA4/HLA-DPB1/CXCL3/TNFRSF11A/HLA-DOB
hsa04976	Bile secretion	77	0.576826310648858	1.83580884914115	0.000237755587256301	0.0082855157862234	0.00660891092461102	2489	tags=36%, list=15%, signal=31%	UGT1A10/SLCO1B3/UGT1A1/SLC9A3/CFTR/AQP8/UGT1A6/SLC51B/NR1H4/SCT/ABCB11/ADCY1/CA2/SCTR/SLC10A1/SLC4A4/UGT1A7/UGT2B17/ATP1B1/ATP1A2/HMGCR/ABCG2/ATP1A4/SLC5A1/ABCB1/ADCY7/SLC51A/UGT2A3
hsa04612	Antigen processing and presentation	67	0.602321073466945	1.87758710670701	0.000241896468311563	0.0082855157862234	0.00660891092461102	3473	tags=51%, list=21%, signal=40%	KLRC1/TNF/HLA-DQA1/KLRD1/KIR2DL4/KIR3DL2/CD8A/HLA-DOA/KLRC3/HLA-DQB1/CTSS/HLA-DRA/IFNG/HLA-DMB/CD4/CIITA/LGMN/CD74/HLA-G/HLA-DPB1/KLRC4/HLA-DOB/CD8B/KIR3DL1/HSPA6/IFI30/KIR2DL3/TAP1/KIR2DL1/HLA-F/HLA-A/HLA-DPA1/KLRC2/TAP2
hsa05340	Primary immunodeficiency	36	0.716479251671909	2.01844987241803	0.000264830508474576	0.0082855157862234	0.00660891092461102	1606	tags=47%, list=10%, signal=43%	TNFRSF13B/CD79A/CD3D/TNFRSF13C/CD8A/CD3E/CD40LG/ICOS/LCK/CD4/CIITA/ZAP70/CD19/IL2RG/RAG1/BLNK/PTPRC
