ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04062	Chemokine signaling pathway	186	0.515284086026638	1.86349298774533	0.000216497077289457	0.0198618307426598	0.0180503071149376	2004	tags=24%, list=12%, signal=21%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/CCL15/PF4V1/CCR6/XCL2/CXCR3/GRK1/CX3CR1/CCL13/CXCR6/XCR1/CCL5/VAV1/CCR5/CXCL10/CCL22/CCL8/CX3CL1/PLCB2/RAC2/CXCL14/CCR2/PIK3CG/CCL3/CCL28/ADCY1/CXCL11/GNG7/CCR4/ADCY8/CCL17/CCL25/VAV3/CXCL5/CXCL9/GNG8/GNAI1/CCR1/PAK1/CCR9/CCL4
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.596504643101225	2.01459815470361	0.000233100233100233	0.0198618307426598	0.0180503071149376	2145	tags=40%, list=13%, signal=35%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/CCL15/PF4V1/CCR6/XCL2/CXCR3/CX3CR1/CSF1R/CCL13/XCR1/CCL5/ACKR4/CCR5/CXCL10/TNF/CCL22/CCL8/CX3CL1/CXCL14/CCR2/CCL3/CCL28/CXCL11/CCR4/TNFSF10/CCL17/CCL25/CXCL5/CXCL9/IL2RG/CCR1/CCR9/CCL4/IL10RA/IL2/IL2RB
hsa04620	Toll-like receptor signaling pathway	90	0.573958326099711	1.91865240673259	0.000234796900680911	0.0198618307426598	0.0180503071149376	2508	tags=30%, list=15%, signal=26%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/TLR7/CCL5/TLR6/CXCL10/TNF/TLR1/IL1B/CD14/IKBKE/LBP/CCL3/CXCL11/FOS/CXCL9/CD80/SPP1/CD86/CCL4/TIRAP/TLR8/STAT1/RIPK1/TLR3
hsa00980	Metabolism of xenobiotics by cytochrome P450	63	0.591361662843573	1.88140034114857	0.000246730816679003	0.0198618307426598	0.0180503071149376	1521	tags=35%, list=9%, signal=32%	GSTM1/GSTT2/GSTM3/GSTT2B/GSTM4/AKR7A3/UGT1A10/GSTM5/ALDH3A1/CYP1A1/CYP2D6/CYP2C9/CYP2S1/UGT1A9/UGT1A1/UGT2B17/GSTA1/DHDH/ADH4/HPGDS/CYP2B6/UGT1A4
hsa00982	Drug metabolism - cytochrome P450	58	0.582173855265167	1.83329824217418	0.000495908752789487	0.0283500616305688	0.0257643580689706	1521	tags=34%, list=9%, signal=31%	GSTM1/GSTT2/GSTM3/GSTT2B/GSTM4/UGT1A10/FMO4/GSTM5/FMO5/ALDH3A1/CYP2D6/CYP2C9/UGT1A9/UGT1A1/UGT2B17/GSTA1/ADH4/HPGDS/CYP2B6/UGT1A4
hsa05340	Primary immunodeficiency	36	0.681269081783223	1.97481858493246	0.000528262017960909	0.0283500616305688	0.0257643580689706	2061	tags=47%, list=12%, signal=41%	CD79A/CD3D/CD40LG/CD3E/LCK/TNFRSF13B/RAG1/ICOS/ZAP70/CD8A/TNFRSF13C/CD4/BLNK/IL2RG/RAG2/RFX5/PTPRC
hsa05204	Chemical carcinogenesis	68	0.544954761173646	1.75691665767536	0.000971581248481904	0.04059505799294	0.0368925339066274	1521	tags=29%, list=9%, signal=27%	GSTM1/GSTT2/GSTM3/GSTT2B/SULT1A1/GSTM4/UGT1A10/GSTM5/NAT1/ALDH3A1/CYP1A1/CYP2C9/UGT1A9/UGT1A1/UGT2B17/GSTA1/CYP3A7/ADH4/HPGDS/UGT1A4
hsa04115	p53 signaling pathway	70	-0.438908767892523	-1.72133415695859	0.00113765642775882	0.04059505799294	0.0368925339066274	3001	tags=34%, list=18%, signal=28%	DDB2/BBC3/ZMAT3/CHEK2/RPRM/PTEN/IGFBP3/RRM2B/SHISA5/BID/MDM2/PERP/GADD45B/IGF1/CDK2/TNFRSF10B/CCND2/FAS/CDKN2A/THBS1/CDKN1A/SFN/SERPINE1
hsa04060	Cytokine-cytokine receptor interaction	262	0.4059873371885	1.50767417412371	0.00125287116308206	0.04059505799294	0.0368925339066274	2187	tags=25%, list=13%, signal=22%	CCL3L3/CCL4L1/CCL4L2/CCL3L1/TNFRSF17/CCL15/PF4V1/CCR6/XCL2/CXCR3/CD40LG/CX3CR1/CSF1R/CCL13/CXCR6/XCR1/BMP8A/CCL5/PRLR/CD27/ACKR4/GDF5/CCR5/IL12RB1/CXCL10/TNF/TNFRSF13B/IL1B/CCL22/IL5RA/CCL8/CX3CL1/BMP3/CXCL14/IL23A/CCR2/LTB/CCL3/CCL28/CXCL11/IL21R/CCR4/TNFSF10/CCL17/MPL/CCL25/IL16/FASLG/CXCL5/CXCL9/TNFRSF13C/CD4/INHBC/IL2RG/CCR1/TNFSF13/IFNL1/CSF2RB/BMP6/CCR9/CCL4/EDAR/IL10RA/IL2/IL2RB/ACVR2A
hsa04976	Bile secretion	77	0.52271427500061	1.71513549074641	0.00144334856867934	0.04059505799294	0.0368925339066274	4049	tags=44%, list=24%, signal=34%	SCTR/CFTR/UGT1A10/SLC10A1/SLC9A3/FXYD2/SLC4A4/ATP1B1/UGT1A9/ADCY1/UGT1A1/NR0B2/ADCY8/UGT2B17/SLC5A1/SLC22A8/UGT1A4/NR1H4/SLC51B/UGT1A6/SLCO1A2/ATP1A2/NCEH1/ATP1A3/ABCC4/UGT1A8/ADCY7/ABCB11/PRKACB/AQP1/HMGCR/SCT/SLC27A5/UGT1A7
