ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	-0.522766930016483	-1.70781742362498	0.000200601805416249	0.00431681681681682	0.00354207591049696	3856	tags=48%, list=23%, signal=37%	GDF11/TNFRSF1B/CXCL16/IL12A/TNFSF9/CCL3/CSF1/IL12B/BMP5/CD40/CD40LG/CLCF1/CCR10/IFNG/CCL1/XCR1/CCR9/NGF/GDF1/CXCR4/CCR3/IL26/IL27RA/CXCL3/CCL15/CSF2/CCL24/IL13RA2/TNFRSF19/IL20RB/IL7R/TNFRSF11A/BMP6/CCR6/IFNLR1/CSF3R/IL18R1/BMP4/LTA/CD27/IL33/CCL11/IL21R/IL1RL1/OSMR/IL10/IL1B/TNFRSF8/CNTFR/IL12RB2/AMHR2/CCR2/THPO/CCL16/TNFRSF13B/CXCL10/LEP/TNFSF12/CCR7/CXCL2/IL3RA/IL27/TSLP/PPBP/AMH/IFNE/ACVRL1/IL15RA/BMP8B/CSF1R/CXCL13/INHBA/IL10RA/IL24/CD70/TGFB2/CCL26/OSM/CCL17/CXCL11/IL32/TNFSF8/TNFSF13B/CXCR6/GDF10/IL1R1/CSF2RB/FASLG/TNFSF10/CSF2RA/IL2RG/TGFB1/IL1R2/CX3CR1/TNFRSF25/CD4/CXCL9/IL16/TNFRSF18/IL2RB/CCL23/CCL13/CCL8/TNFSF14/IL12RB1/CCR5/CCL14/XCL1/IL20RA/LTB/IL17B/CCR1/IL34/TNFRSF14/CCL19/IL2RA/CCL3L3/CCL5/CCL18/CXCL12/XCL2/CXCR3/TNFRSF11B/CCL21
hsa04062	Chemokine signaling pathway	186	-0.494267909265877	-1.5924084690548	0.000202101859337106	0.00431681681681682	0.00354207591049696	3978	tags=45%, list=24%, signal=34%	CCR8/PLCG1/CXCR5/CXCL16/PIK3R1/CCL3/HCK/GNB3/CCR10/CCL1/XCR1/CCR9/CXCR4/CCR3/CXCL3/CCL15/CCL24/TIAM1/GRK5/GNB4/GNAI2/CCR6/CCL11/ITK/PIK3CG/SHC3/ADCY3/SHC4/ARRB1/CCR2/CCL16/GRK4/CXCL10/GNG2/CCR7/CXCL2/PPBP/FGR/SHC2/CXCL13/PIK3R6/PLCB4/ADCY2/DOCK2/ADCY7/CCL26/CCL17/ADCY4/CXCL11/WAS/CXCR6/GNGT2/PLCB1/PRKCB/PREX1/LYN/PLCB2/PIK3CD/ELMO1/PIK3R5/RASGRP2/VAV1/NCF1/CX3CR1/JAK3/CXCL9/CCL23/CCL13/CCL8/RAC2/CCR5/CCL14/XCL1/CCR1/CCL19/CCL3L3/CCL5/CCL18/CXCL12/XCL2/CXCR3/CCL21
hsa05152	Tuberculosis	162	-0.504621233869543	-1.61649292472726	0.000202798620969377	0.00431681681681682	0.00354207591049696	2976	tags=34%, list=18%, signal=28%	TLR1/HLA-DOB/NOD2/CLEC4E/BID/CAMK2D/IL10/IL1B/MAPK11/CLEC4M/NOS2/CEBPB/CD74/TLR6/MAPK10/LSP1/CASP10/HLA-DOA/PLA2R1/IL10RA/HLA-DMA/KSR1/TGFB2/CTSS/CAMP/MYD88/HLA-DRB1/ITGAX/MRC2/ITGAM/CARD9/CLEC7A/SPHK1/CD209/FCGR2B/HLA-DRA/CD14/ITGB2/HLA-DQA1/FCER1G/TGFB1/HLA-DRB5/HLA-DQA2/CORO1A/FCGR2A/MAPK12/HLA-DPB1/C3/FCGR1A/CAMK2B/HLA-DPA1/FCGR3A/MRC1/HLA-DQB1
hsa04514	Cell adhesion molecules	136	-0.561635385840008	-1.7819539430519	0.000204123290467442	0.00431681681681682	0.00354207591049696	3776	tags=55%, list=23%, signal=43%	CD274/CLDN2/HLA-E/HLA-F/CLDN23/CD226/CD40/HLA-A/CD40LG/NLGN2/CD34/VTCN1/CDH5/MPZL1/ITGA4/CLDN6/CD28/HLA-DOB/PTPRM/CNTN1/CTLA4/HLA-C/ICAM2/CD58/CADM1/PTPRC/CADM3/CD6/NTNG1/ITGA9/CD8B/SPN/HLA-DOA/LRRC4B/JAM2/CD99/HLA-DMA/CD86/SELL/CLDN5/HLA-DRB1/MAG/NEGR1/ITGAM/PDCD1LG2/PDCD1/MADCAM1/ITGAL/VCAN/CLDN3/NTNG2/HLA-DRA/NRXN2/ITGB2/HLA-DQA1/CLDN1/TIGIT/SELPLG/CD22/SDC3/HLA-DRB5/CLDN11/CD8A/CDH3/CD4/HLA-DQA2/CDH15/HLA-DPB1/NRCAM/HLA-DPA1/SIGLEC1/HLA-DQB1/CD2/CLDN10
hsa05322	Systemic lupus erythematosus	122	-0.649461716671035	-2.04348222355147	0.000205423171733772	0.00431681681681682	0.00354207591049696	4032	tags=64%, list=24%, signal=49%	HIST1H3B/HIST2H2AA4/HIST3H2BB/HIST1H3D/HIST1H4A/H2AFY/HIST2H4A/HIST1H3A/CD40/CD40LG/IFNG/HIST1H2BK/H2AFB3/HIST1H3J/HIST2H4B/HIST1H2BN/CD28/H2AFX/HIST1H2AM/HIST1H4E/HLA-DOB/H2AFB2/HIST1H4I/HIST2H2AA3/HIST1H2AG/HIST1H2AH/HIST1H2BE/IL10/HIST2H3D/ELANE/HIST1H2BC/HIST1H2BL/HIST3H2A/H2AFY2/HIST1H3H/HIST2H2AC/HLA-DOA/HIST1H2BG/HLA-DMA/CD86/HIST1H4B/HIST1H2BJ/HIST1H3G/HLA-DRB1/C6/HIST1H4D/HIST1H2AE/HLA-DRA/C1S/HIST1H4J/HLA-DQA1/ACTN1/C1R/HIST1H2BD/HIST1H2BO/HLA-DRB5/HIST1H4H/HIST1H2AC/HIST1H3C/HIST1H2BF/HLA-DQA2/FCGR2A/HLA-DPB1/C3/FCGR1A/C4A/C1QA/C2/HLA-DPA1/C1QB/FCGR3A/C4B/C1QC/HIST1H2BH/HLA-DQB1/C7/CTSG
hsa04380	Osteoclast differentiation	123	-0.532027481585736	-1.67484119033043	0.000205465379083624	0.00431681681681682	0.00354207591049696	2782	tags=35%, list=17%, signal=29%	OSCAR/LCP2/IL1B/MAPK11/FYN/ACP5/IRF9/SPI1/FOS/BTK/NFATC2/MAPK10/CSF1R/LILRA1/TGFB2/LILRB2/LILRA4/IL1R1/NCF4/FCGR2B/CTSK/PIK3CD/LILRB1/LILRB5/FHL2/LILRA6/TGFB1/LCK/NCF1/LILRB4/TYROBP/CYBA/SIRPB1/TREM2/LILRA2/FCGR2A/SIRPG/MAPK12/FCGR1A/SIRPA/FCGR3A/TNFRSF11B
hsa04659	Th17 cell differentiation	102	-0.586612987184195	-1.8206508110729	0.000207598090097571	0.00431681681681682	0.00354207591049696	2515	tags=35%, list=15%, signal=30%	LAT/IL1B/MAPK11/FOS/TBX21/FOXP3/NFATC2/MAPK10/HLA-DOA/HLA-DMA/HLA-DRB1/IL1R1/RUNX1/CD3D/HLA-DRA/IL2RG/HLA-DQA1/ZAP70/TGFB1/LCK/HLA-DRB5/JAK3/CD4/IL2RB/HLA-DQA2/CD3G/MAPK12/HLA-DPB1/IL12RB1/HLA-DPA1/CD247/IL2RA/HLA-DQB1/PRKCQ/CD3E
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	-0.607341834399162	-1.87805384752758	0.000208420175072947	0.00431681681681682	0.00354207591049696	3412	tags=54%, list=20%, signal=43%	CCL1/XCR1/CCR9/CXCR4/CCR3/CXCL3/CCL15/CCL24/IL20RB/CCR6/IL18R1/LTA/CCL11/IL10/CCR2/CCL16/CXCL10/CCR7/CXCL2/PPBP/CSF1R/CXCL13/IL10RA/IL24/CCL26/CCL17/CXCL11/TNFSF10/IL2RG/CX3CR1/CXCL9/IL2RB/CCL23/CCL13/CCL8/TNFSF14/CCR5/CCL14/XCL1/IL20RA/CCR1/IL34/TNFRSF14/CCL19/IL2RA/CCL3L3/CCL5/CCL18/CXCL12/XCL2/CXCR3/CCL21
hsa04640	Hematopoietic cell lineage	92	-0.610341501401134	-1.87888840704563	0.000209205020920502	0.00431681681681682	0.00354207591049696	3332	tags=55%, list=20%, signal=45%	CD34/CD1D/ITGA4/CD1A/ITGA5/CSF2/CD5/HLA-DOB/IL7R/CSF3R/FCER2/IL1B/CD38/THPO/FLT3/IL3RA/CD37/CD8B/MS4A1/HLA-DOA/CSF1R/HLA-DMA/HLA-DRB1/ITGAM/IL1R1/CSF2RA/CD3D/HLA-DRA/CD14/HLA-DQA1/ANPEP/IL1R2/CD22/HLA-DRB5/CD1C/CD8A/CD19/CD4/GP1BB/HLA-DQA2/CD3G/HLA-DPB1/FCGR1A/CD33/HLA-DPA1/IL2RA/CD7/HLA-DQB1/CD2/CD3E
hsa04658	Th1 and Th2 cell differentiation	89	-0.628575600600731	-1.93090699156502	0.000209424083769634	0.00431681681681682	0.00354207591049696	3026	tags=55%, list=18%, signal=45%	PLCG1/GATA3/IL12A/IL12B/IFNG/PPP3R1/JAG2/RUNX3/NOTCH3/HLA-DOB/DLL3/DLL1/LAT/NOTCH1/MAPK11/IL12RB2/FOS/NOTCH2/TBX21/NFATC2/MAPK10/HLA-DOA/HLA-DMA/MAF/JAG1/HLA-DRB1/STAT4/CD3D/HLA-DRA/IL2RG/HLA-DQA1/ZAP70/LCK/HLA-DRB5/JAK3/CD4/IL2RB/HLA-DQA2/CD3G/MAPK12/HLA-DPB1/IL12RB1/HLA-DPA1/CD247/IL2RA/HLA-DQB1/PRKCQ/CD3E
