ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04151	PI3K-Akt signaling pathway	330	-0.412027509136569	-1.85797561510571	0.000387446726075165	0.00328303425774878	0.00223233450673993	2575	tags=29%, list=15%, signal=25%	SGK3/PRKAA1/ITGB1/EIF4EBP1/YWHAZ/AKT3/ERBB3/TEK/CREB1/FGF10/FGF20/CCNE2/ITGA2/PDGFD/LPAR4/CCND1/AREG/ITGB3/NGFR/MYC/JAK3/NRAS/GNG12/SOS1/CSF1/IGF1/CCND2/MYB/EFNA3/GNG2/EREG/GNGT2/PRKAA2/OSMR/IL2RA/MAPK1/CREB3L2/THBS1/G6PC2/TLR4/MET/ITGA5/TNR/HGF/GNB4/ITGAV/THBS2/OSM/PDGFRA/COL6A2/EFNA5/EGFR/COL4A1/IL2RG/FN1/INSR/G6PC/COL1A1/VWF/MTCP1/LAMA4/FGF5/IL7R/ITGA8/F2R/IL7/BDNF/TGFA/NGF/FGF7/PDGFRB/PIK3CG/GNG4/ITGA4/LPAR1/FLT1/ANGPT4/ITGA1/TNN/VEGFA/KDR/COL1A2/ANGPT1/PIK3R2/PGF/GHR/COL6A3/IL2RB/FASLG/COMP/ANGPT2/EPO/IBSP/IL6/CREB3L3
hsa04940	Type I diabetes mellitus	41	-0.696896309606982	-2.29260150145623	0.000389408099688474	0.00328303425774878	0.00223233450673993	2027	tags=56%, list=12%, signal=49%	GZMB/IL12B/CD80/HLA-B/HLA-DMB/HLA-DMA/HLA-DPB1/HLA-DQA1/HLA-DRA/HLA-DOB/CD28/CPE/PRF1/HLA-DRB1/IL1B/LTA/HLA-DPA1/PTPRN/FASLG/IFNG/HLA-DQA2/HLA-DRB5
hsa04672	Intestinal immune network for IgA production	44	-0.611496377602438	-2.04280032352689	0.000390930414386239	0.00328303425774878	0.00223233450673993	2038	tags=50%, list=12%, signal=44%	CD86/CD80/HLA-DMB/HLA-DMA/HLA-DPB1/CD40/HLA-DQA1/HLA-DRA/HLA-DOB/CD28/HLA-DRB1/CD40LG/ICOS/IL10/ITGA4/TNFSF13B/HLA-DPA1/AICDA/HLA-DQA2/HLA-DRB5/IL6
hsa05166	Human T-cell leukemia virus 1 infection	212	-0.449552642766546	-1.93525012217798	0.000391083300743058	0.00328303425774878	0.00223233450673993	3944	tags=39%, list=24%, signal=30%	CSF2/CREB5/ADCY9/MAPK9/JAK1/PPP3CA/TGFBR2/IL1R2/PTEN/KRAS/EGR2/MAPK3/NFATC2/CDKN2B/E2F2/CHEK1/PPP3R1/HLA-A/MAD2L1/TGFB1/ATF2/ZFP36/HLA-DQB1/TGFB3/HLA-C/B2M/BUB1B/ELK4/AKT3/CREB1/CCNE2/PRKACB/CALR/IL15RA/CCND1/CDC27/RB1/MYC/JAK3/NRAS/HLA-B/HLA-DMB/HLA-DMA/EGR1/CCND2/ITGB2/ITGAL/SLC2A1/CCNA2/CD4/HLA-DPB1/IL2RA/MAPK1/CDC20/CREB3L2/NFATC3/MSX2/CD40/CANX/ICAM1/FOS/HLA-DQA1/PTTG1/HLA-DRA/HLA-DOB/LCK/CCNB2/ETS1/IL2RG/HLA-DRB1/NRP1/CD3D/CD3G/PIK3R2/LTA/HLA-DPA1/CD3E/IL2RB/HLA-DQA2/HLA-DRB5/IL6/CREB3L3
hsa05320	Autoimmune thyroid disease	38	-0.678305499329365	-2.18976034324666	0.000391083300743058	0.00328303425774878	0.00223233450673993	2027	tags=63%, list=12%, signal=56%	HLA-DQB1/HLA-C/CD86/GZMB/CD80/HLA-B/HLA-DMB/HLA-DMA/HLA-DPB1/CD40/TSHR/HLA-DQA1/HLA-DRA/HLA-DOB/CD28/PRF1/HLA-DRB1/CD40LG/IL10/HLA-DPA1/FASLG/HLA-DQA2/HLA-DRB5
hsa04060	Cytokine-cytokine receptor interaction	262	-0.523225495390363	-2.30490540192091	0.000392003136025088	0.00328303425774878	0.00223233450673993	2446	tags=38%, list=15%, signal=33%	GDF3/TNFRSF21/PF4/TNFSF4/IL12RB2/LEPR/BMPR2/IL10RB/CNTF/IL15RA/NGFR/XCR1/IL12B/IL12RB1/CSF1/BMP8B/IL1RL2/CCR1/TNFRSF11B/IL1RAP/LTB/BMPR1A/CD4/OSMR/IL2RA/IL1RN/CD40/CXCR1/CCL26/TNFSF11/IL6ST/TNFRSF11A/CXCR6/TNFSF8/OSM/CCL3/BMP3/CXCR2/IL2RG/IL9R/EDA2R/BMP4/TNFSF10/IL7R/INHBB/IL18R1/CD40LG/CCR4/TNFSF14/CCL8/IL1B/TNFSF15/TNFSF18/CX3CR1/CXCL5/IL7/INHBE/IL33/IL21R/NGF/CCL15/ACKR3/CCL19/IL13RA2/GDF6/TNFRSF6B/IL10/IL32/CCL4/TNFSF13B/CXCR3/CCL5/CCR5/IL22RA1/LTA/THPO/CD27/CCR2/GHR/CCR8/TNFSF9/IL2RB/XCL1/INHBA/XCL2/FASLG/CXCL10/CXCL9/IFNG/CCR6/CCL20/EPO/CXCL11/IL20RB/TNFRSF9/CXCL13/IL6/CD70
hsa04022	cGMP-PKG signaling pathway	159	-0.402991139400156	-1.67299636003981	0.000392156862745098	0.00328303425774878	0.00223233450673993	3629	tags=36%, list=22%, signal=28%	PPP3CA/MEF2A/AGTR1/MAPK3/ROCK1/PIK3R6/NFATC2/CALML4/PPP1R12A/ADRA2B/CALM3/PPP3R1/ATP2B2/ATP2B4/ATF2/PPP1CB/GNAI3/PRKCE/PPP1CC/ROCK2/AKT3/ADORA3/CREB1/GNAQ/ADRB1/KCNMB1/ATP1B1/ADRA2A/CACNA1C/EDNRB/MAPK1/CREB3L2/NFATC3/KCNJ8/CNGA1/PDE5A/INSR/PDE3A/MRVI1/PRKG1/ADRA1B/MEF2C/PIK3CG/ATP1B2/GUCY1A2/SLC8A1/KCNMA1/ATP1A2/MYLK/PRKG2/PLCB1/EDNRA/ADRA1A/TRPC6/PLN/CREB3L3
hsa05161	Hepatitis B	148	-0.384137718398198	-1.57777689928382	0.000392156862745098	0.00328303425774878	0.00223233450673993	4008	tags=34%, list=24%, signal=26%	BRAF/FAS/CREB5/MAPK9/JAK1/TGFBR2/STAT2/YWHAQ/MYD88/KRAS/EGR2/MAPK3/JAK2/NFATC2/E2F2/TLR2/CASP8/PRKCB/BCL2/TGFB1/ATF2/TGFB3/CASP10/STAT4/YWHAZ/AKT3/CREB1/CCNE2/IFIH1/RB1/MYC/JAK3/STAT1/NRAS/SOS1/TICAM2/CCNA2/BIRC5/MAPK1/CREB3L2/NFATC3/TLR4/FOS/DDX58/MMP9/PIK3R2/TLR3/FASLG/IL6/CREB3L3
hsa04080	Neuroactive ligand-receptor interaction	285	-0.367235535098519	-1.62981698078888	0.000392464678178964	0.00328303425774878	0.00223233450673993	2304	tags=28%, list=14%, signal=25%	CNR2/LEPR/GABRA3/GRIK4/TAAR1/NMB/LPAR4/TAC3/CHRNA1/GRPR/NPY1R/DRD1/GRIA3/ADRB1/CHRNA6/C3AR1/ADRA2A/ADM/ADORA2B/F2RL1/GABRR1/SSTR2/EDNRB/S1PR1/CHRND/P2RX3/TSHR/GABRG1/GABRQ/NMUR1/NPY4R/F2RL2/NR3C1/GABRE/CYSLTR1/GRM8/PTGDR/P2RX7/GRP/CRHR2/FPR3/HTR2B/GRIK3/MCHR1/GLP2R/P2RY13/F2R/CNR1/AGT/S1PR3/ADRA1B/CALCRL/GABRD/EDN2/APLNR/AVPR1B/LPAR1/GRIN2A/F2/AVPR1A/GABRB3/P2RY14/GHR/C3/P2RY1/GZMA/P2RY10/APLN/EDN1/HTR1B/PMCH/KISS1/OXT/EDNRA/ADRA1A/NTS/GRIA4/HTR1F/HRH2/PTGER3
hsa05164	Influenza A	152	-0.415594462323252	-1.7148152706943	0.000392618767177071	0.00328303425774878	0.00223233450673993	2799	tags=28%, list=17%, signal=24%	HLA-DQB1/SOCS3/IFNGR2/OAS1/MX2/EIF2AK2/AKT3/CALCOCO2/IFIH1/STAT1/IL12B/HLA-DMB/HLA-DMA/DNAJC3/OAS3/CASP1/HLA-DPB1/MAPK1/TLR4/NXT2/ICAM1/HLA-DQA1/HLA-DRA/HLA-DOB/TNFSF10/HLA-DRB1/DDX58/OAS2/IL1B/IL33/TLR7/TPSD1/CCL5/PIK3R2/HLA-DPA1/TLR3/FASLG/CXCL10/IFNG/HLA-DQA2/HLA-DRB5/IL6
