ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04151	PI3K-Akt signaling pathway	330	-0.393330000668058	-1.77059241547518	0.000380807311500381	0.00284628303721383	0.00205632086049119	2667	tags=28%, list=16%, signal=24%	CREB1/HSP90B1/COL4A2/SGK3/FGF10/LPAR4/TLR2/ERBB3/EFNA1/ITGB1/YWHAZ/MYC/FGF20/G6PC/CCNE2/NRAS/SOS1/ITGA2/GNG12/CCND2/EIF4EBP1/AREG/PRKAA2/MYB/CSF1/EREG/GNG2/MAPK1/THBS1/IGF1/CREB3L2/GNGT2/ITGB3/TLR4/HGF/JAK3/G6PC2/MET/PDGFRA/EFNA3/TNR/ITGAV/ITGA5/IL2RA/OSMR/INSR/BDNF/COL4A1/GNB4/COL6A2/THBS2/IL2RG/OSM/EGFR/VWF/ITGA8/IL7R/MTCP1/LAMA4/FN1/TNN/COL1A1/LPAR1/F2R/NGF/GHR/TGFA/FGF5/PDGFRB/IL7/KDR/FLT1/GNG4/ANGPT4/PIK3CG/ANGPT1/ITGA4/VEGFA/ITGA1/FGF7/PIK3R2/COL1A2/EFNA5/COL6A3/PGF/IL2RB/FASLG/COMP/EPO/ANGPT2/IL6/IBSP/CREB3L3
hsa04060	Cytokine-cytokine receptor interaction	262	-0.542757622941835	-2.3886183079825	0.000385356454720617	0.00284628303721383	0.00205632086049119	1886	tags=35%, list=11%, signal=32%	XCR1/TNFSF4/CXCR5/CSF1/BMP8B/IL1RL2/IL15RA/TNFRSF11B/IL12RB1/LTB/IL1RAP/CCR1/TNFSF11/BMP4/IL12B/CD4/CXCR1/IL1R2/IL6ST/CD40/IL1RN/BMP3/IL2RA/OSMR/TNFSF8/CXCR2/CCL3/CCL26/TNFRSF11A/EDA2R/TNFSF10/IL2RG/OSM/CXCR6/CCL8/TNFSF15/IL7R/IL18R1/IL12RB2/IL1B/CCR4/INHBB/TNFSF18/IL9R/CCL15/CD40LG/NGF/GHR/CX3CR1/THPO/GDF6/IL33/IL13RA2/TNFSF14/IL7/INHBE/IL21R/ACKR3/CCL19/IL32/IL10/CXCR3/CCL4/TNFRSF6B/CCL5/CCR5/CD27/CCR2/TNFSF13B/LTA/IL22RA1/TNFSF9/IL2RB/INHBA/CXCL10/XCL1/CCR8/XCL2/FASLG/CXCL9/IFNG/CCR6/EPO/CXCL11/CXCL5/TNFRSF9/CCL20/IL6/IL20RB/CXCL13/CD70
hsa05167	Kaposi sarcoma-associated herpesvirus infection	175	-0.409343228015724	-1.71879610701066	0.000385653682992673	0.00284628303721383	0.00205632086049119	4457	tags=41%, list=27%, signal=30%	PIK3R5/JAK1/HLA-E/IFNAR2/TNFRSF1A/RPS27A/FAS/IFNAR1/ZFP36/LYN/CALML4/PPP3CC/KRAS/UBA52/MAPK3/JAK2/MAPK9/PPP3CA/ITPR3/STAT2/PIK3R6/CALM3/CSF2/PPP3R1/HLA-A/CCND1/GNG8/CASP8/AKT3/E2F2/MAPK13/EIF2AK2/HLA-C/NFATC2/UBC/CREB1/MYC/NRAS/HCK/GNG12/MICA/RB1/MICB/HLA-B/STAT1/FOS/TCF7/GNG2/CD86/MAPK1/NFATC3/GNGT2/CCR1/IL6ST/ICAM1/GNB4/CLEC2B/LEF1/CCR4/GNG4/PIK3CG/VEGFA/PIK3R2/CCR5/CD200R1/TLR3/C3/CCR8/PTGS2/ANGPT2/IL6
hsa05166	Human T-cell leukemia virus 1 infection	212	-0.456668125723934	-1.96197579020236	0.000387446726075165	0.00284628303721383	0.00205632086049119	3187	tags=33%, list=19%, signal=27%	PPP3R1/ATF2/HLA-A/CCND1/AKT3/E2F2/TGFB3/HLA-C/NFATC2/CHEK1/CREB1/EGR1/B2M/ELK4/TGFB1/MAD2L1/MYC/HLA-DQB1/PRKACB/CCNE2/NRAS/CALR/CDC27/CCND2/RB1/BUB1B/HLA-B/HLA-DMA/FOS/HLA-DMB/ITGB2/IL15RA/MAPK1/NFATC3/CREB3L2/ITGAL/JAK3/CD4/HLA-DPB1/SLC2A1/IL1R2/CCNA2/CANX/CD40/IL2RA/HLA-DQA1/ICAM1/ETS1/HLA-DOB/CDC20/HLA-DRA/MSX2/LCK/IL2RG/HLA-DRB1/PTTG1/CCNB2/NRP1/PIK3R2/CD3D/HLA-DPA1/CD3G/CD3E/LTA/IL2RB/HLA-DQA2/HLA-DRB5/IL6/CREB3L3
hsa05161	Hepatitis B	148	-0.385142715469463	-1.58017766372218	0.000387897595034911	0.00284628303721383	0.00205632086049119	4314	tags=35%, list=26%, signal=26%	BRAF/IFNAR1/TGFBR2/STAT6/KRAS/EGR2/IRAK4/MAPK3/JAK2/MAPK9/YWHAQ/MYD88/STAT2/BCL2/ATF2/CASP8/AKT3/E2F2/MAPK13/PRKCB/TGFB3/NFATC2/CASP10/CREB1/TLR2/TGFB1/YWHAZ/MYC/IFIH1/CCNE2/NRAS/SOS1/STAT4/RB1/STAT1/FOS/MAPK1/NFATC3/CREB3L2/TLR4/JAK3/CCNA2/TICAM2/BIRC5/DDX58/MMP9/PIK3R2/TLR3/FASLG/IL6/CREB3L3
hsa05164	Influenza A	152	-0.411362532434213	-1.6952655708676	0.000387897595034911	0.00284628303721383	0.00205632086049119	2889	tags=28%, list=17%, signal=24%	AKT3/OAS1/PRKCB/EIF2AK2/MX2/CALCOCO2/IFNGR2/HLA-DQB1/IFIH1/OAS3/DNAJC3/STAT1/HLA-DMA/HLA-DMB/MAPK1/TLR4/IL12B/HLA-DPB1/CASP1/NXT2/HLA-DQA1/ICAM1/HLA-DOB/HLA-DRA/TNFSF10/DDX58/HLA-DRB1/OAS2/IL1B/TPSD1/IL33/TLR7/PIK3R2/HLA-DPA1/CCL5/TLR3/CXCL10/FASLG/HLA-DQA2/HLA-DRB5/IFNG/IL6
hsa04015	Rap1 signaling pathway	201	-0.387184123424707	-1.65445846694204	0.000388048117966628	0.00284628303721383	0.00205632086049119	3424	tags=34%, list=21%, signal=28%	RAPGEF4/CALM3/SIPA1L2/PDGFD/NGFR/TEK/PARD6B/RALA/AKT3/MAPK13/ENAH/GNAI3/PRKCB/VAV1/CTNND1/RASSF5/GNAQ/RAPGEF6/FGF10/LPAR4/EFNA1/ITGB1/RRAS/RAP1B/FGF20/NRAS/TIAM1/RALB/CSF1/ITGB2/MAPK1/THBS1/IGF1/ITGB3/ITGAL/PARD6G/ADORA2B/HGF/MET/PDGFRA/EFNA3/RAC2/INSR/RGS14/RAPGEF5/LCP2/PLCE1/EGFR/LPAR1/F2R/NGF/FGF5/PDGFRB/KDR/FLT1/CNR1/ANGPT4/APBB1IP/ANGPT1/VEGFA/FGF7/PIK3R2/P2RY1/EFNA5/PGF/GRIN2A/PLCB1/ANGPT2
hsa04145	Phagosome	144	-0.438864739261441	-1.7924898486169	0.000388500388500389	0.00284628303721383	0.00205632086049119	2758	tags=35%, list=17%, signal=30%	SFTPA1/HLA-C/TLR2/TLR6/ITGB1/CTSS/TAP1/HLA-DQB1/TUBB3/CALR/CORO1A/ITGA2/OLR1/TUBB/HLA-B/TUBA1B/HLA-DMA/SCARB1/HLA-DMB/ITGB2/THBS1/COLEC12/EEA1/ITGB3/TLR4/HLA-DPB1/CANX/ITGAV/ITGA5/HLA-DQA1/FCGR2A/CYBB/HLA-DOB/HLA-DRA/THBS2/HLA-DRB1/FCGR1A/CD209/MSR1/FCGR3B/FCGR3A/MARCO/HLA-DPA1/C1R/C3/HLA-DQA2/HLA-DRB5/COMP/CD36/TUBA3D
hsa05206	MicroRNAs in cancer	160	-0.445547033066319	-1.84833236528409	0.000388500388500389	0.00284628303721383	0.00205632086049119	4086	tags=40%, list=24%, signal=30%	MDM2/SIRT1/KRAS/CRKL/MAPK3/ROCK1/PRKCE/PTEN/BCL2/EZH2/CYP1B1/PLAU/ABCB1/MARCKS/CCND1/E2F2/RPS6KA5/PRKCB/STMN1/BMPR2/ZEB1/ERBB3/EFNA1/ZEB2/MYC/SHC1/CCNG1/CCNE2/RDX/NRAS/SOS1/SHC4/CCND2/TP63/KIF23/MAPK1/THBS1/CD44/CDCA5/TPM1/ITGB3/MET/PDGFRA/EFNA3/TNR/ITGA5/ZFPM2/EGFR/HMOX1/NOTCH3/VIM/HOXD10/IGF2BP1/TNN/MMP9/CDC25C/PDGFRB/VEGFA/CYP24A1/PIK3R2/EFNA5/PTGS2/MMP16
hsa04940	Type I diabetes mellitus	41	-0.698854114294491	-2.29480921777988	0.00038971161340608	0.00284628303721383	0.00205632086049119	1926	tags=59%, list=12%, signal=52%	HLA-B/HLA-DMA/CD80/HLA-DMB/CD86/GZMB/IL12B/HLA-DPB1/HLA-DQA1/HLA-DOB/HLA-DRA/CPE/HLA-DRB1/CD28/PRF1/IL1B/HLA-DPA1/LTA/FASLG/HLA-DQA2/HLA-DRB5/PTPRN/IFNG
