ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	0.48026333791562	1.90439968323743	0.000216778668978972	0.00368919135675168	0.00260498637809206	4924	tags=48%, list=30%, signal=35%	HLA-DQA1/ZNF667/TNF/ZNF556/CCL5/ZNF471/FASLG/HLA-DQB1/ZNF285/POU2F3/ZNF676/HLA-DRA/ZNF878/HLA-DOA/PIK3R3/ZNF229/HLA-G/IL1B/HLA-DQA2/ZNF439/ZNF233/OAS2/HLA-DPB1/ZNF154/BST2/ZNF93/HLA-DRB1/HLA-DOB/ZNF726/CCL2/ZNF98/CD74/ZNF208/POU2F2/ZFP28/ZNF671/NXF2B/BIRC3/LTA/ZNF155/IL6/ZNF100/ZNF433/ZFP82/IFNG/ZFP57/ZIK1/ZNF404/ZNF418/ZFP37/TMEM173/IFIH1/ZNF222/C5/IFNAR2/ZNF714/TAP2/ZNF223/NXF2/ZNF708/HLA-DPA1/ZNF10/HLA-DMA/B2M/ZNF415/TNFSF14/ZNF677/ZNF540/ZNF331/ZNF283/ZNF257/ZNF614/TRAF5/ZNF582/ZNF613/HLA-E/ZNF350/ZNF549/ZNF177/ZNF304/ITGA5/ZNF891/ZNF773/ZNF829/ZNF615/ZNF568/ZNF578/STAT1/BAK1/ZNF699/CFP/ZNF530/ZNF419/ZNF649/ZNF605/PTPN11/ZNF442/ZNF235/SYK/ZNF211/ZNF44/ZNF814/C3/ZNF772/ZNF426/ZNF284/ZNF780A/ZNF585A/HLA-F/ZNF85/ZNF792/ZNF606/JAK2/ZNF470/ZNF8/ZNF763/SOCS3/ZNF275/ZNF569/ZNF112/ZNF234/CARD9/TAP1/NXF3/HLA-B/ZNF256/ZNF225/ZNF641/ZNF585B/TLR2/ZNF417/ZNF552/ZNF441/ZNF135/ZNF570/ZNF30/ZNF584/ZNF253/ZNF132/TRAF3/ZNF41/ZNF490/ZNF791/ZNF354C/ZNF684/HLA-DMB/ZNF101/ZNF621/ZNF709/ZNF17/ZNF180/ZNF45/ZNF429/ZNF184/SRSF5/ZNF577/IFNGR1/ZNF443/IRF7/ZNF879/ZNF440/ZNF175/ZNF589/ZNF619/ZNF780B/ZNF33B/AKT2/ZNF544/ZNF224/ZNF547/ZNF675/OAS3/PILRA/ZNF554/ZNF43/ZNF416/ZNF527/ZNF529/BAD/HCFC2/ZNF736/ZNF808/ZNF799/ZNF543/ZNF571/ZNF793/ZNF140/NFKBIA/CYCS/IFNAR1/ZFP30/ZNF230/TNFRSF14/ZNF563/ZNF302/ZNF567/SP100/ZNF587/ZNF841/ZNF107/PML/ZNF550/ZNF846/TSC1/ZNF583/TBK1/ZNF227/ZNF506/TAB2/PPP1CC/ZNF169/ZNF14/EIF2AK4/ZNF707/ZNF573/HLA-A/ZNF853/ZNF324/ZNF37A/ZNF484/ZNF226/ZNF620/ZNF425/MAP3K7
hsa04060	Cytokine-cytokine receptor interaction	262	0.500967293259022	1.90444600659014	0.000232504068821204	0.00368919135675168	0.00260498637809206	2300	tags=35%, list=14%, signal=30%	CCL3L3/CCL3L1/CXCL9/CCL4L1/CXCR6/CXCL11/TNF/CD40LG/CXCR3/CXCL10/CCR2/CXCL3/CCL14/CCL8/XCR1/CCL5/THPO/FASLG/IL2RB/CX3CR1/IL15RA/XCL2/CCL22/CCR5/NGF/CCL4L2/IL16/CCR4/CSF2RB/NGFR/IL2RG/IL1R2/CCR7/CCR6/IL7R/CXCL2/CCR3/CXCL5/IL1B/TNFRSF11A/IL1RL1/CD27/IL21R/TNFRSF17/ACVR1C/TNFSF13B/IL3RA/IL17RE/IL12RB1/CSF2RA/CCL2/AMHR2/IL18RAP/TGFB1/CXCR4/CCL16/CCL20/LTA/CCL17/IL23A/INHA/IL6/LTB/IFNG/XCL1/TNFRSF4/IL10RA/TNFSF15/IL36B/TNFSF13/IL17D/IFNAR2/CCL21/IL2/IL24/CXCR1/EPOR/TNFSF14/TNFSF8/CSF1R/TNFSF4/CD4/CRLF2/BMP5/CCL4/TNFRSF1B/TNFRSF10C/EPO/ACKR3/INHBB/IL9R
hsa04020	Calcium signaling pathway	189	0.463297066709358	1.71015720594822	0.000241896468311563	0.00368919135675168	0.00260498637809206	2833	tags=32%, list=17%, signal=27%	MCOLN3/P2RX5/ATP2A3/PDE1A/GRIN2A/PDE1B/PTGER3/CYSLTR2/MCOLN2/PLCB4/ATP2B2/TBXA2R/PTAFR/SLC8A3/ADCY8/PTGFR/ADCY4/HTR7/P2RX1/ADRB2/ERBB4/EDNRA/CAMK4/CYSLTR1/CXCR4/GNA14/ITPR2/CD38/ADORA2A/ITPKA/ITPR1/PDGFB/CASQ1/CHRM3/PRKCG/NOS3/CACNA1C/ITPKB/EGF/TACR2/PDGFRB/PTK2B/CACNA1E/CHRNA7/PLCB2/CAMK1G/F2R/P2RX7/ITPR3/ORAI1/CAMK2B/ATP2B1/CACNA1H/HTR2A/PRKCB/PLCB1/HRH2/AGTR1/CHRM1/PDE1C/CAMK2A
hsa04062	Chemokine signaling pathway	186	0.552836221506149	2.03550102382708	0.000243842965130456	0.00368919135675168	0.00260498637809206	2712	tags=37%, list=16%, signal=31%	CCL3L3/CCL3L1/CXCL9/CCL4L1/CXCR6/CXCL11/CXCR3/CXCL10/CCR2/CXCL3/CCL14/CCL8/XCR1/CCL5/CX3CR1/XCL2/CCL22/CCR5/CCL4L2/PLCB4/CCR4/ITK/PIK3R3/CCR7/CCR6/CXCL2/CCR3/ADCY8/CXCL5/ADCY4/PREX1/CCL2/PIK3CG/RAC2/CXCR4/CCL16/VAV1/CCL20/CCL17/PIK3R6/ELMO1/XCL1/RASGRP2/GNG2/LYN/CCL21/PIK3R5/DOCK2/PXN/CXCR1/PTK2B/WAS/GNG10/PLCB2/FGR/GNG7/CCL4/STAT1/GRK1/KRAS/CXCL13/GNG3/CXCL12/HCK/PRKCB/JAK2/PLCB1/SHC2
hsa05164	Influenza A	152	0.547932950333419	1.97301530341626	0.00024975024975025	0.00368919135675168	0.00260498637809206	1654	tags=24%, list=10%, signal=22%	PLG/HLA-DQA1/TPSAB1/TNF/TPSD1/CXCL10/CCL5/FASLG/HLA-DQB1/TMPRSS4/HLA-DRA/HLA-DOA/PIK3R3/CIITA/IL1B/HLA-DQA2/OAS2/HLA-DPB1/TLR7/HLA-DRB1/MX2/MX1/HLA-DOB/CCL2/RSAD2/CASP1/NXF2B/IL6/IFNG/NLRP3/IFIH1/IFNAR2/NXF2/HLA-DPA1/TMPRSS2/HLA-DMA
hsa04650	Natural killer cell mediated cytotoxicity	107	0.605051895803099	2.08757073893905	0.000261369576581286	0.00368919135675168	0.00260498637809206	3631	tags=49%, list=22%, signal=38%	KLRC1/TNF/KIR3DL2/SH2D1A/LCK/PRF1/FASLG/KLRD1/GZMB/KLRK1/CD48/ITGAL/CD247/PIK3R3/CD244/ZAP70/HLA-G/KLRC3/LCP2/RAC2/VAV1/KIR2DL3/NCR3/ULBP1/IFNG/NFATC2/PRKCG/FCGR3A/IFNAR2/PTK2B/ICAM1/KLRC4-KLRK1/FCER1G/HLA-E/FCGR3B/RAET1G/SH2D1B/KRAS/PTPN11/SYK/PRKCB/MICB/SHC2/HLA-B/KLRC2/RAET1E/LAT/KIR2DL1/VAV3/IFNGR1/KIR3DL1/FYN
hsa05142	Chagas disease	100	0.588119112937686	2.00989912919454	0.000263088660878716	0.00368919135675168	0.00260498637809206	3501	tags=36%, list=21%, signal=29%	CCL3L3/PPP2R2B/CCL3L1/TNF/CD3G/KNG1/CD3E/CD3D/CCL5/FASLG/PLCB4/CD247/PIK3R3/IL1B/CCL2/PPP2R2C/TGFB1/GNA14/IL6/GNAO1/IFNG/IL2/TLR6/FOS/PLCB2/C3/TLR4/SERPINE1/PLCB1/TLR2/CCL3/GNA15/ADCY1/MAPK8/TGFBR1/IFNGR1
hsa04659	Th17 cell differentiation	102	0.638508718064748	2.18802303051722	0.000263504611330698	0.00368919135675168	0.00260498637809206	1956	tags=34%, list=12%, signal=30%	GATA3/HLA-DQA1/CD3G/CD3E/TBX21/LCK/CD3D/IL2RB/HLA-DQB1/IRF4/HLA-DRA/IL2RG/CD247/HLA-DOA/ZAP70/IL1B/HLA-DQA2/HLA-DPB1/IL21R/HLA-DRB1/IL12RB1/HLA-DOB/TGFB1/IL23A/IL6/IFNG/NFATC2/RUNX1/IL17D/IL2/RORC/HLA-DPA1/HLA-DMA/FOS/CD4
hsa04660	T cell receptor signaling pathway	99	0.580135532115281	1.98034443825968	0.000263574064312072	0.00368919135675168	0.00260498637809206	1995	tags=27%, list=12%, signal=24%	TNF/CD40LG/CD3G/CD3E/GRAP2/LCK/CD3D/CD8A/CTLA4/ICOS/PTPRC/CD247/ITK/PIK3R3/CARD11/ZAP70/CD8B/PAK6/LCP2/VAV1/IFNG/PDCD1/NFATC2/IL2/FOS/CD4/RASGRP1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.62131327689075	2.11822243122332	0.000264200792602378	0.00368919135675168	0.00260498637809206	2459	tags=50%, list=15%, signal=43%	CCL3L3/CCL3L1/CXCL9/CCL4L1/CXCL11/TNF/CXCR3/CXCL10/CCR2/CXCL3/CCL14/CCL8/XCR1/CCL5/IL2RB/CX3CR1/XCL2/CCL22/CCR5/CCL4L2/CCR4/IL2RG/CCR7/CCR6/CXCL2/CCR3/CXCL5/CCL2/IL18RAP/CXCR4/CCL16/CCL20/LTA/CCL17/IL6/XCL1/IL10RA/CCL21/IL2/IL24/CXCR1/TNFSF14/CSF1R/CCL4/TNFRSF1B/TNFRSF10C/ACKR3/CXCL13/CXCL12
