ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	0.419402214632546	1.76650645960776	0.000270489586150933	0.00488145048814505	0.00362239052242212	2907	tags=37%, list=17%, signal=31%	CXCL14/IL17RB/CCL20/IL22RA1/XCR1/CCL4L1/CCL15/IL12RB2/INHBE/CCL18/CCR6/CD70/THPO/TNFRSF17/GDF5/BMP5/CCR8/CCR1/PRLR/CSF2/ACKR4/CCR2/CCL23/EDAR/CXCR3/TNFSF10/CCL17/TNFRSF21/TNFRSF19/CXCL1/CD27/TNFRSF11A/CCL21/TNFRSF13B/XCL2/CXCR6/CSF2RB/TNFSF11/IL2RA/IL7R/TNFRSF10A/INHBC/LIF/CCL13/IL10/CD40LG/IL32/CSF1R/TNFSF8/TNFRSF9/LTB/CCR5/IL6R/IL23A/CCR4/CXCL2/GDF7/CLCF1/CCL24/CCL22/CXCL6/BMP3/CXCL5/IL31RA/CXCL13/CNTF/TNFRSF11B/IL2RB/CXCL16/IL12RB1/MPL/TNFSF9/IL10RA/NODAL/CD4/GDF10/CX3CL1/NGFR/CCL4L2/CCL3L1/PPBP/IFNL1/IL20RA/TNF/IL16/TNFRSF12A/IL21R/ACVR1C/ACVR1/CCL14/IFNAR2/CCL25/IL1RL1/IL36B/FAS/BMP2/IL18
hsa04142	Lysosome	127	0.528322549622159	2.03867915309099	0.00029603315571344	0.00488145048814505	0.00362239052242212	3664	tags=49%, list=22%, signal=38%	NAPSA/CD68/CTSE/ATP6V0D2/ACP5/LAMP3/LAPTM5/ARSB/AP1M2/CTSS/CTSB/CTSV/ATP6V0A1/SLC11A1/CTSC/SLC17A5/LIPA/CTSD/CTSZ/NEU1/LAMP2/GLB1/LGMN/ATP6V0C/PLA2G15/IGF2R/AP3B2/GM2A/GNS/LAMP1/GBA/CTSA/AP1B1/AP1S1/ASAH1/PSAP/AP3M1/ARSA/CTNS/LAPTM4B/LAPTM4A/PPT1/NAGLU/HYAL1/CTSL/FUCA2/AP1G1/TPP1/ATP6V0D1/AP1M1/SUMF1/MANBA/ARSG/FUCA1/ACP2/NAGA/AP3S2/CTSH/ATP6AP1/CLTC/HEXB/SORT1
hsa01200	Carbon metabolism	111	0.498825087069262	1.8919474981731	0.000296912114014252	0.00488145048814505	0.00362239052242212	3364	tags=48%, list=20%, signal=38%	GLDC/PKLR/PSAT1/SDS/ALDOB/EHHADH/SHMT1/PHGDH/FBP1/HKDC1/ME1/GPT2/HAO2/ACO1/PGAM4/CPS1/PC/ACSS2/MTHFR/PCCB/DLST/GOT1/TALDO1/TKT/GPT/DLD/ACO2/ACOX1/GOT2/IDH1/GLYCTK/ACADS/G6PD/OGDH/GLUD2/SHMT2/GLUD1/RGN/PGAM1/PDHB/HADHA/ADH5/PFKM/ENO1/HK3/CAT/SUCLG1/ACAT2/PGD/PGK1/PCCA/OGDHL/SDHD
hsa04380	Osteoclast differentiation	123	0.450379254150195	1.728806700383	0.000297353553374963	0.00488145048814505	0.00362239052242212	2722	tags=31%, list=16%, signal=26%	LILRA4/LILRA3/ACP5/ITGB3/TREM2/LILRB5/CYBA/FCGR3A/LILRB4/TNFRSF11A/FOSB/LILRA5/MAPK1/TNFSF11/LILRA2/CSF1R/STAT1/SQSTM1/FOSL1/TNFRSF11B/BTK/MAPK13/NCF2/PLCG2/GRB2/MITF/TEC/OSCAR/LILRA6/SIRPA/FCGR2A/LILRB2/TYROBP/LILRA1/SIRPG/TNF/SPI1/IFNAR2
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.520513463303869	1.93946420027125	0.000302206104563312	0.00488145048814505	0.00362239052242212	2467	tags=42%, list=15%, signal=36%	CXCL14/CCL20/IL22RA1/XCR1/CCL4L1/CCL15/CCL18/CCR6/CCR8/CCR1/ACKR4/CCR2/CCL23/CXCR3/TNFSF10/CCL17/CXCL1/CCL21/XCL2/IL2RA/TNFRSF10A/CCL13/IL10/CSF1R/CCR5/IL6R/CCR4/CXCL2/CCL24/CCL22/CXCL6/CXCL5/CXCL13/IL2RB/IL10RA/CX3CL1/CCL4L2/CCL3L1/PPBP/IL20RA/TNF
hsa04610	Complement and coagulation cascades	80	0.59608715082755	2.16116266985843	0.000307408545957578	0.00488145048814505	0.00362239052242212	2029	tags=45%, list=12%, signal=40%	F13A1/C3/PLG/C2/MASP1/F12/SERPINF2/C4A/CLU/C4B/C4BPA/VSIG4/C6/PROS1/SERPINC1/C1QC/C1QB/CFI/C1QA/ITGB2/SERPING1/CFB/C3AR1/MASP2/C8G/CR1/ITGAM/C9/F2R/C5AR1/TFPI/VWF/CFH/C1S/SERPINE1/C1R
hsa04146	Peroxisome	82	0.514640343460124	1.86998590886249	0.000307692307692308	0.00488145048814505	0.00362239052242212	4532	tags=52%, list=27%, signal=38%	SLC27A2/AMACR/NOS2/EHHADH/PIPOX/MPV17L/DDO/HAO2/ABCD3/DECR2/AGPS/PEX11A/ACOX2/ACAA1/PRDX1/SOD2/ACOX1/IDH1/ACSL1/HMGCLL1/PEX26/PEX3/MLYCD/DAO/PXMP4/PAOX/ECH1/HACL1/CRAT/NUDT19/CAT/ABCD1/NUDT12/FAR2/CROT/PEX14/PEX11B/PHYH/PXMP2/GSTK1/PEX5/PECR/ABCD2
hsa04976	Bile secretion	77	0.534346629612597	1.91992322225338	0.000311235605353252	0.00488145048814505	0.00362239052242212	2064	tags=38%, list=12%, signal=33%	UGT1A9/UGT2A3/UGT1A10/UGT1A6/UGT1A1/SLC22A7/SLC4A4/SLC22A8/ABCC2/UGT1A4/CFTR/ABCC3/NR1H4/SLC51B/UGT1A7/UGT2B7/ABCC4/ADCY9/SLC51A/ABCB1/NCEH1/SLCO1A2/RXRA/UGT1A8/ADCY1/UGT2B11/ADCY7/EPHX1/HMGCR
hsa01230	Biosynthesis of amino acids	69	0.548528161491287	1.93010916110039	0.000314762354422411	0.00488145048814505	0.00362239052242212	4431	tags=64%, list=27%, signal=47%	PAH/PKLR/PSAT1/SDS/ALDOB/ABHD14A-ACY1/SHMT1/PHGDH/GPT2/ARG2/ACO1/PGAM4/CPS1/ASS1/PC/CTH/MAT2A/BCAT2/GOT1/ACY1/TALDO1/TKT/GPT/ACO2/GOT2/IDH1/SHMT2/BCAT1/PGAM1/CBS/ALDH18A1/PFKM/ENO1/ASL/PGK1/PRPS1/SDSL/PYCR2/PYCR1/CS/GLUL/GAPDH/NAGS/PSPH
hsa00980	Metabolism of xenobiotics by cytochrome P450	63	0.536258891271554	1.85615674872704	0.000317258883248731	0.00488145048814505	0.00362239052242212	3131	tags=51%, list=19%, signal=41%	UGT1A9/UGT2A3/UGT1A10/UGT1A6/UGT1A1/MGST1/UGT1A4/CYP2C9/ALDH3B1/CYP3A5/ALDH3A1/ADH6/UGT1A7/AKR1C1/GSTA1/UGT2B7/GSTT2/CYP2B6/UGT1A8/HPGDS/DHDH/UGT2B11/EPHX1/ADH1A/GSTA2/ADH1B/MGST2/ADH5/CBR1/UGT2B17/CYP2D6/GSTM3
