ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	0.43220992208559	1.77404652291609	0.000255885363357216	0.00472016183412003	0.00345641141171261	2367	tags=32%, list=14%, signal=28%	CXCL14/CCL20/XCR1/CCL15/TNFRSF17/CD70/IL17RB/IL22RA1/CCL4L1/IL12RB2/THPO/CCL18/BMP5/INHBE/CSF2/CXCR3/GDF5/EDAR/CCR8/CCR2/CCR6/CCR1/PRLR/XCL2/CD27/CCL17/CXCL1/CCL21/TNFSF10/CXCR6/LTB/TNFSF11/TNFRSF21/IL7R/CSF2RB/ACKR4/TNFRSF19/CD40LG/TNFRSF13B/CCL23/IL32/CXCL5/CCL4L2/CCL24/TNFRSF11A/CXCL2/IL23A/TNFSF8/IL2RB/CXCL6/CCR5/INHBC/CCL3L1/BMP3/CSF1R/TNFRSF9/TNFRSF10A/CCR4/IL2RA/CCL13/IL6R/IL10/CCL22/GDF10/CD4/TNF/TNFRSF11B/IL12RB1/PPBP/CX3CL1/GDF7/NGFR/CCL25/CXCL16/IL10RA/CNTF/LIF/IL16/CCL3L3/IL36B/MPL/CCL14/IL31RA/IFNL1
hsa04062	Chemokine signaling pathway	186	0.429004864997598	1.69921129972934	0.000267594327000268	0.00472016183412003	0.00345641141171261	2667	tags=32%, list=16%, signal=27%	CXCL14/CCL20/XCR1/CCL15/CCL4L1/CCL18/CXCR3/CCR8/CCR2/CCR6/CCR1/XCL2/CCL17/CXCL1/CCL21/CXCR6/ITK/RAC2/CCL23/MAPK1/CXCL5/CCL4L2/CCL24/CXCL2/CXCL6/CCR5/CCL3L1/WAS/PLCB4/RAC3/GNGT1/PARD3/CCR4/ADCY9/DOCK2/CCL13/NRAS/CCL22/PIK3R5/ADCY7/PRKCD/VAV1/PPBP/STAT1/CX3CL1/CCL25/HCK/CXCL16/GRB2/CDC42/CCL3L3/CCL14/PAK1/PIK3CG/PLCG2/GNG4/CCL5/CXCL13/PIK3CB
hsa04142	Lysosome	127	0.544967802636616	2.05833103660813	0.000280504908835905	0.00472016183412003	0.00345641141171261	3515	tags=50%, list=21%, signal=40%	NAPSA/CTSE/CD68/ACP5/LAPTM5/ARSB/CTSV/AP1M2/ATP6V0D2/LAMP3/CTSS/CTSC/CTSB/SLC11A1/LIPA/CTSZ/ATP6V0A1/SLC17A5/LAMP2/NEU1/GLB1/LGMN/GM2A/IGF2R/PLA2G15/GBA/AP1S1/LAMP1/CTSD/ATP6V0C/PSAP/PPT1/GNS/SUMF1/CTSA/ARSA/LAPTM4A/AP1B1/AP3M1/AP3B2/ASAH1/FUCA2/HYAL1/MANBA/LAPTM4B/CTSG/NAGLU/CTSL/CTSH/AP1M1/CTNS/CTSW/FUCA1/ACP2/ATP6V0D1/HEXB/GALNS/TPP1/AP1G1/SORT1/NAGA/CLTC/AP3S2/NPC2
hsa04380	Osteoclast differentiation	123	0.495702751694005	1.86086217130298	0.000282725473565168	0.00472016183412003	0.00345641141171261	2859	tags=33%, list=17%, signal=28%	LILRA4/LILRA3/ACP5/TREM2/ITGB3/CYBA/LILRA5/TNFSF11/FCGR3A/FOSB/MAPK1/LILRB4/TNFRSF11A/LILRB5/LILRA2/CSF1R/SIRPG/SIRPA/TNF/MAPK13/SQSTM1/TNFRSF11B/STAT1/NCF2/GRB2/FCGR2A/BTK/LILRA1/MAPK12/TEC/MITF/PLCG2/LCP2/FOSL1/OSCAR/PIK3CB/SPI1/TYROBP/LILRA6/LILRB2/IFNAR2
hsa01200	Carbon metabolism	111	0.496416246625147	1.84117854690312	0.000283607487237663	0.00472016183412003	0.00345641141171261	4336	tags=56%, list=26%, signal=42%	GLDC/PKLR/PSAT1/ALDOB/HAO2/FBP1/PHGDH/EHHADH/SHMT1/GPT2/SDS/CPS1/ACO1/HKDC1/ME1/PGAM4/PC/ACSS2/TALDO1/GPT/DLST/PCCB/MTHFR/IDH1/GLYCTK/RGN/DLD/TKT/ACOX1/GOT2/GLUD2/ACO2/ACADS/GOT1/PGAM1/GLUD1/G6PD/OGDH/ADH5/SHMT2/PDHB/HADHA/ENO1/SUCLG1/PSPH/PGD/SDHD/SDSL/CAT/ACAT2/HK3/PGK1/PRPS1/PCCA/FH/PFKM/ECHS1/GAPDH/ACAT1/SUCLG2/ESD/ME2
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.554690493250782	2.02169067774175	0.000289268151576511	0.00472016183412003	0.00345641141171261	1947	tags=41%, list=12%, signal=36%	CXCL14/CCL20/XCR1/CCL15/IL22RA1/CCL4L1/CCL18/CXCR3/CCR8/CCR2/CCR6/CCR1/XCL2/CCL17/CXCL1/CCL21/TNFSF10/ACKR4/CCL23/CXCL5/CCL4L2/CCL24/CXCL2/IL2RB/CXCL6/CCR5/CCL3L1/CSF1R/TNFRSF10A/CCR4/IL2RA/CCL13/IL6R/IL10/CCL22/TNF/PPBP/CX3CL1/CCL25/IL10RA
hsa04146	Peroxisome	82	0.524617457344384	1.86457112593384	0.000295246530853262	0.00472016183412003	0.00345641141171261	4368	tags=52%, list=26%, signal=39%	SLC27A2/AMACR/HAO2/MPV17L/NOS2/EHHADH/PIPOX/DDO/HMGCLL1/ACOX2/DECR2/AGPS/ABCD3/PEX11A/ACSL1/PRDX1/DAO/IDH1/ACAA1/SOD2/ACOX1/PEX26/MLYCD/PEX3/PXMP4/PAOX/FAR2/CRAT/PXMP2/ECH1/ABCD1/NUDT19/CAT/ABCD2/HACL1/PECR/NUDT12/CROT/PHYH/PEX11B/EPHX2/GSTK1/PEX14
hsa04610	Complement and coagulation cascades	80	0.569616966515437	2.01920013326741	0.000295246530853262	0.00472016183412003	0.00345641141171261	1962	tags=44%, list=12%, signal=39%	PLG/C3/F13A1/SERPINF2/C2/C4BPA/F12/MASP1/C4A/C4B/CLU/VSIG4/PROS1/SERPINC1/C6/CFI/C1QB/C1QC/SERPING1/ITGB2/F2R/CR1/C8G/CFH/SERPINE1/C1QA/CFB/ITGAM/C3AR1/MASP2/C5AR1/C1R/C1S/TFPI/C5
hsa04976	Bile secretion	77	0.551474015161494	1.94027938289374	0.00029806259314456	0.00472016183412003	0.00345641141171261	1935	tags=38%, list=12%, signal=33%	UGT1A9/UGT2A3/UGT1A10/UGT1A1/UGT1A6/SLC22A7/SLC22A8/SLC4A4/ABCC2/UGT1A4/NR1H4/CFTR/ABCC3/SLC51B/UGT2B7/UGT1A7/ABCC4/SLC51A/RXRA/ABCB1/ADCY9/AQP1/UGT2B11/ADCY7/NCEH1/UGT1A8/AQP9/UGT2B17/EPHX1
hsa05133	Pertussis	75	0.542009669605059	1.89957821421906	0.000298864315600717	0.00472016183412003	0.00345641141171261	2233	tags=39%, list=13%, signal=34%	C3/C2/C4BPA/C4A/C4B/IRF8/NOS2/CALML3/C1QB/C1QC/SERPING1/MAPK1/ITGB2/NLRP3/CXCL5/IL23A/CXCL6/C1QA/CALML4/IL10/MYD88/ITGAM/TNF/MAPK13/C1R/C1S/C5/MAPK12/IRAK1
