ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	0.395501549151471	1.57830190453336	0.000207382828701783	0.00917378917378917	0.00731743889638627	4064	tags=31%, list=24%, signal=24%	NXF2B/NXF2/HLA-DOB/ZNF90/ZNF676/ZNF257/ZNF208/ZNF595/ZNF98/OAS3/POU2F3/IFNG/ZNF320/ZNF530/ZNF585A/HLA-DQA1/HLA-F/LTA/TAP1/ZNF334/TNF/IRF7/ZNF311/ZNF285/IL12A/OAS2/HLA-G/ZNF556/POU2F2/HLA-C/CCL2/HLA-B/OAS1/ZNF468/ZNF229/HLA-A/STAT1/ZNF682/CCL5/ZNF665/ZNF93/ZNF607/HLA-DRB1/ZNF582/ZNF534/TAP2/ZNF667/ALYREF/IFIH1/ZNF331/BAK1/BAD/ZNF347/ZNF793/IKBKE/NXF3/ZNF492/PIK3CD/ZNF350/ZNF614/ZNF486/EIF2AK2/ZNF560/ZNF480/ZNF471/ZNF226/ZNF717/C5/ZNF549/ZNF569/IRF3/HLA-E/CASP9/ZNF816/BST2/SYK/ZNF519/ZNF300/ZNF211/ZNF354A/ZNF701/TAPBP/ZNF205/HLA-DOA/IRF9/TICAM1/ZNF548/ZNF879/ZNF420/HLA-DMA/ZNF214/ZNF107/ZNF568/ZNF600/ZNF415/ZNF611/IRAK1/ZNF610/ZNF766/BID/ZFP28/ZNF14/ZNF222/ZNF470/ZNF613/ZNF551/ZNF416/FASLG/TRAF3/ZNF577/EIF2B4/SRC/ZNF85/ZNF550/HLA-DRA/ZNF101/ZNF583/SP100/ZNF623/RELA/ZNF160/ZNF850/ZNF783/ZNF43/TLR2/BIRC3/ZNF155/ZNF528/ZNF782/PPP1CA/ZNF615/EIF2B1/ZNF606/CD74/ZNF540/ZNF584/ZNF419/ZNF12/HLA-DMB/ZNF808/MAP3K7/EIF2B5/HLA-DPB1
hsa04060	Cytokine-cytokine receptor interaction	262	0.47249477000339	1.81838225361594	0.000218435998252512	0.00917378917378917	0.00731743889638627	2693	tags=35%, list=16%, signal=30%	CCL3L3/CXCL17/TNFRSF13B/CXCL13/TSLP/CCL4L1/CCL3L1/CCL8/IL13/CXCR5/CCL4L2/TNFRSF17/IL21R/CCL17/TNFSF9/CCL13/CXCL10/IL13RA2/TNFRSF11B/CXCL11/CCL16/CXCR3/IFNG/CCL20/XCL1/CCL24/CCR4/IL5RA/CD27/XCR1/CXCR6/LTA/CCR3/CCR2/TNF/OSM/GH1/IL12A/CCL15/IL16/LTB/CSF2/CCL2/IL2RG/CD40LG/CCL22/CCL25/XCL2/CCL5/TNFRSF9/TNFRSF18/IL20RB/CSF3/GDF1/BMP8B/IL12RB1/CCL3/IL17B/IL2RB/CD70/IL21/CD4/TNFSF10/BMP6/IFNL1/CXCL3/TNFRSF19/CCR6/IL23R/TNFRSF8/CCL19/CCL27/CSF2RB/CXCL9/IL1RN/CCL4/PRLR/ACVR1C/CSF1/CX3CR1/TNFSF4/IL7/IL17RB/TNFRSF1B/CSF1R/IL15/CCR1/GDF10/TNFRSF25/CCL1/IL20/INHBA/CXCR4
hsa04062	Chemokine signaling pathway	186	0.466594840368786	1.73972993237317	0.000229568411386593	0.00917378917378917	0.00731743889638627	2000	tags=26%, list=12%, signal=23%	CCL3L3/GNGT1/CXCL13/CCL4L1/CCL3L1/CCL8/CXCR5/CCL4L2/CCL17/CCL13/CXCL10/CXCL11/CCL16/CXCR3/CCL20/XCL1/CCL24/CCR4/XCR1/CXCR6/CCR3/CCR2/PLCB1/RAC3/CCL15/GNB3/VAV1/CCL2/RAC2/CCL22/CCL25/XCL2/STAT1/CCL5/PRKCB/CCL3/BAD/CXCL3/PRKCD/GNG7/PIK3CD/CCR6/GNG4/WAS/CCL19/CCL27/CXCL9/CCL4
hsa05169	Epstein-Barr virus infection	184	0.484312112316268	1.80458770731107	0.000229726625315874	0.00917378917378917	0.00731743889638627	4477	tags=43%, list=27%, signal=32%	CD19/HLA-DOB/ISG15/CXCL10/OAS3/CR2/FCER2/HLA-DQA1/HLA-F/TAP1/TNF/IRF7/NFKBIE/E2F2/OAS2/HLA-G/HLA-C/HLA-B/CD3D/ITGAL/OAS1/HLA-A/STAT1/PSMD2/HLA-DRB1/CCNE1/TAP2/MYC/BAK1/CD3E/IKBKE/PIK3CD/PSMD12/EIF2AK2/TNFAIP3/ADRM1/RUNX3/RELB/MAPK10/PSMD11/IRF3/HLA-E/PSMC4/CASP9/CCNE2/PSMD14/SYK/TAPBP/BTK/HLA-DOA/IRF9/HLA-DMA/E2F1/ICAM1/PSMD3/IRAK1/BID/LYN/TRAF3/MAP2K6/E2F3/HLA-DRA/RELA/TLR2/PSMC2/PSMC5/CD247/RIPK1/HLA-DMB/HDAC2/MAP3K7/HLA-DPB1/CD40/IFNA5/CD3G/PSMC3/PSMD13/PSMD8/IKBKG
hsa04110	Cell cycle	124	0.508658537089884	1.81457800486658	0.000241312741312741	0.00917378917378917	0.00731743889638627	3010	tags=34%, list=18%, signal=28%	CDC25C/CCNB3/SMC1B/CDC20/MCM2/E2F2/ANAPC11/BUB1/TTK/MAD2L2/ORC1/CDKN2A/PTTG1/SFN/MCM6/CCNE1/CDC6/MYC/ORC3/MCM7/CCNB1/PKMYT1/ESPL1/CDC7/PLK1/CHEK2/MAD1L1/BUB1B/MCM4/MCM3/MAD2L1/CCNE2/E2F5/CDKN2D/CDC25B/CDC27/TFDP2/CDC45/ORC6/E2F1/ZBTB17/CDC23
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.604579753839962	2.0946886087833	0.000248756218905473	0.00917378917378917	0.00731743889638627	2693	tags=48%, list=16%, signal=40%	CCL3L3/CXCL13/CCL4L1/CCL3L1/CCL8/CXCR5/CCL4L2/CCL17/CCL13/CXCL10/CXCL11/CCL16/CXCR3/CCL20/XCL1/CCL24/CCR4/XCR1/LTA/CCR3/CCR2/TNF/CCL15/CCL2/IL2RG/CCL22/CCL25/XCL2/CCL5/IL20RB/CCL3/IL2RB/TNFSF10/CXCL3/CCR6/CCL19/CCL27/CXCL9/CCL4/CSF1/CX3CR1/TNFRSF1B/CSF1R/CCR1/CCL1/IL20/CXCR4
hsa04612	Antigen processing and presentation	67	0.617879121934091	2.03059563180455	0.000261096605744125	0.00917378917378917	0.00731743889638627	3357	tags=55%, list=20%, signal=44%	HLA-DOB/IFNG/HLA-DQA1/KIR2DL4/HLA-F/TAP1/TNF/CD8B/KLRC3/HLA-G/HLA-C/HLA-B/CD8A/HLA-A/KLRC2/HLA-DRB1/TAP2/PSME2/KIR3DL2/CD4/PSME3/HSP90AB1/HLA-E/RFXAP/KLRD1/PSME1/TAPBP/HLA-DOA/IFI30/HLA-DMA/NFYA/HSPA4/KIR2DL3/NFYC/LGMN/CIITA/HLA-DRA
hsa00980	Metabolism of xenobiotics by cytochrome P450	63	0.570685390350775	1.85483818307478	0.000264690312334569	0.00917378917378917	0.00731743889638627	2327	tags=40%, list=14%, signal=34%	GSTM1/UGT1A7/UGT1A9/GSTT2B/UGT1A10/CYP3A5/GSTM3/GSTT2/GSTA1/DHDH/UGT1A6/ADH4/UGT2B17/ALDH3A1/UGT1A1/EPHX1/GSTA2/SULT2A1/HSD11B1/ADH7/UGT2B4/HPGDS/UGT1A4/CBR1/UGT2A1
hsa03050	Proteasome	44	0.636558114049545	1.95284346731789	0.000277161862527716	0.00917378917378917	0.00731743889638627	4569	tags=70%, list=27%, signal=51%	PSMA8/PSMB9/IFNG/PSMB8/PSMD2/PSME2/PSMB3/PSMA6/PSME3/PSMB1/PSMD12/ADRM1/PSMD11/PSMC4/PSMD14/PSME1/PSMB2/PSMD3/POMP/PSMB5/PSMA5/PSMF1/PSMC2/PSMC5/PSMC3/PSMA7/PSMD13/PSMD8/PSMA1/PSMB4/PSMD4
hsa05340	Primary immunodeficiency	36	0.729485507191035	2.1506362995088	0.000284900284900285	0.00917378917378917	0.00731743889638627	2396	tags=56%, list=14%, signal=48%	CD79A/TNFRSF13B/CD19/ICOS/TAP1/CD8B/AICDA/IL2RG/CD3D/CD8A/CD40LG/LCK/ZAP70/TAP2/ADA/CD4/CD3E/PTPRC/RFXAP/BTK
