ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04080	Neuroactive ligand-receptor interaction	285	0.348635332003148	1.58054233669386	0.000314169022934339	0.0193812447333574	0.0162830333326998	2245	tags=26%, list=13%, signal=23%	SST/CHRNA9/GAL/GNRH2/LTB4R2/GABRA3/DRD4/DRD2/CALCA/UTS2R/TSHR/TRPV1/ADRA2C/GRIN3B/NPFF/KISS1R/HCRT/GCG/CGA/UTS2/GRIN2C/PTGER1/GALR2/EDN2/OXT/PMCH/P2RX5/UCN/TACR2/GH1/GABRR2/GRIK4/GIPR/LTB4R/NPW/GABBR2/AVP/GALR1/LPAR3/DRD1/GABRR1/TACR1/CHRM3/TAC1/GCGR/PRSS3/MC4R/P2RY6/P2RY8/HRH3/NTSR1/F2RL3/GRIN1/ADM/P2RY4/GRM4/CHRNA10/CHRNB2/PTH2R/EDN3/GRIK5/SSTR3/GABRD/POMC/UCN3/GHRL/CHRM1/CCK/UCN2/CHRNE/VIPR1/AGT/BDKRB2/TBXA2R/TAAR1
hsa05034	Alcoholism	173	0.451296308842502	1.92893368909549	0.000327546675401245	0.0193812447333574	0.0162830333326998	1928	tags=26%, list=12%, signal=23%	CALML6/HIST1H2AE/HIST1H2BG/H2AFB2/HIST1H2BH/HIST1H2BE/GNG4/GNG3/HIST3H2A/DRD2/HIST2H2AA4/SLC6A3/HIST1H3D/HIST1H4E/GRIN3B/HIST1H3J/SHC2/H2AFB3/HIST1H3E/FOSB/GRIN2C/HIST1H2BF/H2AFJ/GNG8/HIST1H3F/HIST3H2BB/CALML5/HIST1H3G/HIST2H3C/HIST2H2BE/HIST1H3H/CALML3/DRD1/HIST1H2BL/HDAC4/HIST2H2AA3/HIST1H2BJ/HIST1H2AL/GRIN1/HRAS/HIST2H4A/HIST1H2AJ/HDAC10/GNGT1/HIST2H2BF
hsa00190	Oxidative phosphorylation	103	0.498345450358397	1.97807165082516	0.000340020401224073	0.0193812447333574	0.0162830333326998	5496	tags=60%, list=33%, signal=41%	COX6A2/ATP6V0E2/COX7B2/ATP4A/COX6B2/ATP12A/COX17/TCIRG1/SDHD/ATP6V1C2/NDUFA1/NDUFS8/NDUFV1/ATP6V0B/COX6B1/COX7B/NDUFA7/COX5A/NDUFB7/NDUFA3/NDUFA4/UQCRB/UQCR11/NDUFB11/UQCRH/NDUFS5/ATP6V1G1/NDUFAB1/COX6C/COX4I1/ATP6V1E2/NDUFS3/NDUFB9/ATP6V1B1/COX7A2/NDUFB6/NDUFA8/COX4I2/NDUFB4/ATP6V1F/COX5B/NDUFA6/NDUFC2/COX6A1/NDUFS7/COX8A/NDUFA13/NDUFB8/NDUFA4L2/NDUFS2/NDUFB3/NDUFA11/UQCRFS1/NDUFC1/ATP4B/NDUFA10/NDUFB10/NDUFA9/UQCR10/NDUFB2/ATP6V0C/CYC1
hsa04976	Bile secretion	77	-0.469492636101021	-1.85508116565684	0.000468164794007491	0.0193812447333574	0.0162830333326998	1537	tags=26%, list=9%, signal=24%	AQP1/SCTR/ADCY2/UGT1A4/UGT2B4/ABCC2/BAAT/UGT1A8/UGT2B11/ABCG2/KCNN2/AQP9/FXYD2/NR1H4/CA2/NR0B2/AQP4/SLCO1B3/UGT2B7
hsa05150	Staphylococcus aureus infection	81	-0.4819626696396	-1.92327496131041	0.000474158368895211	0.0193812447333574	0.0162830333326998	3679	tags=52%, list=22%, signal=41%	KRT19/KRT24/C1QB/FPR2/FCGR1A/MASP1/CFH/ICAM1/HLA-DRA/FPR1/C2/DEFB4A/HLA-DRB5/C1S/HLA-DMB/C1QC/C1R/ITGAM/CAMP/KRT17/C5/KRT14/HLA-DQA2/FPR3/KRT39/FCGR2A/IL10/ITGB2/C3AR1/FCAR/KRT20/DEFA1B/FCGR3A/CFB/HLA-DPA1/CFI/KRT15/KRT13/PTAFR/DEFA3/FCGR3B
hsa04145	Phagosome	144	-0.410586913401534	-1.80031472429392	0.00049825610363727	0.0193812447333574	0.0162830333326998	2141	tags=28%, list=13%, signal=24%	HLA-DRB5/TUBA1A/HLA-E/HLA-DMB/ITGB5/C1R/ITGB3/ITGAM/NCF2/TAP1/MPO/STX7/HLA-B/CANX/HLA-DQA2/ITGAV/FCGR2A/ITGB2/FCAR/EEA1/TLR2/FCGR3A/THBS4/HLA-DPA1/THBS2/MSR1/ITGA2/CYBB/TLR4/COLEC12/HLA-C/CD36/FCGR3B/CD209/MARCO/SFTPD/MRC1/SFTPA2/SFTPA1
hsa05164	Influenza A	152	-0.38630336113809	-1.70585864526716	0.000506585612968592	0.0193812447333574	0.0162830333326998	3238	tags=35%, list=19%, signal=28%	PIK3CB/ICAM1/TMPRSS2/PIK3R1/HLA-DRA/ADAR/IL18/EIF2AK2/BAK1/PIK3CA/APAF1/IFNAR1/TPSAB1/CALCOCO2/CCND3/STAT1/JAK1/HLA-DRB5/JAK2/IFNAR2/MX2/IL33/HLA-DMB/NFKB1/EIF2S1/RNASEL/CASP1/OAS3/IFNG/OAS1/AKT3/DNAJC3/MYD88/HLA-DQA2/NXF3/TNFSF10/DDX58/TLR7/MAPK1/FASLG/MX1/IFIH1/CCL2/PRKCA/HLA-DPA1/FAS/IL1B/OAS2/RSAD2/TLR4/CXCL10/TLR3
hsa05205	Proteoglycans in cancer	198	-0.433716340351084	-1.99013123342108	0.0005249343832021	0.0193812447333574	0.0162830333326998	3946	tags=42%, list=24%, signal=32%	FLNC/FLNA/HIF1A/TNF/PTCH1/GRB2/PAK1/CDC42/SDC2/PPP1CC/RRAS2/KRAS/CAMK2D/MRAS/CCND1/PRKCB/PIK3CB/ROCK1/COL1A2/ARHGEF12/PIK3R1/COL1A1/RHOA/RDX/ITPR1/WNT9B/MMP2/PIK3CA/IHH/PDPK1/PTPN11/SOS2/ITGB1/PXN/CAV2/SMO/FGF2/PPP1R12B/WNT5B/FRS2/ERBB3/IGF2/PRKACB/MSN/SMAD2/ITGB5/ITGB3/VTN/WNT2/PLAU/SHH/PPP1R12A/AKT3/KDR/ANK2/PLCE1/CAV1/ITGAV/CD44/ITPR2/LUM/MAPK14/FZD1/MAPK1/FASLG/HPSE/MET/TLR2/DCN/GAB1/WNT7B/PRKCA/FAS/ITGA2/TLR4/HGF/FZD7/ITPR3/FZD2/WNT7A/EGFR/GPC3
hsa04060	Cytokine-cytokine receptor interaction	262	-0.348661893218087	-1.65635424943256	0.000541711809317443	0.0193812447333574	0.0162830333326998	2010	tags=34%, list=12%, signal=31%	CXCL16/LTA/IL18/GDF7/IFNL1/CD70/BMP2/CXCL12/TGFB3/IL36B/IFNAR1/IL17RA/TNFRSF8/CSF3R/IFNAR2/INHBA/CCL1/OSMR/IL33/CCR8/CCL28/CCR5/TNFSF14/TNFRSF21/BMPR2/ACVR1B/CCL4/IFNG/GHR/BMP8B/TGFBR2/IL31RA/IL1RAP/GDF11/TNFSF18/IL27RA/CCL3/IL17RB/TNFSF15/TNFSF4/TNFSF10/IL22RA1/PPBP/IL10/IL27/LEPR/CSF2/CCL18/CXCL5/FASLG/GDF1/IL9R/CXCR1/TGFBR1/GDF10/BMP4/EDA/PRL/CCL2/IL1RN/BMPR1A/FAS/IL6ST/BMPR1B/CXCL11/TNFSF13B/IL36G/IL1B/CCR1/ACKR4/LEP/IL32/IL7/CCL8/CXCR2/IL13RA2/CXCL10/CCL23/CX3CR1/BMP3/AMH/TNFRSF11B/CCL13/CCR2/EDA2R/IL37/CCL7/PRLR/CXCL14
hsa05168	Herpes simplex virus 1 infection	463	-0.308670663491984	-1.54798437865339	0.000609756097560976	0.0196341463414634	0.0164955070603338	3448	tags=27%, list=21%, signal=22%	ZFP1/ZNF184/PPP1CC/ZNF623/ZNF506/ZNF83/ZNF200/ZNF547/ZNF460/ZNF347/PIK3CB/ZNF136/ZNF701/ZNF568/HLA-A/ZNF610/ZNF853/ZNF823/ZNF443/ZNF430/PIK3R1/DAXX/TMEM173/HLA-DRA/ZNF416/PILRA/EIF2B2/ZNF404/ZNF439/BIRC3/ZNF641/ZNF519/LTA/ZNF268/EIF2AK2/ZNF583/BAK1/ZNF221/ZNF442/PIK3CA/ZNF85/PTPN11/APAF1/IFNAR1/ZNF354C/ZNF43/HLA-G/ZNF808/ZNF829/STAT1/JAK1/ZNF727/HLA-DRB5/TAB2/ZNF486/ZNF45/JAK2/IFNAR2/ZNF350/ZNF730/ZNF555/HLA-E/HLA-DMB/ITGB3/ZNF737/ZNF415/TNFSF14/ZNF595/NFKB1/TAP1/EIF2S1/RNASEL/ZNF600/ZNF878/ZNF426/OAS3/IFNG/ZNF793/BST2/ZNF619/OAS1/AKT3/ZNF578/C5/HLA-B/ZNF662/ZNF561/ZNF616/ZNF677/ZNF813/MYD88/HLA-DQA2/TAPBP/ZNF570/ZNF630/ZNF490/NXF3/ZNF569/ZNF816/DDX58/ZNF845/ZNF468/FASLG/ZNF772/ZNF90/TLR2/IFIH1/CCL2/SRPK1/HLA-DPA1/ZNF613/FAS/ZNF528/ZNF614/IL1B/ZNF615/ZNF577/OAS2/ZNF311/ZNF665/HLA-C/ZNF649/ZNF749/TLR3
hsa05016	Huntington disease	270	0.344065301578434	1.5534057300422	0.00094577553593947	0.0235294117647059	0.0197680903024826	5387	tags=41%, list=32%, signal=29%	TUBB8/DNAI1/DNAH10/COX6A2/POLR2J3/DNAH9/DNAI2/PPARGC1A/TUBB1/DNALI1/DNAH6/TUBB3/COX7B2/COX6B2/TUBA3E/PLCB4/KLC3/MAP3K10/DNAH7/DNAH1/DNAH12/TUBA3D/PSMB5/TUBA3C/DNAH8/SDHD/POLR2I/STX1A/GRIN1/DNAH17/NDUFA1/NDUFS8/NDUFV1/TUBAL3/CLTCL1/POLR2J2/COX6B1/DNAH11/COX7B/NDUFA7/TRAF2/TUBB4A/COX5A/TUBB2A/NDUFB7/NDUFA3/TUBB2B/NDUFA4/KLC2/ADRM1/UQCRB/UQCR11/WIPI1/NDUFB11/UQCRH/NDUFS5/PLCB2/NDUFAB1/BDNF/COX6C/PSMA8/COX4I1/NDUFS3/BAX/NDUFB9/POLR2L/POLR2H/COX7A2/NDUFB6/NDUFA8/COX4I2/ULK1/NDUFB4/TUBB4B/COX5B/NDUFA6/DNAH3/POLR2J/NDUFC2/DLG4/COX6A1/NDUFS7/COX8A/BBC3/NDUFA13/NDUFB8/PSMB6/DNAH2/GRIA4/NDUFA4L2/NDUFS2/DCTN1/PSMA7/NDUFB3/NDUFA11/PSMB3/SOD1/UQCRFS1/NDUFC1/ERN1/NDUFA10/PSMD9/CYCS/NDUFB10/DNAL4/NDUFA9/PSMD4/KCNJ10/POLR2E/PSMB4/UQCR10/NDUFB2
hsa05162	Measles	125	-0.399407746842999	-1.70316697445107	0.000998502246630055	0.0235294117647059	0.0197680903024826	3372	tags=34%, list=20%, signal=28%	CCND1/PIK3CB/PIK3R1/HSPA1B/ADAR/EIF2AK2/BAK1/PIK3CA/CSNK2A3/APAF1/IFNAR1/CCND3/STAT1/JAK1/TAB2/CD28/HSPA1A/IFNAR2/MSN/MX2/CCNE2/NFKB1/MAPK9/EIF2S1/OAS3/OAS1/AKT3/MAPK10/CD3G/MYD88/DDX58/TLR7/FASLG/TLR2/MX1/IFIH1/HSPA8/FAS/IL1B/OAS2/TLR4/CD209
hsa04510	Focal adhesion	196	-0.350954608477364	-1.61050668916468	0.00104493207941484	0.0235294117647059	0.0197680903024826	4074	tags=40%, list=24%, signal=31%	RAP1A/ARHGAP5/COL4A2/RAP1B/FLNC/FLNA/COL4A1/GRB2/PAK1/CDC42/SHC3/ITGB4/PAK2/CAPN2/PPP1CC/ILK/MYL12B/CCND1/PRKCB/PIK3CB/ROCK1/COL1A2/PIK3R1/ACTN1/ITGA6/COL1A1/RHOA/BIRC3/LAMC2/FLT1/PIK3CA/PDPK1/SOS2/ITGB1/PXN/LAMA1/MYL12A/CAV2/CCND3/PPP1R12B/ITGA3/LAMA2/ITGB5/ITGB3/VTN/MAPK9/ITGB6/CRK/MYLK4/COL6A6/COL6A3/PPP1R12A/AKT3/PARVA/KDR/MAPK10/ITGA4/PDGFRA/VCL/CAV1/ITGAV/MYLK/ITGA9/PDGFC/ITGA1/MAPK1/PDGFA/MET/PRKCA/THBS4/THBS2/ITGA2/LAMB3/LAMA3/TNC/HGF/EGFR/IBSP
hsa04810	Regulation of actin cytoskeleton	204	-0.332964682115846	-1.53472545819437	0.00105097214923805	0.0235294117647059	0.0197680903024826	3906	tags=39%, list=23%, signal=30%	LPAR1/PAK1/CYFIP1/ENAH/WASL/CDC42/CYFIP2/BAIAP2/ARPC2/ITGB4/PAK2/PPP1CC/MYH9/SSH1/RRAS2/SCIN/KRAS/MRAS/MYL12B/FGF1/PIK3CB/ROCK1/ARHGEF12/PIK3R1/ACTN1/FGFR2/ITGA6/FGFR3/RHOA/RDX/NCKAP1L/CXCL12/PIK3CA/SOS2/ITGB1/PXN/MYL12A/FGF2/PPP1R12B/FGF5/ITGA3/IQGAP3/MSN/ITGB5/CHRM2/ITGB3/ITGAM/MYH10/GNA13/LPAR5/ITGB6/CRK/APC/MYLK4/PPP1R12A/ARHGEF6/ITGA4/PDGFRA/VCL/F2R/MYH11/IQGAP2/ITGAV/MYLK/ITGA9/ITGB2/PDGFC/FGF10/ITGA1/MAPK1/PDGFA/ARHGEF4/GNG12/DIAPH3/KNG1/ITGA2/F2/EGFR/FGF19
hsa04340	Hedgehog signaling pathway	44	-0.513773738799135	-1.82301286861964	0.00132042253521127	0.0235294117647059	0.0197680903024826	2538	tags=34%, list=15%, signal=29%	IHH/SPOP/SMO/GLI3/GLI1/PRKACB/FBXW11/SHH/GLI2/CSNK1G3/CSNK1A1/SMURF2/LRP2/HHIP
hsa04612	Antigen processing and presentation	67	-0.469845533760469	-1.81299638564811	0.00137488542621448	0.0235294117647059	0.0197680903024826	5429	tags=61%, list=33%, signal=41%	CD74/B2M/CD8A/PSME1/CALR/PSME3/RFX5/HLA-F/NFYB/HLA-DMA/CTSS/TNF/KIR3DL1/CREB1/CD4/HLA-A/HSPA1B/HLA-DRA/CTSB/CD8B/HLA-G/HLA-DRB5/NFYA/HSPA1A/IFI30/HLA-E/HLA-DMB/TAP1/IFNG/HLA-B/CANX/HLA-DQA2/TAPBP/HSP90AB1/HSP90AA1/HLA-DPA1/HSPA8/KLRC2/HLA-C/KLRC4
hsa05140	Leishmaniasis	73	-0.459465916833842	-1.793531561045	0.00140646976090014	0.0235294117647059	0.0197680903024826	4261	tags=53%, list=26%, signal=40%	IFNGR1/HLA-DMA/CR1L/MAPK13/TNF/C3/FCGR1A/PRKCB/HLA-DRA/IL4/TGFB3/ITGB1/STAT1/JAK1/HLA-DRB5/TAB2/JAK2/HLA-DMB/ITGAM/NCF2/NFKB1/IFNG/ITGA4/MYD88/HLA-DQA2/CR1/FCGR2A/IL10/ITGB2/MAPK14/MAPK1/TLR2/FCGR3A/HLA-DPA1/IL1B/CYBB/TLR4/FCGR3B
hsa04350	TGF-beta signaling pathway	92	-0.413626456915382	-1.69121694750107	0.0014402304368699	0.0235294117647059	0.0197680903024826	3947	tags=45%, list=24%, signal=34%	PPP2CA/TNF/GDF6/ZFYVE16/SKP1/FST/LTBP1/SP1/ROCK1/AMHR2/RHOA/SMAD1/GDF7/BMP2/TGFB3/ID2/INHBA/SMAD2/RGMB/BMPR2/ACVR1B/NBL1/IFNG/SMAD4/BMP8B/TGFBR2/FBN1/SMAD5/THSD4/MAPK1/SMURF2/TGFBR1/FMOD/DCN/BMP4/BMPR1A/NOG/BMPR1B/AMH/PITX2
hsa04650	Natural killer cell mediated cytotoxicity	107	-0.413378369322932	-1.73271880839017	0.00146198830409357	0.0235294117647059	0.0197680903024826	3906	tags=41%, list=23%, signal=32%	TNF/GRB2/PAK1/SHC3/KIR3DL1/PRF1/KRAS/PRKCB/PIK3CB/ICAM1/HLA-A/PIK3R1/KLRK1/PIK3CA/PTPN11/SOS2/IFNAR1/HLA-G/PPP3CA/IFNAR2/HLA-E/IFNG/HLA-B/CD244/ULBP3/TNFSF10/ITGB2/RAET1L/CSF2/MAPK1/FASLG/MICA/ULBP2/MICB/FCGR3A/PRKCA/FAS/SH2D1B/KLRC2/RAET1E/HLA-C/FCGR3B/KLRC4-KLRK1
hsa05145	Toxoplasmosis	110	-0.406400991640291	-1.70879592611324	0.00146842878120411	0.0235294117647059	0.0197680903024826	5375	tags=53%, list=32%, signal=36%	MAP2K3/CHUK/MAPK8/IRAK4/LAMC3/GNAI3/STAT3/LAMB1/ALOX5/CASP3/TRAF6/MAP3K7/IFNGR1/GNAI2/HLA-DMA/PIK3R6/MAPK13/TNF/PIK3CG/IL10RB/CD40LG/HSPA1B/ITGA6/HLA-DRA/BIRC3/LAMC2/TGFB3/PDPK1/ITGB1/LAMA1/STAT1/JAK1/HLA-DRB5/TAB2/JAK2/HSPA1A/LAMA2/HLA-DMB/CCR5/NFKB1/MAPK9/IFNG/AKT3/MAPK10/GNAI1/MYD88/HLA-DQA2/IL10/BIRC7/MAPK14/MAPK1/TLR2/HLA-DPA1/HSPA8/LAMB3/LAMA3/TLR4
hsa05206	MicroRNAs in cancer	160	-0.347981211166933	-1.54898556818865	0.00153452685421995	0.0235294117647059	0.0197680903024826	3293	tags=31%, list=20%, signal=25%	CCND1/PRKCB/MAPK7/PIK3CB/ROCK1/ZEB1/PIK3R1/NOTCH1/FGFR3/RHOA/PIM1/RECK/RDX/BAK1/PIK3CA/SOS2/CDC25C/MARCKS/ERBB3/FOXP1/ITGB3/DICER1/CCNE2/NFKB1/TPM1/HMGA2/BMPR2/ZEB2/CRK/PLAU/APC/NOTCH2/SPRY2/PDGFRA/MMP16/EFNA5/CD44/CCNG1/MAPK1/PDGFA/MET/RPS6KA5/ZFPM2/PRKCA/CYP1B1/TNC/EGFR/EFNA2
hsa05416	Viral myocarditis	57	-0.464995923884777	-1.73290844348691	0.00182815356489945	0.0259820600061862	0.0218286676089894	4734	tags=54%, list=28%, signal=39%	CASP3/CD86/HLA-F/HLA-DMA/ITGAL/CXADR/SGCG/PRF1/CCND1/ICAM1/CD40LG/HLA-A/HLA-DRA/SGCB/SGCD/LAMA1/HLA-G/EIF4G2/HLA-DRB5/CD28/LAMA2/HLA-E/HLA-DMB/HLA-B/CAV1/HLA-DQA2/MYH7/ITGB2/HLA-DPA1/HLA-C
hsa05014	Amyotrophic lateral sclerosis	325	0.31496707657385	1.44994913674993	0.0018558614290133	0.0259820600061862	0.0218286676089894	4793	tags=34%, list=29%, signal=25%	TUBB8/NEFM/DNAI1/DNAH10/COX6A2/DNAH9/GRIN2C/DNAI2/TUBB1/DNALI1/DNAH6/TUBB3/COX7B2/NXF2B/COX6B2/NRG4/TUBA3E/KLC3/DNAH7/MAPK11/CASP12/DNAH1/DNAH12/TUBA3D/PSMB5/TUBA3C/DNAH8/SDHD/NXF2/GRIN1/DNAH17/NDUFA1/NDUFS8/NDUFV1/TUBAL3/TOMM40/PFN4/COX6B1/PRPH/DNAH11/COX7B/MAPK12/CCS/NDUFA7/NXT1/TRAF2/CHCHD10/TUBB4A/COX5A/TUBB2A/NDUFB7/ATXN2L/NDUFA3/TUBB2B/NDUFA4/KLC2/ADRM1/UQCRB/UQCR11/WIPI1/NDUFB11/RAB39B/UQCRH/NDUFS5/NUP214/NDUFAB1/COX6C/NXF5/DDIT3/PSMA8/COX4I1/NUP85/NDUFS3/BAX/NDUFB9/COX7A2/NDUFB6/NDUFA8/COX4I2/ULK1/ATF4/NXF1/NDUFB4/TUBB4B/COX5B/FUS/NDUFA6/BAD/DNAH3/NDUFC2/ANG/HNRNPA3/COX6A1/NDUFS7/COX8A/HDAC6/XBP1/TOMM40L/NDUFA13/ALYREF/NDUFB8/PSMB6/DNAH2/NUP93/SEC13/NDUFA4L2/NDUFS2/DCTN1/PSMA7/NDUFB3/NDUFA11/PSMB3
