ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05016	Huntington disease	270	0.342569393236553	1.57695971494794	0.000359582883854729	0.00799404170804369	0.00624575341033816	4454	tags=34%, list=27%, signal=25%	TUBB8/DNAI1/DNAH10/COX6A2/POLR2J3/DNAH9/PPARGC1A/DNAI2/TUBB1/TUBB3/DNAH6/COX7B2/DNALI1/KLC3/TUBA3E/COX6B2/MAP3K10/DNAH7/DNAH1/PLCB4/TUBA3D/PSMB5/DNAH12/DNAH17/SDHD/POLR2I/DNAH8/STX1A/NDUFS8/NDUFV1/NDUFA1/TUBA3C/GRIN1/TUBAL3/CLTCL1/COX6B1/TRAF2/NDUFA7/COX7B/DNAH11/POLR2J2/COX5A/TUBB4A/NDUFB7/NDUFA3/NDUFA4/TUBB2A/ADRM1/UQCRH/NDUFB11/KLC2/UQCRB/NDUFS5/TUBB2B/UQCR11/COX6C/WIPI1/NDUFB9/NDUFAB1/POLR2H/COX4I1/PLCB2/ULK1/NDUFS3/BAX/COX5B/BDNF/COX7A2/NDUFB6/COX6A1/POLR2J/NDUFA8/TUBB4B/NDUFB4/NDUFC2/COX8A/DNAH3/POLR2L/NDUFS7/COX4I2/GRIA4/PSMA8/DLG4/BBC3/NDUFA6/NDUFA13/PSMA7/NDUFB8/NDUFS2/PSMB3/PSMB6/NDUFA11
hsa05034	Alcoholism	173	0.494160801010225	2.15354718671088	0.000363901018922853	0.00799404170804369	0.00624575341033816	1936	tags=30%, list=12%, signal=27%	CALML6/HIST1H2AE/HIST1H2BG/HIST1H2BH/GNG4/H2AFB2/HIST1H2BE/HIST3H2A/GNG3/SLC6A3/HIST1H3D/HIST1H4E/HIST1H3J/HIST2H2AA4/DRD2/HIST1H3E/HIST1H2BF/GRIN3B/H2AFB3/HIST1H3F/SHC2/HIST1H3G/GRIN2C/H2AFJ/HIST3H2BB/GNG8/FOSB/CALML5/HIST2H3C/HIST1H3H/HIST2H2BE/HIST1H2BL/CALML3/HIST1H2AJ/HIST1H2BJ/HIST1H2AL/HIST2H2AA3/HDAC4/HIST1H3B/HIST2H4A/DRD1/HIST2H2BF/GNGT1/GRIN1/HRAS/HIST1H4J/HIST2H3A/HIST2H2AB/HIST1H2BI/HIST1H2BM/HIST1H4I/HDAC10
hsa03010	Ribosome	133	0.411410753886091	1.72826380457366	0.00036697247706422	0.00799404170804369	0.00624575341033816	5420	tags=49%, list=32%, signal=33%	RPS26/RPL3L/RPLP1/MRPS21/RPS21/RPL36A-HNRNPH2/RPS17/RPS9/RPS19/RPS16/RPL36/RPL28/RPS15/RPL36A/RPLP2/MRPL20/RPS27A/MRPS11/MRPL12/RPL35/RPS4Y1/MRPL21/MRPS15/MRPL23/RPL22/MRPS12/MRPL24/MRPL4/RPS28/MRPL36/MRPL9/MRPS17/RPL37/RPL13A/RPL35A/MRPS18C/RPS7/MRPS16/MRPS2/RPL31/RPS13/MRPL33/MRPL22/RPS8/MRPL18/RPS10/MRPL17/RPL27/RPL18/RPL32/RPL13/RPS10-NUDT3/MRPL27/FAU/MRPL28/RPL30/RPL37A/RPL17/RPS11/RPS25/RPL38/RPL24/RPL23A/MRPL34/RPS15A
hsa05322	Systemic lupus erythematosus	122	0.430517690265393	1.78692310778033	0.000368052999631947	0.00799404170804369	0.00624575341033816	1895	tags=30%, list=11%, signal=27%	HIST1H2AE/HIST1H2BG/HIST1H2BH/H2AFB2/HIST1H2BE/HIST3H2A/HIST1H3D/HIST1H4E/HIST1H3J/HIST2H2AA4/HIST1H3E/HIST1H2BF/H2AFB3/HIST1H3F/HIST1H3G/C8G/H2AFJ/HIST3H2BB/HIST2H3C/HIST1H3H/HIST2H2BE/HIST1H2BL/HIST1H2AJ/HIST1H2BJ/HIST1H2AL/HIST2H2AA3/HIST1H3B/HIST2H4A/SNRPB/HIST2H2BF/HLA-DQB1/HIST1H4J/HIST2H3A/HIST2H2AB/HIST1H2BI/HIST1H2BM/HIST1H4I
hsa00190	Oxidative phosphorylation	103	0.507448858933004	2.05055733224443	0.000371057513914657	0.00799404170804369	0.00624575341033816	5000	tags=57%, list=30%, signal=40%	COX6A2/ATP6V0E2/COX7B2/ATP4A/COX6B2/COX17/TCIRG1/ATP12A/ATP6V1C2/SDHD/NDUFS8/NDUFV1/NDUFA1/ATP6V0B/COX6B1/NDUFA7/COX7B/COX5A/NDUFB7/NDUFA3/NDUFA4/ATP6V1B1/UQCRH/NDUFB11/UQCRB/NDUFS5/UQCR11/COX6C/NDUFB9/NDUFAB1/ATP6V1G1/ATP6V1E2/COX4I1/NDUFS3/COX5B/COX7A2/NDUFB6/COX6A1/NDUFA8/ATP6V1F/NDUFB4/NDUFC2/COX8A/NDUFS7/COX4I2/NDUFA6/NDUFA13/NDUFB8/NDUFS2/NDUFA11/CYC1/NDUFA9/NDUFB3/NDUFA10/NDUFC1/ATP4B/NDUFB10/NDUFA4L2/UQCRFS1
hsa05144	Malaria	47	-0.528504872433445	-1.87869614977398	0.000413907284768212	0.00799404170804369	0.00624575341033816	3323	tags=55%, list=20%, signal=44%	ITGAL/LRP1/SDC2/ICAM1/KLRK1/IL18/TGFB3/IFNG/HBA2/CD40LG/MYD88/CR1/ITGB2/IL10/MET/THBS4/TLR2/CCL2/THBS2/IL1B/TLR4/VCAM1/HGF/CD36/KLRC4-KLRK1
hsa04612	Antigen processing and presentation	67	-0.50647875689149	-1.93944009001079	0.000419463087248322	0.00799404170804369	0.00624575341033816	5374	tags=66%, list=32%, signal=45%	PSME1/CD8A/CALR/HLA-DPB1/RFX5/NFYB/PSME3/HLA-DRB1/B2M/HLA-DOA/HLA-F/CD74/HSPA1B/KIR3DL1/CREB1/TNF/HLA-DMA/CTSS/CD8B/HSPA1A/HLA-A/HLA-G/CTSB/CD4/NFYA/HLA-DRA/IFNG/IFI30/TAP1/HLA-E/HLA-DMB/HSP90AB1/HLA-DRB5/CANX/TAPBP/HLA-B/HSP90AA1/HLA-DQA2/KLRC2/HSPA8/HLA-DPA1/KLRC4/HLA-C
hsa04976	Bile secretion	77	-0.480272908396073	-1.88823935896096	0.000420521446593776	0.00799404170804369	0.00624575341033816	1917	tags=29%, list=11%, signal=25%	PRKACB/UGT1A4/ABCC3/AQP1/ABCC2/UGT2B4/ADCY2/UGT2B11/SCTR/UGT1A8/ABCG2/KCNN2/BAAT/AQP9/FXYD2/NR1H4/CA2/NR0B2/AQP4/UGT2B7/SLCO1B3
hsa05416	Viral myocarditis	57	-0.51513910787042	-1.90719452161133	0.0004212299915754	0.00799404170804369	0.00624575341033816	5012	tags=61%, list=30%, signal=43%	CASP3/DAG1/RAC2/HLA-DRB1/HLA-DOA/HLA-F/CD86/CCND1/CXADR/HLA-DMA/ITGAL/PRF1/HLA-A/ICAM1/LAMA1/SGCB/HLA-G/SGCG/HLA-DRA/EIF4G2/CD40LG/SGCD/HLA-E/HLA-DMB/CD28/LAMA2/HLA-DRB5/HLA-B/CAV1/MYH7/ITGB2/HLA-DQA2/HLA-DPA1/HLA-C
hsa05150	Staphylococcus aureus infection	81	-0.526123834288949	-2.09116021175429	0.000424448217317487	0.00799404170804369	0.00624575341033816	3250	tags=52%, list=19%, signal=42%	ITGAL/FCGR1A/FPR2/MASP1/DEFA1/ICAM1/C1QB/FPR1/CFH/C2/HLA-DRA/C1S/KRT39/C1R/C5/DEFB4A/C1QC/HLA-DMB/KRT20/ITGAM/CAMP/KRT17/HLA-DRB5/KRT14/DEFA1B/FCGR2A/FPR3/ITGB2/IL10/HLA-DQA2/CFB/FCAR/C3AR1/FCGR3A/KRT15/HLA-DPA1/CFI/KRT13/PTAFR/DEFA3/FCGR3B
