ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	-0.503234262223285	-2.26993891456106	0.000269034167339252	0.00782312925170068	0.00649583141527288	4891	tags=52%, list=29%, signal=38%	ZNF200/IKBKB/POU2F1/ZNF454/ZNF223/ZNF616/ZNF81/IL1B/ZNF3/TP53/ZNF814/ZNF33A/ITGB3/ITGA5/ZFP90/ZNF418/ZNF676/ZNF17/ZNF248/ZNF132/ZNF34/ZNF41/EIF2AK3/DAXX/ZNF566/ZFP28/ZNF534/ZNF57/NFKB1/ZNF529/HLA-E/ZNF569/ZNF610/ZNF879/HLA-G/BIRC2/ZNF548/PIK3R1/ZNF324/ZNF442/ZNF551/ZNF473/ZNF225/ZNF558/ZNF233/ZNF84/ZNF221/ZNF568/ZFP30/MYD88/PILRA/ZNF684/HLA-F/BID/ZNF772/ZNF736/ZNF670/ZNF587/ZNF613/ZNF74/CHUK/ZNF763/ZNF764/ZNF582/ZNF805/CFP/IL12B/ZNF77/PPP1CC/ZNF333/ZNF649/ZNF546/POU2F2/ZNF845/ZNF614/ZNF510/ZNF45/ZNF543/ZNF470/ZNF606/ZNF2/ZNF436/ZNF37A/HLA-DOB/ZNF222/HLA-DQB1/TAP1/HCFC2/ZFP69B/ZNF44/ZNF124/ZNF441/ZNF432/ZNF90/ZNF230/HLA-DQA1/ZNF675/JAK1/STAT1/C3/ZNF667/IFIH1/HLA-DRB1/ZNF354A/ZNF560/HLA-B/ZNF765/ZNF416/ZNF599/ZNF177/ZNF561/ZFP69/ZNF823/ZNF688/ZNF304/ZNF680/SYK/ZNF785/ZNF596/PIK3R2/IFNAR2/ZNF791/ZNF671/NXF3/ZNF324B/ZNF354C/TLR3/ZNF669/ZFP14/ZNF440/ZNF564/HLA-A/ZNF14/ZNF555/TLR2/HLA-DOA/AKT3/ZNF267/ZNF557/ZNF254/HLA-DMA/ZNF175/HLA-DPB1/ZNF714/ZNF184/ZNF10/ZNF571/ZNF431/ZNF713/ZNF157/ZNF808/PIK3R3/ZNF311/ZNF25/ZNF519/ZNF181/ZNF420/ZNF91/ZNF891/ZFP82/ZNF605/ZNF100/ZNF347/CD74/ZNF689/ZNF562/ZNF577/DDX58/ZNF611/B2M/ZNF701/BCL2/TMEM173/HLA-DMB/ZNF140/ZNF425/ZNF101/APAF1/ZNF404/ZNF547/ZNF563/ZNF836/ZNF136/ZNF20/ZNF627/CCL2/ZNF615/ZNF471/ZNF799/ZNF490/ZNF273/ZNF85/ZNF699/ZNF528/ZNF792/ZNF83/ZNF552/ZNF382/ZNF597/ZNF492/ZNF583/FASLG/BIRC3/ZNF443/HLA-C/ZNF426/ZNF468/ZNF540/JAK2/HLA-DRA/ZNF93/ZNF214/ZNF253/ZNF430/ZNF682/ZNF709/ZNF816/LTA/ZNF708/ZNF600/ZNF506/ZFP37/ZNF43/ZNF320/ZNF595/POU2F3/HLA-DQA2/FAS/ZFP57/HLA-DRB5/ZNF439/ZNF749/HLA-DPA1/TNF/CCL5/IFNG/ZNF486/ZNF662/ZNF429/ZNF208/ZNF737/ZNF665
hsa04145	Phagosome	144	-0.448147944209994	-1.78511613439158	0.000312597686777118	0.00782312925170068	0.00649583141527288	3040	tags=35%, list=18%, signal=29%	HLA-DQB1/TAP1/HLA-DQA1/C1R/C3/HLA-DRB1/HLA-B/RAB5B/NCF4/FCGR1A/RILP/COLEC11/HLA-A/CLEC7A/CORO1A/TLR2/HLA-DOA/HLA-DMA/HLA-DPB1/ITGB2/PIK3C3/FCGR2A/ITGAM/CYBB/HLA-DMB/THBS1/MPO/CTSS/NCF1/HLA-C/HLA-DRA/MSR1/FCGR3A/CD209/FCGR3B/HLA-DQA2/FCGR2B/COLEC12/TLR4/THBS2/FCAR/HLA-DRB5/ATP6V1G2/HLA-DPA1/TUBA1A/CD36/COMP/TUBB2B/MRC1/MARCO
hsa04514	Cell adhesion molecules	136	-0.541704645466713	-2.13918619991941	0.000316856780735108	0.00782312925170068	0.00649583141527288	3040	tags=47%, list=18%, signal=39%	HLA-DQB1/CDH15/HLA-DQA1/CD34/CLDN16/SELE/CLDN22/ICOS/HLA-DRB1/HLA-B/ESAM/CLDN24/CDH5/HLA-A/CLDN6/HLA-DOA/HLA-DMA/HLA-DPB1/ITGB2/CLDN19/JAM3/TIGIT/ITGAM/NCAM1/CDH4/ICAM2/ICAM1/JAM2/MAG/ITGA9/SELPLG/CLDN18/CD28/HLA-DMB/CD40/ICAM3/PTPRC/CD274/ITGAL/CD4/CD8A/CD40LG/PDCD1LG2/HLA-C/CNTN1/CDH2/HLA-DRA/CD2/NTNG1/ITGA8/ITGA4/NLGN4X/CNTNAP1/VCAN/HLA-DQA2/CADM1/CLDN3/HLA-DRB5/HLA-DPA1/CD8B/VCAM1/NCAM2/NEGR1
hsa04659	Th17 cell differentiation	102	-0.529540706774542	-2.01180596900715	0.000319386777387416	0.00782312925170068	0.00649583141527288	3969	tags=47%, list=24%, signal=36%	MAPK1/STAT5A/NFATC3/CHUK/NFATC2/RORC/HLA-DOB/HLA-DQB1/IL27RA/PPP3CC/HLA-DQA1/JAK1/STAT1/HLA-DRB1/SMAD4/IL6ST/NFKBIE/IL23A/TGFBR2/HLA-DOA/HLA-DMA/HLA-DPB1/FOXP3/IL2RA/IL2/IL2RG/HLA-DMB/IL12RB1/CD247/LCK/IL21R/ZAP70/CD3E/IL1R1/JAK3/IL21/GATA3/CD4/NFATC1/IL2RB/JAK2/HLA-DRA/HLA-DQA2/CD3G/HLA-DRB5/HLA-DPA1/IFNG
hsa04658	Th1 and Th2 cell differentiation	89	-0.521289568751838	-1.94351964069864	0.000321646831778707	0.00782312925170068	0.00649583141527288	4321	tags=55%, list=26%, signal=41%	RBPJ/NFKB1/MAML3/IL13/MAPK1/STAT5A/NFATC3/MAML2/CHUK/IL12B/NFATC2/HLA-DOB/HLA-DQB1/IL12RB2/RBPJL/PPP3CC/HLA-DQA1/JAK1/STAT1/HLA-DRB1/NFKBIE/HLA-DOA/HLA-DMA/HLA-DPB1/NOTCH3/IL2RA/IL2/IL2RG/HLA-DMB/IL12RB1/CD247/LCK/ZAP70/CD3E/JAK3/GATA3/CD4/RUNX3/NFATC1/IL2RB/NOTCH2/JAK2/HLA-DRA/HLA-DQA2/CD3G/HLA-DRB5/HLA-DPA1/IFNG
hsa05140	Leishmaniasis	73	-0.546436494930486	-1.96547799340144	0.000326157860404436	0.00782312925170068	0.00649583141527288	3981	tags=56%, list=24%, signal=43%	MARCKSL1/MAPK1/EEF1A1/MYD88/IL12B/HLA-DOB/HLA-DQB1/HLA-DQA1/JAK1/STAT1/C3/HLA-DRB1/NCF4/FCGR1A/CR1L/TLR2/HLA-DOA/HLA-DMA/HLA-DPB1/ITGB2/FCGR2A/ITGAM/CYBB/HLA-DMB/PRKCB/NOS2/IL10/NCF1/JAK2/HLA-DRA/FCGR3A/ITGA4/FCGR3B/TGFB3/HLA-DQA2/TLR4/HLA-DRB5/HLA-DPA1/TNF/IFNG
hsa05321	Inflammatory bowel disease	61	-0.55472010917024	-1.93572478138773	0.000329380764163373	0.00782312925170068	0.00649583141527288	3338	tags=54%, list=20%, signal=43%	RORC/HLA-DOB/HLA-DQB1/IL12RB2/HLA-DQA1/STAT1/HLA-DRB1/IL23A/NOD2/TLR2/HLA-DOA/HLA-DMA/HLA-DPB1/FOXP3/IL2/IL2RG/HLA-DMB/IL12RB1/IL10/IL21R/IL21/GATA3/NFATC1/TLR5/HLA-DRA/TGFB3/HLA-DQA2/TLR4/HLA-DRB5/HLA-DPA1/TNF/IFNG
hsa04612	Antigen processing and presentation	67	-0.557474864815845	-1.97282654698019	0.000330250990752972	0.00782312925170068	0.00649583141527288	3060	tags=48%, list=18%, signal=39%	HLA-DOB/HLA-DQB1/TAP1/HLA-DQA1/HLA-DRB1/HLA-B/KIR3DL1/HLA-A/HLA-DOA/HLA-DMA/IFI30/HLA-DPB1/CD74/B2M/HLA-DMB/CD4/CD8A/KIR2DL3/CTSS/KLRD1/HSPA1L/HLA-C/HLA-DRA/KLRC2/HLA-DQA2/HLA-DRB5/HLA-DPA1/TNF/CD8B/IFNG/KLRC4
hsa05144	Malaria	47	-0.570437858995227	-1.88754113649831	0.000334001336005344	0.00782312925170068	0.00649583141527288	2143	tags=49%, list=13%, signal=43%	TLR2/ITGB2/ICAM1/KLRB1/CD40/THBS1/CCL2/IL10/ITGAL/CD40LG/KLRK1/GYPC/TGFB3/TLR4/HGF/THBS2/TNF/IFNG/CD36/COMP/KLRC4-KLRK1/VCAM1
hsa04672	Intestinal immune network for IgA production	44	-0.605863751817435	-1.97993340536801	0.000334672021419009	0.00782312925170068	0.00649583141527288	3420	tags=64%, list=21%, signal=51%	MADCAM1/HLA-DOB/HLA-DQB1/HLA-DQA1/ICOS/HLA-DRB1/CCL25/CXCR4/HLA-DOA/HLA-DMA/HLA-DPB1/CCR10/IL2/CD28/HLA-DMB/CD40/TNFSF13/IL10/CD40LG/TNFSF13B/HLA-DRA/ITGA4/HLA-DQA2/HLA-DRB5/HLA-DPA1/CXCL12/TNFRSF17
hsa05320	Autoimmune thyroid disease	38	-0.677257753625902	-2.14528443541075	0.000335570469798658	0.00782312925170068	0.00649583141527288	3040	tags=66%, list=18%, signal=54%	GZMB/HLA-DQB1/HLA-DQA1/HLA-DRB1/HLA-B/HLA-A/HLA-DOA/PRF1/HLA-DMA/HLA-DPB1/IL2/CD28/HLA-DMB/CD40/IL10/CD40LG/FASLG/HLA-C/HLA-DRA/HLA-DQA2/FAS/TSHR/HLA-DRB5/HLA-DPA1
hsa05332	Graft-versus-host disease	37	-0.637468008117422	-2.00492774318834	0.000336927223719677	0.00782312925170068	0.00649583141527288	4510	tags=89%, list=27%, signal=65%	KLRC1/KIR3DL2/HLA-E/HLA-G/KIR2DL1/HLA-F/HLA-DOB/GZMB/HLA-DQB1/HLA-DQA1/HLA-DRB1/HLA-B/KIR3DL1/HLA-A/HLA-DOA/PRF1/HLA-DMA/HLA-DPB1/IL2/CD28/HLA-DMB/KIR2DL3/KLRD1/FASLG/HLA-C/HLA-DRA/HLA-DQA2/FAS/HLA-DRB5/HLA-DPA1/TNF/IFNG
hsa05330	Allograft rejection	35	-0.701998230665878	-2.19029231774677	0.000337268128161889	0.00782312925170068	0.00649583141527288	3040	tags=77%, list=18%, signal=63%	HLA-DOB/GZMB/HLA-DQB1/HLA-DQA1/HLA-DRB1/HLA-B/HLA-A/HLA-DOA/PRF1/HLA-DMA/HLA-DPB1/IL2/CD28/HLA-DMB/CD40/IL10/CD40LG/FASLG/HLA-C/HLA-DRA/HLA-DQA2/FAS/HLA-DRB5/HLA-DPA1/TNF/IFNG
hsa05310	Asthma	25	-0.779743431350367	-2.26472839949973	0.000340136054421769	0.00782312925170068	0.00649583141527288	3040	tags=84%, list=18%, signal=69%	HLA-DQB1/FCER1G/HLA-DQA1/HLA-DRB1/FCER1A/HLA-DOA/HLA-DMA/HLA-DPB1/HLA-DMB/CD40/IL10/CD40LG/HLA-DRA/CCL11/HLA-DQA2/RNASE3/HLA-DRB5/HLA-DPA1/TNF/MS4A2
hsa00790	Folate biosynthesis	22	0.660114404790544	1.93471522385593	0.000480538202787122	0.00795297372060857	0.00660364604457201	2859	tags=59%, list=17%, signal=49%	AKR1C3/AKR1B10/MOCOS/TH/ALPL/CBR1/GPHN/ALPP/PTS/GGH/PCBD2/PCBD1/SPR
hsa00140	Steroid hormone biosynthesis	51	0.531076797392802	1.86007098220708	0.000504540867810293	0.00795297372060857	0.00660364604457201	1078	tags=31%, list=6%, signal=29%	AKR1C2/AKR1C3/AKR1C1/UGT1A7/CYP3A5/UGT1A6/UGT1A1/UGT1A4/HSD17B3/AKR1C4/UGT1A8/HSD17B2/UGT2A1/SULT2B1/CYP1A1/HSD11B2
hsa00480	Glutathione metabolism	53	0.562512450621268	1.99044447718331	0.000505050505050505	0.00795297372060857	0.00660364604457201	1613	tags=36%, list=10%, signal=32%	GSTM1/GPX2/GSTA1/GSTT2B/GSTM3/PGD/ODC1/GCLC/OPLAH/GSTT2/G6PD/GCLM/GSR/SMS/GPX3/RRM2/GSTA3/GSTM2/CHAC2
hsa00830	Retinol metabolism	53	0.527507114716867	1.86657845884735	0.000505050505050505	0.00795297372060857	0.00660364604457201	1544	tags=30%, list=9%, signal=27%	ADH7/UGT1A7/CYP3A5/UGT1A6/UGT1A1/UGT1A4/RDH10/ADH4/UGT1A8/UGT2A1/CYP1A1/CYP2B6/ADH1A/CYP2S1/CYP2C9/DHRS9
