ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	0.50022811667853	1.71985175848166	0.000201979398101394	0.00488589463462005	0.00364166059723234	2382	tags=32%, list=14%, signal=28%	CCL3L3/CCL4L1/CCR6/IL18/CXCR6/CCL24/CSF1R/CXCL10/IL21R/CXCL5/CCL4L2/CCL13/XCR1/IL13RA2/CCR1/CXCL9/IL7R/TNFRSF11A/CD40LG/IL10/IL10RA/CXCL11/CCL7/CCL3L1/CCL17/TNFRSF13C/IL33/BMP6/TGFB2/IL2RG/CCL14/CXCL6/CCR5/LTB/EDA/IL27RA/LEPR/CCL21/CCL15/CCL20/TNF/CXCR3/IL32/CCL22/AMHR2/IL4/CCL23/IL15/IL12RB1/LIFR/IL17D/IL16/CD27/TNFRSF17/IL1B/TNFSF15/EDA2R/CSF2RB/PF4V1/MPL/CTF1/ACVRL1/TNFSF8/CCL5/ACKR4/LEP/CCL26/TNFRSF10A/RELT/TNFRSF25/IL20RB/EDAR/XCL2/IL5RA/TGFB1/CD4/EPO/NGFR/CD40/CXCL16/TNFRSF21/CSF2RA/CCL18/TNFRSF9
hsa05170	Human immunodeficiency virus 1 infection	190	0.484875497186178	1.64072127407432	0.000204582651391162	0.00488589463462005	0.00364166059723234	4738	tags=38%, list=28%, signal=28%	HLA-G/GNG8/CD3D/BST2/CD3G/AP1M2/HLA-B/PRKCB/RAC2/HLA-A/HLA-F/APOBEC3F/CCR5/CCNB2/APOBEC3C/CD3E/TLR2/TNF/TAP2/APOBEC3G/B2M/PAK3/APOBEC3D/PIK3CD/ITPR3/CDK1/TAP1/SAMHD1/TLR4/GNG3/AP1S2/MAPK12/GNG11/AP1S3/MAPK11/PIK3R3/GNGT2/CALML4/CD4/CASP8/APOBEC3H/BCL2/CCNB1/MAPK13/GNB4/GNG2/AKT3/LIMK1/PAK1/GNG4/AP1G2/GNG5/TRAF5/PLCG1/AP1B1/HLA-E/PAK6/NFATC1/TNFRSF1B/CALM3/CXCR4/GNAI1/PTK2B/GNAI3/BID/APOBEC3B/TMEM173/RBX1/TRAF2/CCNB3/CALM2/RAC1/HLA-C
hsa04062	Chemokine signaling pathway	186	0.548953057941178	1.85506513080124	0.000205044084478163	0.00488589463462005	0.00364166059723234	2671	tags=34%, list=16%, signal=29%	CCL3L3/CCL4L1/CCR6/GNG8/CXCR6/CCL24/CXCL10/CXCL5/VAV1/CCL4L2/CCL13/XCR1/CCR1/CXCL9/PRKCB/RAC2/PIK3CG/CXCL11/PLCB2/CCL7/CCL3L1/CCL17/VAV3/HCK/CCL14/CXCL6/CCR5/CCL21/CCL15/CCL20/DOCK2/STAT1/CXCR3/ADCY7/CCL22/ADCY4/PREX1/CCL23/ITK/PIK3CD/PLCB1/PIK3R6/GNG3/FGR/PIK3R5/PF4V1/PRKCD/ADCY2/WAS/CCL5/CCL26/GNG11/NCF1/XCL2/PIK3R3/GNGT2/ADCY8/CXCL16/CCL18/CCL19/CCL8/JAK2/GNB4/GNG2
hsa04380	Osteoclast differentiation	123	0.570586328842784	1.86716209770272	0.000211864406779661	0.00488589463462005	0.00364166059723234	2142	tags=30%, list=13%, signal=26%	TREM2/CSF1R/FCGR2B/LILRB4/LILRB2/FCGR3A/ACP5/LILRA3/FCGR1A/TNFRSF11A/LILRB1/LILRA1/LILRB5/LCP2/SYK/TGFB2/SPI1/TYROBP/TNF/LCK/STAT1/CYBA/BTK/PIK3CD/ITGB3/IL1B/LILRA2/OSCAR/LILRA6/MAPK12/NCF1/MITF/MAPK11/PPARG/PIK3R3/LILRA4/TGFB1
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.605869012948421	1.94213347991673	0.000215563699073076	0.00488589463462005	0.00364166059723234	2001	tags=38%, list=12%, signal=33%	CCL3L3/CCL4L1/CCR6/IL18/CCL24/CSF1R/CXCL10/CXCL5/CCL4L2/CCL13/XCR1/CCR1/CXCL9/IL10/IL10RA/CXCL11/CCL7/CCL3L1/CCL17/IL2RG/CCL14/CXCL6/CCR5/CCL21/CCL15/CCL20/TNF/CXCR3/CCL22/CCL23/PF4V1/CCL5/ACKR4/CCL26/TNFRSF10A/IL20RB/XCL2
hsa04972	Pancreatic secretion	97	0.568885945394062	1.82147908920052	0.000215656674574078	0.00488589463462005	0.00364166059723234	3064	tags=43%, list=18%, signal=36%	PLA2G2A/PLA2G2D/SCTR/CCK/PRSS3/KCNQ1/PRKCB/CHRM3/PLCB2/PLA2G1B/FXYD2/SLC12A2/ADCY7/AMY2A/ADCY4/CFTR/CEL/PLCB1/ITPR3/ATP1A3/PRSS1/ATP1A4/PNLIP/CTRL/CPA2/ADCY2/CTRB1/CELA3A/CPB1/CELA2A/CPA1/CELA3B/CPB2/ADCY8/CTRB2/ATP1A2/TPCN2/SLC9A1/ATP1B1/ATP1A1/SLC26A3/PLA2G12B
hsa04640	Hematopoietic cell lineage	92	0.606631765376555	1.93350450541404	0.00021654395842356	0.00488589463462005	0.00364166059723234	2490	tags=43%, list=15%, signal=37%	HLA-DQA2/CD1E/CD3D/CSF1R/CD3G/FCGR1A/IL7R/CD5/CD2/HLA-DRA/ITGA6/CD37/CD33/CD1B/GP1BA/CD36/CD3E/TNF/CD1C/IL4/CD8A/FCER2/CD8B/MS4A1/ITGAM/ITGB3/IL1B/HLA-DMB/ITGA2B/FLT3/HLA-DPB1/HLA-DQA1/ITGA4/CD34/IL5RA/CD4/EPO/CSF2RA/CR1/CD44
hsa04620	Toll-like receptor signaling pathway	90	0.635765304884531	2.01966678216594	0.000217155266015201	0.00488589463462005	0.00364166059723234	2758	tags=38%, list=17%, signal=32%	CCL3L3/CCL4L1/CXCL10/CCL4L2/SPP1/TLR7/CXCL9/CD86/TLR6/IKBKE/TLR1/TLR8/CXCL11/CCL3L1/LY96/CD80/TLR2/TNF/STAT1/PIK3CD/TLR4/IL1B/LBP/CCL5/MAPK12/TLR3/MAPK11/PIK3R3/CD40/CASP8/TICAM2/MAPK13/AKT3/TRAF3
hsa05323	Rheumatoid arthritis	87	0.564949557312075	1.7898617844428	0.000218340611353712	0.00488589463462005	0.00364166059723234	1806	tags=33%, list=11%, signal=30%	CCL3L3/HLA-DQA2/IL18/CXCL5/ACP5/CD86/TNFRSF11A/CCL3L1/ITGB2/CTLA4/HLA-DRA/TGFB2/CXCL6/LTB/CD80/CCL20/TLR2/TNF/IL15/TEK/TLR4/IL1B/FLT1/HLA-DMB/ATP6V0D2/ATP6V1H/CCL5/HLA-DPB1/HLA-DQA1
hsa05150	Staphylococcus aureus infection	81	0.563505569581303	1.77086131947986	0.000220264317180617	0.00488589463462005	0.00364166059723234	3143	tags=46%, list=19%, signal=37%	HLA-DQA2/KRT19/C1QB/FCGR2B/C1QC/FCGR3A/C1QA/KRT27/FCGR1A/PTAFR/CFD/IL10/FPR3/ITGB2/C3AR1/SELP/HLA-DRA/C5/SELPLG/C2/KRT36/ITGAM/PLG/HLA-DMB/DEFA1B/HLA-DPB1/HLA-DQA1/KRT23/KRT39/KRT20/ITGAL/CFB/KRT18/HLA-DOA/DEFA5/CFH/CFI
hsa04662	B cell receptor signaling pathway	79	0.595685441814149	1.86703247896551	0.000220604456210015	0.00488589463462005	0.00364166059723234	2101	tags=33%, list=13%, signal=29%	FCGR2B/LILRB4/VAV1/LILRB2/LILRA3/PRKCB/RAC2/DAPP1/LILRB1/LILRA1/CD79B/LILRB5/IFITM1/VAV3/SYK/RASGRP3/INPP5D/BTK/CD72/PIK3CD/NFKBIE/LILRA2/CD79A/LILRA6/PIK3R3/LILRA4
hsa05140	Leishmaniasis	73	0.598551137981231	1.85798981793701	0.000223164472216023	0.00488589463462005	0.00364166059723234	3294	tags=47%, list=20%, signal=38%	HLA-DQA2/EEF1A2/FCGR3A/CYBB/FCGR1A/PRKCB/IL10/ITGB2/HLA-DRA/TGFB2/TLR2/TNF/STAT1/CYBA/IL4/TLR4/ITGAM/IL1B/HLA-DMB/MARCKSL1/HLA-DPB1/HLA-DQA1/MAPK12/NCF1/ITGA4/MAPK11/TGFB1/CR1/JAK2/MAPK13/HLA-DOA/IL12A/PTPN6/NCF2
hsa04940	Type I diabetes mellitus	41	0.659233724423037	1.89285764786161	0.000237416904083571	0.00488589463462005	0.00364166059723234	1806	tags=37%, list=11%, signal=33%	HLA-DQA2/HLA-G/HLA-B/CD86/HLA-A/HLA-F/ICA1/HLA-DRA/CD80/TNF/IL1B/HLA-DMB/PTPRN/HLA-DPB1/HLA-DQA1
hsa05320	Autoimmune thyroid disease	38	0.692259943774272	1.96482315832428	0.000239177230327673	0.00488589463462005	0.00364166059723234	2287	tags=47%, list=14%, signal=41%	HLA-DQA2/HLA-G/HLA-B/CD86/CD40LG/IL10/HLA-A/HLA-F/CTLA4/HLA-DRA/CD80/IL4/CGA/HLA-DMB/HLA-DPB1/HLA-DQA1/CD40/TG
hsa05330	Allograft rejection	35	0.688240189532366	1.92302595934561	0.000242718446601942	0.00488589463462005	0.00364166059723234	1806	tags=43%, list=11%, signal=38%	HLA-DQA2/HLA-G/HLA-B/CD86/CD40LG/IL10/HLA-A/HLA-F/HLA-DRA/CD80/TNF/IL4/HLA-DMB/HLA-DPB1/HLA-DQA1
hsa05340	Primary immunodeficiency	36	0.731592887779994	2.04990991535078	0.000242777373148823	0.00488589463462005	0.00364166059723234	2215	tags=56%, list=13%, signal=48%	CD3D/IL7R/CD40LG/TNFRSF13C/IL2RG/PTPRC/CD3E/TAP2/LCK/BTK/CD8A/CD8B/ICOS/TAP1/CIITA/CD79A/RFX5/DCLRE1C/CD4/CD40
hsa05169	Epstein-Barr virus infection	184	0.469928600771103	1.58710748486109	0.00041025641025641	0.00585055643879173	0.0043606631841926	4753	tags=41%, list=28%, signal=30%	HLA-DQA2/HLA-G/CD3D/CXCL10/CD3G/HLA-B/HLA-A/IKBKE/HLA-F/SYK/HLA-DRA/CCNE1/OAS2/OAS3/CD3E/TLR2/TNF/TAP2/STAT1/E2F1/BTK/FCER2/B2M/PIK3CD/TAP1/NFKBIE/HLA-DMB/CD58/HLA-DPB1/HLA-DQA1/MAPK12/MAPK11/PIK3R3/E2F3/CD40/APAF1/CASP8/OAS1/BCL2/CD44/ITGAL/MAPK13/AKT3/TRAF3/DDX58/PSMD14/ISG15/HLA-DOA/LYN/CCND3/HDAC2/PSMD2/TRAF5/E2F2/CDK6/HLA-E/RB1/EIF2AK2/HLA-DPA1/RUNX3/PSMD6/SAP30/PSMC5/PSMC1/CD19/HLA-DRB1/RBPJL/JAK3/BID/TRAF2/TNFAIP3/PSMD11/SKP2/RAC1/HLA-C/POLK
hsa05152	Tuberculosis	162	0.507790285652842	1.699082335883	0.000413564929693962	0.00585055643879173	0.0043606631841926	2751	tags=33%, list=16%, signal=28%	HLA-DQA2/IL18/FCGR2B/FCGR3A/CLEC4M/FCGR1A/TLR6/IL10/IL10RA/TLR1/CORO1A/ITGB2/FCER1G/SYK/HLA-DRA/TGFB2/CD74/CTSS/TLR2/TNF/NOD2/STAT1/CARD9/LSP1/CLEC7A/CD209/TLR4/ITGAM/CIITA/IL1B/HLA-DMB/ATP6V0D2/RFX5/LBP/ATP6V1H/HLA-DPB1/HLA-DQA1/MAPK12/MAPK11/LAMP2/CALML4/ITGAX/TGFB1/CTSD/APAF1/CASP8/BCL2/CR1/TCIRG1/JAK2/MAPK13/LAMP1/AKT3
hsa05164	Influenza A	152	0.493594299129761	1.6467050782882	0.000413907284768212	0.00585055643879173	0.0043606631841926	3752	tags=37%, list=22%, signal=29%	HLA-DQA2/IL18/PRSS3/CXCL10/RSAD2/TLR7/PRKCB/IKBKE/IL33/HLA-DRA/OAS2/OAS3/TNF/STAT1/MX2/PYCARD/PIK3CD/TMPRSS4/TLR4/NLRP3/PRSS1/CIITA/PLG/IL1B/HLA-DMB/IFIH1/CCL5/HLA-DPB1/HLA-DQA1/TLR3/TNFRSF10A/KPNA2/PIK3R3/SLC25A4/CASP1/APAF1/CASP8/MX1/OAS1/NXF3/NXF2B/JAK2/ADAR/AKT3/TRAF3/DDX58/HLA-DOA/CCND3/IL12A/RAB11A/CDK6/NXF2/PML/NLRX1/EIF2AK2/HLA-DPA1
hsa04145	Phagosome	144	0.510698353089909	1.69508703700764	0.000417101147028154	0.00585055643879173	0.0043606631841926	3338	tags=41%, list=20%, signal=33%	MARCO/HLA-DQA2/TUBB4A/HLA-G/FCGR2B/FCGR3A/CYBB/MSR1/CLEC4M/FCGR1A/HLA-B/TLR6/HLA-A/CORO1A/HLA-F/ITGB2/TUBA3E/COLEC12/HLA-DRA/CTSS/CD36/TLR2/TAP2/TUBB8/CYBA/CLEC7A/TAP1/CD209/TLR4/ITGAM/ITGB3/SFTPA1/TUBB2A/HLA-DMB/ATP6V0D2/ATP6V1H/SFTPA2/HLA-DPB1/HLA-DQA1/NCF1/LAMP2/STX7/TUBA1C/TUBB4B/DYNC1I2/TCIRG1/LAMP1/M6PR/HLA-DOA/ITGAV/ITGA2/TUBB3/DYNC1LI1/TUBAL3/ATP6V1B2/ATP6V0B/NCF2/TUBA1A/ATP6V1D
hsa04514	Cell adhesion molecules	136	0.529790755460186	1.74822718748456	0.000419111483654652	0.00585055643879173	0.0043606631841926	3008	tags=42%, list=18%, signal=35%	HLA-DQA2/HLA-G/VCAM1/HLA-B/CLDN19/CD86/CD40LG/HLA-A/HLA-F/ITGB2/SPN/SIGLEC1/CD2/SELP/CTLA4/VTCN1/HLA-DRA/ITGA6/CLDN6/CLDN5/PTPRC/LRRC4/NRXN2/CLDN10/CD80/SELPLG/CD6/CLDN4/PDCD1LG2/CDH5/CD8A/CD8B/ICOS/ICAM2/SDC3/ITGAM/HLA-DMB/CD58/CDH4/HLA-DPB1/HLA-DQA1/PTPRM/ITGA4/CDH15/CD34/CD4/CD40/NRXN3/NEO1/ITGAL/CD226/GLG1/CD274/CLDN7/HLA-DOA/ITGB7/ITGAV
hsa04660	T cell receptor signaling pathway	99	0.53026086077853	1.70191683362825	0.000430015050526768	0.00585055643879173	0.0043606631841926	3777	tags=38%, list=23%, signal=30%	CD3D/CD3G/VAV1/CD40LG/IL10/LCP2/VAV3/CTLA4/PTPRC/CD3E/TNF/LCK/IL4/ITK/CD8A/CD8B/ICOS/PAK3/PIK3CD/NFKBIE/MAPK12/MAPK11/PIK3R3/CD4/RASGRP1/MAPK13/AKT3/PAK1/PRKCQ/PTPN6/NCK1/PLCG1/PDCD1/NCK2/PAK6/NFATC1/CSF2/GSK3B
hsa04610	Complement and coagulation cascades	80	0.550115579866695	1.72672054203293	0.000440625688477638	0.00585055643879173	0.0043606631841926	4126	tags=54%, list=25%, signal=41%	C1QB/VSIG4/C1QC/C1QA/C4BPA/CFD/F2RL2/F2/ITGB2/C3AR1/C5/SERPINC1/VWF/F8/C2/F2R/ITGAM/PLG/C6/CLU/C8G/C9/SERPIND1/SERPING1/KNG1/ITGAX/CPB2/CR1/PLAU/C4BPB/CFB/F10/F13A1/CFH/CFI/TFPI/BDKRB2/F7/FGB/C4B/C4A/CD59/CD55
hsa05133	Pertussis	75	0.560830103425679	1.74727878392642	0.000444642063139173	0.00585055643879173	0.0043606631841926	2659	tags=36%, list=16%, signal=30%	C1QB/C1QC/CXCL5/C1QA/C4BPA/IL10/ITGB2/LY96/C5/CXCL6/TNF/PYCARD/C2/TLR4/NLRP3/ITGAM/SFTPA1/IL1B/SFTPA2/MAPK12/SERPING1/MAPK11/CALML4/CASP1/TICAM2/MAPK13/C4BPB
hsa05321	Inflammatory bowel disease	61	0.574595259082107	1.74262637790901	0.000454235748353395	0.00585055643879173	0.0043606631841926	2142	tags=34%, list=13%, signal=30%	HLA-DQA2/IL18/IL21R/FOXP3/IL10/HLA-DRA/TGFB2/IL2RG/TLR2/TNF/NOD2/STAT1/IL4/IL12RB1/TLR4/IL1B/HLA-DMB/HLA-DPB1/HLA-DQA1/GATA3/TGFB1
hsa00565	Ether lipid metabolism	43	0.63635163123179	1.84018923434308	0.000473821369343757	0.00586809542033423	0.0043737357170193	1146	tags=26%, list=7%, signal=24%	PLA2G2A/PLA2G2D/ENPP2/PLD4/PLA2G1B/LPCAT2/TMEM189-UBE2V1/PLA2G4C/PLA2G7/PAFAH1B3/GAL3ST1
hsa05166	Human T-cell leukemia virus 1 infection	212	0.449104819554973	1.52984760631149	0.000610624872786485	0.00728226700137956	0.00542777664699098	2925	tags=26%, list=18%, signal=22%	HLA-DQA2/HLA-G/CD3D/CD3G/MMP7/HLA-B/HLA-A/CDKN2A/HLA-F/ESPL1/ITGB2/TNFRSF13C/HLA-DRA/TGFB2/IL2RG/SPI1/CCNE1/CCNB2/CDKN2B/CD3E/TNF/LCK/CDC20/ADCY7/E2F1/ADCY4/IL15/B2M/PIK3CD/HLA-DMB/TLN2/SLC2A1/ADCY2/HLA-DPB1/HLA-DQA1/PTTG1/BUB1B/PIK3R3/ETS1/CHEK2/E2F3/SLC25A4/TGFB1/CD4/CD40/ADCY8/CDKN2C/TSPO/ITGAL/ANAPC4/AKT3/VDAC3/MAP3K1/STAT5A/HLA-DOA
hsa05145	Toxoplasmosis	110	0.500983879421454	1.622621786203	0.00063911376224968	0.00734980826587133	0.00547811796214012	2751	tags=31%, list=16%, signal=26%	HLA-DQA2/LAMC2/CD40LG/IL10/IL10RA/PIK3CG/LAMA3/LY96/HLA-DRA/TGFB2/ITGA6/CCR5/TLR2/TNF/STAT1/ALOX5/TLR4/PIK3R6/CIITA/HLA-DMB/PIK3R5/LAMC1/HLA-DPB1/HLA-DQA1/MAPK12/MAPK11/TGFB1/BIRC3/CD40/CASP8/BCL2/JAK2/MAPK13/AKT3
hsa04623	Cytosolic DNA-sensing pathway	49	0.606637023356485	1.78799713699063	0.000701590271281572	0.00760689818095913	0.00566973777462792	3066	tags=35%, list=18%, signal=28%	CCL4L1/IL18/CXCL10/CCL4L2/AIM2/IKBKE/IL33/RIPK3/PYCARD/IL1B/CCL5/TREX1/CASP1/ADAR/DDX58/POLR3A/POLR2K
hsa04672	Intestinal immune network for IgA production	44	0.607919443906227	1.76321717126847	0.00070871722182849	0.00760689818095913	0.00566973777462792	2215	tags=41%, list=13%, signal=36%	HLA-DQA2/PIGR/CD86/CD40LG/IL10/TNFRSF13C/HLA-DRA/CD80/IL4/IL15/ICOS/TNFRSF17/HLA-DMB/HLA-DPB1/HLA-DQA1/ITGA4/TGFB1/CD40
hsa00220	Arginine biosynthesis	21	0.707352819674764	1.79429030737871	0.000785340314136126	0.0081574058436075	0.00608005404492484	2410	tags=57%, list=14%, signal=49%	CPS1/NOS3/ARG2/GLUL/GLS/GLS2/OTC/ACY1/GPT/GLUD2/GOT1/GOT2
hsa04621	NOD-like receptor signaling pathway	163	0.46051758369314	1.54170109368382	0.000826446280991736	0.00831611570247934	0.00619834710743802	3341	tags=33%, list=20%, signal=26%	IL18/CYBB/GBP5/AIM2/GBP3/IKBKE/PLCB2/RIPK3/CARD17/OAS2/OAS3/TNF/NOD2/STAT1/PYCARD/CYBA/PSTPIP1/P2RX7/CARD9/PLCB1/ITPR3/TLR4/NLRP3/GBP4/IL1B/DEFA1B/CARD6/CASP5/PRKCD/CARD16/CCL5/MAPK12/MAPK11/BIRC3/CASP1/CASP8/TRPM2/OAS1/BCL2/NLRP1/TXN/DNM1L/MFN1/MAPK13/TRAF3/VDAC3/CARD8/IFI16/DEFA5/CASR/TRAF5/PKN1/TRPV2
hsa04142	Lysosome	127	0.473879865217827	1.55484849404068	0.00126796280642434	0.0118684153945388	0.00884602389655067	5532	tags=57%, list=33%, signal=38%	ACP5/AP1M2/LAMP3/CTSV/CTSS/LAPTM5/CD68/ABCB9/LIPA/FUCA1/ATP6V0D2/AP1S2/PPT1/ATP6V1H/AP1S3/ARSA/LAMP2/GM2A/CTSD/GALNS/GBA/CTSZ/CTSA/AP3M2/TCIRG1/TPP1/NAGA/NAGLU/LAMP1/M6PR/LGMN/HEXA/AP1G2/SUMF1/ABCA2/ATP6V0B/MAN2B1/NPC2/AP1B1/ASAH1/GNS/GAA/HEXB/HYAL2/CTSL/PSAP/ATP6AP1/AP3B1/SCARB2/FUCA2/ARSB/SGSH/GNPTAB/NEU1/PLA2G15/MANBA/AGA/DNASE2B/AP3M1/ATP6V0A4/CTSC/AP3B2/AP3S1/GLB1/NAGPA/CLTB/SLC11A2/CLTCL1/SMPD1/MCOLN1/MFSD8/AP4E1
