ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05204	Chemical carcinogenesis	68	0.531104075430941	1.86598186867959	0.000268312315535283	0.0225064653666038	0.0180993477613093	1728	tags=34%, list=10%, signal=30%	GSTM1/GSTM3/GSTT2/GSTT2B/SULT1A1/SULT1A2/GSTM4/CYP2C9/UGT1A4/GSTM5/SULT1A4/ALDH3A1/GSTM2/UGT1A6/GSTA1/UGT1A10/CYP2C18/UGT2B11/CYP2C8/CYP2E1/HSD11B1L/EPHX1/UGT2B4
hsa00980	Metabolism of xenobiotics by cytochrome P450	63	0.591304995237087	2.04572560401041	0.000272553829381303	0.0225064653666038	0.0180993477613093	2914	tags=52%, list=17%, signal=43%	GSTM1/GSTM3/GSTT2/GSTT2B/AKR7A3/GSTM4/CYP2C9/CYP2S1/AKR1C1/UGT1A4/GSTM5/CYP2B6/ALDH3A1/GSTM2/CYP2D6/UGT1A6/GSTA1/UGT1A10/UGT2B11/CBR3/CYP2E1/HSD11B1L/CYP2F1/EPHX1/UGT2B4/ALDH3B1/CBR1/CYP1A1/UGT1A1/DHDH/ADH1B/UGT1A7/CYP2A6
hsa00982	Drug metabolism - cytochrome P450	58	0.584748548855244	1.99518920115867	0.000275785990071704	0.0225064653666038	0.0180993477613093	1482	tags=34%, list=9%, signal=32%	GSTM1/GSTM3/GSTT2/GSTT2B/GSTM4/CYP2C9/UGT1A4/GSTM5/FMO4/CYP2B6/ALDH3A1/GSTM2/CYP2D6/UGT1A6/GSTA1/UGT1A10/UGT2B11/CYP2C8/CYP2E1/FMO1
hsa04972	Pancreatic secretion	97	0.478291791388304	1.77184072104796	0.000514933058702369	0.0225064653666038	0.0180993477613093	2428	tags=36%, list=15%, signal=31%	CEL/PLA2G1B/SCTR/CPB2/ADCY8/CPB1/FXYD2/ADCY4/PRSS1/AMY1C/PLA2G3/ATP1A2/CPA1/CTRB2/CPA2/AMY2B/ADCY5/PLA2G2D/CELA2A/SLC12A2/PRSS3/CTRB1/CELA3A/CELA3B/PNLIPRP1/PLCB2/AMY1B/SLC4A2/RYR2/ATP1B2/CTRL/SCT/PNLIP/AMY2A/CFTR
hsa00480	Glutathione metabolism	53	0.560680938281653	1.88161914687624	0.000559127760693318	0.0225064653666038	0.0180993477613093	1070	tags=23%, list=6%, signal=21%	GSTM1/GSTM3/GSTT2/GSTT2B/GGT6/GSTM4/GPX2/GSTM5/GSTM2/GSTA1/GCLC/GGT7
hsa05144	Malaria	47	-0.594265957516945	-2.22568890704349	0.000678886625933469	0.0225064653666038	0.0180993477613093	2563	tags=51%, list=15%, signal=43%	IL12A/SELP/TGFB3/IFNG/IL10/CR1L/SDC2/HGF/TLR4/TLR2/VCAM1/CR1/IL6/GYPA/GYPB/HBA1/THBS2/HBB/GYPC/THBS1/COMP/CSF3/HBA2
hsa05211	Renal cell carcinoma	65	-0.457096093083983	-1.81716541953505	0.000766283524904215	0.0225064653666038	0.0180993477613093	2686	tags=34%, list=16%, signal=29%	BRAF/RAP1A/TGFB3/SOS2/KRAS/EGLN1/PTPN11/PIK3CB/AKT3/HGF/VEGFA/PIK3CA/MAPK1/CDKN1A/PAK2/TGFA/HIF1A/PAK3/EGLN3/SLC2A1/PIK3R2
hsa05168	Herpes simplex virus 1 infection	463	0.32788937172509	1.42355024873645	0.000853424365265628	0.0225064653666038	0.0180993477613093	5246	tags=44%, list=31%, signal=31%	POU2F2/NXF2B/ZNF556/ZNF311/ZNF792/ZNF285/ZNF780A/C5/ZNF334/ZNF135/ZNF737/ZNF439/OAS1/ZNF667/ZNF582/ZNF114/ZNF235/ZNF763/ZNF793/ZNF726/TP53/IKBKE/IL12B/TNFRSF14/ZNF480/ZNF155/NXF3/ZNF320/ZNF713/ZNF717/HLA-DMB/ZNF662/ZNF486/ZNF30/ZNF768/ZNF420/ZNF530/ZNF226/ZNF284/ZNF425/ZNF879/ZNF90/ZNF205/ZNF93/ZNF585B/ZNF606/FASLG/ZNF470/CCL5/BAD/OAS2/ZNF133/ZNF132/CFP/TNF/ZNF454/ZNF154/TAB1/ZNF549/ZNF471/ZNF846/ZFP37/ZNF302/ZNF714/ZNF10/ZNF584/TRADD/ZNF429/ZNF43/TMEM173/ZNF79/ZNF671/ZNF688/ZNF736/ZNF107/ZNF225/ZNF705A/ZNF599/ZNF540/ZNF559/TAP2/ZNF517/ZNF177/ZNF74/ZNF853/ZNF77/HLA-DOA/ZNF251/ZNF782/ZNF554/ZFP28/ZNF223/ZNF658/ZIK1/ZNF441/HLA-DQA1/ZNF212/ZNF571/ZNF596/ZFP82/ZNF624/ZNF544/HCFC1/ZNF613/BST2/ZNF180/ZNF443/ZNF45/ZNF701/ZNF415/ZNF568/ZNF813/ZNF253/STAT2/ZNF44/ZNF641/ZNF527/HLA-DPB1/ZFP69/LTA/TSC2/ZNF583/CASP3/ZNF416/IRF3/ZNF324/ZNF343/ZNF233/OAS3/ZNF157/ZNF2/ZNF607/ZNF3/SRSF6/ZNF257/ZNF684/ZNF780B/ZNF34/ZNF547/ZNF682/ZNF709/HLA-A/ZNF440/HLA-F/ZNF224/ZNF182/ZNF623/ZNF799/ZNF461/ZNF33B/ZNF84/SRC/PILRB/ZNF181/ZNF14/CD74/ZNF707/ZNF112/PIK3R1/IFIH1/DDX58/ZNF354C/NXF1/ZNF557/FADD/ZNF785/ZNF699/ZNF689/ZNF184/ZNF490/ZNF354A/ZNF175/ZNF23/ZNF569/ZNF436/ZNF331/ZFP90/ZNF552/ZNF214/HLA-DOB/ZNF101/DAXX/ZSCAN32/ZNF675/ZNF619/ZNF627/ZNF41/ZNF764/HLA-DQB1/EIF2B4/ZNF324B/TSC1/ZNF772/ZNF620/ZNF337/EIF4EBP1/TYK2/HCFC2/ZNF211/ZNF248/ZNF7/ZNF823/MTOR/ZNF589/ZNF566
hsa04657	IL-17 signaling pathway	91	-0.410487953349743	-1.74881339424568	0.000874890638670166	0.0225064653666038	0.0180993477613093	2263	tags=43%, list=14%, signal=37%	GSK3B/MMP13/TBK1/TAB3/MAPK9/TAB2/CXCL6/HSP90B1/MAP3K7/CCL2/MAPK14/CEBPB/IFNG/IL17RA/CXCL1/USP25/HSP90AA1/HSP90AB1/MAPK1/TRAF3IP2/MMP9/MMP3/MAPK6/MUC5AC/DEFB4B/TNFAIP3/CCL20/LCN2/IL6/CCL11/MUC5B/S100A9/FOSL1/PTGS2/CSF3/MAPK4/S100A8/DEFB4A
hsa04066	HIF-1 signaling pathway	106	-0.473576728911562	-2.0708671534349	0.000919117647058824	0.0225064653666038	0.0180993477613093	2907	tags=43%, list=17%, signal=36%	PDHA1/ALDOA/IGF1R/MAP2K1/EGFR/EDN1/IFNG/INSR/EGLN1/STAT3/GAPDH/CAMK2D/IGF1/IFNGR2/PIK3CB/AKT3/TFRC/VEGFA/PGK1/PIK3CA/MAPK1/IL6R/HK2/RPS6/TLR4/CDKN1A/HK3/PRKCA/LDHAL6B/PDK1/PFKP/TIMP1/FLT1/LDHA/NOS2/IL6/PFKFB3/HIF1A/NOS3/EGLN3/SERPINE1/SLC2A1/ANGPT2/LDHC/PIK3R2
