ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	262	-0.497936704370083	-1.74744524786934	0.000205676676264912	0.00893997445721584	0.00657565953865173	4202	tags=51%, list=25%, signal=39%	TNFRSF8/IL21/IL6ST/IL26/TNFRSF1A/IL7R/CSF2RB/IL1RAP/IL15/XCL2/IL23R/CCR1/IL10RB/PF4V1/GDF7/MPL/XCR1/INHBB/TNFRSF10A/CXCL10/IL18R1/TGFBR2/CNTFR/CRLF2/IL22RA1/IL10RA/CCR6/CSF2/IFNAR2/TNFRSF10B/IL2/FAS/CD70/CCL15/IL20/TNFRSF1B/IFNGR1/IFNL1/CXCL17/OSMR/CXCL12/CCL3/TNFSF9/CCL13/CXCL11/CCR7/XCL1/IL1A/CCR2/LTB/CCL5/CCR5/BMP4/CSF1/IL27RA/IL2RG/IL18RAP/CXCR5/TGFB1/INHBC/FASLG/EDA2R/TSLP/IL2RB/CCL8/IL34/INHBE/OSM/CX3CL1/CTF1/CCL4/CXCR6/IL18/PPBP/TNFRSF10C/IL17B/THPO/BMPR1A/CSF3R/GDF10/GDF15/CCL23/CCL28/CX3CR1/GDF6/TNFRSF21/CCL26/IL17RE/IL1RL2/IL33/CXCL1/IL6R/CCL7/IL10/IL7/LEPR/BMP2/IL1B/IL32/IL13RA2/IFNE/CD40/TNF/CXCL6/TNFRSF11B/TNFRSF10D/CCL19/LIF/IL20RA/TNFSF14/TGFB3/GDF5/CCL11/CCL24/TNFSF15/CXCR1/BMP7/CCL14/IL20RB/PF4/CCL2/IL1R2/IL1RN/NGFR/CXCL5/CXCL3/CSF3/CCL20/CXCR2/IL6/TNFRSF19/CXCL2/EPO
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	-0.583771995153681	-1.8876539221439	0.000226551880380607	0.00893997445721584	0.00657565953865173	3923	tags=67%, list=24%, signal=52%	TNFRSF1A/XCL2/CCR1/IL10RB/PF4V1/XCR1/TNFRSF10A/CXCL10/IL18R1/IL22RA1/IL10RA/CCR6/TNFRSF10B/IL2/CCL15/IL20/TNFRSF1B/CXCL12/CCL3/CCL13/CXCL11/CCR7/XCL1/CCR2/CCL5/CCR5/CSF1/IL2RG/IL18RAP/CXCR5/IL2RB/CCL8/IL34/CX3CL1/CCL4/IL18/PPBP/TNFRSF10C/CCL23/CCL28/CX3CR1/CCL26/CXCL1/IL6R/CCL7/IL10/TNF/CXCL6/TNFRSF10D/CCL19/IL20RA/TNFSF14/CCL11/CCL24/CXCR1/CCL14/IL20RB/PF4/CCL2/CXCL5/CXCL3/CCL20/CXCR2/IL6/CXCL2
hsa04657	IL-17 signaling pathway	91	-0.597536570085029	-1.91527284216334	0.000229147571035747	0.00893997445721584	0.00657565953865173	1215	tags=29%, list=7%, signal=27%	CEBPB/IL17RE/CXCL1/CCL7/IL1B/TNF/CXCL6/CCL11/FOSL1/CCL2/PTGS2/S100A7/MMP13/CXCL5/S100A9/CXCL3/S100A8/CSF3/CCL20/FOSB/FOS/IL6/LCN2/CXCL2/MUC5B
hsa04713	Circadian entrainment	91	-0.561883608087191	-1.80099506691785	0.000229147571035747	0.00893997445721584	0.00657565953865173	3381	tags=38%, list=20%, signal=31%	KCNJ6/GNG8/GNG10/CACNA1C/ADCYAP1R1/ITPR3/PLCB1/GNG12/ADCY5/KCNJ3/GNG2/CACNA1H/PRKG1/GNB3/GNGT2/GRIN1/RYR3/PRKCA/CALML5/KCNJ5/GNG11/PRKCB/GRIN2D/GRIA3/GRIN2A/ITPR1/ADCYAP1/ADCY1/ADCY2/NOS1/GNAO1/FOS/PRKG2/CALML3
hsa04970	Salivary secretion	85	-0.605048554091137	-1.92527744696873	0.000229779411764706	0.00893997445721584	0.00657565953865173	2805	tags=40%, list=17%, signal=33%	ATP1B3/PLCB1/KCNMA1/ADCY5/ATP1B1/PRKG1/ADRA1B/RYR3/PRKCA/CALML5/PRKCB/ADRA1A/SLC12A2/ITPR1/ATP2B4/CAMP/PRH2/ATP1A2/ADCY1/CD38/AQP5/ADCY2/CST4/NOS1/CST2/ATP1A4/DMBT1/KCNN4/PRKG2/CST1/CHRM3/CALML3/MUC5B
hsa05150	Staphylococcus aureus infection	81	-0.619635412376339	-1.95738447383684	0.000232018561484919	0.00893997445721584	0.00657565953865173	3330	tags=53%, list=20%, signal=43%	HLA-DOB/FCGR3A/CFH/C1S/C1QA/KRT40/DEFB4A/C1R/C2/HLA-DPB1/MASP1/ICAM1/HLA-DMA/PTAFR/KRT39/C1QC/ITGB2/SELP/C1QB/DEFA1B/HLA-DPA1/DEFA6/IL10/FPR1/HLA-DMB/CAMP/DEFA3/FCGR3B/CFI/DEFA5/KRT19/C3/KRT23/CFB/HLA-DQA2/KRT14/KRT17/DEFA1/KRT16/KRT13/KRT15/DEFB1
hsa04924	Renin secretion	65	-0.588680954875023	-1.80524652166731	0.0002389486260454	0.00893997445721584	0.00657565953865173	3062	tags=40%, list=18%, signal=33%	ADCYAP1R1/PPP3CA/CTSB/ITPR3/PLCB1/KCNMA1/NPPA/ADCY5/PPP3R1/CALML5/REN/PDE1C/CLCA2/EDNRA/ITPR1/ADCYAP1/PTGER2/AQP1/EDN3/ACE/AGTR1/AGT/CLCA4/PRKG2/CALML3
hsa05321	Inflammatory bowel disease	61	-0.588206701922974	-1.78569351817033	0.000241896468311563	0.00893997445721584	0.00657565953865173	5284	tags=69%, list=32%, signal=47%	HLA-DRA/TGFB2/HLA-DRB1/IL12A/NOD2/SMAD2/STAT1/IL21R/IL4R/TLR4/TLR5/STAT3/STAT4/IL21/HLA-DQB1/HLA-DRB5/IL23R/NFKB1/IL18R1/HLA-DOB/IL2/IFNGR1/IL1A/IL2RG/IL18RAP/HLA-DPB1/TGFB1/HLA-DMA/JUN/IL18/TLR2/HLA-DPA1/IL10/IL1B/TNF/HLA-DMB/MAF/TGFB3/GATA3/HLA-DQA2/IL6
hsa05144	Malaria	47	-0.623217277563563	-1.81547773142187	0.000249875062468766	0.00893997445721584	0.00657565953865173	2669	tags=53%, list=16%, signal=45%	GYPC/TGFB1/ICAM1/KLRK1/ITGB2/SELP/IL18/MET/TLR2/LRP1/CD36/KLRB1/IL10/KLRC4-KLRK1/IL1B/VCAM1/CD40/TNF/TGFB3/CCL2/CSF3/SELE/IL6/HBA2
hsa04024	cAMP signaling pathway	201	-0.446716426231304	-1.54218451869179	0.000419463087248322	0.0101276970497578	0.00744927046811216	3062	tags=30%, list=18%, signal=25%	ADCYAP1R1/PIK3CD/RAP1B/PIK3R1/DRD2/HCN2/ATP1B3/SOX9/CFTR/NPPA/ADCY5/ARAP3/ATP1B1/FXYD1/GRIN1/TIAM1/JUN/GRIN3A/HCN4/CALML5/PDE4D/CREB5/VIP/RAPGEF3/BDNF/GRIN2D/GRIA3/SST/GRIN2A/SUCNR1/EDNRA/NPY1R/GABBR2/ADCYAP1/PTGER2/HCAR2/SSTR5/ATP2B4/POMC/GLI1/DRD1/SSTR2/CHRM2/ATP1A2/PLN/MYL9/ADCY1/EDN3/PTGER3/ADCY2/SSTR1/VIPR2/VAV3/FFAR2/ATP1A4/FOS/GCG/HHIP/CGA/CALML3
