ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa03010	Ribosome	133	-0.686802680527813	-2.5509253122997	0.000298507462686567	0.067441616923238	0.0630542740766462	3736	tags=65%, list=22%, signal=51%	MRPL12/RPS10/RPL9/MRPS7/RPS9/FAU/RPL5/MRPS15/RPS17/RPS10-NUDT3/RPL17-C18orf32/MRPL21/RPL30/RPS14/RPL41/MRPL17/RPL3/RPS27L/RPL7/RPL10L/RPL12/RPL11/RPL27/RPL4/RPL22/RPS27A/RPS18/RPL23/RPS29/RPL35A/RPL31/RPL36A-HNRNPH2/RPS15A/RPL23A/RPL27A/RPL21/RPS7/RPL28/RPS21/RPS16/RPLP2/RPL24/RPL6/MRPL24/RPS27/RPL32/RPS3/RPL15/RPSA/RPL38/UBA52/RPS15/RPL26/RPL37A/RPS24/RPL39/RPS8/RPL18/RPS25/RPL19/RPL22L1/RPS11/RPL34/RPLP0/RPS12/RPL17/RPL7A/RPL37/RPL8/RPL10/RPL36A/RPS6/RPL13/RPS3A/RPL13A/RPS20/RPL35/RPL36/RPS5/RPS28/RPLP1/RPS19/RPS2/RPL18A/RPL29/MRPL30
hsa05162	Measles	125	0.42960974523369	1.7165527479509	0.000592768227622999	0.067441616923238	0.0630542740766462	4370	tags=45%, list=26%, signal=33%	TLR7/IL1B/IL1A/MX1/CCNE1/OAS1/CSNK2A3/CD3D/OAS3/FOS/FCGR2B/MX2/CCND1/FASLG/CASP3/MYD88/IL2/CASP9/IRAK4/IL2RG/CD3G/HSPA2/CCNE2/CD3E/CHUK/IFIH1/NFKBIB/STAT2/HSPA1L/JAK1/DDX58/GSK3B/FADD/MAVS/ADAR/CD28/CDKN1B/PIK3CB/STAT1/TP53/EIF2AK1/IKBKE/EIF2AK3/OAS2/IL12B/CDK6/TLR2/TRAF3/CSNK2A1/EIF2AK2/RCHY1/CYCS/BAD/MAPK9/TP73/JUN
hsa05168	Herpes simplex virus 1 infection	463	0.3173990209521	1.46948140137613	0.00104058272632674	0.067441616923238	0.0630542740766462	3956	tags=35%, list=24%, signal=27%	IL1B/ZNF285/ZNF155/ZNF793/ZNF714/ZFP30/ZNF606/ZNF10/ZNF160/ZNF107/ZNF211/JAK2/ZNF662/ZNF417/POU2F3/ZNF727/ZNF530/ZNF585B/OAS1/ZNF585A/ZNF320/ZNF45/ZNF43/ZNF736/ZNF708/OAS3/ZNF415/ZNF567/ZNF223/ZNF429/ZNF480/ZNF284/ZNF701/ZNF808/ZNF613/ZNF268/HLA-DOB/ZNF439/ZNF554/ZNF573/CCL5/FASLG/ZNF114/ZNF93/ZNF782/ZNF737/ZNF527/ZNF275/ZNF224/ZNF649/ZNF230/CASP3/ZNF225/ZNF234/ZNF432/MYD88/ZNF879/CASP9/ZNF841/POU2F2/ZNF641/CARD9/ZNF226/ZNF583/IRAK4/ZNF813/ZNF283/ZNF235/ZNF713/ZNF100/ZNF41/ZNF699/ZNF141/ZNF669/ZNF780B/ZNF805/CHUK/ZNF658/IFIH1/HLA-DQA1/MTOR/ZNF233/ZNF189/ZNF441/ZNF763/ZNF419/ZNF605/CCL2/ZNF354B/ZNF549/ZFP1/STAT2/ZNF878/ZNF707/RNASEL/SYK/ZNF184/JAK1/ZNF248/ZFP37/DDX58/ZNF556/ZNF571/FADD/MAVS/TNF/ZNF780A/ZNF443/ZNF621/ZNF302/ZNF398/TLR3/ZNF529/ZNF891/SRSF5/ZNF584/ZNF383/ZNF551/ZNF772/ZNF596/PIK3CB/ZNF333/ZNF324B/ZNF140/ZNF19/ZNF84/ZNF33A/ZNF717/STAT1/ZNF112/ZNF845/PML/TP53/ZNF582/ZNF300/ZNF766/ZNF595/ZNF684/EIF2AK1/ZNF57/IKBKE/ZNF619/ZNF253/EIF2AK3/OAS2/ZNF778/ZNF227/ZNF440/IL12B/ZNF846/ZNF785/TLR2/TRAF3/ZNF182/ZNF557/ZNF79/ZNF624/ZNF175/ZNF484/ZNF431
hsa04620	Toll-like receptor signaling pathway	90	0.449590471698211	1.70143305811325	0.00113378684807256	0.067441616923238	0.0630542740766462	3866	tags=37%, list=23%, signal=28%	CCL4L1/CCL3L3/CCL4L2/TLR7/CCL3L1/IL1B/CCL3/CD80/CCL4/CXCL10/FOS/TLR1/CCL5/MYD88/RIPK1/IRAK4/CHUK/CXCL11/MAP2K4/TIRAP/CXCL9/CD14/FADD/TNF/TLR3/PIK3CB/CD86/MAPK3/STAT1/IKBKE/IL12B/TLR2/TRAF3
hsa04514	Cell adhesion molecules	136	-0.428050433351886	-1.59413182172007	0.00119438638399522	0.067441616923238	0.0630542740766462	3059	tags=34%, list=18%, signal=28%	CNTN1/NLGN2/HLA-DRB1/VTCN1/JAM2/LRRC4C/CD99L2/ICAM2/ESAM/IGSF11/CADM1/SELL/HLA-C/CD34/HLA-DPA1/L1CAM/NLGN3/CLDN4/NRXN1/NCAM1/CLDN8/CD276/ITGB8/CD40/LRRC4B/CDH3/SELP/CNTNAP1/CLDN10/CNTN2/NTNG2/CDH5/CLDN1/CLDN5/HLA-G/CLDN9/CADM3/CLDN11/CDH15/PDCD1LG2/CLDN19/CLDN3/HLA-DRB5/MAG/CLDN6
hsa03320	PPAR signaling pathway	73	-0.51977929653592	-1.76902347115103	0.00125667609173735	0.067441616923238	0.0630542740766462	1944	tags=30%, list=12%, signal=27%	SLC27A5/CYP4A11/HMGCS2/PLIN2/ACSL1/FABP5/CPT1C/FADS2/MMP1/PLIN5/PCK1/AQP7/PLIN1/ANGPTL4/OLR1/PLIN4/FABP4/CD36/PLTP/ADIPOQ/APOA1
hsa04060	Cytokine-cytokine receptor interaction	262	0.325870580065774	1.43251832576869	0.00147492625368732	0.0678466076696165	0.0634329185796349	1886	tags=24%, list=11%, signal=22%	CCL15/CCL4L1/CCL3L3/CCL4L2/PF4V1/CCR6/CCL3L1/XCL2/IL1B/BMP3/XCR1/BMPR1B/IL17C/IL1A/BMP5/CSF1R/CCL25/IFNL1/CCL3/IL36B/CNTFR/ACKR4/EDAR/GHR/CCL22/MPL/CCR3/TNFRSF17/TNFRSF18/CXCL14/CXCR6/TNFRSF13B/IL1RN/CCR9/AMHR2/CCL28/CCL4/CSF2RB/CXCL10/IL23A/IL31RA/IL5/BMP2/IL26/IL6R/CCL8/PRLR/CCR8/CCL5/FASLG/ACVR2A/BMP8A/IL17F/IL2/NODAL/CCL20/IL9R/IL2RG/CD27/IL18/CCL17/INHA/XCL1
hsa05164	Influenza A	152	0.392440924904019	1.61228522522848	0.00250156347717323	0.1	0.0934946060804184	4257	tags=41%, list=26%, signal=31%	KPNA7/TLR7/IL1B/RSAD2/IL1A/TPSAB1/MX1/SLC25A4/JAK2/BCL2L2-PABPN1/OAS1/PRSS3/NLRP3/OAS3/CXCL10/TMPRSS4/PLG/HLA-DOB/MX2/CCL5/FASLG/CASP3/TPSD1/MYD88/CASP9/EP300/CIITA/IRAK4/IL18/CHUK/IFIH1/HLA-DQA1/SLC25A5/NFKBIB/ICAM1/CCL2/STAT2/NLRX1/RNASEL/JAK1/DDX58/FADD/MAVS/TNF/ADAR/TLR3/PIK3CB/MAPK3/STAT1/TNFSF10/PML/IKBKE/OAS2/IL12B/CDK6/TRAF3/TRIM25/EIF2AK2/CYCS/NXF5/RAE1/KPNA1
hsa05340	Primary immunodeficiency	36	0.566554340897303	1.79182309383032	0.00298804780876494	0.1	0.0934946060804184	3120	tags=44%, list=19%, signal=36%	CD79A/TNFRSF13B/IGLL1/CD3D/RAG1/AIRE/CD8A/DCLRE1C/CIITA/IL2RG/CD3E/RFX5/TNFRSF13C/CD19/BLNK/CD8B
hsa04742	Taste transduction	62	0.477534988899207	1.68233622578998	0.00320341697810998	0.1	0.0934946060804184	1776	tags=34%, list=11%, signal=30%	SCNN1B/GABRA4/TAS1R3/SCN2A/ASIC2/TAS2R5/CHRM3/TAS2R20/SCNN1G/KCNK5/P2RX3/GABRA3/TAS2R10/TAS2R14/GABRA5/TAS2R43/TAS2R50/TAS2R31/HTR1B/PKD2L1/GABBR2
