ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa03010	Ribosome	133	-0.646256547089416	-2.35095699138285	0.000273224043715847	0.047172575446821	0.0434869770382593	4094	tags=66%, list=25%, signal=50%	RPS13/MRPL12/MRPS7/RPS10/RPL9/FAU/RPL5/RPS9/MRPS15/RPS17/RPL30/RPS14/RPL41/RPS10-NUDT3/RPL10L/RPL12/MRPL21/RPL3/MRPL17/RPL7/RPS27L/RPL27/RPL22/RPL4/RPL11/RPL17-C18orf32/RPL23/RPS27A/RPL36A-HNRNPH2/RPS29/RPL31/RPS18/RPL35A/MRPL24/RPL27A/RPS16/RPL6/RPL23A/RPS21/RPS15A/RPL21/RPS7/RPL24/RPL28/RPLP2/RPS27/RPL15/RPSA/RPL32/RPL38/RPS3/UBA52/RPS15/RPL37A/RPL26/RPS24/RPL19/RPS8/RPS25/RPL18/RPS11/RPLP0/RPS12/RPL34/RPL7A/RPL39/RPL17/RPL8/RPL10/RPL37/RPL22L1/RPL36A/RPL13/RPS6/RPL13A/RPS3A/RPS20/RPL35/RPS5/RPLP1/RPL36/RPS28/RPS19/RPS2/RPL18A/RPL29/MRPL30
hsa03320	PPAR signaling pathway	73	-0.547479005537489	-1.82645051578291	0.000292997363023733	0.047172575446821	0.0434869770382593	1473	tags=27%, list=9%, signal=25%	ACSL1/HMGCS2/FADS2/FABP5/PLIN2/CPT1C/PLIN5/MMP1/PLIN1/ANGPTL4/AQP7/PCK1/PLIN4/OLR1/PLTP/FABP4/CD36/ADIPOQ/APOA1
hsa04620	Toll-like receptor signaling pathway	90	0.463221631110097	1.77195378124167	0.000661375661375661	0.0573361823361823	0.0528565002249213	2298	tags=23%, list=14%, signal=20%	CCL4L1/CCL3L3/CCL4L2/TLR7/CCL3L1/IL1B/CCL3/FOS/CCL4/CD80/TLR1/RIPK1/MYD88/CXCL10/CCL5/IRAK4/CHUK/TIRAP/MAP2K4/CD14/FADD
hsa05162	Measles	125	0.429703908062452	1.7376920773791	0.000712250712250712	0.0573361823361823	0.0528565002249213	4585	tags=46%, list=27%, signal=33%	TLR7/IL1B/IL1A/CCNE1/MX1/FOS/OAS1/CSNK2A3/OAS3/FCGR2B/CD3D/CASP3/HSPA2/MYD88/CCND1/FASLG/CASP9/MX2/IRAK4/CCNE2/CHUK/IL2/NFKBIB/CD3G/MAVS/FADD/IL2RG/TP53/HSPA1L/DDX58/IFIH1/ADAR/CD3E/STAT2/JAK1/CD28/STAT1/TLR2/GSK3B/PIK3CB/IL12A/TRAF3/EIF2AK1/MAPK9/IKBKE/CYCS/CDKN1B/EIF2AK3/EIF2AK2/OAS2/CSNK2A1/SLAMF1/RCHY1/JUN/CDK6/BAD/NFKB1
hsa04514	Cell adhesion molecules	136	-0.442017608598195	-1.61481171155052	0.0010866612333605	0.0699809834284162	0.0645133616437181	3349	tags=36%, list=20%, signal=29%	NCAM2/HLA-DOA/HLA-DMA/CNTN1/CD99L2/LRRC4C/HLA-DQB1/SELL/JAM2/NCAM1/HLA-DRB1/IGSF11/ICAM2/ESAM/VTCN1/CD34/CADM1/L1CAM/HLA-C/CNTNAP1/HLA-DPA1/CD40/CLDN4/NLGN3/NRXN1/CD276/CLDN8/ITGB8/CDH3/LRRC4B/SELP/CNTN2/NTNG2/CDH5/CLDN1/CLDN10/CLDN5/CADM3/HLA-G/CLDN11/CLDN9/CDH15/PDCD1LG2/CLDN19/CLDN3/HLA-DRB5/MAG/CLDN6
hsa05168	Herpes simplex virus 1 infection	463	0.319135510466434	1.49066062983115	0.00172711571675302	0.0827338129496403	0.0762698112186942	4256	tags=38%, list=26%, signal=29%	IL1B/ZNF285/ZNF155/ZNF793/ZNF606/ZNF10/ZNF714/ZFP30/ZNF662/ZNF160/ZNF211/ZNF727/ZNF107/ZNF417/ZNF585B/JAK2/ZNF320/ZNF45/ZNF530/POU2F3/ZNF585A/OAS1/ZNF567/ZNF708/ZNF43/OAS3/ZNF429/ZNF480/ZNF613/ZNF649/ZNF879/HLA-DOB/ZNF268/ZNF223/ZNF736/ZNF701/ZNF275/ZNF573/ZNF554/ZNF439/ZNF284/ZNF415/ZNF583/CASP3/ZNF230/ZNF782/ZNF527/ZNF234/MYD88/FASLG/ZNF808/ZNF224/ZNF432/CARD9/ZNF225/POU2F2/CASP9/ZNF813/CCL5/ZNF226/CCL2/IRAK4/ZNF641/ZNF669/ZNF549/ZNF41/MTOR/CHUK/ZNF805/ZNF235/ZNF713/ZNF114/ZNF737/ZNF283/ZNF780B/ZNF100/ZNF841/ZNF658/ZNF699/ZNF233/ZNF93/ZNF707/RNASEL/ZNF354B/ZNF419/ZNF584/ZFP1/ZNF441/MAVS/FADD/ZNF763/ZNF189/ZNF605/ZNF551/ZNF772/TP53/ZFP37/ZNF8/ZNF324B/DDX58/IFIH1/ZNF398/TNF/ZNF248/SYK/HLA-DQA1/ZNF141/ZNF302/ZNF878/STAT2/SRSF5/ZNF778/ZNF582/ZNF780A/ZNF443/JAK1/ZNF621/ZNF184/ZNF845/ZNF140/ZNF181/ZNF79/ZNF689/ZNF333/STAT1/ZNF112/ZNF571/ZNF619/ZNF547/ZNF846/ZNF596/TLR2/ZNF84/ZNF529/ZNF891/ZNF354A/ZNF557/TLR3/ZNF300/ZNF33A/ZNF426/PIK3CB/ZNF175/ZNF440/ZNF556/ZNF614/ZNF324/IL12A/ZNF785/ZNF221/ZNF229/ZNF717/TRAF3/ZNF684/ZNF7/ZNF416/ZSCAN32/ZNF766/ZFP69B/PML/EIF2AK1/IKBKE/ZNF19/ZNF57/CYCS/ZNF484/EIF2AK3/ZNF182/ZIK1/ZNF383/NXF5/EIF2AK2/ZNF253/ZNF559/ZNF624
hsa05322	Systemic lupus erythematosus	122	-0.445749504326138	-1.59895456557617	0.00195476123987713	0.0827338129496403	0.0762698112186942	3439	tags=43%, list=21%, signal=34%	FCGR3B/HLA-DOA/HIST1H3B/HLA-DMA/C1S/HIST1H2BO/HIST1H4D/HIST2H2BF/FCGR3A/HIST1H4H/HIST1H2BI/HLA-DQB1/C4B/C1R/HIST2H4B/HIST1H2AH/HIST2H3C/GRIN2A/HIST1H2BN/HLA-DRB1/C4A/HIST2H2AC/HLA-DPA1/HIST1H2BG/CD40/C5/HIST1H3H/C3/IL10/HIST2H2AA4/HIST1H3C/C2/HIST3H2A/HIST1H2BD/HIST1H3I/HIST1H4E/C7/HIST1H2AL/HIST1H2AM/H2AFB1/HIST1H2AE/HIST3H2BB/C8G/HIST1H2AD/HIST1H2BF/HIST1H2BM/HIST1H2BB/HIST1H2BJ/HIST1H2AI/HLA-DRB5/HIST1H2BH
hsa04060	Cytokine-cytokine receptor interaction	262	0.314762011456475	1.39658512097255	0.00205549845837616	0.0827338129496403	0.0762698112186942	1937	tags=24%, list=12%, signal=21%	CCL15/CCL4L1/CCL3L3/CCL4L2/PF4V1/CCR6/CCL3L1/CCL25/XCL2/BMP3/IL1B/XCR1/IL17C/CSF1R/IL1A/BMPR1B/BMP5/IFNL1/CCL3/ACKR4/GHR/CCL22/CNTFR/MPL/IL36B/EDAR/CCR3/TNFRSF17/CXCR6/TNFRSF18/TNFRSF13B/AMHR2/CSF2RB/CCR9/IL1RN/CXCL14/CCL8/CCL4/IL31RA/IL23A/IL6R/IL5/CCL28/CCL17/IL26/FASLG/BMP2/CXCL10/BMP8A/CCL5/CD27/IL9R/CCL2/ACVR2A/CSF2/NODAL/CCR8/CNTF/PRLR/CCR5/IL12RB1/CCR10
hsa04721	Synaptic vesicle cycle	73	-0.510642844359514	-1.70356100787033	0.00234397890418986	0.083862356349904	0.0773101814013498	2584	tags=30%, list=15%, signal=26%	STX2/CACNA1A/CPLX3/STXBP1/ATP6V1F/SLC6A1/STX1A/SLC1A2/ATP6V1C2/CLTCL1/SNAP25/ATP6V1G2/SLC18A1/ATP6V1B1/SLC6A2/SLC17A7/SLC18A3/CPLX1/SLC6A3/UNC13A/CPLX2
hsa04610	Complement and coagulation cascades	80	-0.486229403644877	-1.64992006188571	0.00260642919200695	0.0839270199826238	0.0773697928574695	3490	tags=50%, list=21%, signal=40%	PROC/KNG1/CR1/C1S/BDKRB1/SERPING1/CFB/C4B/PROCR/C1R/CFD/CPB2/C4A/CFHR2/F8/VTN/C5/VWF/C3/CFI/C4BPA/F2/SERPINB2/FGA/TFPI/C2/F11/A2M/F10/F7/SERPINE1/C7/SERPINF2/FGG/CFHR3/C8G/FGB/F12/SERPINA1
