ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa05168	Herpes simplex virus 1 infection	463	-0.374451140051217	-1.55202642471712	0.000203583061889251	0.00385674931129477	0.00244592797120361	6131	tags=48%, list=37%, signal=31%	ZNF404/ZNF180/APAF1/ZNF302/ZNF627/ZNF879/ZNF34/ZNF20/ZNF606/EIF2AK4/ZNF439/ZNF223/ZNF91/PPP1CC/ZNF140/ZNF708/PIK3R1/ZNF619/ZNF544/ZNF234/ZNF222/ZNF350/ZNF19/ZNF571/ZNF233/ZNF780B/TBK1/STAT1/PPP1CB/HLA-B/ZNF418/EIF2S1/ZNF550/ZNF549/HLA-DOB/ZNF177/IFNAR2/ZFP69/ZNF562/ZNF563/ZFP37/STAT2/ZNF141/C5/SOCS3/ZNF12/ZNF189/ZNF773/DDX58/POU2F2/ZFP69B/ZNF461/SP100/ZFP82/ZNF227/ZNF416/ZNF765/LTA/ZNF429/ZNF112/ZNF383/ZNF41/ZNF573/ZNF790/ZFP30/ZNF442/ZNF17/ZNF100/ZNF256/HLA-E/ZNF721/EIF2B2/ZNF14/IFNGR2/ZNF547/PILRA/ZNF253/ZNF230/TAB2/ZNF420/POU2F1/NFKB1/ZNF560/ZNF83/ZNF641/ZNF674/TRAF6/ZNF441/TNFRSF1A/ZNF557/JAK2/ZNF81/ZNF268/ZNF555/POU2F3/ZNF254/ZNF454/ZNF431/PIK3CD/IFNAR1/ZNF568/ZNF675/ZNF132/PIK3CB/ZNF791/ZNF658/ZNF611/ZNF331/ZNF225/ZNF257/ZFP1/IRAK4/ZNF816/ZNF551/ZNF578/ZNF45/ZNF616/ZNF561/ZNF569/B2M/ZNF181/ZFP14/ZNF570/ZNF221/ZNF600/ZNF808/ZNF813/ZNF583/ZNF730/ZNF624/ZNF460/ZNF436/ZNF311/HLA-DOA/HLA-DMA/ZNF136/ZNF677/ZNF701/ZNF630/ZNF597/ZNF85/ZNF582/ZNF267/ZNF510/HLA-C/ZNF614/ZNF347/HCFC2/ZNF829/ZNF175/ZNF546/ZNF43/ZNF649/BIRC3/IFNGR1/ZNF426/ZNF805/ZNF548/ZNF543/OAS2/ZNF468/EIF2AK3/ZNF25/ZNF727/ZFP92/HLA-DMB/PIK3CA/JAK1/TMEM173/HLA-G/ZNF680/ZNF354C/CD74/ZNF662/HLA-DPB1/HLA-DQA1/ZNF506/ZNF699/ZNF484/HLA-DRB1/ZNF737/IL1B/ZNF845/C3/ZNF676/TLR2/TNFSF14/ZNF671/ZNF490/CCL5/ZNF214/RNASEL/ZNF665/ZNF229/ITGA5/ZNF154/HLA-DRA/ZNF615/ZNF430/ZNF304/IFNG/BCL2/ZIK1/CCL2/ZNF540/ZNF595/FASLG/FAS/ZNF772/ZNF114/ZNF749/ZNF486/HLA-DQA2/ZNF528/ZNF208/IL6/AKT3/TLR3/HLA-DRB5/HLA-DPA1/ITGB3
hsa04151	PI3K-Akt signaling pathway	330	-0.44293526722603	-1.80684946496325	0.000208942749686586	0.00385674931129477	0.00244592797120361	2866	tags=33%, list=17%, signal=28%	COL4A1/COL4A3/TNR/PPP2R5E/NGF/CSF1/RBL2/CHAD/MAGI2/IL7/ITGA10/PIK3R5/G6PC2/SGK3/TNXB/PIK3CA/JAK1/IL2RA/ITGB6/NTF3/ITGA11/PIK3AP1/JAK3/IGF1/PPP2R2B/LAMB3/PDGFC/BDNF/PRKAA1/TLR2/LPAR6/GNGT2/FGF10/TNC/LPAR4/CCND2/COL1A1/VEGFC/KIT/AREG/ITGA5/VEGFA/LAMA4/CSF3R/BCL2/THBS1/FLT4/SGK1/MAPK1/GNG2/TGFA/LPAR5/ITGA9/IL2RB/CCND1/LAMA2/PDGFD/FASLG/INSR/ANGPT4/FGF2/PRKAA2/IL7R/COL6A6/NTF4/FGF1/TLR4/MET/GNG12/COL1A2/PDGFRA/ITGA3/PDGFRB/KITLG/GNB4/TEK/LPAR1/FGF7/ITGA1/PIK3CG/ITGAV/COL6A3/ITGA8/EGFR/IL6/AKT3/VWF/ITGA4/ANGPT2/F2R/TNN/ANGPT1/GHR/KDR/THBS2/OSMR/ITGA2/PGF/FLT1/HGF/CREB3L3/IBSP/ITGB3/COMP/FN1/NGFR/NTRK2
hsa04010	MAPK signaling pathway	281	-0.397534108419231	-1.60710871212288	0.000211819529760644	0.00385674931129477	0.00244592797120361	4718	tags=43%, list=28%, signal=31%	ERBB4/CDC42/HSPA6/CACNA1C/RPS6KA6/HSPA1L/MAPK9/EFNA5/CRKL/PTPN7/STK4/PDGFB/NFATC1/MAP3K13/RAP1A/CACNA1A/RASGRP3/TAB2/NFKB1/CACNA2D4/TRAF6/SOS1/TNFRSF1A/PAK2/CRK/MAPK14/BRAF/CACNA1F/HSPA8/IGF1R/ELK4/RAC2/TAOK3/IRAK4/SOS2/NFATC3/PDGFA/CSF1R/ARRB1/TAOK1/TGFB2/CACNG4/MAP3K2/ATF2/RAPGEF2/CACNA1I/PRKACB/PPP3CA/CACNA2D2/MAP3K1/MAP2K4/NGF/CSF1/RAP1B/PPP3CC/NF1/RASA1/TGFBR1/IL1R1/FOS/NTF3/IGF1/TGFB1/PDGFC/PTPN5/DUSP5/MAPK10/BDNF/IL1B/FGF10/RASGRP1/VEGFC/RPS6KA2/DUSP6/KIT/AREG/VEGFA/CACNA2D3/MAPT/FLT4/RPS6KA3/MAPK1/TGFBR2/PRKCB/RASGRP4/DUSP4/MAP3K5/TGFA/PDGFD/FASLG/INSR/PTPRR/ANGPT4/FAS/FGF2/NTF4/FGF1/MET/GNG12/PDGFRA/PDGFRB/KITLG/TGFB3/TEK/DUSP1/FGF7/EGFR/RASGRF2/IL1RAP/AKT3/MEF2C/ANGPT2/ANGPT1/KDR/PGF/FLT1/HGF/NGFR/NTRK2/CACNA2D1
hsa04060	Cytokine-cytokine receptor interaction	262	-0.482518226221847	-1.94407755145831	0.000212720697723889	0.00385674931129477	0.00244592797120361	3476	tags=44%, list=21%, signal=35%	OSM/CSF1R/IL1RL2/IL15RA/IL27RA/CCR4/CCL22/CCR8/TGFB2/IL18RAP/CD27/IL15/CXCL10/XCR1/ACVRL1/GDF3/IL16/TNFSF4/NGF/CSF1/IFNGR1/BMP5/IL32/IL13RA1/IL7/IL31RA/TGFBR1/CXCL13/CRLF2/IL18R1/XCL2/IL1R1/IL2RA/CSF2RB/IL21R/TNFSF9/IL17RA/TGFB1/ACVR1/IL10RA/TSLP/ACKR4/IL1B/CD4/CCR6/IL20RB/TNFSF14/TNFSF8/TNFRSF9/BMPR2/IL10/BMPR1A/CCR5/CCL5/CCL8/BMP4/TNFSF10/CSF3R/IFNG/CCL18/LEP/XCL1/INHBB/CXCR1/IL33/GDF10/TGFBR2/CCL3/CCL2/CCR1/IL2RB/TNFSF13B/IL1RN/FASLG/FAS/IL36RN/IL7R/ACKR3/IL9R/THPO/CXCL12/IL13RA2/BMP2/CCL4/TGFB3/LEPR/LIFR/INHBA/CXCR2/GDF6/CSF2/CXCL9/CCL26/CD40/IL6/IL1RAP/CCL23/CXCL14/GHR/TNFSF18/CCR2/CX3CR1/IL1RL1/OSMR/IL6ST/TNFRSF11B/CCL14/CCL21/EDA2R/CCL19/CCL13/CD70/NGFR
hsa04015	Rap1 signaling pathway	201	-0.427983703730006	-1.68606459393113	0.000219490781387182	0.00385674931129477	0.00244592797120361	4450	tags=47%, list=27%, signal=35%	PDGFB/CDH1/CTNNB1/RAP1A/ITGB1/MAGI3/RGS14/RASGRP3/RAP1GAP/ARAP3/CRK/SIPA1L2/MAPK14/BRAF/IGF1R/GNAI1/PIK3CD/PIK3CB/RAC2/VAV1/PDGFA/CSF1R/PARD6B/RALB/CTNND1/ADCY5/PLCB1/RAPGEF2/GNAQ/RAPGEF6/PARD6G/NGF/CSF1/RAP1B/MAGI2/ADORA2B/PIK3CA/F2RL3/IGF1/ITGAL/ADCY1/PDGFC/TIAM1/PRKD1/ITGAM/GNAO1/FGF10/ADCY8/LPAR4/APBB1IP/VEGFC/LCP2/KIT/DOCK4/VEGFA/THBS1/FLT4/ITGB2/MAPK1/PRKCB/LPAR5/GRIN2A/PDGFD/INSR/FPR1/ANGPT4/FGF2/FGF1/MET/RAPGEF4/PDGFRA/RASSF5/PDGFRB/KITLG/CALML3/TEK/LPAR1/ADCY9/RAPGEF5/FGF7/EGFR/AKT3/ANGPT2/F2R/CNR1/ANGPT1/KDR/PGF/FLT1/HGF/P2RY1/ITGB3/NGFR
hsa04510	Focal adhesion	196	-0.448395405598974	-1.76245200039951	0.000220507166482911	0.00385674931129477	0.00244592797120361	4413	tags=47%, list=26%, signal=35%	ITGB5/CTNNB1/RAP1A/ITGB1/SHC3/ARHGAP35/ITGA7/LAMC1/SOS1/PAK2/CRK/VCL/BRAF/PTEN/IGF1R/PIK3CD/PIK3CB/RAC2/SOS2/VAV1/PDGFA/MYL9/SHC1/COL4A4/PDPK1/COL4A1/COL4A3/TNR/ROCK1/PPP1R12B/CAPN2/RAP1B/BIRC3/CHAD/ITGA10/PPP1R12A/ARHGAP5/TNXB/PIK3CA/ITGB6/ITGA11/IGF1/FYN/LAMB3/PDGFC/MAPK10/TNC/CCND2/COL1A1/VEGFC/ITGA5/VEGFA/LAMA4/BCL2/THBS1/FLT4/MAPK1/PRKCB/ITGA9/PAK3/CCND1/LAMA2/PDGFD/COL6A6/MET/COL1A2/PDGFRA/ITGA3/PDGFRB/MYLK/ITGA1/ITGAV/COL6A3/ITGA8/EGFR/AKT3/VWF/ITGA4/TNN/KDR/THBS2/ITGA2/PGF/FLT1/HGF/IBSP/CAV2/ITGB3/COMP/CAV1/FN1
hsa04145	Phagosome	144	-0.485328558005488	-1.85166210799835	0.000227686703096539	0.00385674931129477	0.00244592797120361	3171	tags=38%, list=19%, signal=31%	COLEC11/CTSS/ATP6V1G2/HLA-DOA/HLA-DMA/CANX/HLA-C/VAMP3/HLA-DMB/HLA-G/HLA-DPB1/PLA2R1/HLA-DQA1/C1R/STX12/HLA-DRB1/OLR1/C3/ITGAM/NCF2/TLR2/FCGR2B/DYNC2H1/EEA1/ITGA5/HLA-DRA/CLEC7A/FCGR1A/THBS1/ITGB2/ATP6V0D2/FCGR2A/CYBB/TLR4/FCAR/FCGR3B/HLA-DQA2/ITGAV/MSR1/FCGR3A/THBS2/ITGA2/HLA-DRB5/HLA-DPA1/COLEC12/ITGB3/COMP/CD209/SFTPD/MARCO/SFTPA2/CD36/MRC1/SFTPA1
hsa04630	JAK-STAT signaling pathway	139	-0.496585127460693	-1.88417655999483	0.000230308613542146	0.00385674931129477	0.00244592797120361	5479	tags=57%, list=33%, signal=38%	STAT5B/STAT1/EPO/PIAS2/IFNAR2/CCND3/STAT2/IL3RA/SOCS3/SOCS4/SOCS7/CISH/IL12RB1/IL4R/CTF1/IL10RB/PDGFB/IL24/STAT3/IFNGR2/CNTF/CREBBP/SOS1/JAK2/PIK3CD/IFNAR1/SOCS5/PIK3CB/IL22RA1/OSM/SOS2/PDGFA/EP300/IL15RA/IL27RA/STAM2/IL15/PIAS1/IFNGR1/IL13RA1/IL7/CRLF2/PIK3CA/JAK1/IL2RA/SOCS2/CSF2RB/IL21R/JAK3/IL10RA/TSLP/IL20RB/IL10/CCND2/STAT4/CSF3R/IFNG/BCL2/LEP/IL2RB/CCND1/IL7R/IL9R/THPO/FHL1/PDGFRA/PDGFRB/IL13RA2/LEPR/LIFR/CSF2/EGFR/IL6/AKT3/AOX1/GHR/OSMR/IL6ST
hsa04514	Cell adhesion molecules	136	-0.550750343242489	-2.0874157390087	0.000230414746543779	0.00385674931129477	0.00244592797120361	3652	tags=57%, list=22%, signal=45%	SIGLEC1/CDH4/NRXN1/F11R/NCAM1/CD99L2/SPN/CLDN5/TIGIT/LRRC4B/NLGN4X/LRRC4C/CNTNAP1/CD28/HLA-DOA/HLA-DMA/CDH15/SELPLG/HLA-C/CD2/CDH2/LRRC4/HLA-DMB/HLA-G/CD86/CADM1/NRCAM/HLA-DPB1/HLA-DQA1/ITGAL/HLA-DRB1/CD4/CLDN2/ITGAM/CD34/CLDN8/SELL/PTPRM/NLGN1/CD22/CNTN1/HLA-DRA/NRXN3/ALCAM/ITGB2/CLDN16/ITGA9/JAM2/CD274/CD8A/SELE/CD8B/PTPRC/CDH5/ICAM1/CLDN10/CLDN11/VCAN/CLDN1/PDCD1LG2/ESAM/NCAM2/HLA-DQA2/ITGAV/JAM3/ITGA8/CD40/SELP/ITGA4/CLDN18/NEGR1/HLA-DRB5/HLA-DPA1/MAG/CADM3/VCAM1
hsa04380	Osteoclast differentiation	123	-0.489879181288418	-1.83559678991038	0.000232450023245002	0.00385674931129477	0.00244592797120361	5182	tags=59%, list=31%, signal=41%	IFNAR2/STAT2/OSCAR/NCF1/SOCS3/LCK/ACP5/IL1A/MAPK9/CTSK/NFATC1/TNFSF11/LILRB1/IFNGR2/LILRB4/TAB2/NFKB1/TRAF6/TNFRSF1A/NFATC2/MAPK14/LILRA4/PLCG2/SIRPG/PIK3CD/IFNAR1/PIK3CB/CSF1R/MITF/CREB1/TGFB2/PPP3CA/CAMK4/CYLD/CSF1/IFNGR1/PPP3CC/TYROBP/TGFBR1/PIK3CA/JAK1/IL1R1/FOS/SIRPA/TGFB1/BTK/FYN/MAPK10/IL1B/NCF2/FOSB/FCGR2B/LCP2/CALCR/FCGR1A/IFNG/TREM2/LILRB3/MAPK1/TGFBR2/LILRB5/FCGR2A/LILRA1/LILRA6/FCGR3B/AKT3/FCGR3A/TNFRSF11B/ITGB3/LILRA2/SIRPB1
