ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04080	Neuroactive ligand-receptor interaction	285	-0.492007759548351	-1.51281911407436	0.00020096463022508	0.00241422744721689	0.00203619052429538	3278	tags=42%, list=20%, signal=34%	OPRK1/GH1/P2RY14/LEPR/GRIA1/PTH/PTGER4/GRIN2D/CYSLTR1/DRD1/NMUR1/GABRA4/P2RY6/CHRNA4/GNRHR/LPAR2/CHRNA1/BDKRB1/GABRA2/CCK/AVPR1B/AVPR1A/GRID1/HTR1B/CGA/F2/LPAR4/P2RX5/UCN2/HTR1D/CORT/NMB/ADRB1/CHRNB4/EDNRA/GCGR/NPY4R/GABRB3/GLP1R/HTR4/CNR1/LPAR6/NPFFR2/PTGIR/LPAR3/CHRNE/EDN2/SSTR3/CHRNA5/ADORA3/VIP/CHRNA6/PMCH/PLG/RLN2/GABRG1/MLNR/ADRB2/HRH2/APLNR/S1PR4/CHRNA3/GALR2/GIPR/KISS1R/SCT/OXTR/GRM7/C3AR1/S1PR5/P2RY4/GAL/TACR1/PRSS3/CNR2/LPAR1/GRIN1/NPB/GRIK2/GRP/NMU/GABRB2/HRH1/P2RX2/AGT/TAC3/P2RX1/P2RX6/ADORA2B/GLP2R/PTAFR/P2RX7/PTGER2/RXFP1/GPR83/UTS2/PTGFR/CTSG/FPR3/P2RY10/P2RY13/PTGDR/INSL3/NPY5R/GZMA/ADRA2A/GRM4/GABRG3/F2RL2/ADCYAP1/TAC1/NPY1R/C3/PRSS1/CALCB/HTR2B/NTS/CALCA
hsa04060	Cytokine-cytokine receptor interaction	262	-0.642351867626078	-1.97103888033694	0.000201450443190975	0.00241422744721689	0.00203619052429538	1868	tags=40%, list=11%, signal=37%	TNFSF18/CXCR2/CD4/BMP5/CD40/THPO/IL1RL2/IL22RA1/IL10/IL7/NGF/TNFRSF9/TNFSF10/LIF/GDF15/IL5RA/CXCL5/CSF1/CXCL1/CCL4L2/TNFRSF11A/TNFSF8/IL10RA/CXCR6/XCR1/IL24/IL9R/CNTF/CCR4/CSF3R/BMP7/EDAR/CSF2RB/IL2RA/TNFSF15/IL18R1/CSF2/IL36RN/IL27RA/CCL20/IFNG/CXCL12/IL12RB1/CXCR3/TNFSF13B/CCL8/CCR1/CCR5/XCL1/TNFSF9/CCL22/IL16/FASLG/IL1R2/IFNE/CCL23/IL7R/IL1RN/CXCL2/IL21R/CCR2/BMP4/CCL26/IL2RG/LTA/CD70/IL18RAP/TNFSF11/CCL5/CX3CR1/TNFRSF21/IL33/TNFRSF13B/TNF/IL1RL1/CCL7/CCR7/CD40LG/IL2RB/CCL13/GDF10/TSLP/TNFRSF17/IL6/CRLF2/CCL24/CXCL17/TNFRSF13C/IL1B/TNFSF14/CCL4/IL32/NGFR/LTB/CCL3/CCL2/CXCL11/XCL2/CCL18/CXCR5/CXCL10/CXCL9/CXCL13/CCL19/CCL21
hsa04062	Chemokine signaling pathway	186	-0.647073581997013	-1.95703947159956	0.000204081632653061	0.00241422744721689	0.00203619052429538	1886	tags=33%, list=11%, signal=29%	PIK3CG/CXCR2/GNG4/PIK3CD/PRKCZ/ARRB1/FGR/CXCL5/TIAM1/CXCL1/PIK3R2/CCL4L2/PRKCB/CXCR6/XCR1/WAS/DOCK2/PLCB1/CCR4/PIK3R5/GNGT2/PLCB2/PLCG2/HCK/CCL20/CXCL12/CXCR3/CCL8/CCR1/CCR5/XCL1/RAC2/CCL22/ITK/CCL23/CXCL2/CCR2/CCL26/CCL5/CX3CR1/JAK3/VAV1/CCL7/CCR7/CCL13/CCL24/NCF1/CCL4/CCL3/CCL2/CXCL11/XCL2/CCL18/CXCR5/GNG8/CXCL10/CXCL9/CXCL13/CCL19/CCL21
hsa05169	Epstein-Barr virus infection	184	-0.535128216534463	-1.61813366012078	0.000204206657137023	0.00241422744721689	0.00203619052429538	2838	tags=29%, list=17%, signal=24%	CD58/MYC/HLA-E/GADD45A/TAP2/ENTPD3/MAPK11/HLA-DQA1/FAS/MYD88/HLA-DMB/TAP1/CCNA1/LYN/BID/NFKBIE/RELB/HLA-F/HLA-DRB5/CD40/B2M/PIK3CD/HLA-DOA/HLA-DRB1/PIK3R2/CD3G/HLA-B/HLA-DOB/E2F2/TRAF5/PLCG2/HLA-C/HLA-DPB1/RUNX3/HLA-DMA/ENTPD8/HLA-DRA/BTK/ITGAL/CD3D/CD3E/JAK3/TNF/CR2/CD247/IL6/HLA-DPA1/CD19/FCER2/HLA-G/HLA-DQA2/CXCL10
hsa05152	Tuberculosis	162	-0.559437228702617	-1.6816691465603	0.000205296653664545	0.00241422744721689	0.00203619052429538	3314	tags=36%, list=20%, signal=29%	IL18/TLR4/CEBPG/TLR6/TLR1/TGFB3/CLEC4E/PLA2R1/CAMP/MAPK11/HLA-DQA1/CD14/MYD88/HLA-DMB/TLR9/FCGR2A/IL12A/CARD9/IL12B/BID/NOD2/HLA-DRB5/ITGAM/HLA-DOA/CLEC7A/IL10/HLA-DRB1/CTSS/IL10RA/FCGR2B/CR1/HLA-DOB/FCER1G/CLEC4M/IFNG/LSP1/HLA-DPB1/CORO1A/CD74/CIITA/ATP6V0D2/CD209/HLA-DMA/FCGR3A/HLA-DRA/CR1L/ITGB2/ITGAX/LBP/TNF/IL6/IL1B/HLA-DPA1/FCGR1A/C3/HLA-DQA2/MRC1
hsa05164	Influenza A	152	-0.538649413443774	-1.61155659466477	0.000206398348813209	0.00241422744721689	0.00203619052429538	2707	tags=28%, list=16%, signal=23%	HLA-DQA1/FAS/DNAJB1/MYD88/TLR3/HLA-DMB/IL12A/IL12B/BID/PABPN1L/HLA-DRB5/PLG/PIK3CD/HLA-DOA/TLR7/TNFSF10/HLA-DRB1/PIK3R2/PRKCB/CASP1/PRSS3/HLA-DOB/IFNG/HLA-DPB1/CIITA/FASLG/HLA-DMA/HLA-DRA/CCL5/IL33/TNF/TPSAB1/TMPRSS4/IL6/IL1B/HLA-DPA1/PRSS1/TPSD1/CCL2/HLA-DQA2/CXCL10
hsa04145	Phagosome	144	-0.55404849153114	-1.65179077348113	0.00020703933747412	0.00241422744721689	0.00203619052429538	2657	tags=43%, list=16%, signal=37%	TLR4/HLA-A/TLR6/ITGA2/HLA-E/PLA2R1/TAP2/HLA-DQA1/TUBB4A/CD14/OLR1/MPO/HLA-DMB/FCGR2A/TAP1/TUBB2A/TUBA1C/TUBA1A/HLA-F/HLA-DRB5/TUBB4B/ITGAM/HLA-DOA/CLEC7A/FCAR/TUBAL3/HLA-DRB1/CTSS/CYBB/FCGR2B/CD36/HLA-B/NCF2/HLA-DOB/COLEC11/CLEC4M/HLA-C/HLA-DPB1/CORO1A/MSR1/C1R/THBS2/NCF4/ATP6V0D2/CD209/HLA-DMA/FCGR3A/HLA-DRA/ITGB2/COLEC12/NCF1/HLA-DPA1/FCGR1A/C3/TUBB3/HLA-G/HLA-DQA2/TUBB2B/MRC1/COMP/MARCO
hsa04514	Cell adhesion molecules	136	-0.64958213973751	-1.93305265540937	0.000207210940737671	0.00241422744721689	0.00203619052429538	3220	tags=59%, list=19%, signal=48%	LRRC4/HLA-A/CD58/CLDN6/HLA-E/CDH4/IGSF11/NLGN4X/CDH15/HLA-DQA1/CDH1/CD80/HLA-DMB/CLDN3/JAM2/CD226/MADCAM1/NTNG2/CADM1/SDC3/ICAM3/NRCAM/ITGA8/CD8A/CNTN1/CD4/HLA-F/HLA-DRB5/CD40/ITGB8/CD274/NTNG1/LRRC4B/ITGAM/HLA-DOA/SELE/CDH3/CD86/VCAN/HLA-DRB1/NRXN1/CLDN14/SELPLG/PDCD1LG2/CD6/CLDN11/SPN/HLA-B/HLA-DOB/HLA-C/ITGB7/ITGA4/HLA-DPB1/SELL/CLDN8/CTLA4/PTPRC/HLA-DMA/HLA-DRA/PDCD1/CD8B/ITGAL/SELP/ITGB2/ICOS/CD2/VCAM1/CD28/CD40LG/TIGIT/L1CAM/VTCN1/MAG/HLA-DPA1/CLDN10/CADM3/CD22/HLA-G/HLA-DQA2
hsa05322	Systemic lupus erythematosus	122	-0.696363888161891	-2.05512340642896	0.000208942749686586	0.00241422744721689	0.00203619052429538	2657	tags=56%, list=16%, signal=47%	H2AFB2/TRIM21/HIST2H2AC/HIST2H4A/CD80/HLA-DMB/HIST1H2BN/HIST1H3C/FCGR2A/HIST1H2BB/HIST1H3I/H3F3C/HIST1H4K/HIST1H4H/HLA-DRB5/CD40/HIST1H2BJ/HIST1H4J/HIST1H3F/HLA-DOA/HIST1H2BD/HIST1H2AC/HIST1H2AK/IL10/CD86/HIST1H2AJ/HLA-DRB1/HLA-DOB/HIST1H4E/HIST2H2AA4/HIST1H3G/HIST1H2BG/IFNG/HIST1H4B/HLA-DPB1/HIST1H2AL/HIST1H4A/C1R/HIST1H2AI/HIST1H3D/HIST2H2AA3/CTSG/HLA-DMA/H2AFB1/C1QA/FCGR3A/HLA-DRA/C2/HIST1H2BO/C1QB/C1S/CD28/HIST1H2AE/TNF/CD40LG/HIST1H4D/C1QC/C6/HIST1H2BH/HIST1H2AM/HIST3H2BB/HLA-DPA1/FCGR1A/C3/HIST3H2A/HLA-DQA2/C7
hsa04380	Osteoclast differentiation	123	-0.598078910078076	-1.76593003056492	0.000208986415882968	0.00241422744721689	0.00203619052429538	2430	tags=35%, list=15%, signal=30%	FOSL1/SOCS1/FCGR2A/CSF1R/RELB/TNFRSF11B/LILRB2/OSCAR/PIK3CD/SPI1/PPARG/FHL2/CSF1/PIK3R2/TNFRSF11A/FCGR2B/LILRA5/NCF2/LILRA1/PLCG2/IFNG/LILRA2/CTSK/LILRA4/ACP5/NCF4/FCGR3A/LILRB1/BTK/TYROBP/SIRPB1/TREM2/TNFSF11/LILRB3/LILRB4/LILRA6/LCK/SIRPG/TNF/NCF1/IL1B/FCGR1A
