ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04530	Tight junction	156	-0.471471250847859	-1.76055011859782	0.00022691173133651	0.0557414887478361	0.0512041789412944	3850	tags=42%, list=23%, signal=32%	PRKAB2/AMOTL1/MSN/ACTR3/ARHGEF18/NF2/MAPK8/JUN/ROCK1/VASP/AMOT/PPP2CB/F11R/MYH10/ACTR3C/MAPK9/PPP2R2A/MPP4/ACTN4/CTTN/MYH9/PARD6G/CD1C/PRKAA1/SLC9A3R1/PRKAG3/DLG2/CLDN3/CACNA1D/ACTN1/CFTR/MYH14/CD1A/CLDN7/ITGB1/RUNX1/TUBA4A/PRKCE/PPP2R2B/ERBB2/RHOA/RAP2C/MAP3K5/GATA4/CLDN1/MAGI1/CLDN2/TJP2/CLDN16/CLDN6/YBX3/CLDN4/EPB41L4B/RAPGEF2/CCND1/CRB3/MARVELD3/MARVELD2/CLDN14/TJP3/MAPK10/CLDN8/CLDN9/CLDN10
hsa05160	Hepatitis C	140	-0.435520615765099	-1.60618336320062	0.00069060773480663	0.0557414887478361	0.0512041789412944	3141	tags=30%, list=19%, signal=25%	RSAD2/PPP2CB/LDLR/IRF7/MX1/CDK6/PPP2R2A/EIF3E/E2F3/FAS/PIK3R1/RNASEL/CLDN3/FADD/KRAS/CASP3/YWHAZ/CTNNB1/CLDN7/IKBKE/RB1/PPP2R2B/PIK3R2/OAS2/CLDN1/MYC/CLDN2/MX2/EGFR/CLDN16/CLDN6/TNFRSF1A/CASP8/CLDN4/CCND1/TLR3/CLDN14/EGF/CLDN8/CLDN9/CLDN10
hsa03030	DNA replication	36	0.553043381004406	1.93239570230312	0.000726744186046512	0.0557414887478361	0.0512041789412944	3562	tags=47%, list=21%, signal=37%	MCM7/PRIM1/PCNA/POLE/MCM2/POLE2/POLD1/RNASEH2A/RFC4/RFC2/POLA1/RFC5/RPA2/FEN1/SSBP1/MCM6/RPA3
hsa04657	IL-17 signaling pathway	91	-0.493335013936558	-1.72615726647502	0.000730104648332928	0.0557414887478361	0.0512041789412944	3141	tags=34%, list=19%, signal=28%	CEBPB/CCL17/MAPK9/DEFB4A/TRAF3IP2/CCL20/FADD/CASP3/IKBKE/IL17RC/IL17RE/MAPK15/CXCL5/PTGS2/FOS/CASP8/S100A7A/FOSL1/MAPK4/MUC5AC/CXCL1/MMP1/IL17C/MMP9/MAPK10/S100A8/S100A9/MUC5B/MMP13/S100A7
hsa04964	Proximal tubule bicarbonate reclamation	21	-0.691062387357997	-1.85278034300922	0.000865551067512983	0.0557414887478361	0.0512041789412944	1150	tags=43%, list=7%, signal=40%	CA4/SLC9A3/ATP1A2/PCK1/ATP1B1/GLUD2/CA2/SLC4A4
hsa04061	Viral protein interaction with cytokine and cytokine receptor	98	0.467720753249811	1.98067185767572	0.00120336943441637	0.0645808263136783	0.0593240019422805	1434	tags=33%, list=9%, signal=30%	CCL3L3/CCL3L1/CCL4L1/CCL19/PPBP/ACKR4/CCL4L2/XCL2/CXCL9/CXCR5/LTA/CXCL10/CCL25/CCL23/CCL18/CCR6/CCL11/CXCL13/XCL1/CCL4/CCL2/CCL3/IL20RB/CCR10/CXCL11/CCR3/IL37/IL34/CXCR3/CCL7/CCR4/CCL1
hsa05165	Human papillomavirus infection	309	-0.362166953823164	-1.42772925372327	0.00168102542550956	0.0773271695734398	0.0710328036944642	3608	tags=31%, list=22%, signal=25%	PTK2/NOTCH4/ITGA9/ATP6V1E1/ATP6V1H/TCIRG1/TNR/COL4A4/SPP1/HLA-G/TADA3/APC/ITGA4/ITGA7/MAPK1/ATP6V0D1/PPP2CB/MX1/CDK6/RBL2/FZD5/BCAP31/PPP2R2A/FZD1/ATP6V1C1/WNT7B/LAMA4/FAS/COL1A2/NOTCH3/PARD6G/PIK3R1/FOXO1/JAG1/SLC9A3R1/LAMA2/ITGA2/ATP6AP1/DLG2/VWF/FZD10/ATP6V1B2/FADD/KRAS/CCNE2/WNT9A/HLA-A/CASP3/CTNNB1/COL4A5/LAMC1/HLA-C/IKBKE/ITGB1/RB1/CREB3L1/PPP2R2B/ITGB5/THBS2/PTGS2/WNT7A/PIK3R2/ITGA5/THBS1/FN1/COL4A2/MAGI1/MX2/COL4A1/CHAD/EGFR/ITGA3/ITGB8/TNFRSF1A/CASP8/COL1A1/MAML3/MAML2/HEY1/CCND1/TNC/CRB3/WNT9B/TLR3/LAMB4/VEGFA/EGF/ITGB3/ATP6V0A4/THBS4/CCNA1/ATP6V0D2/ITGB6/FZD6/LAMC2
hsa04062	Chemokine signaling pathway	186	0.377290492185495	1.75423064893089	0.00205338809034908	0.0826488706365503	0.0759213228142224	1325	tags=19%, list=8%, signal=18%	CCL3L3/CCL3L1/CCL4L1/CCL19/PPBP/CCL4L2/ADCY1/XCL2/RASGRP2/CXCL9/CXCR5/PRKCB/RAC3/CXCL10/CCL25/CCL23/CCL18/GNG7/CCR6/CCL11/CXCL13/XCL1/CCL4/SHC2/PIK3CD/CCL2/CCL3/CCR10/ADCY3/CXCL11/PLCG2/CXCR6/CCR3/CXCR3/CCL7/CCR4
hsa04060	Cytokine-cytokine receptor interaction	262	0.286416860663647	1.38358564235588	0.00327868852459016	0.117304189435337	0.107755728118109	1345	tags=19%, list=8%, signal=18%	CCL3L3/CCL3L1/TNFRSF17/CCL4L1/CCL19/PPBP/TNFRSF13B/ACKR4/CCL4L2/XCL2/CNTFR/CD70/THPO/CXCL9/CXCR5/LTA/CXCL10/CCL25/CCL23/CCL18/TGFB2/GDF1/TNFRSF13C/IL23R/CCR6/AMHR2/CD27/CCL11/GDF9/CXCL13/XCL1/EDA2R/CCL4/CCL2/CCL3/IL27RA/IL20RB/CCR10/CXCL11/CTF1/CXCR6/CCR3/IL37/TNFSF12/IL34/CXCR3/LEPR/CCL7/CCR4/TNFSF9/IFNG
hsa04151	PI3K-Akt signaling pathway	330	-0.348131113083179	-1.377909468299	0.00375626043405676	0.120951585976628	0.111106229681047	3320	tags=28%, list=20%, signal=23%	MCL1/ITGA4/ITGA7/GNG8/MAPK1/TLR4/ERBB3/PPP2CB/ERBB4/PGF/CD19/CDK6/CHRM2/RBL2/PPP2R2A/GYS1/LAMA4/THEM4/COL1A2/PIK3R1/PRKAA1/LAMA2/ITGA2/VWF/NR4A1/KRAS/CCNE2/EIF4E/GNG12/YWHAZ/FGF21/COL4A5/GYS2/LAMC1/ITGB1/NTRK2/CREB3L1/PPP2R2B/ERBB2/IL2RA/ITGB5/THBS2/PIK3R2/DDIT4/ITGA5/THBS1/EFNA5/FLT1/EPHA2/FGF18/CSF3R/MYC/FN1/COL4A2/MAGI1/COL4A1/CHAD/EGFR/ITGA3/IGF1/ITGB8/NTF3/SGK1/ANGPT2/EREG/PHLPP1/COL1A1/OSMR/PRLR/KIT/LPAR1/CCND1/TNC/FGFR1/BDNF/LAMB4/NGF/VEGFA/PCK1/FGF10/LPAR4/EGF/FGF20/ITGB3/IL7/THBS4/TGFA/GHR/AREG/FGF9/KITLG/ITGB6/LAMC2
