ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04510	Focal adhesion	196	0.448002050562363	1.74787394573656	0.000253100480890914	0.013060760931289	0.0109729178141265	3789	tags=43%, list=23%, signal=34%	COMP/COL1A2/FN1/COL4A6/SHC4/COL1A1/VAV1/IGF1/LAMB4/THBS4/EGF/FLNC/SPP1/MYLK3/COL4A5/COL6A3/ITGB3/PARVG/COL4A2/CCND1/LAMB1/TNC/COL6A2/RAC2/PRKCB/MYLK/ITGA11/SHC2/THBS2/CAPN2/THBS3/ITGA7/PAK3/PDGFC/LAMC1/ITGA5/MYL9/MYL7/SHC3/ITGA9/CAV3/COL4A3/CAV1/PIK3R1/PAK1/COL6A1/COL4A1/THBS1/ITGAV/MYLK4/PDGFD/SRC/PDGFA/PPP1R12B/LAMA2/VASP/ACTN1/IBSP/ITGA3/CTNNB1/VTN/ZYX/CHAD/EGFR/ACTN4/COL9A2/COL4A4/TNN/ITGB1/ITGB7/ITGA4/ITGB5/ITGA8/CAV2/BCAR1/JUN/PARVA/ILK/PPP1R12A/XIAP/TLN2/ARHGAP35/ACTB/PDGFB/MAP2K1
hsa04380	Osteoclast differentiation	123	0.472449608924089	1.73806397532477	0.000270855904658722	0.013060760931289	0.0109729178141265	2913	tags=34%, list=17%, signal=28%	LILRB4/TREM2/LILRB5/SPI1/LILRB2/TYROBP/CSF1R/ITGB3/LILRA3/TNFRSF11A/FCGR1A/NCF2/LILRA5/LILRA2/FCGR2B/SYK/NCF4/LCP2/FCGR3B/OSCAR/TGFB2/SIRPG/FHL2/PPARG/NCF1/NFATC1/LILRA6/LILRA1/FCGR3A/CYBA/TGFBR1/BLNK/BTK/LCK/PIK3R1/CALCR/CSF1/FOS/FOSL1/SIRPA/TGFB1/FCGR2A
hsa05414	Dilated cardiomyopathy	90	0.576892560728626	2.03629002259779	0.000280190529560101	0.013060760931289	0.0109729178141265	3402	tags=54%, list=20%, signal=44%	ACTC1/SGCD/DES/TNNI3/IGF1/SGCA/AGT/ADCY5/ITGB3/TNNT2/CACNG4/MYL3/MYH6/ADCY7/TPM1/CACNB2/TGFB2/CACNB4/ITGA11/TTN/ITGA7/TPM2/CACNA1C/ITGA5/CACNB1/ITGA9/TGFB3/DMD/PLN/ITGAV/LMNA/TPM4/ADCY1/ADCY3/ADRB1/CACNG7/LAMA2/ITGA3/SLC8A3/MYBPC3/TGFB1/ITGB1/ITGB7/ITGA4/ITGB5/ITGA8/SGCB/ATP2A1/SLC8A2
hsa04512	ECM-receptor interaction	85	0.565419330708497	1.98408556503627	0.00028216704288939	0.013060760931289	0.0109729178141265	3214	tags=59%, list=19%, signal=48%	COMP/COL1A2/FN1/COL4A6/COL1A1/SV2B/FRAS1/LAMB4/THBS4/SPP1/COL4A5/COL6A3/ITGB3/COL4A2/LAMB1/TNC/GP1BA/COL6A2/CD44/CD36/ITGA11/THBS2/THBS3/ITGA7/SV2A/GP9/LAMC1/ITGA5/HSPG2/ITGA9/COL4A3/COL6A1/COL4A1/THBS1/ITGAV/LAMA2/IBSP/ITGA3/VTN/GP1BB/CHAD/COL9A2/COL4A4/TNN/ITGB1/ITGB7/ITGA4/ITGB5/ITGA8/AGRN
hsa05410	Hypertrophic cardiomyopathy	86	0.581642424037398	2.04306498321813	0.000282645562464669	0.013060760931289	0.0109729178141265	3402	tags=55%, list=20%, signal=44%	ACTC1/SGCD/DES/TNNI3/IGF1/SGCA/AGT/ITGB3/TNNT2/CACNG4/MYL3/MYH6/IL6/TPM1/CACNB2/TGFB2/CACNB4/ITGA11/TTN/ITGA7/TPM2/CACNA1C/ITGA5/CACNB1/ITGA9/TGFB3/DMD/PRKAA1/ITGAV/LMNA/TPM4/EDN1/PRKAG2/CACNG7/LAMA2/ITGA3/SLC8A3/MYBPC3/TGFB1/ITGB1/ITGB7/ITGA4/ITGB5/ITGA8/SGCB/ATP2A1/SLC8A2
hsa05150	Staphylococcus aureus infection	81	0.534635494795124	1.86578758629705	0.000282965478211658	0.013060760931289	0.0109729178141265	2618	tags=44%, list=16%, signal=38%	KRT9/C1QB/C1QA/C1QC/C2/KRT14/ITGAL/CFH/KRT27/IL10/PTAFR/ITGAM/FCGR1A/C4B/CAMP/C4A/ITGB2/FCGR2B/DEFB1/FCGR3B/MASP2/SELPLG/KRT34/C3AR1/FPR3/CFB/DEFB4B/HLA-DOB/FCGR3A/KRT17/FPR2/C1R/FPR1/KRT39/KRT24/C1S
hsa04610	Complement and coagulation cascades	80	0.561844613375301	1.95481368317372	0.000283929585462805	0.013060760931289	0.0109729178141265	2618	tags=44%, list=16%, signal=37%	F13A1/C1QB/C1QA/C7/VSIG4/F5/C1QC/C2/SERPINC1/C6/CFH/C4BPB/ITGAM/SERPINE1/C4B/C4A/ITGB2/PLAT/SERPIND1/MASP2/F2RL2/C3AR1/CR1/CFB/F12/TFPI/C1R/ITGAX/CR2/PLAU/F2R/CPB2/VTN/SERPINF2/C1S
hsa04060	Cytokine-cytokine receptor interaction	262	0.374908211621617	1.5028936420143	0.000486854917234664	0.0167655940851817	0.0140855105586522	3576	tags=38%, list=21%, signal=30%	CCL3L3/CCL22/CXCR3/GDF5/XCL2/CCL7/CXCL14/CCL4L2/TNFRSF17/CCL17/CCL11/IL12RB1/CSF1R/CCR5/IL17B/CD4/CCL5/IL10/CCR1/INHBE/TNFRSF11A/IL12RB2/IL10RA/CD27/NGFR/IL24/CX3CR1/TNFRSF13B/CXCL9/CCL13/IL6/CXCR2/TGFB2/IL7R/GDF10/ACKR4/IL17C/CD40LG/IL5RA/CXCR6/XCR1/BMP8A/IL16/MSTN/IL2RG/CXCL10/GDF6/BMPR1B/CXCR1/BMP5/LIF/BMP3/CSF2RA/CCL18/TGFBR1/IL1RL1/IL27/TNFRSF12A/TNFRSF18/TNFSF13B/CXCL13/INHA/TGFB3/NGF/CCR4/CCL1/ACKR3/GDF11/IL18/IL2RA/CXCR4/IL17D/CSF1/CCL19/INHBA/TNFSF8/OSM/LTB/BMP7/CCL8/IL23A/ACVR2A/TGFB1/CSF3R/IL17RB/IL13/CSF2RB/ACVR1/IL2RB/IL1RN/NODAL/CCL2/IL11RA/IFNA5/CCR2/CD70/TNFRSF4/TNFRSF21/IL1R1
hsa04145	Phagosome	144	0.476666145066822	1.79324273182911	0.000527426160337553	0.0167655940851817	0.0140855105586522	2261	tags=29%, list=14%, signal=25%	COMP/CLEC7A/ATP6V0D2/CD209/THBS4/CYBB/CORO1A/ITGB3/TLR6/ATP6V0E2/MRC2/ITGAM/MSR1/FCGR1A/NCF2/TUBB4A/ITGB2/CD36/CD14/FCGR2B/NCF4/TUBB6/TUBB2A/FCGR3B/TLR2/TUBB8/NCF1/THBS2/MARCO/TUBB3/CTSS/TUBA1A/THBS3/HLA-DOB/FCGR3A/CYBA/ITGA5/TUBA3E/C1R/THBS1/ITGAV/COLEC11
hsa04640	Hematopoietic cell lineage	92	0.506897866253921	1.79268049486494	0.000562113546936481	0.0167655940851817	0.0140855105586522	3576	tags=51%, list=21%, signal=40%	CD3D/MS4A1/CD2/CD3G/CSF1R/CD1E/CD4/ITGB3/CD1C/CD8B/ITGAM/CD3E/CD38/CD8A/FCGR1A/GP1BA/CD44/CD1B/CD36/CD14/ANPEP/IL6/IL7R/FCER2/IL5RA/CR1/CD37/HLA-DOB/GP9/CSF2RA/FLT3/ITGA5/IL2RA/CD7/CR2/CSF1/ITGA3/GP1BB/CD1D/CSF3R/CD9/ITGA4/HLA-DQA1/IL11RA/CD1A/CD33/IL1R1
hsa00480	Glutathione metabolism	53	0.542433350214945	1.75745294003277	0.000597907324364724	0.0167655940851817	0.0140855105586522	2625	tags=36%, list=16%, signal=30%	GSTM1/GSTM3/MGST1/GSTA3/GSTM4/GSTT2B/GSTT1/GSTT2/ANPEP/GPX7/IDH2/GPX8/CHAC1/RRM2/OPLAH/GSR/GCLC/GSTM2/HPGDS
hsa05340	Primary immunodeficiency	36	0.619175298099248	1.86281286663084	0.000624804748516089	0.0167655940851817	0.0140855105586522	1949	tags=42%, list=12%, signal=37%	CD3D/CD4/CD8B/CD3E/CD8A/PTPRC/TNFRSF13B/ZAP70/CD79A/IL7R/CD40LG/IL2RG/BLNK/BTK/LCK
hsa03010	Ribosome	133	-0.591783246212998	-2.47877524981252	0.000801282051282051	0.0196861626248217	0.0165392082202654	4304	tags=68%, list=26%, signal=51%	MRPL11/MRPL24/RPS15A/MRPL34/MRPS7/RPS27L/MRPL2/MRPL1/RPS29/RPS13/RPL9/RPL22L1/RPSA/RPL27A/RPL13A/MRPS10/RPS10-NUDT3/RPL28/RPL36A/RPS18/RPL36AL/RPS7/RPL41/RPL23/RPL17/FAU/RPS14/RPS19/RPL14/RPLP1/RPL10/RPL10A/RPS21/RPL7A/RPL5/RPL12/UBA52/RPS27/RPL39/RPL26/RPL35A/RPL23A/RPL37/RPL10L/RPLP2/MRPS15/RPL18/RPL17-C18orf32/RPS8/RPS17/RPL3/RPS3/RPL11/RPL37A/RPL8/RPL31/RPS27A/RPL35/RPL30/RPL32/RPL19/RPL15/RPL21/RPL34/RPL6/RPS15/RPS2/RPL22/RPL24/RPS4X/RPS16/RPL13/RPS24/RPL4/RPL36/RPS12/RPL38/RPS5/RPS20/RPS3A/RPS25/MRPL30/RPS11/MRPL21/RPL18A/RPL7/RPL29/RPS6/RPS28
hsa04662	B cell receptor signaling pathway	79	0.496711875452718	1.72285219382321	0.000855920114122682	0.0196861626248217	0.0165392082202654	2356	tags=32%, list=14%, signal=27%	LILRB4/VAV1/LILRB5/LILRB2/LILRA3/PIK3AP1/RAC2/LILRA5/LILRA2/PRKCB/CD72/FCGR2B/SYK/CD79A/NFATC1/LILRA6/RASGRP3/LILRA1/INPPL1/BLNK/BTK/PIK3R1/CD79B/PTPN6/CR2
hsa04810	Regulation of actin cytoskeleton	204	0.401526356533162	1.57273489186728	0.00100704934541793	0.0196893726305491	0.0165419050867967	4754	tags=48%, list=29%, signal=34%	FN1/NCKAP1L/VAV1/ITGAL/EGF/MYLK3/ITGB3/APC2/ITGAM/DIAPH3/RAC2/ITGB2/MYLK/IQGAP3/FGF1/FGF8/LPAR4/FGF21/MYH10/ITGA11/PFN4/FGFR1/ITGA7/MYH11/PAK3/PDGFC/ITGA5/MYL9/MYL7/ARHGEF4/ITGA9/LPAR5/PIK3R1/PAK1/ITGAX/CXCR4/FGF18/ITGAV/MYLK4/PDGFD/MRAS/F2R/SRC/PDGFA/ARPC2/PPP1R12B/ACTN1/ITGA3/LIMK1/INS/TMSB4X/CHRM4/EGFR/ACTN4/FGF9/GNG12/ITGB1/ITGB7/MSN/ITGA4/ITGB5/ITGA8/ENAH/FGD3/GSN/MYH9/ARHGEF6/BCAR1/PPP1R12A/SSH2/PFN1/FGF5/ARHGAP35/ARHGEF1/ACTB/PDGFB/MAP2K1/PIKFYVE/GNA12/NRAS/ROCK2/CHRM5/PIP5K1C/INSRR/FGF3/ARPC1B/APC/CYFIP2/CFL2/FGD1/SLC9A1/RRAS/ITGA1/IQGAP2/VCL/WASF2/PDGFRA
hsa04020	Calcium signaling pathway	189	0.407111518688322	1.58183908740972	0.00101497081958894	0.0196893726305491	0.0165419050867967	3479	tags=37%, list=21%, signal=29%	CASQ1/PTGER1/RYR1/LTB4R2/TACR2/EGF/MYLK3/CASQ2/PLCD4/PTAFR/CACNA1E/CD38/ADRA1B/AVPR1B/GNA15/ATP2B2/PDE1C/PRKCB/ADCY7/MYLK/ADRA1D/GRIN2C/CAMK1G/MCOLN2/ADRA1A/ATP2B3/GRIN2A/TRDN/CAMK1D/HTR2B/AGTR1/P2RX5/CALML5/PDGFC/CYSLTR1/CACNA1C/PLCB2/HTR7/PDE1B/MCOLN3/PLN/CXCR4/MYLK4/PDGFD/CCKBR/TBXA2R/ADCY1/ADCY3/ADRB1/F2R/PDGFA/EDNRA/ATP2B4/SLC8A3/RYR3/EGFR/ITPKB/CYSLTR2/VDAC3/CAMK2G/CACNA1B/HRH2/ATP2A1/CACNA1H/NTSR1/SLC8A2/GNA14/PLCD3/CAMK2B
hsa04950	Maturity onset diabetes of the young	23	-0.668443934980784	-1.98251402299659	0.00103950103950104	0.0196893726305491	0.0165419050867967	755	tags=35%, list=5%, signal=33%	PKLR/MNX1/HNF4G/HNF4A/GCK/HNF1B/FOXA2
hsa05152	Tuberculosis	162	0.410694197596166	1.56552635715989	0.0012990387113536	0.0232383591697699	0.0195235642583553	3386	tags=30%, list=20%, signal=24%	CLEC7A/ATP6V0D2/CD209/NOD2/LBP/CORO1A/TLR6/FCER1G/IL10/VDR/MRC2/ITGAM/IL10RA/FCGR1A/CAMP/ITGB2/CD14/FCGR2B/SYK/FCGR3B/IL6/TLR2/TGFB2/TLR1/CR1/CTSS/CYP27B1/HLA-DOB/CALML5/CARD9/FCGR3A/TGFB3/IL18/ITGAX/CASP8/SRC/LSP1/IL23A/TGFB1/CEBPG/FCGR2A/ATP6V0A4/CLEC4E/CAMK2G/RFX5/HLA-DQA1/MAPK13/IFNA5/TCIRG1
