Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
177	177	156	21	21	18	2	2	Herpes simplex virus 1 infection	Amoebiasis	PD-L1 expression and PD-1 checkpoint pathway in cancer	Herpes simplex virus 1 infection	Herpes simplex virus 1 infection	Herpes simplex virus 1 infection	Valine, leucine and isoleucine degradation	Oxidative phosphorylation
								Cytokine-cytokine receptor interaction	Intestinal immune network for IgA production	Leishmaniasis	Cytokine-cytokine receptor interaction	Cytokine-cytokine receptor interaction	Cytokine-cytokine receptor interaction	Focal adhesion	Axon guidance
								Calcium signaling pathway			Calcium signaling pathway	Calcium signaling pathway	Calcium signaling pathway	Glyoxylate and dicarboxylate metabolism	Cell cycle
								Chemokine signaling pathway			Chemokine signaling pathway	Chemokine signaling pathway	Chemokine signaling pathway	ECM-receptor interaction	Wnt signaling pathway
								Influenza A			Influenza A	Influenza A	Influenza A	Regulation of actin cytoskeleton	MicroRNAs in cancer
								Natural killer cell mediated cytotoxicity			Natural killer cell mediated cytotoxicity	Natural killer cell mediated cytotoxicity	Natural killer cell mediated cytotoxicity	Phenylalanine metabolism	TGF-beta signaling pathway
								Chagas disease			Chagas disease	Chagas disease	Chagas disease	Renal cell carcinoma	GnRH signaling pathway
								Th17 cell differentiation			Th17 cell differentiation	Th17 cell differentiation	Th17 cell differentiation	Tyrosine metabolism	Adipocytokine signaling pathway
								T cell receptor signaling pathway			T cell receptor signaling pathway	T cell receptor signaling pathway	T cell receptor signaling pathway	Central carbon metabolism in cancer	Prion disease
								Viral protein interaction with cytokine and cytokine receptor			Viral protein interaction with cytokine and cytokine receptor	Viral protein interaction with cytokine and cytokine receptor	Viral protein interaction with cytokine and cytokine receptor	Acute myeloid leukemia	Hedgehog signaling pathway
								Hematopoietic cell lineage			Amoebiasis	Hematopoietic cell lineage	Amoebiasis	Cortisol synthesis and secretion	Parathyroid hormone synthesis, secretion and action
								Toll-like receptor signaling pathway			Hematopoietic cell lineage	Toll-like receptor signaling pathway	Hematopoietic cell lineage	Arrhythmogenic right ventricular cardiomyopathy	Cysteine and methionine metabolism
								Th1 and Th2 cell differentiation			Toll-like receptor signaling pathway	Th1 and Th2 cell differentiation	Toll-like receptor signaling pathway	Glycosaminoglycan biosynthesis - keratan sulfate	Collecting duct acid secretion
								Rheumatoid arthritis			Th1 and Th2 cell differentiation	PD-L1 expression and PD-1 checkpoint pathway in cancer	Th1 and Th2 cell differentiation	EGFR tyrosine kinase inhibitor resistance	ABC transporters
