Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
211	119	102	109	17	8	12	12	Herpes simplex virus 1 infection	Cytokine-cytokine receptor interaction	Proteoglycans in cancer	Herpes simplex virus 1 infection	Herpes simplex virus 1 infection	Herpes simplex virus 1 infection	Inflammatory bowel disease	Valine, leucine and isoleucine degradation
								PI3K-Akt signaling pathway	Rap1 signaling pathway	Regulation of lipolysis in adipocytes	PI3K-Akt signaling pathway	PI3K-Akt signaling pathway	PI3K-Akt signaling pathway	Autoimmune thyroid disease	Phototransduction
								MAPK signaling pathway	Cell adhesion molecules	Oxidative phosphorylation	MAPK signaling pathway	Proteoglycans in cancer	MAPK signaling pathway	Graft-versus-host disease	IL-17 signaling pathway
								Focal adhesion	Osteoclast differentiation	Axon guidance	Cytokine-cytokine receptor interaction	Regulation of lipolysis in adipocytes	Cytokine-cytokine receptor interaction	Allograft rejection	Taste transduction
								Phagosome	Platelet activation	cGMP-PKG signaling pathway	Rap1 signaling pathway	Oxidative phosphorylation	Rap1 signaling pathway	Ras signaling pathway	Thiamine metabolism
								JAK-STAT signaling pathway	Th17 cell differentiation	TGF-beta signaling pathway	Focal adhesion	Focal adhesion	Focal adhesion	Chemokine signaling pathway	Alanine, aspartate and glutamate metabolism
								AGE-RAGE signaling pathway in diabetic complications	Parathyroid hormone synthesis, secretion and action	Hedgehog signaling pathway	Phagosome	Axon guidance	Phagosome	Tuberculosis	Endocrine and other factor-regulated calcium reabsorption
								Malaria	Hematopoietic cell lineage	Renin secretion	JAK-STAT signaling pathway	cGMP-PKG signaling pathway	JAK-STAT signaling pathway	Natural killer cell mediated cytotoxicity	VEGF signaling pathway
									Complement and coagulation cascades	Regulation of actin cytoskeleton	Cell adhesion molecules	JAK-STAT signaling pathway	Cell adhesion molecules	Th1 and Th2 cell differentiation	Peroxisome
									Leishmaniasis	MicroRNAs in cancer	Osteoclast differentiation	TGF-beta signaling pathway	Osteoclast differentiation	Staphylococcus aureus infection	Hepatocellular carcinoma
									Thyroid hormone synthesis	ECM-receptor interaction	Platelet activation	Hedgehog signaling pathway	Platelet activation	Antigen processing and presentation	Other types of O-glycan biosynthesis
									Inflammatory bowel disease	Salivary secretion	Th17 cell differentiation	Phagosome	Th17 cell differentiation	Viral myocarditis	Platinum drug resistance
											Parathyroid hormone synthesis, secretion and action	Malaria	Parathyroid hormone synthesis, secretion and action	Viral protein interaction with cytokine and cytokine receptor	Synthesis and degradation of ketone bodies
											AGE-RAGE signaling pathway in diabetic complications	Renin secretion	AGE-RAGE signaling pathway in diabetic complications	Cell cycle	Ubiquinone and other terpenoid-quinone biosynthesis
											Hematopoietic cell lineage	Regulation of actin cytoskeleton	Hematopoietic cell lineage	Chagas disease	AMPK signaling pathway
											Complement and coagulation cascades	MicroRNAs in cancer	Complement and coagulation cascades	DNA replication	GnRH signaling pathway
											Leishmaniasis	ECM-receptor interaction	Leishmaniasis	Ribosome	Fatty acid elongation
											Thyroid hormone synthesis	MAPK signaling pathway	Thyroid hormone synthesis	Intestinal immune network for IgA production	
											Inflammatory bowel disease	Salivary secretion	Malaria	Amoebiasis	
											Malaria	AGE-RAGE signaling pathway in diabetic complications	Neuroactive ligand-receptor interaction	Base excision repair	
													Proteoglycans in cancer	Amyotrophic lateral sclerosis	
													Axon guidance	Fluid shear stress and atherosclerosis	
													cGMP-PKG signaling pathway	Kaposi sarcoma-associated herpesvirus infection	
													Phospholipase D signaling pathway	Cholesterol metabolism	
													Relaxin signaling pathway	Arachidonic acid metabolism	
													Toxoplasmosis	GABAergic synapse	
													Morphine addiction	Alcoholism	
													Regulation of lipolysis in adipocytes	TNF signaling pathway	
													Asthma	Fanconi anemia pathway	
													Vascular smooth muscle contraction	Human T-cell leukemia virus 1 infection	
													Apelin signaling pathway	T cell receptor signaling pathway	
													ECM-receptor interaction	Pertussis	
													Type I diabetes mellitus	PD-L1 expression and PD-1 checkpoint pathway in cancer	
													Calcium signaling pathway	Leukocyte transendothelial migration	
													Oxidative phosphorylation	Tyrosine metabolism	
													Spliceosome	Influenza A	
													EGFR tyrosine kinase inhibitor resistance	Carbohydrate digestion and absorption	
													Bile secretion	Homologous recombination	
													Renal cell carcinoma	B cell receptor signaling pathway	
													HIF-1 signaling pathway	Sphingolipid signaling pathway	
													MicroRNAs in cancer	NF-kappa B signaling pathway	
													Huntington disease	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	
													Regulation of actin cytoskeleton	Ribosome biogenesis in eukaryotes	
													FoxO signaling pathway	Oocyte meiosis	
													Retinol metabolism	Human cytomegalovirus infection	
													Cholinergic synapse	Measles	
													Yersinia infection	African trypanosomiasis	
													Renin secretion	Neurotrophin signaling pathway	
													Dilated cardiomyopathy	Acute myeloid leukemia	
													Cortisol synthesis and secretion	Gastric acid secretion	
													Arrhythmogenic right ventricular cardiomyopathy	C-type lectin receptor signaling pathway	
													Serotonergic synapse	alpha-Linolenic acid metabolism	
													Protein digestion and absorption	Steroid hormone biosynthesis	
													cAMP signaling pathway	Transcriptional misregulation in cancer	
													Prostate cancer	Phenylalanine metabolism	
													Drug metabolism - cytochrome P450	Choline metabolism in cancer	
													Rheumatoid arthritis	Proteasome	
													Thyroid hormone signaling pathway	Oxytocin signaling pathway	
													Renin-angiotensin system	Ascorbate and aldarate metabolism	
													Salivary secretion	NOD-like receptor signaling pathway	
													Insulin resistance	Lysosome	
													Pancreatic secretion	Pancreatic cancer	
													Hypertrophic cardiomyopathy	Pathogenic Escherichia coli infection	
													Adherens junction	Linoleic acid metabolism	
													Chemical carcinogenesis	Nicotine addiction	
													Proximal tubule bicarbonate reclamation	Non-small cell lung cancer	
													ABC transporters	Wnt signaling pathway	
