Name	Mean(log(eso_Black))	Mean(log(eso_White))	logFC	M-W U test pval	Adj pval
SPATC1L	5.898735203135588	7.458565022937922	-1.5598298198023341	1.1333811666958127E-10	1.2141845769331846E-7
FAM21B	4.48163122191501	6.023405999500462	-1.5417747775854522	1.901922858094096E-7	7.529960672089061E-5
RGPD1	2.520300313206224	4.055882643172076	-1.5355823299658522	4.144462550925709E-12	7.547895197745902E-9
MARCO	4.8810117836604885	6.150702081335107	-1.269690297674619	9.640089673190744E-7	3.0269881573818935E-4
PRSS21	2.2980708631112168	3.4739759909079604	-1.1759051277967436	2.915390815205754E-5	0.004115899033064123
NPIPA3	6.279368639160861	7.345947284064145	-1.0665786449032844	1.4409920812141763E-8	9.372624208240207E-6
NPIPA2	5.277009644059051	6.327242840550223	-1.0502331964911722	3.3190397171756203E-6	7.371506259658829E-4
AGAP7	2.14599787670323	3.193715738116722	-1.047717861413492	1.4158986221257663E-6	3.8487083143514116E-4
CCDC144A	3.474808488135553	4.520470673216528	-1.045662185080975	1.3253299986359934E-6	3.771392177368549E-4
SLC44A5	3.3321279885983586	4.3564939496066355	-1.024365961008277	8.024631866710985E-4	0.044286241077739534
BX088651.1	2.0691066768386723	3.075276694144325	-1.0061700173056525	7.724962224342491E-7	2.512268071959383E-4
GSTT1	8.579713689423878	9.573967074603667	-0.994253385179789	0.015913421165539288	0.2573738470731904
PTPN20B	3.6267381200571216	4.61971524944556	-0.992977129388438	4.4124806338752265E-6	9.174070168685484E-4
XKR9	2.1086384672650267	3.0947047138035186	-0.986066246538492	1.0631109614855916E-7	4.6098516263275224E-5
STON1-GTF2A1L	4.250869960305453	5.230790542928625	-0.9799205826231727	0.0013451021404385921	0.06139599043024471
PLA2G2A	10.30186651105933	11.263457932104394	-0.961591421045064	0.0031321441326533916	0.10296499809365264
RGPD2	4.461224088860659	5.39836124741092	-0.9371371585502608	4.5736550990937985E-8	2.313761296241563E-5
C6orf52	3.427628512942482	4.350350668519539	-0.9227221555770568	3.9253231576275027E-7	1.3488299122021147E-4
TDGF1	1.78995543648497	2.7057844027973097	-0.9158289663123398	6.403778000910743E-4	0.03738000158736745
OXCT2	2.7831515976375525	3.6835284070257606	-0.9003768093882081	2.4520385721871207E-12	4.96183627518576E-9
WFDC3	4.348954358124982	5.244114427859695	-0.8951600697347128	3.5145534525327093E-5	0.004723265246913513
MRC1	2.8985297101012386	3.7918629296017077	-0.8933332195004691	0.001253552243245637	0.05914428355955839
AL354718.1	2.074029526560996	2.953576920822779	-0.8795473942617829	0.0015215552993744774	0.06628132465500079
AL162389.1	0.6200230626003896	1.4970376004100705	-0.8770145378096809	1.5903446541676303E-5	0.0024968411070431795
GTF2A1L	4.411941127553024	5.283318378369246	-0.8713772508162219	0.001052245126779483	0.05336973154240644
F8A1	8.043377057617452	8.898500739637639	-0.8551236820201868	1.4765966227514582E-14	6.722944423387389E-11
AMH	4.1337736326974035	4.9785615511530406	-0.844787918455637	9.462757738535332E-4	0.050212532131867785
FTCD	3.3967878088416255	4.200423928051442	-0.8036361192098163	4.56447955530348E-4	0.030862604271616294
HLA-DRB5	7.369621597813262	8.154682317341072	-0.7850607195278094	4.8301558434638014E-4	0.03210467088363604
LRRC37A2	7.6839975429379965	8.453439663834658	-0.7694421208966613	1.1102230246251565E-16	1.0109690862236675E-12
ANKRD65	7.678491309064752	8.444911671721966	-0.7664203626572146	1.4873248634472702E-5	0.002397093841867406
OVCH1-AS1	1.0298284449057529	1.7741490571242233	-0.7443206122184705	3.88055121579578E-5	0.005012241045537075
CFHR3	1.3002958789497274	2.0435392594931594	-0.743243380543432	6.072769506260123E-6	0.0011401781262681376
SMN2	8.079370875639324	8.745866681157107	-0.6664958055177834	1.2097588295678641E-4	0.011909258272481049
FAM27E2	2.6636182099335923	3.312625104215506	-0.6490068942819138	0.003221273905797961	0.10468228254544132
ASB12	1.179964713898053	1.827968491334447	-0.648003777436394	2.3910710969032856E-4	0.019527438034440642
SLC39A4	8.241376633513577	8.885550335215562	-0.6441737017019857	5.207988319622103E-5	0.006119218275932758
ZNF749	6.29036844895796	6.930884348456117	-0.6405158994981575	2.711542101963005E-10	2.469130238047512E-7
CDSN	0.6981242487980857	1.3334472938526343	-0.6353230450545486	0.010307813282545375	0.20449443954435334
LY6K	5.022432537952278	5.645523396325342	-0.6230908583730645	0.020830467930788465	0.28892953690443224
LUZP6	4.364749364898226	4.9736152894761325	-0.6088659245779064	0.3712294768900952	0.8544668697977118
TP53TG3D	3.2876548741340352	3.8920042591825537	-0.6043493850485184	0.0033230130823412862	0.10698899787030286
AREG	7.543969570034205	8.14753450812611	-0.603564938091905	0.0242838164365915	0.31657613811252994
OPCML	1.990855522772631	2.5922115408480466	-0.6013560180754156	2.834342464789197E-4	0.021780187750523566
LRRC37A	5.008475172119256	5.607623542937007	-0.5991483708177503	1.2555022577132036E-9	9.941394398901244E-7
SERF1A	4.938371754838874	5.533502388904371	-0.5951306340654972	2.587643300925313E-4	0.02057910908142
FAM203B	2.13099805362977	2.725545072609611	-0.5945470189798412	0.07263969807943949	0.510152572514643
ANKRD20A4	2.378092734709037	2.9726280735288344	-0.5945353388197976	0.0016818612500909547	0.07139873446773068
RP13-996F3.4	1.8849996575097658	2.477622866596791	-0.5926232090870251	9.549871358049966E-4	0.05026654831583988
ADAMTS4	6.69252003812151	7.272677102224574	-0.580157064103064	0.033681775367922495	0.37357642691876036
PRODH	7.400380595782984	7.964027075461247	-0.5636464796782628	0.004009591870568707	0.11664965997890941
BTNL3	0.701176358609099	1.2625662592557905	-0.5613899006466915	2.8484776039883197E-4	0.021796837867157682
CACNG4	3.0153078500696786	3.57244561852736	-0.5571377684576815	0.0174150774645081	0.26810092204870795
GOLGA6L9	0.08013157500184322	0.6317079623347874	-0.5515763873329442	0.21156513303155178	0.7275955890657948
PNMA6C	3.1154691255940756	3.6667658035552924	-0.5512966779612167	0.07202806192206346	0.5086370933402945
AL353354.2	0.5672511834824703	1.1171126847775963	-0.549861501295126	0.3178718604565516	0.8178980393663066
FAM27E3	5.112198916942343	5.659269172909519	-0.5470702559671761	4.241214082723044E-5	0.005255258924684462
AC104534.3	0.6095075084438996	1.1530803462058292	-0.5435728377619297	0.025781180732016074	0.3274245909982404
CHST13	1.2875835875433161	1.8309021155730716	-0.5433185280297554	6.001016052851194E-4	0.03622656092323894
AL031663.2	2.879914609212997	3.422954211030409	-0.5430396018174122	8.161213531754363E-6	0.0014571766749050046
RIMS1	4.252657257346603	4.795013232294754	-0.5423559749481512	0.08059418234592841	0.5374519402724454
HOXA6	2.3763213562292655	2.917758969034773	-0.5414376128055074	0.00901295612534403	0.19061325708527715
OXTR	3.0405188279934907	3.5793478359157445	-0.5388290079222537	2.5363326210403603E-4	0.020348761979906187
BPIFA2	0.5926518203802627	1.1208801461933113	-0.5282283258130487	0.003495496559022593	0.10994815774252066
ATAD3C	4.862534361296739	5.388982045332992	-0.5264476840362526	6.043774431985227E-5	0.006879326247207185
OXGR1	3.024453025149621	3.550481476716916	-0.5260284515672953	0.0034596479317183793	0.10938734050773459
CBLN1	3.009359151583077	3.5347137295529913	-0.5253545779699142	0.00161134550960218	0.0693754714441487
CDH16	2.7957421767905397	3.308859321121942	-0.5131171443314022	0.09987282633217631	0.5777903154897062
MT1A	8.017373267944295	8.527780657794757	-0.510407389850462	0.06937692700955045	0.502582575456616
DEFA3	1.6405041403470935	2.145780236275456	-0.5052760959283624	0.054013844858226134	0.4533636613181061
TBX1	5.40540297650742	5.905823826563807	-0.5004208500563871	0.0013095221294374682	0.060994928443261306
PADI4	1.915994111093502	2.41471548350371	-0.4987213724102082	0.013212178598348667	0.23776699272048016
CDRT4	6.933504973648169	7.4298571427933275	-0.49635216914515823	2.949288359851421E-4	0.02222277771713795
PRG4	3.760566918419594	4.256079310078706	-0.49551239165911243	0.011637570533042929	0.2189236520319314
C1orf170	5.548142624488844	6.043486870376644	-0.4953442458878001	0.019353295141718907	0.2784061699217889
AL627309.1	7.967751378523727	8.461453483779827	-0.4937021052561006	0.004712806393936453	0.12715500747610473
SPESP1	4.840179705132071	5.333185851944152	-0.493006146812081	0.020795029226061468	0.28865782947029833
B3GNT3	5.170893191104513	5.663088952863493	-0.49219576175898005	0.05600545170677984	0.46157934531904665
CTAG2	0.3619844538150474	0.8516433495653339	-0.48965889575028654	0.8907013118770245	0.9920271752524462
C3orf36	2.9330461945210224	3.409827132120884	-0.4767809375998615	0.004075358389542316	0.11781020157197565
FAM27A	5.80462200397761	6.27661131325461	-0.47198930927699934	6.338055776256013E-5	0.007168480031670259
PLGLB1	6.028730787127508	6.500633104688846	-0.47190231756133727	6.415891967725962E-5	0.007168480031670259
DUOXA2	4.37997629233526	4.850030047545346	-0.47005375521008563	0.18292998841295416	0.6960971477176601
CES1	9.498119404918723	9.966933986180804	-0.4688145812620803	0.07408339172492084	0.5155547306435836
MINOS1-NBL1	4.090364240410887	4.556642980198537	-0.4662787397876498	4.766714110393533E-4	0.0319139541566581
DUOX2	5.9838701491255595	6.449998347457671	-0.46612819833211194	0.09488125051499774	0.5685715900785944
RPH3AL	7.00874442377629	7.473104015911855	-0.46435959213556544	2.2064404698651785E-5	0.003240620470740696
IL1R2	7.146704702535151	7.6097909174402645	-0.4630862149051138	0.11272274972146001	0.6014661624879555
PSMG4	8.626875547837113	9.08783675034221	-0.4609612025050982	2.6645352591003757E-15	1.617550537957868E-11
KCNQ5	3.238568424381196	3.6984095689715173	-0.45984114459032144	0.008878449315243397	0.18978206447090698
SIGLEC14	3.514012529988539	3.971976888241321	-0.45796435825278214	0.04960816552354408	0.4386172876485036
CHURC1-FNTB	3.0627027532170383	3.5190142585545345	-0.4563115053374962	0.042804326089563416	0.4133363662476824
NPTX2	6.594904693928963	7.049812759735415	-0.4549080658064524	0.04627618651845167	0.42650906319536525
RP11-231C14.4	9.051124945542629	9.504663253951795	-0.45353830840916665	1.7949699484542947E-6	4.737680101630379E-4
LBP	1.3374267232758434	1.787771247020647	-0.4503445237448036	0.030612939898213343	0.3564724177917273
CSF3	4.148012371113441	4.598038449006771	-0.45002607789333027	0.15670865941699863	0.6696335301037961
CLEC4F	2.87836281127815	3.3280314962077693	-0.4496686849296192	0.011260595561945808	0.21426510937461
DISP2	3.7072966064957678	4.1569379229361925	-0.4496413164404247	0.02966088682111112	0.3500868896863744
ACTN2	6.027149148521294	6.475989030892576	-0.44883988237128225	0.04828112755393421	0.4331798263671372
C3orf72	0.7892433606394836	1.2379343292996918	-0.4486909686602082	0.0029513209928669903	0.09935204791514535
CCDC163P	4.780217515013698	5.226423748835293	-0.4462062338215951	9.928455283600979E-4	0.05151482268516839
SLC6A3	1.556537566967313	2.0007824154521265	-0.4442448484848136	0.009401064087329436	0.19374680680245296
S100P	8.740505712338818	9.18317397089151	-0.44266825855269154	0.21737399398969137	0.7313532567042784
ALOX15B	6.056717151807211	6.495270068237155	-0.438552916429944	0.22122893046020642	0.7354935154779103
ZFP57	2.0057847874161725	2.442179755355399	-0.4363949679392265	0.11418666237365538	0.6025275158454654
SLCO2A1	8.624248307828546	9.060017504543799	-0.4357691967152526	7.885787309602765E-5	0.008548568957290807
