Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
F8A2	6.831117958860186	2.7160550341148655	4.11506292474532	0.0	0.0
F8A3	8.288660360149564	6.045008435604838	2.243651924544726	0.0	0.0
NPIPB15	6.622687861245779	4.431066359704404	2.1916215015413743	0.0	0.0
GSTM1	8.535191077858524	6.56784266047939	1.9673484173791342	1.0674529856702364E-5	4.111771103008956E-5
RP11-599B13.6	4.824791024691939	2.8749307457012043	1.949860278990735	9.529629529936301E-9	7.552376544786767E-8
ART3	4.823051684927383	3.140877342973966	1.682174341953417	1.7039573696475685E-7	9.920866884917365E-7
MSLN	5.6363164631838165	3.971911641704203	1.6644048214796134	6.131599394887388E-8	3.957076122597063E-7
PCSK1N	5.859829412975038	4.229469634730991	1.6303597782440464	1.2564421392191605E-8	9.659064685293099E-8
KRT81	7.627961403136167	5.997716613902731	1.6302447892334362	3.254772077165846E-5	1.1137900990106049E-4
CCL3L3	5.0970247088644225	3.4801508071822003	1.6168739016822222	4.629630012686903E-14	1.74564848428683E-12
GJB5	5.248482843821658	3.7128451518766026	1.5356376919450554	8.166800569142652E-12	1.4496469002458672E-10
LY6D	5.135031140865155	3.650516367146203	1.484514773718952	6.739352494955497E-6	2.708232295633926E-5
ZACN	8.110560315924761	6.645291408659406	1.4652689072653553	1.7985612998927536E-14	7.855011605191086E-13
ST20-MTHFS	5.379369391756087	3.9218333179701497	1.457536073785937	0.0	0.0
SLURP1	3.731890033925345	2.2859515656934324	1.4459384682319127	4.7510948841811285E-7	2.5102100386047785E-6
FABP7	5.225768481962198	3.782634924493611	1.4431335574685868	3.932964619335344E-5	1.3225101855120992E-4
CALML5	8.813541431760765	7.4050772278238295	1.4084642039369353	1.313888427163512E-4	3.9715412507057064E-4
GJB3	4.974874516225503	3.5893730799957506	1.3855014362297524	2.5603286524233937E-7	1.4360549866934045E-6
EN1	6.22099181470829	4.836249528472498	1.3847422862357917	1.3610173253963964E-6	6.485308092652844E-6
KRT16	7.730731022550402	6.35422210982062	1.3765089127297818	2.0436080689811842E-4	5.932131041167569E-4
CXorf61	2.5291690343621887	1.158024280824157	1.3711447535380317	9.699680196731952E-4	0.002401775333009957
CRYBB2	3.5189067851592792	2.168970068700352	1.3499367164589273	0.0	0.0
SCXA	5.700730113541493	4.354207766707996	1.3465223468334964	0.0	0.0
WNT6	4.2846858311852065	2.939016916480538	1.3456689147046683	4.2970475733206115E-8	2.8941505327409383E-7
ROPN1	4.471766562945995	3.126123639132832	1.345642923813163	2.2926108545051616E-4	6.568039780123959E-4
AC103801.2	5.882995308336754	4.550691232892075	1.3323040754446787	1.206558186694906E-7	7.261678022500868E-7
KRT83	2.9507509848836118	1.6482998212614395	1.3024511636221723	3.237804337086203E-6	1.4106912102156442E-5
KCNG1	5.201719514110201	3.90795723937489	1.2937622747353115	5.281760113162726E-6	2.1797284201432033E-5
ANXA8L1	5.063278225939326	3.7979619328550225	1.2653162930843038	3.2408838851472055E-6	1.4110202561869688E-5
VGLL1	5.429172440220754	4.177517096065165	1.2516553441555898	6.164785692799324E-4	0.0015970565723650253
PRAME	5.665269754195435	4.428902890722686	1.2363668634727496	4.994295007988425E-4	0.0013251180169796793
COL9A3	7.523721894779746	6.297091941008049	1.2266299537716971	3.5644681650737198E-9	3.1119891765255316E-8
PIF1	6.184512899265176	4.959273816801409	1.2252390824637667	0.0	0.0
FDCSP	7.572411206331516	6.353589646759387	1.2188215595721292	0.005561246637510009	0.011547306323376158
SCN1A	1.703927181740113	0.5054994074562061	1.198427774283907	9.014931023898498E-10	8.96668071038992E-9
P2RX5	5.883878266395771	4.702692755489551	1.1811855109062206	1.8261980816447476E-10	2.165281215033473E-9
AL807752.1	4.03581657811544	2.8581510985120158	1.1776654796034238	4.630212435685621E-9	3.923938058571733E-8
FZD9	3.518365750209746	2.3494032464263146	1.1689625037834315	1.1861335053375832E-5	4.521109962161588E-5
MIA	8.051346918987594	6.889599526777875	1.161747392209719	5.869409907979239E-4	0.001527052760630256
PNMA6A	1.7705563090503844	0.6096374981169479	1.1609188109334365	2.4509616558532343E-10	2.8091198034234804E-9
HES4	8.310913912416058	7.15238782267212	1.1585260897439387	0.0	0.0
SLC6A11	3.968809462502882	2.8105199044223097	1.1582895580805723	4.631102682450816E-7	2.45536075845107E-6
NKX2-5	2.686850891464187	1.5477893919059746	1.1390614995582125	3.572546054686487E-5	1.2127345526178995E-4
PPP1R14C	5.696588078080361	4.564330638457177	1.1322574396231841	6.64178782910918E-5	2.1284575038489598E-4
ROPN1B	5.571748500309417	4.440384107921013	1.131364392388404	5.176279575055398E-4	0.0013674268004193343
LEMD1	3.6736839082832504	2.5556229425105306	1.1180609657727199	5.9894026100904E-4	0.001556270514124217
NRTN	4.967166618574827	3.8530489898279954	1.1141176287468313	8.886080760106552E-11	1.1510192233503593E-9
SYCE1L	5.303958642092656	4.2095615604067085	1.0943970816859476	2.9735103268535568E-12	6.023756404077528E-11
TNNT2	4.82748924795943	3.737233694127056	1.0902555538323737	1.8290057357539524E-8	1.3458526246283226E-7
ZIC1	4.420264158883759	3.3369825293414475	1.0832816295423116	0.002822075946992686	0.006266233497516556
SYT8	6.035050351534278	4.958696668523467	1.0763536830108116	5.678527999308791E-5	1.8483887743237122E-4
HORMAD1	3.5990394131103547	2.5237421908027593	1.0752972223075954	0.00315514410366724	0.006927243449787555
JSRP1	5.200698971565446	4.135196138246316	1.0655028333191296	1.1870504579292174E-12	2.739995302890609E-11
GAL	6.063004167249607	4.999216671760742	1.0637874954888655	1.5247602487167278E-5	5.644092205209156E-5
C1orf106	7.4537639287090505	6.390738062028949	1.0630258666801016	1.6471314367993983E-7	9.65172385038309E-7
MUC16	5.283195147122289	4.220430150773138	1.0627649963491503	6.92015048009198E-4	0.0017708273225155982
CDKN2A	9.127892460360547	8.069422875369714	1.0584695849908332	6.018515374961453E-8	3.890990486645296E-7
C2orf82	6.352684147620671	5.296265908505067	1.0564182391156045	5.944577663452577E-7	3.0721523384449016E-6
CRABP1	7.622308221949868	6.566308220176385	1.0560000017734827	0.001337457381643703	0.0031999177396866947
TTYH1	6.234643591365832	5.181088772519768	1.053554818846064	6.870243117385044E-5	2.1978019963782966E-4
RP11-514P8.6	2.9885683801765737	1.9395314343328935	1.0490369458436801	4.883608859307387E-6	2.0366449403642346E-5
MKRN3	3.709950118535299	2.6609398272651354	1.0490102912701635	7.532519392783321E-6	2.994591643339224E-5
COL11A2	4.321838959546813	3.276638501703297	1.0452004578435163	1.0890761625859113E-9	1.0623596718272425E-8
LIME1	7.462460502452263	6.4174151925762875	1.0450453098759755	2.631228568361621E-14	1.0792778082658072E-12
POMC	4.3257878912437375	3.2841388395244406	1.041649051719297	3.4205971388701073E-13	9.48187444339458E-12
SLC15A1	2.7483871575326493	1.710927669237343	1.0374594882953063	1.9766160117806741E-4	5.759700929047942E-4
CTB-134H23.2	2.1113516256164315	1.0741486397041402	1.0372029859122913	2.3314683517128287E-15	1.4013432878347866E-13
LTB	8.10218894527123	7.068795014061544	1.0333939312096865	6.038323452361993E-8	3.9024111680062677E-7
KRT86	5.47293605247268	4.4471508538252955	1.0257851986473847	5.492311512589332E-6	2.2569038192075113E-5
RETN	3.566982844997868	2.542452239560033	1.024530605437835	2.111104393631713E-6	9.580720961081674E-6
SLC22A16	2.7220593469067818	1.6979755454427712	1.0240838014640106	3.7481129311345285E-13	1.0249344249522828E-11
COL2A1	5.442702894538409	4.4191811870255835	1.0235217075128258	0.01123236777797687	0.021594413804762458
GSDMC	5.1071987840493955	4.08452499172562	1.0226737923237756	9.091376722558664E-7	4.513962728223511E-6
AC020907.1	3.745994113091326	2.724062277467171	1.0219318356241551	7.0634018779491825E-6	2.8222614085390636E-5
NMU	5.296984438235837	4.277224640365379	1.0197597978704582	1.654384780858109E-5	6.0733028883265235E-5
SPIB	5.499474297765845	4.480107610748536	1.0193666870173095	1.7913084708331972E-5	6.520749524448168E-5
C4orf48	8.571901797472853	7.557624417453445	1.0142773800194078	0.0	0.0
AC120194.1	9.2938741162605	8.282771722802254	1.0111023934582466	4.7568662897568004E-8	3.1629079543282527E-7
APOC4-APOC2	3.4043467709240285	2.393532455459862	1.0108143154641667	1.0854358026579636E-4	3.3414396277902015E-4
MXD3	8.301548715303827	7.290935044135518	1.0106136711683096	0.0	0.0
PKP1	6.92725784617695	5.922090627096198	1.005167219080752	1.9733440780989042E-5	7.109503926871858E-5
RHCG	3.6580775726687627	2.654511193739331	1.0035663789294316	1.832832385428862E-5	6.647987134720261E-5
LAIR2	3.805277347251817	2.803412913726729	1.0018644335250877	3.1298864833217976E-8	2.1739699707954453E-7
AC026740.1	4.149412544523336	3.155013809794121	0.9943987347292147	0.0	0.0
UPK3B	4.5455146399331925	3.5521533712795277	0.9933612686536648	1.1335377081422848E-13	3.6602816916112225E-12
AURKB	8.93352050466421	7.940324359095525	0.9931961455686853	1.2101430968414206E-14	5.60792012205495E-13
IVL	2.4584331254571117	1.4666678667555333	0.9917652587015784	3.1374455868360407E-4	8.710237656624691E-4
PGLYRP4	2.3378104061061467	1.3469305553094304	0.9908798507967163	9.420300420726058E-6	3.677652974539399E-5
A2ML1	3.9372231923752508	2.9478567171333045	0.9893664752419462	1.4680166256741956E-4	4.3886275093201653E-4
ADAMDEC1	6.9057839680550535	5.926350637944483	0.9794333301105702	4.3161110574452266E-8	2.904841632601348E-7
VGF	3.202413941592196	2.2260281677295914	0.9763857738626047	4.766059769067965E-10	5.078963166428659E-9
HPDL	4.931274140608693	3.9564972180067213	0.9747769226019716	1.2187309961220194E-6	5.871833042691592E-6
ENHO	6.840783796133367	5.866694636290738	0.9740891598426291	5.458228948818089E-7	2.843400046220682E-6
CLDN23	5.7711652842839785	4.80008154433218	0.9710837399517986	4.16753298537742E-11	6.062229291509072E-10
BAIAP2L2	4.561362232402904	3.5922188860804507	0.9691433463224532	3.6544668402527236E-9	3.182934007397542E-8
SBSN	3.5080099795755637	2.53965546620182	0.9683545133737437	2.4166847733542163E-5	8.527933170379187E-5
TPGS1	6.976129464453019	6.008709959042646	0.9674195054103736	2.375877272697835E-14	9.901482125943472E-13
KRT9	1.998799670586477	1.036959081418197	0.96184058916828	1.888049263863989E-4	5.527271048624171E-4
C6orf100	2.7482541153312225	1.792042705159041	0.9562114101721815	1.1835470381527102E-9	1.147750727307623E-8
KIF1A	4.36591996797249	3.412860119325765	0.9530598486467246	3.621022768098836E-4	9.894383593790847E-4
FGFBP1	3.2292408320212433	2.278563938798925	0.9506768932223184	0.0015491553075646092	0.0036427651983688396
TCAP	4.359490821209341	3.409745910799584	0.9497449104097568	2.3955781802698084E-10	2.7525722283327285E-9
EXOC3L4	4.67852496746863	3.729602816458176	0.948922151010454	7.718021777236572E-10	7.787291557176313E-9
MYBL2	9.286408106888043	8.33820107570849	0.9482070311795532	2.695500489480196E-10	3.056690841495226E-9
RGR	2.105427132198382	1.1620922499636455	0.9433348822347367	3.840721712150552E-4	0.0010421219282134365
LMO1	2.5294357819118236	1.5914043242455034	0.9380314576663202	1.7460510090216985E-5	6.373838640269226E-5
RP4-583P15.15	5.806760417182687	4.868964103915517	0.9377963132671701	0.0	0.0
KRT6A	5.336656776089842	4.400473100435422	0.9361836756544202	0.035235710862674297	0.05929705842090411
MATN4	2.425665545625632	1.4897193220059644	0.9359462236196678	2.4301893830624977E-11	3.7475536870731756E-10
GPC2	6.191064190770825	5.25674626238403	0.9343179283867951	8.435863119160558E-11	1.106075875638244E-9
CTC-360G5.1	3.475429070428783	2.5432712585650004	0.9321578118637825	2.4980018054066022E-14	1.0292671692322407E-12
HRCT1	6.005427652540905	5.074956855965323	0.9304707965755821	3.9507807534944206E-4	0.0010700716698786494
GABRP	8.079381148043053	7.157901155115567	0.9214799929274857	0.009295164692845193	0.01825159454297538
SAP25	5.644234645619733	4.723007404106574	0.9212272415131588	5.130399438613154E-10	5.429101369902542E-9
RGS20	3.084479556744291	2.1634582586196216	0.9210212981246695	5.430523016825006E-7	2.8305862960050664E-6
DUSP9	3.4044774689984836	2.4870496257761174	0.9174278432223661	2.812187879464023E-5	9.760923510729711E-5
SAPCD1	5.7330546191571	4.8167378565435195	0.9163167626135804	5.551115123125783E-16	4.1775582075358166E-14
KIF18B	6.8937287600580115	5.982281267043376	0.9114474930146352	5.040412531798211E-14	1.8733876128389593E-12
CCL4L1	7.416687935773234	6.508692857314	0.9079950784592334	4.619260529636904E-11	6.634540438939061E-10
USP41	7.258352383071868	6.350484328019891	0.9078680550519769	1.8146285253317629E-6	8.377190038869979E-6
PSAT1	6.8340303313178214	5.927494566102306	0.9065357652155157	4.731949242497979E-5	1.5646016631149819E-4
BARX1	3.721652202652998	2.8160472236828826	0.9056049789701155	2.68633706854704E-5	9.372331550264118E-5
NPIPA8	4.797221988164053	3.892134037240402	0.9050879509236514	5.474785489824052E-4	0.0014360765280235581
FAM131C	3.4243156808019872	2.5227969227274554	0.9015187580745319	6.349324234156128E-7	3.25362670096937E-6
CDT1	7.8757754981817145	6.9754280567160825	0.9003474414656321	0.0	0.0
TNNI2	5.949373920637672	5.050552085407232	0.8988218352304402	4.8469019908736755E-8	3.209882874828777E-7
RASGEF1C	2.751029254478683	1.8550205718447816	0.8960086826339013	1.7459669998665106E-7	1.0139525191826815E-6
CXCL13	8.1173969503023	7.224288434739792	0.893108515562508	2.1941683843129667E-4	6.31981569114467E-4
UPK3BL	10.023800762996375	9.131469440762249	0.892331322234126	0.0	0.0
DDC	2.9303409675913166	2.038679736417938	0.8916612311733787	1.5982020689420118E-5	5.886037629842653E-5
KRT4	2.940402847512322	2.0530729397986787	0.8873299077136432	0.004784963111964302	0.010073257218251516
CHODL	3.8671545724006293	2.9814542516059346	0.8857003207946947	2.7096649733771017E-5	9.44648133521129E-5
CALML6	3.8815936956184336	2.9969371495678514	0.8846565460505822	9.098277686803158E-13	2.2034286334050415E-11
CCNE1	7.195489476146979	6.311996284500302	0.8834931916466768	1.166314267386781E-9	1.131641738819822E-8
KRT6C	2.7058101634475524	1.8239320657080373	0.8818780977395151	0.007711066946047063	0.015450979340016406
LAD1	9.678928920107191	8.79786957938373	0.8810593407234606	4.730454916668236E-10	5.043972186320955E-9
RP11-683L23.1	3.7877462219593117	2.907575165838502	0.8801710561208096	2.0045887172415178E-10	2.3522918632991317E-9
