Name	Mean(log(breast_black))	Mean(log(breast_white))	logFC	M-W U test pval	Adj pval
AC007382.1	2.894160798165746	5.2302686713618645	-2.3361078731961187	0.025475799274122468	0.9968005456748952
ZFP57	1.5623639263284206	3.6346215332873846	-2.072257606958964	0.004728803618877397	0.9968005456748952
DEFB1	7.4892052274498075	9.541870830916217	-2.0526656034664095	0.015839486236491118	0.9968005456748952
DISP2	2.882212295092103	4.916671910501365	-2.034459615409262	2.958695480378415E-4	0.7065205540700937
CLEC3A	1.3357636021165422	3.264342561397511	-1.9285789592809686	0.41655994327679124	0.9968005456748952
URGCP-MRPS24	0.665005631994326	2.5437793824989847	-1.8787737505046587	0.008745423146045872	0.9968005456748952
HIST1H4J	4.9950232686398	6.853872714604683	-1.858849445964883	0.05561086915218616	0.9968005456748952
PNMA6C	3.2727776516586915	5.013335548247671	-1.7405578965889794	0.03270898307376824	0.9968005456748952
HIST1H2AM	0.31502584158694796	2.0461499948584456	-1.7311241532714976	0.011623418933330631	0.9968005456748952
PIK3R2	4.038312207350398	5.766002698726429	-1.7276904913760314	0.004728803618877397	0.9968005456748952
CIB3	0.0	1.697347483669595	-1.697347483669595	0.02671569844717947	0.9968005456748952
LUZP6	2.8249978638848	4.5217333760968765	-1.6967355122120766	0.260043998280576	0.9968005456748952
SPATC1L	5.464177352976022	7.13586896260853	-1.671691609632508	5.677687997917014E-4	0.7906947238070446
SERPINA6	2.964102440819891	4.616563134981783	-1.6524606941618925	0.23733336648144743	0.9968005456748952
AL353354.2	0.0	1.6438667102946973	-1.6438667102946973	0.46018093544712024	0.9968005456748952
HRK	1.756498694176301	3.3807292453636535	-1.6242305511873525	9.290970105906293E-4	0.8061258240350712
FCRLB	2.5570100556265496	4.148486543422344	-1.591476487795794	0.0016263330647461327	0.9197390527031953
CCDC144A	3.2235687638664134	4.8106062782585255	-1.587037514392112	0.0022220798549824616	0.9197390527031953
F8A1	7.830003772364955	9.41000016780248	-1.579996395437525	1.1756399751705615E-5	0.21410755227806266
NDNF	5.317493949777416	6.896664410197076	-1.5791704604196601	0.005939644728905402	0.9968005456748952
RP11-680G10.1	0.6575273437604453	2.177894526540832	-1.5203671827803866	0.039818396471088535	0.9968005456748952
VPREB3	2.9292040475740286	4.44469328373784	-1.5154892361638117	0.05179356913825117	0.9968005456748952
HIST1H2AD	0.7632090750431343	2.208040601894784	-1.4448315268516496	0.01638235277370592	0.9968005456748952
UGT2B11	3.8049765474223705	5.242914570711203	-1.4379380232888321	0.3688828716081435	0.9968005456748952
TFF1	7.067475545744575	8.50478868699616	-1.437313141251586	0.47908432720534844	0.9968005456748952
MAG	1.2714110143881074	2.7041819412413264	-1.432770926853219	0.007423145667491804	0.9968005456748952
GAS2L2	2.650364828943738	4.077352276062118	-1.4269874471183805	0.0024613680626223156	0.9336316749552918
MESP1	6.886739030415327	8.301691751112493	-1.4149527206971664	0.008282961622830043	0.9968005456748952
PCDHB8	3.197612089956843	4.5971342507583435	-1.3995221608015003	0.00367300991023245	0.9968005456748952
THBS4	8.279180250878257	9.67160646453395	-1.3924262136556926	0.017811615550769155	0.9968005456748952
MTRNR2L9	5.050813315244552	6.437743945425156	-1.3869306301806041	0.41655994327679124	0.9968005456748952
PSCA	4.104845089989671	5.489363977013118	-1.3845188870234475	0.10032679195749461	0.9968005456748952
PI16	8.896660861367623	10.275064245733132	-1.3784033843655088	0.06049819071859075	0.9968005456748952
HIST1H2BG	4.1082150109171485	5.476006398895167	-1.3677913879780181	0.11944499769858896	0.9968005456748952
MARCO	6.819979566204243	8.18773786732408	-1.3677583011198369	0.06943183161594246	0.9968005456748952
TCL1A	0.9633392623032452	2.330472349834888	-1.3671330875316428	0.09780679096767386	0.9968005456748952
TF	9.43499329803182	10.787466485308595	-1.3524731872767752	0.042254020654422186	0.9968005456748952
CLIC6	6.234934923999728	7.5838968675015686	-1.3489619435018403	0.04416242565182904	0.9968005456748952
NPIPA3	4.990732493330454	6.336273490079329	-1.3455409967488752	0.0016962207449685573	0.9197390527031953
AMH	1.952719082068918	3.2858045222808916	-1.3330854402119736	0.024677136998399796	0.9968005456748952
PAX5	0.8306040406737524	2.157344972059149	-1.3267409313853964	0.0048204271879305205	0.9968005456748952
TDGF1	2.240703569198816	3.5572999050848466	-1.3165963358860306	0.04416242565182904	0.9968005456748952
AC011551.3	0.49505226763052096	1.7872984030134216	-1.2922461353829007	0.025883450146661047	0.9968005456748952
BCL2L2-PABPN1	6.45822829289197	7.747457178656665	-1.289228885764695	0.03584247956695297	0.9968005456748952
CKS1B	0.9906839046857328	2.270121803336291	-1.2794378986505581	0.16801049726243722	0.9968005456748952
FGB	2.22558580760804	3.4982028992854217	-1.2726170916773816	0.11371221243872454	0.9968005456748952
AL035252.1	6.341668564601058	7.597326548496588	-1.2556579838955306	0.028449727258329505	0.9968005456748952
CTB-186H2.3	2.7766861326542647	4.028528372172681	-1.2518422395184161	0.3788028854848392	0.9968005456748952
ATP1A4	3.9088261362151435	5.15128807571374	-1.2424619394985967	0.10289828405120349	0.9968005456748952
AMTN	0.27754653333590024	1.5182744757031679	-1.2407279423672677	0.08155314501604971	0.9968005456748952
AL354718.1	2.809998091980645	4.047593164388442	-1.2375950724077973	0.21378527936817715	0.9968005456748952
NPIPA2	3.8976619121452707	5.124789617033867	-1.2271277048885967	0.017517321688786502	0.9968005456748952
AL136218.1	3.424170165257676	4.642546741944405	-1.2183765766867287	0.36561243995898673	0.9968005456748952
C8orf46	4.359152284034556	5.571601288347888	-1.2124490043133322	0.024286004021038088	0.9968005456748952
MS4A1	3.8307294361836437	5.042884057845002	-1.212154621661358	0.09412189775925206	0.9968005456748952
LY6K	6.224509431951251	7.436523361469259	-1.2120139295180081	0.1347679321564823	0.9968005456748952
LRLE1	0.0	1.1967155605238138	-1.1967155605238138	0.0893827787207887	0.9968005456748952
CPAMD8	7.16584648604615	8.361867660566691	-1.1960211745205411	0.0033276161122230974	0.9968005456748952
CD19	2.030209671524624	3.218487460597142	-1.1882777890725178	0.03638886620070847	0.9968005456748952
SCD	11.122501004482492	12.310400075420693	-1.187899070938201	0.020661138966558745	0.9968005456748952
KLK13	3.5437909399892806	4.724195947086634	-1.1804050070973533	0.12389131916687712	0.9968005456748952
RASGEF1C	3.1767068549079895	4.355556934833511	-1.1788500799255215	0.017517321688786502	0.9968005456748952
SLCO1A2	3.019931169337935	4.198707953484429	-1.178776784146494	0.037502956881773186	0.9968005456748952
RP11-295K3.1	3.6976368426189032	4.875588243836092	-1.177951401217189	0.017517321688786502	0.9968005456748952
CHAD	6.406634147787348	7.583703590166819	-1.1770694423794712	0.10032679195749461	0.9968005456748952
HIST1H2BC	5.098258150596471	6.271322469485383	-1.1730643188889118	0.03123224492154386	0.9968005456748952
CCL19	7.410022052500447	8.582817278860277	-1.1727952263598302	0.25231237392915395	0.9968005456748952
KLRC3	0.8571285312099768	2.0264106858219435	-1.1692821546119667	0.00367300991023245	0.9968005456748952
HIST1H2BJ	4.0017274728537195	5.168396210301204	-1.166668737447485	0.03321433694055187	0.9968005456748952
RP11-108K14.8	0.303344584367713	1.466406552695899	-1.163061968328186	0.003134850581453019	0.9968005456748952
TRH	1.2808643075318693	2.442765048964154	-1.1619007414322848	0.2348992544963665	0.9968005456748952
HIST1H2AG	2.186896351225305	3.3474197586111	-1.1605234073857953	0.02169554056205525	0.9968005456748952
PRTN3	0.8945855211514707	2.053948408414977	-1.1593628872635064	0.013355773376736213	0.9968005456748952
PXDNL	2.283509438563423	3.436810293364464	-1.1533008548010413	0.042882252788430386	0.9968005456748952
MAT1A	2.257493638880485	3.40778253548759	-1.1502888966071048	0.031718004389977184	0.9968005456748952
