Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
CHL1	9.604997777348698	5.8834061540719995	3.721591623276699	0.015611134110962488	0.6634223888887858
ASPDH	7.137572572027463	3.416011957071709	3.721560614955754	0.038647031050964786	0.6634223888887858
VSIG2	10.667496352783905	6.997967992865048	3.669528359918857	0.20317083808168468	0.7654421396656271
TMEM52B	11.67499936480839	8.331375174704794	3.3436241901035952	0.09176602156411517	0.6852163939014619
ZNF98	7.294990115905548	4.081146784982191	3.213843330923357	0.0357517436764726	0.6634223888887858
DUSP9	7.267484175752713	4.112497166411986	3.1549870093407275	0.040167878082070896	0.6634223888887858
CALCA	11.160000096972562	8.017333770833112	3.14266632613945	0.11902060207481024	0.718939703146416
F8A3	7.9099995963772	4.802149738881968	3.107849857495232	0.03304353235968138	0.6634223888887858
STK32B	8.664990780394259	5.683812817391805	2.9811779630024535	0.006218639950649418	0.6634223888887858
TMEM255A	12.307499386842187	9.343726928917574	2.9637724579246125	0.025947496318387886	0.6634223888887858
PNMA6A	4.179991161757087	1.3179021068166854	2.8620890549404017	0.08015574824592575	0.6796073030981377
KCNH2	8.32998672881848	5.574914336437464	2.755072392381015	0.04503825468933864	0.6634223888887858
TRABD2B	7.922489545728833	5.177986668893349	2.744502876835484	0.09176602156411517	0.6852163939014619
ACVR1C	6.954987886787706	4.229471133461758	2.725516753325948	0.02389514968080031	0.6634223888887858
THSD7B	7.802497328044864	5.17394443733255	2.6285528907123137	0.0041927797009970735	0.6634223888887858
TRHDE	8.867488006076602	6.249048646436581	2.6184393596400213	0.0357517436764726	0.6634223888887858
GDA	7.369998293137858	4.821339391545188	2.5486589015926695	0.05628089121640534	0.6634223888887858
LPPR1	8.132499636699489	5.603595626217454	2.5289040104820346	0.06976836568199207	0.671527504771138
GNGT1	6.28501592144044	3.767366679482209	2.517649241958231	0.09487040506084599	0.6929914908704872
RPS4Y1	8.540219511241345	6.079990644991261	2.460228866250084	0.30865152409073227	0.8255487673285969
