Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
F8A2	6.514589299141385	2.4501618181257125	4.064427481015673	1.035616037370346E-12	1.6272558411856153E-8
GSTM1	9.955426200247933	7.348954144311731	2.6064720559362016	1.2778405870683684E-4	0.002426697890687083
RP11-599B13.6	4.048690651121649	2.0416066514050386	2.00708399971661	0.0010995697220745893	0.010930875424903067
PNMA6A	4.113028880447134	2.1106784151752542	2.0023504652718795	1.5744381257953854E-5	5.76934952655645E-4
F8A3	8.214348351482892	6.253715656572275	1.9606326949106165	4.1273873208069745E-11	1.252799631442277E-7
NPIPB15	6.426549192318472	4.521548812622772	1.9050003796957	2.2708486424605212E-8	8.440141933977758E-6
TRIM63	4.011805229701937	2.1707018500933724	1.841103379608565	4.063346561788972E-5	0.0011144829455316378
DAPL1	4.534042951306953	2.8289381023900666	1.705104848916886	4.1959110854306036E-4	0.0055818796704062935
PRR15L	6.462323329310516	4.8908235587820235	1.5714997705284928	7.328053722022165E-4	0.008243268337582932
PCP4	4.775033221955327	3.2172277289377904	1.5578054930175362	0.006348582815966064	0.03634718335252247
PCSK1N	7.641550119161918	6.08719092075092	1.5543591984109986	4.4419978454168785E-5	0.0011949433494938286
SLC30A2	4.571883804248222	3.037122380670011	1.5347614235782112	2.188704214427517E-4	0.0035337483291803143
SCEL	2.38162230767344	0.8474752234964211	1.534147084177019	1.3548941655616709E-5	5.233856287971364E-4
ARHGAP40	2.800423517744856	1.2772709626680463	1.52315255507681	1.389433796713524E-4	0.002584715863712635
MSLN	6.523663882154068	5.010957027700582	1.5127068544534863	5.362609367542959E-4	0.0066123115640956244
KRT7	9.31565377853501	7.806711910064298	1.5089418684707123	9.261875269361841E-5	0.001954545450818283
PLG	6.375034054855196	4.899347489932853	1.4756865649223432	0.008462269879361939	0.04442630701727865
HHATL	3.280263807079058	1.818960694450889	1.461303112628169	0.02362742624443892	0.08955310858766319
LCN2	5.283535329450596	3.8348635835907845	1.4486717458598117	1.8806966778495138E-4	0.003189129226908319
CDH17	3.4984494672117448	2.0586880763470217	1.439761390864723	0.006817837568734109	0.03824036273538207
GAL3ST3	2.727828639123648	1.3105595628256734	1.4172690762979745	1.4308092385340032E-6	1.246789370917764E-4
NMRK2	2.6587621907337025	1.2859153888214339	1.3728468019122686	0.11237326923829039	0.25961461110842887
LGALS7B	3.185444572953243	1.8150114609235493	1.3704331120296938	1.7147083595459023E-5	6.09927121954101E-4
MAL	9.860894968990321	8.509900008344188	1.3509949606461333	1.1006101202926111E-4	0.0021930318939572245
SH3GL2	3.711954363860555	2.3951117860282944	1.3168425778322606	0.0030248502727083793	0.021938898114920353
