Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
F8A2	6.68531087489015	2.1025107493769593	4.582800125513191	1.4167556017241623E-12	1.1192775743277632E-8
F8A3	8.576968659142464	5.850988092455291	2.7259805666871735	2.2861379456173836E-11	1.0408786066395948E-7
CCL3L3	4.785267870415379	2.995919601061766	1.7893482693536131	3.2850666733752476E-5	0.011288232878398115
UBD	9.690808937989724	7.9396309863798935	1.7511779516098303	1.7766224664983454E-5	0.008232991235097664
RAB25	6.299378049747426	4.646592881189443	1.6527851685579824	0.0030402865101786247	0.1048668521276006
AOC1	10.441352276632864	8.807876490418131	1.633475786214733	2.639248645025516E-4	0.0315758189477526
FLT3	4.306212490055854	2.780575678861488	1.525636811194366	9.897949028170316E-7	9.487444615844094E-4
C4BPA	3.8924644932215626	2.3958814573569285	1.4965830358646341	5.642031261154923E-5	0.01448186787180674
PTPN20A	4.961574265501476	3.495941877955665	1.4656323875458108	3.246664140780231E-4	0.03449702954297303
SERPINA5	7.443347705267278	6.038474335663835	1.4048733696034423	1.5096271876158252E-4	0.024993936673508552
NPIPB15	6.197344298490811	4.799934372640217	1.397409925850594	0.0031853470835546682	0.10703236362674837
TMEM52B	5.468069193811625	4.182167495785719	1.2859016980259064	5.217491262333729E-4	0.0446107750561605
FOLR3	3.9203774828676026	2.6369762802773664	1.2834012025902362	0.0016742287235178566	0.0787337728461276
KCNJ1	3.6754891774433753	2.405859731624031	1.2696294458193442	0.04643283323183367	0.3571092731495586
PNMA6A	3.428825063802087	2.1643895377772253	1.2644355260248616	0.011412598367487647	0.19191712046969994
MGAM	5.379357151935051	4.128112347290814	1.2512448046442373	0.012066140293938266	0.19886746337846486
CKS1B	2.8626921844185502	1.6123810482630683	1.250311136155482	0.005579052071630564	0.1384273791941905
FAM153A	4.432836350964834	3.1834930078261805	1.2493433431386536	0.004726247261770844	0.1304157805020767
SERPINA3	9.03263740960679	7.802731351457154	1.2299060581496368	0.006778831027476562	0.14802886171750976
TSPAN8	6.144167883127595	4.932644896428698	1.2115229866988972	0.009383565008548533	0.17438110809763865
GAL	3.721419286624641	2.531398691851391	1.1900205947732498	0.0045930507497167206	0.1288885057840384
NPIPA8	4.6305000117071256	3.4667651929888432	1.1637348187182823	0.0022694993044861667	0.0918416729643826
CKMT2	5.066553287886421	3.9186433029232894	1.1479099849631318	0.007863781709824713	0.16019596476434864
REG1A	7.463615967503717	6.333879905687018	1.1297360618166987	0.11686693044907925	0.5158459857825088
DNAJC25-GNG10	4.87835870099991	3.7576068156525264	1.1207518853473837	0.008205636847672282	0.16332356095060938
MRAP2	4.16525553450622	3.046849346186942	1.1184061883192777	0.002827920448476351	0.1025937992184289
