Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
GAGE12I	5.526641525122085	1.6846293438208577	3.8420121813012273	0.002895731561590731	0.6131248725255929
F8A2	6.427995933472575	2.6360669065015125	3.7919290269710624	1.3035218134604953E-4	0.3776113357069518
PAGE1	5.138689439480604	1.7166677230497545	3.4220217164308497	0.008206112554277722	0.719195717992821
XAGE1C	6.916012207360532	3.727199227408736	3.1888129799517957	0.01844298984540349	0.7431055997001955
XAGE1B	6.9312784539524435	3.820301190289972	3.1109772636624715	0.02053713776603161	0.7512527240984039
CSAG1	6.226603530982778	3.2624055254492412	2.9641980055335364	0.007340170708106775	0.719195717992821
GAGE1	4.176628987814773	1.2360898644321139	2.940539123382659	0.009982221661834823	0.719195717992821
XAGE1D	6.928659325856415	3.9987092891428815	2.929950036713534	0.03872908070129866	0.7769054104269593
PNMA6A	4.8375131570281935	1.9463028268964362	2.8912103301317575	0.001167532447320152	0.6131248725255929
TM4SF20	5.536943088551127	2.6994505062294096	2.8374925823217176	8.859484220589131E-4	0.5563756090529974
MAGEB2	4.619154045355373	1.8061629639934171	2.8129910813619556	0.01690468451452032	0.7295452947356494
CTAG2	5.930678822909682	3.1653890806107134	2.7652897422989686	0.015253304795252998	0.719195717992821
TUBA3C	4.340982475728112	1.7409294982785057	2.6000529774496064	0.01005990000029533	0.719195717992821
COX7B2	6.887997014085829	4.296289579253068	2.5917074348327604	0.022835709252378322	0.7518984280214925
MAGEA6	5.497983726380422	2.913475105698598	2.584508620681824	0.02127984644060732	0.7518984280214925
MAGEA3	5.8927077892664155	3.3214004820110206	2.571307307255395	0.029482433213237402	0.7633424836470867
XAGE1E	5.946602855237988	3.3907233081379498	2.5558795471000386	0.03898237963196416	0.7769054104269593
XAGE1A	5.947850318428792	3.4207296487103807	2.527120669718411	0.04378797561096992	0.7899457868188597
MAGEA1	6.77998974306854	4.254580738513786	2.5254090045547537	0.010216873399362614	0.719195717992821
ACSM1	9.550659456355506	7.1644883883766095	2.3861710679788963	4.8667392952994604E-4	0.44316528022996887
RPS4Y1	10.264714149052706	7.939245227470004	2.3254689215827016	0.1381820359511554	0.8677936090957492
PAGE4	6.6694408682591995	4.348563875935233	2.3208769923239663	0.033500268424761837	0.7713108578404078
FAM183A	4.077336550019578	1.7934246934879088	2.2839118565316694	0.0012122950836158664	0.6131248725255929
SSX4B	3.8793769140237235	1.652915362031734	2.2264615519919895	0.03029201341634835	0.7672853245320391
NAA11	3.4239201749660197	1.259147452239651	2.1647727227263687	0.010618886137802819	0.719195717992821
GSTM1	9.912560405684012	7.748345832506315	2.1642145731776967	0.1484407557879246	0.877263843340101
SSX1	5.8506504599378575	3.70117574141889	2.1494747185189675	0.08186404120776136	0.8436297535729285
RNF17	2.8533577349049266	0.7056147710008626	2.147742963904064	0.002181163991133217	0.6131248725255929
NXF2B	2.760178983563853	0.6577065114173694	2.1024724721464834	0.009306805905497373	0.719195717992821
MAGEA12	4.310909317244728	2.256977157762428	2.0539321594823	0.08521374559827144	0.8436297535729285
HRASLS2	6.098545416270158	4.052981221515102	2.0455641947550554	0.0046772707865077034	0.6410346325054129
EIF1AY	7.588618927903868	5.5594078833257585	2.0292110445781093	0.1381820359511554	0.8677936090957492
NXF2	2.7286980392662437	0.7041670133415389	2.0245310259247047	0.015140977466880035	0.719195717992821
AL353354.2	5.944739550691614	3.9230747800791224	2.021664770612492	0.022675797115603635	0.7518984280214925
CYP7A1	9.579371314391071	7.574390695533528	2.0049806188575436	0.01405716101123533	0.719195717992821
MAGEA8	3.246174583282271	1.2422627194015998	2.003911863880671	0.002161695166298383	0.6131248725255929
CCL3L3	4.381984946211802	2.388754876248103	1.9932300699636993	0.0026058860957773877	0.6131248725255929
BEX1	4.71575459758671	2.727864123173855	1.9878904744128554	0.06589040190493567	0.827583447925992
CT45A3	2.611585088679443	0.6524046642893351	1.959180424390108	0.004716595692714987	0.6410346325054129
MAGEB17	4.650137692972771	2.693402822978316	1.9567348699944547	0.002515329882306183	0.6131248725255929
MAGEA2	3.61404299691389	1.662765997181992	1.9512769997318982	0.013240008853203644	0.719195717992821
MS4A8	2.7817382484150515	0.8459924356095069	1.9357458128055445	0.008809993455247689	0.719195717992821
VCX3B	3.9392857489863875	2.010838446902164	1.9284473020842237	0.002747318933116416	0.6131248725255929
TMEM92	7.966672284917059	6.039631562924767	1.9270407219922916	0.015366365187582165	0.719195717992821
VCX3A	3.7086466747564595	1.7904309792621849	1.9182156954942746	0.015140977466880035	0.719195717992821
DDX3Y	6.888564507009775	4.970390761696076	1.918173745313699	0.05627826708562922	0.806929678473766
CTAG1A	3.384772548830518	1.46910429243067	1.9156682563998477	0.02968306344217253	0.7633424836470867
MAGEC2	5.102695860532309	3.194520733050334	1.9081751274819752	0.0627983446906899	0.821857691386066
RHOXF2	3.3859881818249056	1.4956829921731982	1.8903051896517074	0.007824380097234296	0.719195717992821
F8A3	7.847337707007763	5.959138343481347	1.8881993635264163	0.002921166787356544	0.6131248725255929
POPDC3	3.4487984608503783	1.5617979991030857	1.8870004617472926	0.007639545339590992	0.719195717992821
RIPPLY2	2.5359170172160734	0.6493651738065721	1.8865518434095012	0.013440259343900474	0.719195717992821
CRISP2	2.4904489144368864	0.6134067509432398	1.8770421634936465	1.0586915038013345E-4	0.3776113357069518
C12orf56	3.641184369723951	1.8131474232420801	1.8280369464818709	0.04079516902671998	0.7779640075934151
PAGE5	5.936689250642006	4.117460608889361	1.8192286417526455	0.010700956528300942	0.719195717992821
UGT1A9	7.841344677188951	6.063257021584089	1.7780876556048613	0.033500268424761837	0.7713108578404078
KDM5D	6.413988460642106	4.652624586603604	1.7613638740385014	0.06242041285468791	0.821857691386066
KHDC1L	2.5372121086990185	0.7840356179369561	1.7531764907620624	0.0031869665154116156	0.6131248725255929
FAM133A	4.367404593217214	2.6190105049630166	1.748394088254197	0.031330786642809194	0.767962700321455
HOXA13	6.297395262885696	4.550848156828632	1.746547106057064	0.020391339248346796	0.7512527240984039
TNP1	2.2919861496815654	0.5458502950716595	1.746135854609906	0.16247284361450598	0.8835315648741896
GAGE2D	3.059946005687197	1.3284201891914036	1.7315258164957934	0.059102970699244084	0.8123647565091572
UGT1A7	4.011344812592816	2.296793170488307	1.7145516421045093	0.0014608446976431821	0.6131248725255929
MAGEA4	2.22254372535212	0.5414956874168692	1.681048037935251	0.015253304795252998	0.719195717992821
CXorf48	2.3527767004061064	0.6844367143991986	1.6683399860069077	0.02588624612175905	0.7518984280214925
MUSTN1	6.635872282967892	4.971684237479057	1.6641880454888351	0.06471648741807612	0.8230563330013982
NOTUM	8.630008978877207	6.979270394352557	1.6507385845246496	0.03651167372624131	0.7769054104269593
C5orf58	5.5111419037511125	3.862782665080779	1.6483592386703334	0.026793781128154004	0.7541437963235422
CPLX2	5.905299465472557	4.258833969942695	1.6464654955298617	0.1305119656178222	0.8646358376979912
AKR1B15	5.8159954753397045	4.187474330171769	1.6285211451679356	0.05225261682791582	0.8046253662875978
MAGEA2B	3.093995340962297	1.4843664950889908	1.6096288458733063	0.07460788242983607	0.8428785583924798
KIAA0125	3.4492945092678964	1.8507048083554258	1.5985897009124705	0.041862767814712654	0.7779640075934151
RP11-758M4.1	2.8247767998661053	1.2266933061627328	1.5980834937033725	0.0038838947444723715	0.6255432787762931
MAGEC1	3.8285814338609327	2.2305367055298815	1.5980447283310513	0.1305119656178222	0.8646358376979912
KRT20	3.900152077412691	2.3028105473345524	1.5973415300781388	0.10711800722128217	0.8452482035523184
TBC1D3C	5.96265016471757	4.402539900395923	1.5601102643216471	1.671304766726056E-4	0.3776113357069518
IFI27	13.835999859003568	12.2813205034328	1.5546793555707676	0.022516859001140532	0.7518984280214925
PRSS50	5.294013358337019	3.746074108746142	1.5479392495908773	0.0014076618936292862	0.6131248725255929
