Name	Mean(log(lung_black))	Mean(log(lung_white))	logFC	M-W U test pval	Adj pval
S100P	6.7340779463960025	9.502452558717673	-2.7683746123216704	1.6301233616289323E-6	0.0011418387177686967
BPIFA1	3.6158185472303788	6.143189284816128	-2.527370737585749	4.0283630890480815E-4	0.026295537124639303
SMN2	6.792826529917602	8.525930401728493	-1.7331038718108909	7.358615772690147E-5	0.0104699305040807
PRSS21	5.653551747319083	7.2257512816013	-1.572199534282217	0.0018700453801968608	0.053973480925745214
GGTLC1	8.871986708763808	10.4125247064956	-1.540537997731791	0.001203386909667814	0.04337297614726361
KRT6A	3.741898118663089	5.2467950295163455	-1.5048969108532564	0.03342244474905165	0.2135752855332381
EREG	3.85250020935639	5.345602942839581	-1.493102733483191	8.006974336146611E-4	0.03556658941704929
NTRK2	5.3350816199019295	6.8246139107172645	-1.489532290815335	0.003408060553038772	0.07250887709339032
LY6K	3.4630155309170365	4.933927640813163	-1.4709121098961266	0.0011477998049392868	0.04222975767182685
RGPD1	2.8267877272719093	4.254151443349791	-1.4273637160778816	8.0572085457975E-6	0.0029031732013084935
NPIPA3	4.556086971157753	5.955881521248447	-1.3997945500906939	2.0020357305305936E-6	0.001238723051283408
BEGAIN	3.5738116087766287	4.9653036277107505	-1.3914920189341218	1.6892757970232708E-8	5.0525225130065064E-5
CTSE	9.32331969045903	10.685836718288858	-1.3625170278298278	0.008682136973900745	0.11182389792282212
FAM21B	5.270608808759722	6.62152102600716	-1.3509122172474388	0.004666042417973748	0.08421998465424965
SPATC1L	5.629212405420026	6.977064488204579	-1.347852082784553	9.815056491202512E-5	0.012243274576560284
CEACAM5	6.100132063887486	7.433382017596799	-1.3332499537093128	0.020955310068012323	0.17300004848533113
LTF	7.597960441843481	8.917249073746401	-1.3192886319029196	0.002412279504773296	0.06051299495996042
SERPINB2	3.218946567575761	4.527701205115423	-1.308754637539662	0.011404705220292577	0.12821141448886939
MT1A	7.963327261040235	9.261493329719455	-1.2981660686792198	7.89638273869242E-4	0.035420916856420286
ANXA8	5.720264106644088	7.016078829154235	-1.2958147225101477	0.01925615756923227	0.16472200171482296
SLC44A5	2.0001699842909013	3.295362667210419	-1.2951926829195175	6.23266399687461E-5	0.00974119505169144
DEFA3	5.286122736598627	6.576997172468417	-1.2908744358697897	9.680760513961495E-4	0.038663598789532176
CCL14	10.115381072072422	11.364423950670496	-1.2490428785980736	1.9028277568722274E-4	0.017680764851100515
AL136218.1	2.9025519163388975	4.1275401329136985	-1.224988216574801	0.05656273062201711	0.27384420913613616
XKR9	2.7250018820607975	3.9309616298759344	-1.205959747815137	2.9026542206211925E-4	0.021934912309524133
GSTT1	8.908977010019754	10.094964727879766	-1.1859877178600122	0.11201158726304972	0.3738235344025401
KRT6B	2.0871345259468037	3.2643506235668758	-1.177216097620072	0.019910585417527882	0.16826523509235164
KRT13	5.313424857241621	6.443949471502128	-1.1305246142605068	0.10564620450270268	0.36488311708765814
PADI4	4.370010655142403	5.491812265471114	-1.1218016103287107	7.737693973774995E-6	0.0029031732013084935
C12orf54	2.273095273226652	3.3936581868100006	-1.1205629135833486	0.0025625558258535186	0.06200998698635325
NELL1	1.5690696440466634	2.6876156456085147	-1.1185460015618514	0.0085845319273955	0.11127508573788387
AL591684.1	1.7282061108569564	2.8360973635625872	-1.1078912527056308	0.05026987390964244	0.25854700469991754
ADARB2	2.618575139505992	3.7138854015024365	-1.0953102619964445	1.31931566972332E-5	0.004368613995818382
DARC	9.97487325673379	11.059182522823368	-1.0843092660895781	0.008274054526291819	0.10943143139638824
PTPRZ1	4.0877243716475045	5.165533879173363	-1.077809507525859	0.018572487868892762	0.1621025338050879
CYP4F3	2.9953111745638004	4.049623783209554	-1.0543126086457533	0.03431168328116152	0.21652265277772476
CLMP	5.951566693309672	6.999367310037302	-1.0478006167276304	6.9752618432339375E-6	0.0029031732013084935
XAGE1C	2.95592171044419	4.001999112598052	-1.0460774021538621	0.1341782919927218	0.4060576692873794
LRRN1	4.343228613512581	5.376046741520695	-1.0328181280081141	5.095428661556767E-4	0.029754424557350657
CCDC144A	2.721338569776631	3.735831561314326	-1.0144929915376948	3.2322430908637845E-4	0.023261241285590976
PKP2	4.744832242516532	5.743890634311498	-0.999058391794966	2.3981522194926885E-4	0.019762510507421196
SLC10A6	2.1285127137251787	3.1267034497943866	-0.9981907360692079	3.5311638459756267E-4	0.024635991734559024
AGAP7	2.201191734877153	3.1969539274468937	-0.9957621925697406	3.241234503881252E-5	0.006486743163152238
GJA1	10.37384736600832	11.367584031816916	-0.993736665808596	4.029251634685149E-5	0.007265418888206528
LRRN4	7.419246322282326	8.41155121341845	-0.9923048911361239	0.006907258646885128	0.10063599558165756
FDCSP	2.2715463711133848	3.261493024261576	-0.9899466531481913	0.1292498782972321	0.39977900535821864
ENPP4	7.958459957014124	8.943492789233122	-0.9850328322189981	3.2082056348192722E-6	0.001770540637009957
CYP1B1	7.736929400281529	8.720557360079498	-0.9836279597979694	1.5824812945863798E-4	0.016282570246896694
SPRR2E	1.9915185418154748	2.9706715655148557	-0.9791530236993808	0.06404866877075122	0.2880845531372984
AL022328.1	0.8569366276203604	1.8356898246969997	-0.9787531970766393	0.34975767879812336	0.6419214800233218
PTX3	6.497675367103478	7.47535602225371	-0.9776806551502313	0.0011516902089935277	0.042260353472021485
TMEM132D	1.998422408681338	2.974034748253064	-0.975612339571726	2.6939909539369644E-4	0.02123937803164502
PIK3R2	4.090259444561175	5.0656863711372955	-0.9754269265761204	0.09996734882762326	0.35413447906023626
CDA	6.22412661396473	7.198999221186046	-0.9748726072213163	0.004185129832373291	0.08099849575683568
HOXA9	2.578552405263974	3.5444993201485193	-0.9659469148845452	8.791887319496983E-4	0.03723482652308959
HBA2	14.024871576937247	14.989479516753507	-0.9646079398162595	0.005181015578769932	0.08764525874187186
AK4	4.74079842576185	5.7054006195030444	-0.9646021937411948	6.544091537008523E-5	0.010100084328135526
NPIPA2	3.5774459299680026	4.539693146689684	-0.9622472167216816	0.00893050243204252	0.11286766848879831
FCAR	4.799519491081069	5.756152234557479	-0.9566327434764101	0.00109831778200975	0.0409050377218028
