Name	Mean(log(Black))	Mean(log(White))	logFC	M-W U test pval	Adj pval
KLK3	18.90857142874882	9.30522972410561	9.603341704643212	0.01169260702028907	0.10853504538914605
KLK2	17.322857134548986	8.866761983716852	8.456095150832134	0.012818609609500209	0.11105427648674104
KLK4	14.72999996249655	7.595394999591329	7.134604962905221	0.020713402510321277	0.12603825142598432
NPY	13.794291828186436	6.792709880909941	7.001581947276495	0.017706374409098724	0.11956562504208601
ACPP	15.457142944176269	8.549198751372199	6.90794419280407	0.05155992064247705	0.1825090913004455
SPDEF	13.735714330916988	7.498175742558615	6.2375385883583725	0.0012847816871236484	0.08963022275609975
HOXB13	12.48428626188535	6.3160783905431455	6.168207871342204	0.01866321166068141	0.12214382882915299
TMEFF2	11.39855886574847	5.288364159703636	6.110194706044834	0.003041192747622601	0.09016295921326258
OR51E2	12.392860306558621	6.305916645251204	6.086943661307417	0.0066865507670477164	0.09558554899847932
MSMB	14.691428774090355	8.920571367470993	5.770857406619362	0.15624388397766298	0.32911330268346034
CPNE4	10.817141608895886	5.1824356890499175	5.634705919845969	0.003881115261492929	0.09085016320316867
PPP1R1B	12.471427967872499	6.911424467253231	5.560003500619268	0.005521283155686452	0.09342683061217828
PRAC1	11.874162731541682	6.433274509346032	5.4408882221956505	0.023483617297583304	0.13115106967911289
CHRM1	10.202858237693162	4.785202910860948	5.417655326832214	0.002696271341109724	0.08963022275609975
CHRNA2	10.245711919268087	4.964915894691508	5.2807960245765795	0.006774531021555008	0.09558554899847932
NKX3-1	13.614285874340721	8.48970494611502	5.124580928225701	0.01910279556471317	0.1231937090497741
TRPV6	11.112856066697471	6.0301485899195955	5.082707476777876	0.001797482245036619	0.08963022275609975
LMAN1L	9.564287341783873	4.523795023337235	5.0404923184466375	0.005198876640014394	0.09342683061217828
SFTPA2	9.85572117691439	4.914360555247925	4.9413606216664645	0.0045425055708854245	0.09131138129907874
MYBPC1	11.461428243759643	6.550071471104487	4.911356772655156	0.00686355027319363	0.09558554899847932
TMSB15A	11.181429573359425	6.275846102377925	4.9055834709815	0.001758176129902922	0.08963022275609975
KLK11	10.825714066128123	5.958048837490808	4.867665228637315	0.0492638257480148	0.1785103053169211
SLC44A4	12.724286442853895	7.9336649559551695	4.790621486898726	0.025839249380287033	0.1357324516047844
GRHL2	10.110000134401545	5.334518171623003	4.775481962778542	0.008822817967854446	0.10195505128842967
CLDN8	9.264286793818856	4.557271480542646	4.7070153132762105	0.03150982241769584	0.14639206272221345
AGR2	13.377143026893666	8.723702181293165	4.653440845600501	0.12481192423228193	0.28780384453258023
IRX4	8.252876761991676	3.6351485706420856	4.61772819134959	0.002035886474166748	0.08963022275609975
DES	12.997142470933596	8.386155554644155	4.610986916289441	0.09125627335963693	0.24304756513976422
SPOCK1	11.944285822317662	7.407945736223703	4.536340086093959	0.004157113069635621	0.09088756689580303
RAB25	11.318570722290298	6.802689261978021	4.515881460312277	0.00994735535409752	0.10393645192703617
BMPR1B	9.698567170728975	5.2319016873619555	4.466665483367019	0.027622655133682783	0.14009016855879444
ESRP1	10.382857736020327	5.931609812002342	4.451247924017985	0.006303217862768551	0.0951859068961367
EPN3	10.172856508557727	5.739358376566257	4.43349813199147	0.022697914430828692	0.1295032636636128
FEV	8.587143094801752	4.159256189471218	4.427886905330533	0.03202724143383451	0.14707012632198538
FXYD3	14.034285668337914	9.632091382500377	4.4021942858375365	0.05670218309489217	0.19042230472509242
C5orf38	8.99141806762339	4.6033393682356145	4.388078699387776	0.008330915618500967	0.09994903507519079
NWD1	8.507143352467786	4.151566759911065	4.355576592556721	0.007090713633700063	0.09558554899847932
DLX1	9.061413254440108	4.727207016165408	4.3342062382747	0.003449870439505731	0.09085016320316867
CPLX3	7.632856492674821	3.3001264341945657	4.332730058480255	0.0024570534282135625	0.08963022275609975
KIAA1324	11.957142524440119	7.64941373126095	4.3077287931791695	0.034170371803192934	0.1515244244654857
CRISP3	8.701427335731792	4.422398068220503	4.279029267511288	0.009223178791433528	0.10286131791156608
ALDH1A3	12.70000010865979	8.43631606853847	4.263684040121319	0.028084752044319483	0.14067093075664092
LRRC26	9.527143172634567	5.288299722219425	4.238843450415142	0.04469733824430644	0.16962448929054155
IRX2	8.18143099487054	3.9521808319279326	4.229250162942607	6.809740242511575E-4	0.08963022275609975
C1orf116	11.088571777767855	6.898071272065468	4.190500505702388	0.08020299387682972	0.22755209915638305
STYK1	8.639997732777234	4.493117616558145	4.146880116219089	0.001797482245036619	0.08963022275609975
SLC45A3	14.361428584410183	10.223819657671557	4.137608926738626	0.006344811139073592	0.09549727311141178
TMEM125	10.267143459054177	6.136765967636101	4.130377491418076	0.0038544518110861237	0.09085016320316867
LRRN1	8.437151993758858	4.365649302822808	4.07150269093605	0.008016758873923502	0.09844990735798706
RP11-664D7.4	7.652863830935066	3.588507561939309	4.064356268995756	0.011267363250611173	0.10754780897281482
TRIM36	10.024282694002789	5.964707653844788	4.059575040158001	5.806722809034159E-4	0.08963022275609975
LUZP2	8.244288153830754	4.203948960505017	4.040339193325736	0.0038279548828842325	0.09085016320316867
ZG16B	11.895714036018038	7.865649581719115	4.030064454298923	0.026718104075512672	0.1378832846197894
PLEKHS1	8.554281816511812	4.540591513208479	4.013690303303333	0.002319663339183431	0.08963022275609975
TACSTD2	12.154286112321602	8.19222670847229	3.9620594038493113	0.13468933055901655	0.30009323319559694
TSPAN1	14.344285817444241	10.389092763448227	3.9551930539960143	0.015361944862965937	0.11525230344099284
PCP4	9.862853216309315	5.908315086068512	3.9545381302408025	0.11500827498439437	0.27508940163065276
ABCC4	12.254284599990536	8.331190716276552	3.9230938837139835	0.0017452507220274693	0.08963022275609975
PKP1	9.161428717802627	5.250576492769683	3.9108522250329436	0.03585710029901801	0.15387123248014042
NKAIN1	7.775728883292506	3.8712775892752	3.904451294017306	0.007565394295490968	0.09737170382295512
PKP3	9.961429497937045	6.064913377961096	3.8965161199759493	0.0038279548828842325	0.09085016320316867
SFRP2	9.295708347590116	5.422444015587654	3.873264332002462	0.011337269243302694	0.10770701484560703
GLB1L2	10.28571393443015	6.412556791226103	3.8731571432040477	0.03781401930764028	0.15795158707127174
HIST3H2A	10.32285604282974	6.459014961967587	3.8638410808621524	6.339950650309234E-4	0.08963022275609975
SCGB1A1	7.99424912024404	4.142416012245066	3.8518331079989743	0.03566624558849618	0.1536314249426898
CWH43	8.7342787641695	4.892496891394968	3.8417818727745328	0.08095464969097954	0.2285807876235844
SLC9A2	7.665706940552485	3.8443197375611553	3.8213872029913296	0.01640023526375467	0.11712983710725491
COMP	9.598568469551454	5.802902531331804	3.79566593821965	0.0014600801819217857	0.08963022275609975
